533001403115414, CAPOTRAT, CAPOTRAT, NOT FOUND, 25 MG COM X 30, U_Q
533002602138110, CLORIDRATO DE CLOBUTINOL + SUCCINATO DE DOXILAMINA, CLORIDRATO CLOBUTINOL SUCCINATO DOXILAMINA, NOT FOUND, 48MG/5ML + 9MG/ML SOL OR CT FR VD AMB GOT X 20ML, U_Q
533002701152111, CLORIDRATO DE DOPAMINA, CLORIDRATO DOPAMINA, CLORIDRATO DOPAMINA, SOL INJ CT 10 AMP VD AMB X 10 ML, U_Q
533022301151112, CLORIDRATO DE PETIDINA, CLORIDRATO PETIDINA, CLORIDRATO PETIDINA, 50 MG/ ML SOL INJ CT 25 AMP VD INC X 2 ML, U_Q
533002802110112, CLORIDRATO DE PROPANOLOL, CLORIDRATO PROPANOLOL, NOT FOUND, 40 MG COM CT 3 BL AL PLAS INC. X 10, U_Q
533002803117110, CLORIDRATO DE PROPANOLOL, CLORIDRATO PROPANOLOL, NOT FOUND, 40 MG COM CT 4 BL AL PLAS INC. X 10, U_Q
533002901151119, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, SOL INJ CX 5 AMP VD AMB X 2 ML, U_Q
533002902158117, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, SOL INJ CX 50 AMP VD AMB X 2 ML, U_Q
533003001154111, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMBAL. HOSP.), U_Q
533003002150118, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMBAL. HOSP), U_Q
533003003157116, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG/ML SOL INJ CX 6 AMP VD AMB X 1 ML, U_Q
533003004153114, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG/ML SOL INJ CX 6 AMP VD AMB X 2 ML, U_Q
533003101116414, CLORPROMAZ, CLORPROMAZ, NOT FOUND, 100 MG COMP REV CT BL AL PLAS INC X 100, U_Q
533003102155413, CLORPROMAZ, CLORPROMAZ, NOT FOUND, 5MG/ML SOL INJ CT 50 AMP VD AMB X 5 ML, U_Q
533021501163116, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM DERM CT BG AL X 20 G, U_Q
533021502161117, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM DERM CT BG AL X 30 G, U_Q
533021503166112, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM DERM CT BG AL X 50 G, U_Q
533003201110418, CODEX, CODEX, NOT FOUND, 30MG/500MG COM CT BL AL PLAS INC X 12, U_Q
533003202117416, CODEX, CODEX, NOT FOUND, 7.5MG/500MG COM CT BL AL PLAS INC X 12, U_Q
533020101110416, CONSTANTE, CONSTANTE, NOT FOUND, 0.25 MG COM CT 2 BL AL PLAS INC X 10, U_Q
533020104111413, CONSTANTE, CONSTANTE, NOT FOUND, 0.25 MG COM CT BL AL PLAS INC X 30, U_Q
533020102117414, CONSTANTE, CONSTANTE, NOT FOUND, 0.5 MG COM CT 2 BL AL PLAS INC X 10, U_Q
533020105116419, CONSTANTE, CONSTANTE, NOT FOUND, 0.5 MG COM CT BL AL PLAS INC X 30, U_Q
533020103113412, CONSTANTE, CONSTANTE, NOT FOUND, 1.0 MG COM CT 2 BL AL PLAS INC X 10, U_Q
533020106112417, CONSTANTE, CONSTANTE, NOT FOUND, 1.0 MG COM CT BL AL PLAS INC X 30, U_Q
533003305161418, CORTISONAL, CORTISONAL, NOT FOUND, 10 MG CREME BG. C/ 20 G, U_Q
533003301158412, CORTISONAL, CORTISONAL, NOT FOUND, 100MG PO INJ CT 50 FA VD INC, U_Q
533003302154410, CORTISONAL, CORTISONAL, NOT FOUND, 100MG PO INJ CT FA VD INC + AMP DIL X 2 ML, U_Q
533003303150419, CORTISONAL, CORTISONAL, NOT FOUND, 500MG PO INJ CT 50 FA VD INC, U_Q
533003304157417, CORTISONAL, CORTISONAL, NOT FOUND, 500MG PO INJ CT FA VD INC + AMP DIL X 4 ML, U_Q
533017901179410, CRISTALIN, CRISTALIN, NOT FOUND, 0.025+0.03 PCC SOL OFT CT FR PLAS OPC GOT, U_Q
533003401179411, CYLOCORT, CYLOCORT, NOT FOUND, SOL OFT CT FR OPC GOT X 5 ML, U_Q
533001403115414, CAPOTRAT, CAPOTRAT, NOT FOUND, 25 MG COM X 30, U_Q
533001404111412, CAPOTRAT, CAPOTRAT, NOT FOUND, 25 MG COM X 500 (EH), U_Q
533001405118410, CAPOTRAT, CAPOTRAT, NOT FOUND, 50 MG COM X 30, U_Q
533024702119119, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PLAS INC X 30 , U_Q
533024701112110, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PLAS INC X 30, U_Q
533021307138111, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 20 MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED, U_Q
533021308134118, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 20 MG/ML SUS OR CT FR VD AMB X 100 ML + SER DOSAD, U_Q
533021301113115, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 100 (EMB HOSP), U_Q
533021302111116, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 20, U_Q
533021303116111, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), U_Q
533021304112111, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 30, U_Q
533021305119118, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), U_Q
533021306115116, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 60, U_Q
533022201139110, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 20 MG/ML XPE CT FR PLAS INC X 100 ML + CP MED, U_Q
533022202135119, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 50 MG/ML XPE CT FR PLAS INC X 100 ML + CP MED, U_Q
533025002137112, CEFALEXINA, CEFALEXINA, CEFALEXINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 100 ML + CP MED, U_Q
533025001130114, CEFALEXINA, CEFALEXINA, CEFALEXINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML + CP MED, U_Q
533025102115110, CEFALEXINA MONOIDRATADA, CEFALEXINA MONOIDRATADA, CEFALEXINA MONOIDRATADA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, U_Q
533025101119112, CEFALEXINA MONOIDRATADA, CEFALEXINA MONOIDRATADA, CEFALEXINA MONOIDRATADA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, U_Q
533001501151415, CEFALOTIL, CEFALOTIL, NOT FOUND, 1 G PO SOL INJ CX 50 FA VD INC + 50 AMP DIL X 5 ML, U_Q
533001502156410, CEFALOTIL, CEFALOTIL, NOT FOUND, 1G SOL INJ CX C/ 50 FA, U_Q
533023801156111, CEFAZOLINA SÓDICA, CEFAZOLINA SODICA, CEFAZOLINA SODICA, 1 G PO P/ SOL INJ CT 50 FA VD INC X 13 ML (EMB HOSP), U_Q
533018301159417, CEFEPIM, CEFEPIM, NOT FOUND, 1 G PO INJ CT FA VD AMB + AMP VD INC X 3 ML, U_Q
533018302155415, CEFEPIM, CEFEPIM, NOT FOUND, 2 G PO INJ CT FA VD AMB, U_Q
533001601154416, CEFORAN, CEFORAN, NOT FOUND, PO P/ SOL INJ CT FA VD AMB + AMP DIL X 4 ML, U_Q
533001702155418, CEFTRAT, CEFTRAT, NOT FOUND, PO INJ CT 50 FA VD INC (1G), U_Q
533001701159411, CEFTRAT, CEFTRAT, NOT FOUND, PO INJ IM/IV CT FA VD INC (1 G IM / IV), U_Q
533001801110412, CELESTRAT, CELESTRAT, NOT FOUND, COMP CT BL AL PLAS INC X 15 (2MG/0.25MG), U_Q
533001802133416, CELESTRAT, CELESTRAT, NOT FOUND, XPE CT FR VD AMB X 120 ML (2MG/5ML + 0.25MG/5ML), U_Q
533001901158417, CETAZ, CETAZ, NOT FOUND, PO LIOF CT 1 FA VD INC + AMP DIL X 10 ML, U_Q
533002001177413, CETROLAC, CETROLAC, NOT FOUND, SOL OFT CT FR PLAS OPC GOT X 5 ML, U_Q
533002102119419, CICLO 21, CICLO 21, NOT FOUND, 0.15 MG+ 0.03 MG + COM CT EST CALEND X 21, U_Q
533002101112410, CICLO 21, CICLO 21, NOT FOUND, 0.15MG + 0.03MG COM CT 3 EST CALEND X 21, U_Q
533023701119419, CICLOGYN, CICLOGYN, NOT FOUND, 0.075 MG + 0.03 MG DRG CT EST CALEND X 21, U_Q
533002201176410, CIPRONOM, CIPRONOM, NOT FOUND, SOL OFT CT FR OPC GOT X 5 ML, U_Q
533002303114414, CLINDABIOTIC, CLINDABIOTIC, NOT FOUND, 300 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10, U_Q
533002401167415, CLOMAZEN, CLOMAZEN, NOT FOUND, CREM DERM CT BG X 20 G, U_Q
533019601131117, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 2.5 MG/ML SOL OR CT FR VD AMB CGT X 20 ML, U_Q
533021401118119, CLORIDRATO DE CLINDAMICINA, CLORIDRATO CLINDAMICINA, CLORIDRATO CLINDAMICINA MONOIDRATADO, 300 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP), U_Q
533021402114117, CLORIDRATO DE CLINDAMICINA, CLORIDRATO CLINDAMICINA, CLORIDRATO CLINDAMICINA MONOIDRATADO, 300 MG CAP GEL DURA CT BL AL PLAS INC X 16, U_Q
533021403110115, CLORIDRATO DE CLINDAMICINA, CLORIDRATO CLINDAMICINA, CLORIDRATO CLINDAMICINA MONOIDRATADO, 300 MG CAP GEL DURA CT BL AL PLAS INC X 20, U_Q
533002601131112, CLORIDRATO DE CLOBUTINOL + SUCCINATO DE DOXILAMINA, CLORIDRATO CLOBUTINOL SUCCINATO DOXILAMINA, NOT FOUND, 20MG/5ML + 3.75MG/5ML XPE CT FR VD AMB X 120ML, U_Q
533002602138110, CLORIDRATO DE CLOBUTINOL + SUCCINATO DE DOXILAMINA, CLORIDRATO CLOBUTINOL SUCCINATO DOXILAMINA, NOT FOUND, 48MG/5ML + 9MG/ML SOL OR CT FR VD AMB GOT X 20ML, U_Q
533002701152111, CLORIDRATO DE DOPAMINA, CLORIDRATO DOPAMINA, CLORIDRATO DOPAMINA, SOL INJ CT 10 AMP VD AMB X 10 ML, U_Q
533022301151112, CLORIDRATO DE PETIDINA, CLORIDRATO PETIDINA, CLORIDRATO PETIDINA, 50 MG/ ML SOL INJ CT 25 AMP VD INC X 2 ML, U_Q
533002802110112, CLORIDRATO DE PROPANOLOL, CLORIDRATO PROPANOLOL, NOT FOUND, 40 MG COM CT 3 BL AL PLAS INC. X 10, U_Q
533002803117110, CLORIDRATO DE PROPANOLOL, CLORIDRATO PROPANOLOL, NOT FOUND, 40 MG COM CT 4 BL AL PLAS INC. X 10, U_Q
533002901151119, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, SOL INJ CX 5 AMP VD AMB X 2 ML, U_Q
533002902158117, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, SOL INJ CX 50 AMP VD AMB X 2 ML, U_Q
533003001154111, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMBAL. HOSP.), U_Q
533003002150118, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMBAL. HOSP), U_Q
533003003157116, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG/ML SOL INJ CX 6 AMP VD AMB X 1 ML, U_Q
533003004153114, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG/ML SOL INJ CX 6 AMP VD AMB X 2 ML, U_Q
533003101116414, CLORPROMAZ, CLORPROMAZ, NOT FOUND, 100 MG COMP REV CT BL AL PLAS INC X 100, U_Q
533003102155413, CLORPROMAZ, CLORPROMAZ, NOT FOUND, 5MG/ML SOL INJ CT 50 AMP VD AMB X 5 ML, U_Q
533021501163116, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM DERM CT BG AL X 20 G, U_Q
533021502161117, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM DERM CT BG AL X 30 G, U_Q
533021503166112, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM DERM CT BG AL X 50 G, U_Q
533003201110418, CODEX, CODEX, NOT FOUND, 30MG/500MG COM CT BL AL PLAS INC X 12, U_Q
533003202117416, CODEX, CODEX, NOT FOUND, 7.5MG/500MG COM CT BL AL PLAS INC X 12, U_Q
533020101110416, CONSTANTE, CONSTANTE, NOT FOUND, 0.25 MG COM CT 2 BL AL PLAS INC X 10, U_Q
533020104111413, CONSTANTE, CONSTANTE, NOT FOUND, 0.25 MG COM CT BL AL PLAS INC X 30, U_Q
533020102117414, CONSTANTE, CONSTANTE, NOT FOUND, 0.5 MG COM CT 2 BL AL PLAS INC X 10, U_Q
533020105116419, CONSTANTE, CONSTANTE, NOT FOUND, 0.5 MG COM CT BL AL PLAS INC X 30, U_Q
533020103113412, CONSTANTE, CONSTANTE, NOT FOUND, 1.0 MG COM CT 2 BL AL PLAS INC X 10, U_Q
533020106112417, CONSTANTE, CONSTANTE, NOT FOUND, 1.0 MG COM CT BL AL PLAS INC X 30, U_Q
533003305161418, CORTISONAL, CORTISONAL, NOT FOUND, 10 MG CREME BG. C/ 20 G, U_Q
533003301158412, CORTISONAL, CORTISONAL, NOT FOUND, 100MG PO INJ CT 50 FA VD INC, U_Q
533003302154410, CORTISONAL, CORTISONAL, NOT FOUND, 100MG PO INJ CT FA VD INC + AMP DIL X 2 ML, U_Q
533003303150419, CORTISONAL, CORTISONAL, NOT FOUND, 500MG PO INJ CT 50 FA VD INC, U_Q
533003304157417, CORTISONAL, CORTISONAL, NOT FOUND, 500MG PO INJ CT FA VD INC + AMP DIL X 4 ML, U_Q
533017901179410, CRISTALIN, CRISTALIN, NOT FOUND, 0.025+0.03 PCC SOL OFT CT FR PLAS OPC GOT, U_Q
533003401179411, CYLOCORT, CYLOCORT, NOT FOUND, SOL OFT CT FR OPC GOT X 5 ML, U_Q
533001403115414, CAPOTRAT, CAPOTRAT, NOT FOUND, 25 MG COM X 30, U_Q
533001404111412, CAPOTRAT, CAPOTRAT, NOT FOUND, 25 MG COM X 500 (EH), U_Q
533001405118410, CAPOTRAT, CAPOTRAT, NOT FOUND, 50 MG COM X 30, U_Q
533024702119119, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PLAS INC X 30 , U_Q
533024701112110, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PLAS INC X 30, U_Q
533021307138111, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 20 MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED, U_Q
533021308134118, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 20 MG/ML SUS OR CT FR VD AMB X 100 ML + SER DOSAD, U_Q
533021301113115, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 100 (EMB HOSP), U_Q
533021302111116, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 20, U_Q
533021303116111, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), U_Q
533021304112111, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 30, U_Q
533021305119118, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), U_Q
533021306115116, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 60, U_Q
533022201139110, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 20 MG/ML XPE CT FR PLAS INC X 100 ML + CP MED, U_Q
533022202135119, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 50 MG/ML XPE CT FR PLAS INC X 100 ML + CP MED, U_Q
533025002137112, CEFALEXINA, CEFALEXINA, CEFALEXINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 100 ML + CP MED, U_Q
533025001130114, CEFALEXINA, CEFALEXINA, CEFALEXINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML + CP MED, U_Q
533025102115110, CEFALEXINA MONOIDRATADA, CEFALEXINA MONOIDRATADA, CEFALEXINA MONOIDRATADA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, U_Q
533025101119112, CEFALEXINA MONOIDRATADA, CEFALEXINA MONOIDRATADA, CEFALEXINA MONOIDRATADA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, U_Q
533001501151415, CEFALOTIL, CEFALOTIL, NOT FOUND, 1 G PO SOL INJ CX 50 FA VD INC + 50 AMP DIL X 5 ML, U_Q
533001502156410, CEFALOTIL, CEFALOTIL, NOT FOUND, 1G SOL INJ CX C/ 50 FA, U_Q
533023801156111, CEFAZOLINA SÓDICA, CEFAZOLINA SODICA, CEFAZOLINA SODICA, 1 G PO P/ SOL INJ CT 50 FA VD INC X 13 ML (EMB HOSP), U_Q
533018301159417, CEFEPIM, CEFEPIM, NOT FOUND, 1 G PO INJ CT FA VD AMB + AMP VD INC X 3 ML, U_Q
533018302155415, CEFEPIM, CEFEPIM, NOT FOUND, 2 G PO INJ CT FA VD AMB, U_Q
533001601154416, CEFORAN, CEFORAN, NOT FOUND, PO P/ SOL INJ CT FA VD AMB + AMP DIL X 4 ML, U_Q
533001702155418, CEFTRAT, CEFTRAT, NOT FOUND, PO INJ CT 50 FA VD INC (1G), U_Q
533001701159411, CEFTRAT, CEFTRAT, NOT FOUND, PO INJ IM/IV CT FA VD INC (1 G IM / IV), U_Q
533001801110412, CELESTRAT, CELESTRAT, NOT FOUND, COMP CT BL AL PLAS INC X 15 (2MG/0.25MG), U_Q
533001802133416, CELESTRAT, CELESTRAT, NOT FOUND, XPE CT FR VD AMB X 120 ML (2MG/5ML + 0.25MG/5ML), U_Q
533001901158417, CETAZ, CETAZ, NOT FOUND, PO LIOF CT 1 FA VD INC + AMP DIL X 10 ML, U_Q
533002001177413, CETROLAC, CETROLAC, NOT FOUND, SOL OFT CT FR PLAS OPC GOT X 5 ML, U_Q
533002102119419, CICLO 21, CICLO 21, NOT FOUND, 0.15 MG+ 0.03 MG + COM CT EST CALEND X 21, U_Q
533002101112410, CICLO 21, CICLO 21, NOT FOUND, 0.15MG + 0.03MG COM CT 3 EST CALEND X 21, U_Q
533023701119419, CICLOGYN, CICLOGYN, NOT FOUND, 0.075 MG + 0.03 MG DRG CT EST CALEND X 21, U_Q
533002201176410, CIPRONOM, CIPRONOM, NOT FOUND, SOL OFT CT FR OPC GOT X 5 ML, U_Q
533002303114414, CLINDABIOTIC, CLINDABIOTIC, NOT FOUND, 300 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10, U_Q
533002401167415, CLOMAZEN, CLOMAZEN, NOT FOUND, CREM DERM CT BG X 20 G, U_Q
533019601131117, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 2.5 MG/ML SOL OR CT FR VD AMB CGT X 20 ML, U_Q
533021401118119, CLORIDRATO DE CLINDAMICINA, CLORIDRATO CLINDAMICINA, CLORIDRATO CLINDAMICINA MONOIDRATADO, 300 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP), U_Q
533021402114117, CLORIDRATO DE CLINDAMICINA, CLORIDRATO CLINDAMICINA, CLORIDRATO CLINDAMICINA MONOIDRATADO, 300 MG CAP GEL DURA CT BL AL PLAS INC X 16, U_Q
533021403110115, CLORIDRATO DE CLINDAMICINA, CLORIDRATO CLINDAMICINA, CLORIDRATO CLINDAMICINA MONOIDRATADO, 300 MG CAP GEL DURA CT BL AL PLAS INC X 20, U_Q
533002601131112, CLORIDRATO DE CLOBUTINOL + SUCCINATO DE DOXILAMINA, CLORIDRATO CLOBUTINOL SUCCINATO DOXILAMINA, NOT FOUND, 20MG/5ML + 3.75MG/5ML XPE CT FR VD AMB X 120ML, U_Q
533002602138110, CLORIDRATO DE CLOBUTINOL + SUCCINATO DE DOXILAMINA, CLORIDRATO CLOBUTINOL SUCCINATO DOXILAMINA, NOT FOUND, 48MG/5ML + 9MG/ML SOL OR CT FR VD AMB GOT X 20ML, U_Q
533002701152111, CLORIDRATO DE DOPAMINA, CLORIDRATO DOPAMINA, CLORIDRATO DOPAMINA, SOL INJ CT 10 AMP VD AMB X 10 ML, U_Q
533022301151112, CLORIDRATO DE PETIDINA, CLORIDRATO PETIDINA, CLORIDRATO PETIDINA, 50 MG/ ML SOL INJ CT 25 AMP VD INC X 2 ML, U_Q
533002802110112, CLORIDRATO DE PROPANOLOL, CLORIDRATO PROPANOLOL, NOT FOUND, 40 MG COM CT 3 BL AL PLAS INC. X 10, U_Q
533002803117110, CLORIDRATO DE PROPANOLOL, CLORIDRATO PROPANOLOL, NOT FOUND, 40 MG COM CT 4 BL AL PLAS INC. X 10, U_Q
533002901151119, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, SOL INJ CX 5 AMP VD AMB X 2 ML, U_Q
533002902158117, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, SOL INJ CX 50 AMP VD AMB X 2 ML, U_Q
533003001154111, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMBAL. HOSP.), U_Q
533003002150118, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMBAL. HOSP), U_Q
533003003157116, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG/ML SOL INJ CX 6 AMP VD AMB X 1 ML, U_Q
533003004153114, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG/ML SOL INJ CX 6 AMP VD AMB X 2 ML, U_Q
533003101116414, CLORPROMAZ, CLORPROMAZ, NOT FOUND, 100 MG COMP REV CT BL AL PLAS INC X 100, U_Q
533003102155413, CLORPROMAZ, CLORPROMAZ, NOT FOUND, 5MG/ML SOL INJ CT 50 AMP VD AMB X 5 ML, U_Q
533021501163116, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM DERM CT BG AL X 20 G, U_Q
533021502161117, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM DERM CT BG AL X 30 G, U_Q
533021503166112, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM DERM CT BG AL X 50 G, U_Q
533003201110418, CODEX, CODEX, NOT FOUND, 30MG/500MG COM CT BL AL PLAS INC X 12, U_Q
533003202117416, CODEX, CODEX, NOT FOUND, 7.5MG/500MG COM CT BL AL PLAS INC X 12, U_Q
533020101110416, CONSTANTE, CONSTANTE, NOT FOUND, 0.25 MG COM CT 2 BL AL PLAS INC X 10, U_Q
533020104111413, CONSTANTE, CONSTANTE, NOT FOUND, 0.25 MG COM CT BL AL PLAS INC X 30, U_Q
533020102117414, CONSTANTE, CONSTANTE, NOT FOUND, 0.5 MG COM CT 2 BL AL PLAS INC X 10, U_Q
533020105116419, CONSTANTE, CONSTANTE, NOT FOUND, 0.5 MG COM CT BL AL PLAS INC X 30, U_Q
533020103113412, CONSTANTE, CONSTANTE, NOT FOUND, 1.0 MG COM CT 2 BL AL PLAS INC X 10, U_Q
533020106112417, CONSTANTE, CONSTANTE, NOT FOUND, 1.0 MG COM CT BL AL PLAS INC X 30, U_Q
533003305161418, CORTISONAL, CORTISONAL, NOT FOUND, 10 MG CREME BG. C/ 20 G, U_Q
533003301158412, CORTISONAL, CORTISONAL, NOT FOUND, 100MG PO INJ CT 50 FA VD INC, U_Q
533003302154410, CORTISONAL, CORTISONAL, NOT FOUND, 100MG PO INJ CT FA VD INC + AMP DIL X 2 ML, U_Q
533003303150419, CORTISONAL, CORTISONAL, NOT FOUND, 500MG PO INJ CT 50 FA VD INC, U_Q
533003304157417, CORTISONAL, CORTISONAL, NOT FOUND, 500MG PO INJ CT FA VD INC + AMP DIL X 4 ML, U_Q
533017901179410, CRISTALIN, CRISTALIN, NOT FOUND, 0.025+0.03 PCC SOL OFT CT FR PLAS OPC GOT, U_Q
533003401179411, CYLOCORT, CYLOCORT, NOT FOUND, SOL OFT CT FR OPC GOT X 5 ML, U_Q
533001403115414, CAPOTRAT, CAPOTRAT, NOT FOUND, 25 MG COM X 30, U_Q
533001404111412, CAPOTRAT, CAPOTRAT, NOT FOUND, 25 MG COM X 500 (EH), U_Q
533001405118410, CAPOTRAT, CAPOTRAT, NOT FOUND, 50 MG COM X 30, U_Q
533024702119119, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PLAS INC X 30 , U_Q
533024701112110, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PLAS INC X 30, U_Q
533021307138111, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 20 MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED, U_Q
533021308134118, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 20 MG/ML SUS OR CT FR VD AMB X 100 ML + SER DOSAD, U_Q
533021301113115, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 100 (EMB HOSP), U_Q
533021302111116, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 20, U_Q
533021303116111, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), U_Q
533021304112111, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 30, U_Q
533021305119118, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), U_Q
