513402703158415, TACLIPAXOL, TACLIPAXOL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 50 ML ( REST HOSP), I_B
513402701155419, TACLIPAXOL, TACLIPAXOL, NOT FOUND, CX. C/ 1 FR. 100 MG 17 ML, I_B
513402702151417, TACLIPAXOL, TACLIPAXOL, NOT FOUND, CX. C/ 1 FR. 30 MG 5 ML, I_B
513404901151413, TAZOCILINA, TAZOCILINA, NOT FOUND, 2 G + 250 MG PO LIOF INJ CT FA VD INC, I_B
513404902158411, TAZOCILINA, TAZOCILINA, NOT FOUND, 2 G + 250 MG PO LIOF INJ CX 10 FA VD INC, I_B
513404903154411, TAZOCILINA, TAZOCILINA, NOT FOUND, 2 G + 250 MG PO LIOF INJ CX 50 FA VD INC, I_B
513404904150418, TAZOCILINA, TAZOCILINA, NOT FOUND, 4 G + 500 MG PO LIOF INJ CT FA VD INC, I_B
513404905157416, TAZOCILINA, TAZOCILINA, NOT FOUND, 4 G + 500 MG PO LIOF INJ CX 10 FA VD INC, I_B
513404906153414, TAZOCILINA, TAZOCILINA, NOT FOUND, 4 G + 500 MG PO LIOF INJ CX 50 FA VD INC, I_B
513402802156410, TEICONIN, TEICONIN, NOT FOUND, 400 MG PO LIOF INJ CT FA VD INC + DIL X 3 ML, I_B
513402801151415, TEICONIN, TEICONIN, NOT FOUND, CX.C/ 1 FA + DIL 200 MG, I_B
