268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 20.00 ML; NO_ACR;508302916137111; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 50 FR VD AMB GOT X 20 ML (EMB HOSP); FM_
342943; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A PAPAVERINA. ADIFENINA E HOMATROPINA. 500 MG + 15 MG + 15 MG + 1 MG/ML. SOLUCAO INJETAVEL COMPRIMIDO; NO_ACR;526125004112115; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB HOSP)  ; GM2
275475; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A ADIFENINA E PROMETAZINA. 500MG + 10MG + 5MG COMPRIMIDO; NO_ACR;525307101115114; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB HOSP); NQA
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL COMPRIMIDO; NO_ACR;528502509114112; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 480 (EMB FRAC); PZ8
267574; CLORETO SODIO; NOT FOUND; 20%. SOLUCAO INJETAVEL AMPOLA 20.00 ML; NO_ACR;511201013158413; CLORETO SODIO; NOT FOUND; AMP 20ML 20%; H_I
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 10.00 ML; NO_ACR;508302905135110; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 100 FR PLAST OPC GOT X 10 ML (EMB HOSP); FM_
272041; CLOMIPRAMINA; CLOMIPRAMINA; 75 MG. LIBERACAO LENTA DRÁGEA; NO_ACR;531626402117416; CLO; NOT FOUND; 75 MG COM ABS RET CT BL AL PLAS INC X 20; EMS
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) FRASCO 20.00 ML; NO_ACR;520713010087106; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML ; TTB
271089; AMOXICILINA; AMOXICILINA; 500MG CÁPSULA; NO_ACR;507701701111411; AMOX; NOT FOUND; EMS - 500 MG 1 BL X 21 CAPS; EMS
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 10.00 ML; NO_ACR;520713010087006; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML ; TTB
269462; ALENDRONATO SODIO; NOT FOUND; 70 MG COMPRIMIDO; NO_ACR;525309101112111; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL PLAS OPC X 10; NQA
303292; RINGER; NOT FOUND; ASSOCIADO COM LACTATO DE SODIO. SOLUCAO INJETAVEL. SISTEMA FECHADO BOLSA 500.00 ML; NO_ACR;509506201150415; RINGER; NOT FOUND; SOL INJ IV CX 24 FR PLAS TRANS X 500 ML; FRS
268236; CLORETO SODIO; NOT FOUND; 0.9%_ SOLUCAO INJETAVEL. SISTEMA FECHADO AMPOLA 20.00 ML; NO_ACR;511201002156414; CLORETO SODIO; NOT FOUND; AMP 20ML 0.9%; H_I
390439; AMOXICILINA; AMOXICILINA; ASSOCIADA COM CLAVULANATO DE POTASSIO. 500MG + 100MG. PO LIOFILO P/ INJETAVEL FRASCO-AMPOLA; NO_ACR;507701701111411; AMOX; NOT FOUND; EMS - 500 MG 1 BL X 21 CAPS; EMS
286816; DIPIRONA SODICA; NOT FOUND; 1000 MG. SUPOSITORIO ADULTO SUPOSITÓRIO; NO_ACR;528513110125106; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 300 (EMB HOSP) ; PZ8
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 10.00 ML; NO_ACR;525013100103406; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML; MD7
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 10.00 ML; NO_ACR;520709501133122; DIPIRONA SODICA; NOT FOUND; 500MG/ML SOL OR CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP); TTB
319128; PRIMIDONA; PRIMIDONA; 100 MG COMPRIMIDO; NO_ACR;501602307112411; PRIMID; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; APS
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) FRASCO 10.00 ML; NO_ACR;525013100103406; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML; MD7
268149; RISPERIDONA; RISPERIDONA; 2 MG COMPRIMIDO; NO_ACR;506713409119412; RISPERIDON; NOT FOUND; 2 MG COM REV CT BL AL PLAS INC X 30; CT6
275475; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A ADIFENINA E PROMETAZINA. 500MG + 10MG + 5MG COMPRIMIDO; NO_ACR;537114080011706; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 2500; M1L
269462; ALENDRONATO SODIO; NOT FOUND; 70 MG COMPRIMIDO; NO_ACR;521113090058706; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL/AL X 4; NO_ACR
284105; RISPERIDONA; RISPERIDONA; 3 MG FRASCO-AMPOLA; NO_ACR;506713410117411; RISPERIDON; NOT FOUND; 3 MG COM REV CT BL AL PLAS INC X 30; CT6
267743; PREDNISONA; PREDNISONA; 20 MG COMPRIMIDO; NO_ACR;507720801116411; PREDNIS; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 10; EMS
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 10.00 ML; NO_ACR;508302905135110; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 100 FR PLAST OPC GOT X 10 ML (EMB HOSP); FM_
267669; HALOPERIDOL; HALOPERIDOL; 5 MG COMPRIMIDO; NO_ACR;506706905114412; HALO; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); CT6
284105; RISPERIDONA; RISPERIDONA; 3 MG COMPRIMIDO; NO_ACR;506713407116416; RISPERIDON; NOT FOUND; 3 MG COM CT BL AL PLAS INC X 20; CT6
357881; CLORETO SODIO; NOT FOUND; 0.9 %. SOLUCAO INJETAVEL. SISTEMA FECHADO. EMBALAGEM PRIMARIA ISENTA DE PVC AMPOLA 20.00 ML; NO_ACR;539013100004003; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 50 AMP PLAS TRANS X 20 ML (EMB HOSP); STT
267140; AZITROMICINA; AZITROMICINA; 500 MG COMPRIMIDO; NO_ACR;531600404112418; AZI; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 3; EMS
267140; AZITROMICINA; AZITROMICINA; 500 MG FRASCO-AMPOLA; NO_ACR;531600410112416; AZI; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 9; EMS
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 10.00 ML; NO_ACR;525307102138118; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; NQA
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL COMPRIMIDO; NO_ACR;537100313117116; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 500 (EMB FRAC); M1L
267647; DIGOXINA; DIGOXINA; 0.25 MG COMPRIMIDO; NO_ACR;527901501119419; DIGOX; NOT FOUND; 0.25 MG COM CT BL AL PLAS AMB X 20; P7B
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 10.00 ML; NO_ACR;519003501135126; DIPIRONA SODICA; NOT FOUND; GTS 500MG/ML (FRPL C/10ML); N_Q
275475; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A ADIFENINA E PROMETAZINA. 500MG + 10MG + 5MG FRASCO 20.00 ML; NO_ACR;524308802135114; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; LR3
284105; RISPERIDONA; RISPERIDONA; 3 MG COMPRIMIDO; NO_ACR;506713406111410; RISPERIDON; NOT FOUND; 3 MG COM REV CX BL AL PLAS INC X 200; CT6
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 10.00 ML; NO_ACR;532312100005406; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 100 FR PLAS OPC GOT X 10 ML (EMB HOSP); NO_ACR
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) FRASCO 10.00 ML; NO_ACR;537100301135114; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; M1L
273387; IRBESARTANA; IRBESARTANA; 150 MG COMPRIMIDO; NO_ACR;542614060002504; IRBE; NOT FOUND; 150 MG COM CT BL AL PLAS INC X 30; NO_ACR
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) COMPRIMIDO; NO_ACR;537100311114111; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 250 (EMB FRAC); M1L
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 20.00 ML; NO_ACR;504611901131117; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; BF8
269462; ALENDRONATO SODIO; NOT FOUND; 70 MG COMPRIMIDO; NO_ACR;526122302112119; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL PLAS LEIT X 4; GM2
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 20.00 ML; NO_ACR;508013404137117; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; EUF
371273; CLORETO SODIO; NOT FOUND; 0.9 %. SOLUCAO ESTERIL NAO INJETAVEL AMPOLA 10.00 ML; NO_ACR;511201001151419; CLORETO SODIO; NOT FOUND; AMP 10ML 0.9%; H_I
267140; AZITROMICINA; AZITROMICINA; 500 MG CÁPSULA; NO_ACR;531600410112416; AZI; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 9; EMS
275475; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A ADIFENINA E PROMETAZINA. 500MG + 10MG + 5MG COMPRIMIDO; NO_ACR;502814702110116; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB MULT); S_A
342943; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A PAPAVERINA. ADIFENINA E HOMATROPINA. 500 MG + 15 MG + 15 MG + 1 MG/ML. SOLUCAO INJETAVEL DRÁGEA; NO_ACR;537114080011606; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 250 (EMB FRAC) ; M1L
268160; OMEPRAZOL; OMEPRAZOL; 40 MG. INJETAVEL FRASCO-AMPOLA; NO_ACR;514601503114414; OMEPRAZOLEX; NOT FOUND; 40 MG CAP GEL DURA CT FR PLAS OPC X 7; NO_ACR
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 20.00 ML; NO_ACR;508302910139110; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 200 FR PLAST OPC GOT X 20 ML (EMB HOSP); FM_
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 20.00 ML; NO_ACR;528502504139125; DIPIRONA SODICA; NOT FOUND; 500MG/ML SOL OR CT FR PLAS OPC GOT X 20ML; PZ8
267203; DIPIRONA SODICA; NOT FOUND; 500 MG DRÁGEA; NO_ACR;537114080011706; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 2500; M1L
269462; ALENDRONATO SODIO; NOT FOUND; 70 MG COMPRIMIDO; NO_ACR;511516202119110; ALENDRONATO SODIO; NOT FOUND; 70 MG COM REV CT BL AL/AL X 4; SDZ
268851; NORFLOXACINO; NORFLOXACINO; 400 MG COMPRIMIDO; NO_ACR;531613101113411; NORF; NOT FOUND; 400 MG COM REV CT FR PLAS OPC X 14; EMS
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 10.00 ML; NO_ACR;528502503132127; DIPIRONA SODICA; NOT FOUND; 500MG/ML SOL OR CT FR PLAS OPC GOT X 10ML; PZ8
278482; PRIMIDONA; PRIMIDONA; 250 MG COMPRIMIDO; NO_ACR;501602304113415; PRIMID; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 30; APS
287687; EFEDRINA; EFEDRINA; SULFATO. 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 1.00 ML; NO_ACR;506704901154413; EFEDRIN; NOT FOUND; 50 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML ( EMB HOSP); CT6
275475; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A ADIFENINA E PROMETAZINA. 500MG + 10MG + 5MG FRASCO 20.00 ML; NO_ACR;508302914134113; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 50 FR PLAST OPC GOT X 20 ML (EMB HOSP); FM_
376767; IVERMECTINA; IVERMECTINA; 6 MG NAO INFORMADO; NO_ACR;532902102117418; IVERMEC; NOT FOUND; 6 MG COM CT BL AL PLAS INC X 4; UCI
410023; DIPIRONA SODICA; NOT FOUND; 1 G DRÁGEA; NO_ACR;519003504118117; DIPIRONA SODICA; NOT FOUND; 1G COM DISP BL AL PLAS INC X 100; N_Q
275475; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A ADIFENINA E PROMETAZINA. 500MG + 10MG + 5MG FRASCO 20.00 ML; NO_ACR;508302902136116; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAST OPC GOT X 20 ML ; FM_
268237; CLORETO SODIO; NOT FOUND; 0.9%_ SOLUCAO INJETAVEL. FRASCO COM ABERTURA TWIST OFF AMPOLA 10.00 ML; NO_ACR;511201001151419; CLORETO SODIO; NOT FOUND; AMP 10ML 0.9%; H_I
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 10.00 ML; NO_ACR;532312100005406; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 100 FR PLAS OPC GOT X 10 ML (EMB HOSP); NO_ACR
393813; CETOPROFENO; CETOPROFENO; 100 MG FRASCO 20.00 ML; NO_ACR;500412100005804; CETOP; NOT FOUND; 20MG /G XAMP CT FR PLAS OPC X 100 ML; MD6
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) FRASCO 20.00 ML; NO_ACR;528502504139125; DIPIRONA SODICA; NOT FOUND; 500MG/ML SOL OR CT FR PLAS OPC GOT X 20ML; PZ8
275475; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A ADIFENINA E PROMETAZINA. 500MG + 10MG + 5MG FRASCO 20.00 ML; NO_ACR;504611901131117; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; BF8
275475; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A ADIFENINA E PROMETAZINA. 500MG + 10MG + 5MG FRASCO 20.00 ML; NO_ACR;508302908134115; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 100 FR VD AMB GOT X 20 ML (EMB HOSP); FM_
275475; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A ADIFENINA E PROMETAZINA. 500MG + 10MG + 5MG COMPRIMIDO; NO_ACR;528502502111126; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS TRANS X 500 (EMB MULT); PZ8
275475; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A ADIFENINA E PROMETAZINA. 500MG + 10MG + 5MG FRASCO 20.00 ML; NO_ACR;504612120015116; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; BF8
376767; IVERMECTINA; IVERMECTINA; 6 MG COMPRIMIDO; NO_ACR;532902101110411; IVERMEC; NOT FOUND; 6 MG COM CT BL AL PLAS INC X 2; UCI
275475; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A ADIFENINA E PROMETAZINA. 500MG + 10MG + 5MG COMPRIMIDO; NO_ACR;537100312110118; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 10 (EMB FRAC); M1L
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 10.00 ML; NO_ACR;524308801139116; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML ; LR3
410023; DIPIRONA SODICA; NOT FOUND; 1 G COMPRIMIDO; NO_ACR;504612120014916; DIPIRONA SODICA; NOT FOUND; 1G COM DISP BL AL PLAS INC X 100; BF8
286816; DIPIRONA SODICA; NOT FOUND; 1000 MG. SUPOSITORIO ADULTO SUPOSITÓRIO; NO_ACR;528513110125306; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 800 (EMB HOSP) ; PZ8
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) FRASCO 15.00 ML; NO_ACR;537100305130117; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 48 FR PLAS OPC GOT X 15 ML (EMB HOSP); M1L
286816; DIPIRONA SODICA; NOT FOUND; 1000 MG. SUPOSITORIO ADULTO SUPOSITÓRIO; NO_ACR;528513110124306; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 10; PZ8
338411; ACIDO ZOLEDRONICO; NOT FOUND; 4 MG. PO LIOFILO P/ INJETAVEL FRASCO 5.00 ML; NO_ACR;508028001157118; ACIDO ZOLEDRONICO; NOT FOUND; 4MG SOL INJ IV CT FA AMP PLAS INC X 5ML ; EUF
342943; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A PAPAVERINA. ADIFENINA E HOMATROPINA. 500 MG + 15 MG + 15 MG + 1 MG/ML. SOLUCAO INJETAVEL DRÁGEA; NO_ACR;538100103110110; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB HOSP); B0B
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 20.00 ML; NO_ACR;508302906131119; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 100 FR PLAST OPC GOT X 20 ML (EMB HOSP); FM_
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 20.00 ML; NO_ACR;502814704131110; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; S_A
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) AMPOLA 2.00 ML; NO_ACR;507900602154115; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL INJ CX 200 AMP VD AMB X 2 ML (EMB HOSP); EQX
275475; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A ADIFENINA E PROMETAZINA. 500MG + 10MG + 5MG COMPRIMIDO; NO_ACR;528502506115118; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 200 - (EMB MULTI); PZ8
352192; RINGER; NOT FOUND; SIMPLES. SOLUCAO INJETAVEL. SISTEMA FECHADO BOLSA 500.00 ML; NO_ACR;514901301150419; RINGER; NOT FOUND; SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML; JPI
267203; DIPIRONA SODICA; NOT FOUND; 500 MG DRÁGEA; NO_ACR;538100102114112; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); B0B
357881; CLORETO SODIO; NOT FOUND; 0.9 %. SOLUCAO INJETAVEL. SISTEMA FECHADO. EMBALAGEM PRIMARIA ISENTA DE PVC FRASCO 10.00 ML; NO_ACR;539013100003803; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ  CX 50 AMP PLAS TRANS X 10 ML (EMB HOSP); STT
268237; CLORETO SODIO; NOT FOUND; 0.9%_ SOLUCAO INJETAVEL. FRASCO COM ABERTURA TWIST OFF AMPOLA 20.00 ML; NO_ACR;539013100004003; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 50 AMP PLAS TRANS X 20 ML (EMB HOSP); STT
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 20.00 ML; NO_ACR;538802104133115; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; LG6
313689; FOSFATO POTASSIO; NOT FOUND; MONOBASICO E DIBASICO. 2 MEQ/ML. SOLUCAO INJETAVEL AMPOLA 10.00 ML; NO_ACR;508312090020204; FOSFATO POTASSIO; NOT FOUND; 2 MEQ/ML SOL INJ IV CX 200 AMP PLAS TRANS X 10 ML; FM_
267203; DIPIRONA SODICA; NOT FOUND; 500 MG COMPRIMIDO; NO_ACR;528502506115118; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 200 - (EMB MULTI); PZ8
271089; AMOXICILINA; AMOXICILINA; 500MG FRASCO-AMPOLA; NO_ACR;507701701111411; AMOX; NOT FOUND; EMS - 500 MG 1 BL X 21 CAPS; EMS
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) FRASCO 20.00 ML; NO_ACR;504612120015116; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; BF8
275475; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A ADIFENINA E PROMETAZINA. 500MG + 10MG + 5MG COMPRIMIDO; NO_ACR;504611902111128; DIPIRONA SODICA; NOT FOUND; 500 MG COM BL AL PLAS INC X 4; BF8
273589; PROPILTIOURACIL; NOT FOUND; 100 MG COMPRIMIDO; NO_ACR;522238801112417; PROPIL; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; PFZ
272839; RISPERIDONA; RISPERIDONA; 1 MG FRASCO 30.00 ML; NO_ACR;506713010050103; RISPERIDON; NOT FOUND; 1 MG/ML SOL OR CX 10 FR VD AMB X 30 ML + 10 SER PLAS DOS (EMB HOSP); CT6
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 10.00 ML; NO_ACR;511607104136115; DIPIRONA SODICA; NOT FOUND; 500 MG/ ML SOL OR CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP); HPO
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 10.00 ML; NO_ACR;520202501139113; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; L4S
342943; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A PAPAVERINA. ADIFENINA E HOMATROPINA. 500 MG + 15 MG + 15 MG + 1 MG/ML. SOLUCAO INJETAVEL DRÁGEA; NO_ACR;528502509114112; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 480 (EMB FRAC); PZ8
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 20.00 ML; NO_ACR;521121403135127; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; NO_ACR
272782; CODEINA; CODEINA; 30 MG COMPRIMIDO; NO_ACR;506703102118418; CODEIN; NOT FOUND; 30 MG COM CT BL AL PLAS INC X 30; CT6
342943; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A PAPAVERINA. ADIFENINA E HOMATROPINA. 500 MG + 15 MG + 15 MG + 1 MG/ML. SOLUCAO INJETAVEL DRÁGEA; NO_ACR;526125004112115; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB HOSP)  ; GM2
267621; CARBONATO LITIO; NOT FOUND; 300 MG COMPRIMIDO; NO_ACR;511611601114118; CARBONATO LITIO; NOT FOUND; 300 MG COM CT BL AL/PLAS TRANS X 25; HPO
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 15.00 ML; NO_ACR;537100308131114; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 96 FR PLAS OPC GOT X 15 ML (EMB HOSP); M1L
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) FRASCO 20.00 ML; NO_ACR;508302902136116; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAST OPC GOT X 20 ML ; FM_
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 20.00 ML; NO_ACR;520709504132127; DIPIRONA SODICA; NOT FOUND; 500MG/ML SOL OR CT FR PLAS OPC GOT X 20ML; TTB
342943; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A PAPAVERINA. ADIFENINA E HOMATROPINA. 500 MG + 15 MG + 15 MG + 1 MG/ML. SOLUCAO INJETAVEL COMPRIMIDO; NO_ACR;538100101118114; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 30; B0B
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) FRASCO 20.00 ML; NO_ACR;538802104133115; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; LG6
267203; DIPIRONA SODICA; NOT FOUND; 500 MG DRÁGEA; NO_ACR;537100313117116; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 500 (EMB FRAC); M1L
275475; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A ADIFENINA E PROMETAZINA. 500MG + 10MG + 5MG FRASCO 20.00 ML; NO_ACR;537100306137115; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 48 FR PLAS OPC GOT X 20 ML (EMB HOSP); M1L
286816; DIPIRONA SODICA; NOT FOUND; 1000 MG. SUPOSITORIO ADULTO SUPOSITÓRIO; NO_ACR;528513110124506; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 80 (EMB MULT) ; PZ8
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 10.00 ML; NO_ACR;505209701131111; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML ; NO_ACR
267203; DIPIRONA SODICA; NOT FOUND; 500 MG COMPRIMIDO; NO_ACR;538100101118114; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 30; B0B
272839; RISPERIDONA; RISPERIDONA; 1 MG FRASCO 30.00 ML; NO_ACR;506712080046704; RISPERIDON; NOT FOUND; 1 MG/ML SOL OR CT FR VD AMB X 30 ML + SER PLAS DOS ; CT6
268237; CLORETO SODIO; NOT FOUND; 0.9%_ SOLUCAO INJETAVEL. FRASCO COM ABERTURA TWIST OFF FRASCO 10.00 ML; NO_ACR;511201001151419; CLORETO SODIO; NOT FOUND; AMP 10ML 0.9%; H_I
