135042; ELIQUIS; NOT FOUND; CPR REVEST 5 MG x 20; BMS;505113090020002; ELIQUIS; NOT FOUND; 5.0 MG COM REV CT BL AL PLAS INC X 20 ; BMS
92848; DIELOFT; NOT FOUND; CPR REVEST 50 MG x 15; MD7;525012020098103; DIELOFT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 15; MD7
98560; FUMARATO CETOTI; FUMARATO CETOTIFENO; XAR. 0.20 MG 120 ML x 1 (/ML); PZ8;528512060120506; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CT FR PET AMB X 120 ML + COP; PZ8
54733; VENOPRIL; NOT FOUND; CPR 25 MG x 16; LR3;524307902111413; VENOPRIL; NOT FOUND; 25 MG COM CT FR VD AMB X 16; LR3
44367; ROCEFIN; NOT FOUND; F.IV 1 G 10 ML x 1; ROC;529205104150319; ROCEFIN; NOT FOUND; 1 G IV PO ESTERIL CT FA VD INC + AMP DIL X 10 ML; ROC
66352; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL. 10 MG 60 G x 1 (/G); PZ8;528523501163117; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10 MG/G GEL CREM CT BG AL X 60 G ; PZ8
166134; NEBLOCK; NOT FOUND; CPR 5 MG x 60; TNT;532714100017403; NEBLOCK; NOT FOUND; 5 MG COM CT BL AL/AL X 60; TNT
79951; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; CM5;506411501111117; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30; CM5
87140; TOPIRAMATO; TOPIRAMATO; CPR REVEST 50 MG x 60; TTB;520733403111119; TOPIRAMATO; TOPIRAMATO; 50 MG COM REV CT BL AL/AL X 60; TTB
56806; CLORANA; NOT FOUND; CPR 25 MG x 30; S_A;502814040066108; CLORANA; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; S_A
53421; SENSITRAM; NOT FOUND; CPR AP. 100 MG x 10; LIB;523704801117411; SENSITRAM; NOT FOUND; 100 MG COM REV LIB RETARD CT BL AL PLAS INC X 10; LIB
91034; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 28; A4H;500513040048706; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 28; A4H
66254; ANGITENS; NOT FOUND; CPR 50 MG x 30; GLO;517606903115415; ANGITENS; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; GLO
166124; IBUVIX; NOT FOUND; CPR REV 600 MG x 20; GOB;510414070108103; IBUVIX; NOT FOUND; 600 MG COM REV CT BL AL PLAS TRANS X 20; GOB
87181; DILABRONCO; NOT FOUND; XAR. 10 MG 120 ML x 1 (/ML); TTB;520733801133414; DILABRONCO; NOT FOUND; 10 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED; TTB
70398; BUP; NOT FOUND; CPR REVES.AP 150 MG x 30; EUF;508022101117410; BUP; NOT FOUND; 150 MG COM REV CT BL AL/AL X 30; EUF
75406; CLOR AMIODARONA; CLORIDRATO AMIODARONA; CPR 100 MG x 20; S_A;502815601113118; CLORIDRATO AMIODARONA; CLORIDRATO AMIODARONA; 100 MG COM CT BL AL  PLAS INC X 20 ; S_A
53964; CARDILOL; NOT FOUND; CPR 12.5 MG x 15; LIB;523700801112417; CARDILOL; NOT FOUND; 12.50 MG COM CT BL AL PLAS INC X 15; LIB
83738; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 100 MG x 2; MD7;525074103110117; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS INC X 2; MD7
65117; LOVASTATINA; LOVASTATINA; CPR 20 MG x 30; SDZ;511506202116114; LOVASTATINA; LOVASTATINA; 20 MG COM CT BL AL PLAS BRANC OPC X 30; SDZ
62280; DIPIMED; NOT FOUND; CPR 500 MG x 100; MDQ;525101303111411; DIPIMED; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 100; MDQ
70378; OCYLIN; NOT FOUND; CAPS 500 MG x 200; MB9;525902409112419; OCYLIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP); MB9
87175; DIMEZIN; NOT FOUND; CAPS MAX 125 MG x 80; TTB;520713110089003; DIMEZIN; NOT FOUND; 125MG CAP MOLE CX BL AL PLAS TRANS X 80 (EMB MULT); TTB
57697; CINARIX; NOT FOUND; CPR 75 MG x 30; ROY;530201602117413; CINARIX; NOT FOUND; 75 MG COM CT BL AL PLAS INC X 30; ROY
74216; CLOR RANITIDINA; CLORIDRATO RANITIDINA; AMP. 25 MG 2 ML x 120 (/ML); TTB;520707505158115; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25 MG/ML SOL INJ CT 120 AMP VD AMB X 2 ML (EMB HOSP) ; TTB
75690; PREDCORT; NOT FOUND; CPR 20 MG x 20; VAP;533505705115411; PREDCORT; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 20; VAP
70040; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 40 MG x 100; TTB;520706901114112; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT 10 BL AL PLAS AMB X 10 (EMB HOSP); TTB
59422; TINORAL; NOT FOUND; CPR REVEST 500 MG x 4; U_Q;533010801111418; TINORAL; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 4; U_Q
74635; CLONAZEPAM; CLONAZEPAM; CPR 2 MG x 30; GM2;526120703111117; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS LEIT X 30; GM2
76126; EUTHYROX; NOT FOUND; CPR 112 Y x 50; M_S;525404133115413; EUTHYROX; NOT FOUND; 112 MCG COM EST BL AL/AL X 50; M_S
85226; OLANZAPINA; OLANZAPINA; CPR REVEST 2.50 MG x 30; MD7;525074508110112; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL/AL X 30; MD7
75786; FLORATIL; NOT FOUND; PO ENVELOPE 200 MG 1 G x 25; M_S;525404707138410; FLORATIL; NOT FOUND; 200 MG/G PO OR CART 25  SACH X 1 G (EMB FRAC) ; M_S
32976; MUCOSOLVAN; NOT FOUND; GOTAS 7.50 MG 50 ML x 1 (/ML); B_I;504503303131329; MUCOSOLVAN; NOT FOUND; 7.5 MG/ML SOL OR CT FR VD AMB X 50 ML; B_I
118959; BRAVAN; NOT FOUND; CPR REVEST 80 MG x 10; A4H;500512080044504; BRAVAN; NOT FOUND; 80 MG COM REV CT BL AL/AL X 10 ; A4H
67484; MUCXOL; NOT FOUND; XAR. INF 15 MG 120 ML x 1 (/5ML); L4S;520201602136413; MUCXOL; NOT FOUND; 15 MG/5 ML XPE CT FR VD AMB X 120 ML + COPO MED; L4S
47885; BUSCOPAN; NOT FOUND; GOTAS 10 MG 20 ML x 1 (/ML); B_I;504500802135317; BUSCOPAN; NOT FOUND; 10 MG/ML SOL ORAL CT FR VD AMB X 20 ML; B_I
91426; ZANIDIP; NOT FOUND; CPR REVEST 20 MG x 30; MD7;525012040100703; ZANIDIP; NOT FOUND; 20 MG COM REV CT BL AL/AL X 30; MD7
67135; BROMAZEPAM; BROMAZEPAM; CPR 6 MG x 30; ATV;506902304111117; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 30 ; ATV
68881; ATENOLOL; ATENOLOL; CPR 25 MG x 30; RBY;529913005118110; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 30; RBY
57582; AMBROL; NOT FOUND; XAR. AD 30 MG 100 ML x 1 (/5ML); BRT;504900202135427; AMBROL; NOT FOUND; 30MG/5ML XPE CT FR VD AMB X 100 +CP MED; BRT
66777; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 14; GM2;526114704118110; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT  BL AL PLAS OPC  X 14  ; GM2
63909; PONDERA; NOT FOUND; CPR REVEST 10 MG x 20; EUF;508011002112415; PONDERA; NOT FOUND; 10 MG COM REV CT 2 BL AL PLAS INC X 10; EUF
66778; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 28; GM2;526114703111112; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL PLAS OPC  X 28; GM2
59783; PARACETAMOL; PARACETAMOL; CPR 500 MG x 200; GP8;510805302114127; PARACETAMOL; PARACETAMOL; 500MG CX C 200 CPR; GP8
75526; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 15; U_Q;533017505117110; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15 ; U_Q
55919; TRILEPTAL; NOT FOUND; CPR REVEST 600 MG x 10; NVR;526515407114319; TRILEPTAL; NOT FOUND; 600 MG COM REV CT BL AL PLAS INC X 10; NVR
59733; MOTILIUM; NOT FOUND; CPR BLISTER 10 MG x 60; J_C;514502404118316; MOTILIUM; NOT FOUND; 10 MG COM CT 3 BL AL PLAS INC X 20; J_C
57962; CIPROBIOT; NOT FOUND; CPR 250 MG x 6; SDZ;511501901113415; CIPROBIOT; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 6; SDZ
73412; CITALOPRAM; CITALOPRAM; CPR REVEST 20 MG x 15; MD7;525069801115118; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 15; MD7
67047; CARBAMAZEPINA; CARBAMAZEPINA; CPR 200 MG x 30; N_Q;519023702111113; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 30; N_Q
136008; TRIANCIL; NOT FOUND; F.AMP I.ARTI 20 MG 1 ML x 5; APS;501603001157317; TRIANCIL; NOT FOUND; 20 MG/ML SUS INJ CT 1 FA VD INC X 5 ML; APS
105210; MALEATO TIMOLOL; MALEATO TIMOLOL; SOL OFTAL 5 MG 5 ML x 1 (/ML); U_Q;533012120058906; MALEATO TIMOLOL; MALEATO TIMOLOL; 5 MG/ML SOL OFT CT FR PLAS OPC X  5 ML ; U_Q
63025; SINVASTATINA; SINVASTATINA; CPR 40 MG x 10; MD7;525011712111115; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT  BL AL PLAS INC X 10    ; MD7
61098; FOS SOD PREDNIS; NOT FOUND; SOLN 1 MG 100 ML x 1 (/ML); MD7;525006301131116; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 1 MG/ML SOL OR CT FR VD AMB X 100 ML + DOSADOR; MD7
76703; ESTRIOL; ESTRIOL; CR.VAG.C/APL 1 MG 50 G x 1 (/G); N_Q;519029701166118; ESTRIOL; ESTRIOL; 1 MG/G CREM VAG CT BG AL X 50G + 50 APLIC ; N_Q
49082; VERAVAL; NOT FOUND; CPR REVEST 80 MG x 20; SNV;530807401114414; VERAVAL; NOT FOUND; 80 MG COM REV CT BL AL PLAS AMB X 20; SNV
76443; CONSTANTE; NOT FOUND; CPR 1 MG x 30; U_Q;533020106112417; CONSTANTE; NOT FOUND; 1.0 MG COM CT  BL AL PLAS INC X 30; U_Q
54483; EUTHYROX; NOT FOUND; CPR 125 Y x 50; M_S;525404111111407; EUTHYROX; NOT FOUND; 125MCG COM EST CART BL AL PLAS INC X 50 ; M_S
65153; ZOLPROX; NOT FOUND; CPR 500 MG x 3; GLO;517606601119418; ZOLPROX; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 3 ; GLO
49216; ADALAT OROS; NOT FOUND; CPR 60 MG x 15; BYP;538912060017413; ADALAT OROS; NOT FOUND; 60 MG COM CT BL AL/AL X 15; BYP
98557; BUSILVEX; NOT FOUND; F AMP . 6 MG 10 ML x 8 (/ML); P_F;507003901156311; BUSILVEX; NOT FOUND; 6 MG/ML SOL INJ CT 8 FA VD INC X 10 ML; P_F
61487; DORMIRE; NOT FOUND; SOLN ORAL 2 MG 10 ML x 12 (/ML); CT6;506704603137413; DORMIRE; NOT FOUND; 2 MG/ML SOL OR CX 12 FR VD AMB X 10 ML + 12 DOSADORES; CT6
66938; GLIMEPIRIDA; GLIMEPIRIDA; CPR 4 MG x 30; M_S;525418103116111; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 30 ; M_S
48593; NEO BENDAZOL; NOT FOUND; CPR 200 MG x 2; N_Q;519008001114414; NEO BENDAZOL; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 2; N_Q
78068; PROFLAM; NOT FOUND; CPR 100 MG x 6; EUF;508011305115313; PROFLAM; NOT FOUND; 100 MG COM REV CT BL AL / AL X 6; EUF
60719; NICORETTE; NOT FOUND; GOMA MINT 2 MG x 30; J_J;539600108111317; NICORETTE; NOT FOUND; 2 MG TABLE MAST CT BL AL PLAS INC X 30; J_J
66356; FUNGONAX; NOT FOUND; CAPS 100 MG x 15; TTB;520722401112414; FUNGONAX; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 15; TTB
98206; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 60; TTB;520712100084906; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS TRANS X 60; TTB
74643; CLOR METOCLOP; CLORIDRATO METOCLOPRAMIDA; GOTAS 4 MG 10 ML x 96 (/ML); M1L;537100103139113; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 4 MG/ML SOL OR CX 96 FRAS PLAS OPC GOT X 10 ML (EMB HOSP); M1L
62386; ALERFIN; NOT FOUND; SUSP AQUOSA 100 Y x 120 (/DOS); CHS;508500301171411; ALERFIN; NOT FOUND; 100 MCG/DOS SUS NAS CT FR PLAS OPC VAL DOSIM X 120 DOS ; CHS
80120; BRONCHO VAXOM; NOT FOUND; CAPS 7 MG x 30 (ADLT); TAK;501100503111414; BRONCHO VAXOM; NOT FOUND; 7 MG PO LIOF CAP GEL DURA CT BL AL PLAS INC X30; TAK
64632; CETOCONAZOL; CETOCONAZOL; CREME 20 MG 30 G x 1 (/G); PZ8;528501203161115; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM CT BG AL X 30 G; PZ8
59381; UNI AMOX; NOT FOUND; CAPS 500 MG x 21; U_Q;533011603117418; UNI AMOX; NOT FOUND; 500 MG CAP GEL DURA CT 3 BL AL PLAS INC X 7; U_Q
59182; CITR TAMOXIFENO; CITRATO TAMOXIFENO; CPR REVEST 20 MG x 30; SDZ;511502102117116; CITRATO TAMOXIFENO; CITRATO TAMOXIFENO; 20 MG COM REV CT BL AL PLAS BCO OPC X 30; SDZ
56196; MICARDIS; NOT FOUND; CPR 80 MG x 14; B_I;504502903117213; MICARDIS; NOT FOUND; 80 MG COM CT BL AL/AL X 14; B_I
74384; AC DEXAMETASONA; ACETATO DEXAMETASONA; CREME. 1 MG 10 G x 1 (/G); TTB;520728501161114; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG/G CREM DERM CT BG AL X 10 G; TTB
69745; DORMEC; NOT FOUND; CPR 100 MG x 200 (INF); IMC;543615010000004; DORMEC; NOT FOUND; 100 MG COM CT 20 STR X 10; IMC
67543; DIGOXINA; DIGOXINA; CPR 0.25 MG x 30; TTB;520724802114112; DIGOXINA; DIGOXINA; 0.25 MG COM CT BL AL PLAS INC X 30; TTB
57601; CLOB X; NOT FOUND; GEL. 0.50 MG 30 G x 1 (/G); GLD;510100401162418; CLOB X; NOT FOUND; 0.5 MG/G CREM DERM CT BG AL X 30 G; GLD
71914; LEVOID; NOT FOUND; CPR 25 Y x 30; A4H;500511601117412; LEVOID; NOT FOUND; 25 MCG COM CT BL AL AL X 30; A4H
83349; VALSACOR; NOT FOUND; CPR REV . 160 MG x 30; LG6;538807102112413; VALSACOR; NOT FOUND; 160 MG COM REV CT BL AL/AL X 30; LG6
78687; RUBROMICIN; NOT FOUND; CPR REVEST 500 MG x 480; PZ8;528522422111418; RUBROMICIN; NOT FOUND; 500 MG COM CT BL AL PLAS LEIT X 480 (EMB HOSP); PZ8
87159; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 2; PFZ;522242907116112; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 2; PFZ
72722; MAGNEVISTAN; NOT FOUND; F.IV 469 MG 15 ML x 10 (/ML); BYP;538912050015213; MAGNEVISTAN; NOT FOUND; 469 MG / ML SOL INJ CT 10 FA VD INC X 15 ML ; BYP
75655; MUCOANGIN; NOT FOUND; PASTILHAS 20 MG x 12; B_I;504504802113316; MUCOANGIN; NOT FOUND; 20 MG PAS OR SBR MENTA CT BL AL AL X 12; B_I
159939; DORSANOL; NOT FOUND; PO ENV ME LI 500 MG 5 G x 50; MB9;525914070020204; DORSANOL; NOT FOUND; 500 MG PO SOL CX 50 ENV AL/PLAS 5 G (EMB MULT) LARANJA ; MB9
61923; PANTOPRAZOL; PANTOPRAZOL; CPR GASTROR 40 MG x 7; MD7;525009606111113; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL PLAS INC X 7; MD7
79166; DICLOFENACO SOD; DICLOFENACO SODICO; CPR REVEST 50 MG x 400; PZ8;528529403112118; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT BL AL PLAS INC X 400 (EMB FRAC); PZ8
59047; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 5 MG x 30; MD7;525001204111113; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5.0 MG COM CT BL AL PLAS OPC X 30; MD7
69710; SINVASMAX; NOT FOUND; CPR REVEST 20 MG x 30; GLO;517607602119411; SINVASMAX; NOT FOUND; 20 MG COM REV CT BL AL PLAS TRANS X 30; GLO
78205; ACICLOVIR; ACICLOVIR; CPR 200 MG x 25; A4H;500513502116112; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 25 ; A4H
71683; VICK PYRENA; NOT FOUND; PO ENV.CAMOM 500 MG 5 G x 50; PRG;528714120004503; VICK PYRENA; NOT FOUND; 500 MG PO PREP EXTEMP CT 50 ENV AL POLIET X 5 G (MEL E LIMAO); PRG
55934; ALBENIX; NOT FOUND; CPR MASC 200 MG x 2; GLO;517600401118419; ALBENIX; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 2; GLO
54052; SIMULECT; NOT FOUND; F.IV LIOF 20 MG 5 ML x 1; NVR;526513901154419; SIMULECT; NOT FOUND; 20 MG PO LIOF INJ CT FA VD INC + AMP VD INC DIL X 5 ML ; NVR
67025; AMOXACIN; NOT FOUND; CAPS 500 MG x 15; CAZ;505515106111413; AMOXACIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; CAZ
69428; CICLOSPORINA; CICLOSPORINA; CAPS 100 MG x 50; GM2;526102301110118; CICLOSPORINA; CICLOSPORINA; 100 MG CAP GEL MOLE C/ MCEMU CT BL AL/AL X 50; GM2
77157; DIGOXINA; DIGOXINA; CPR 0.25 MG x 25; N_Q;519030801111114; DIGOXINA; DIGOXINA; 0.25 MG COM CT BL AL PLAS INC X 25; N_Q
63738; FELDANAX; NOT FOUND; CAPS 20 MG x 15; GOB;510400702117410; FELDANAX; NOT FOUND; 20 MG CAP GEL DURA CT 01 BL AL PLAS INC X 15; GOB
85479; DROSPI ETINILES; NOT FOUND; CPR REVEST 3 MG x 21 (/.03); LG6;538821201114118; DROSPIRENONA ETINILESTRADIOL; NOT FOUND; 3 MG+ 0.03MG COM REV CT BL AL PLAS OPC X 21; LG6
68713; ALFAEPOETINA HU RE; NOT FOUND; AMP. 4000 IU 1 ML x 1; BU_;504412438156411; ALFAEPOETINA HUMANA RECOMBINANTE; NOT FOUND; 4000 UI SOL INJ CX FA VD INC X 1 ML; BU_
59187; CLO CLINDAMICIN; CLORIDRATO CLINDAMICINA; CPR 300 MG x 16; RBY;529902602111110; CLORIDRATO CLINDAMICINA; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X  16; RBY
54499; VITERGAN PRE NATAL; NOT FOUND; CPR REVEST x 30; MJA;524803001117429; VITERGAN PRE NATAL; NOT FOUND; COMP REV CX COM 30; MJA
158194; ZELNIN; NOT FOUND; CPR 200 MG x 25; ME4;540814040001704; ZELNIN; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 25; ME4
84464; RAFEX; NOT FOUND; CPR REVEST 120 MG x 10; MD7;525074002111411; RAFEX; NOT FOUND; 120 MG COM REV CT BL AL PLAS INC X 10; MD7
58351; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 5 MG x 60; M_S;525401004111115; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS OPC X 60; M_S
47953; SCAFLAM; NOT FOUND; GRAN ENVELO. 100 MG 2 G x 12; MQF;512404003139419; SCAFLAM; NOT FOUND; 100 MG GRAN CT 12 ENV AL X 2 G; MQF
33172; AAS; NOT FOUND; CPR 500 MG x 200 (ADLT); S_A;502821902111410; AAS; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 200 (EMB MULT); S_A
77248; PANTASUN; NOT FOUND; F.AMP S/DILU 40 MG x 1 (/ML); SPI;532412070006314; PANTASUN; NOT FOUND; 40 MG/ML PO LIOF INJ CT FA VD INC; SPI
53752; LEVOZINE; NOT FOUND; CPR 25 MG x 200; CT6;506713050050403; LEVOZINE; NOT FOUND; 25 MG COM REV CX BL AL PLAS INC X 200 (EMB HOSP); CT6
77369; CELEBRA; NOT FOUND; CAPS 200 MG x 15; PFZ;522234505111311; CELEBRA; NOT FOUND; 200 MG CAP GEL DURA CT BL AL PLAS INC X 15; PFZ
73592; ZOPICLONA; ZOPICLONA; CPR REVEST 7.50 MG x 20; S_A;502815101110111; ZOPICLONA; ZOPICLONA; 7.5 MG COM REV CT BL AL PLAS INC X 20; S_A
74381; THIOCTACID; NOT FOUND; CPR REVEST 600 MG x 30; M_S;525419202118313; THIOCTACID; NOT FOUND; 600 MG COM REV CT FR VD AMB X 30; M_S
69692; MEPRAMIN; NOT FOUND; DRAG 10 MG x 20; UCI;532907602118414; MEPRAMIN; NOT FOUND; 10 MG DRG CX 10 BL AL PVC X 20; UCI
87139; VASIFIL; NOT FOUND; CPR REVEST 25 MG x 2; NQA;525314040040908; VASIFIL; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X2; NQA
76802; PRESSAT; NOT FOUND; CPR 5 MG x 60; BS2;504104612112410; PRESSAT; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 60; BS2
55186; FOLIN; NOT FOUND; CAPS 5 MG x 30; GYR;510500302110415; FOLIN; NOT FOUND; 5 MG COM REV CT FR VD AMB X 30; GYR
11414; XYLOCAINA; NOT FOUND; POM. TOP. 50 MG 25 G x 1 (/G); AZN;502304609161319; XYLOCAINA; NOT FOUND; 50 MG/G POM DERM CT BG AL X 25 G SABOR LARANJA; AZN
73880; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 14; GLO;517607902112119; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; GLO
105735; BROM PINAVERIO; BROMETO PINAVERIO; CPR REVEST 100 MG x 60; GM2;526112120087906; BROMETO PINAVERIO; BROMETO PINAVERIO; 100 MG COM REV CT BL AL PLAS OPC X 60; GM2
52354; PROTECTINA; NOT FOUND; CAPS 100 MG x 15; GRO;517701803114412; PROTECTINA; NOT FOUND; 100 MG CAP GEL MICROG CT BL AL PLAS OPC X 15 ; GRO
77008; CARVEDILOL; CARVEDILOL; CPR 25 MG x 15; MD7;525071501115114; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL/AL X 15; MD7
86930; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 100 (/ML); FM_;508303202138114; PARACETAMOL; PARACETAMOL; 200MG/ML SOL OR CX 100 FR PLAS OPC GOT X 15 ML (EMB HOSP); FM_
104588; ACETILCISTEINA; ACETILCISTEINA; XAR PED 20 MG 120 ML x 1 (/ML); TTB;520712120085806; ACETILCISTEINA; ACETILCISTEINA; 20MG/ML XPE CT FR VD AMB X 120ML + COP MED ; TTB
62635; FLUNAL; NOT FOUND; CAPS GEL 150 MG x 2; BFR;503902503118417; FLUNAL; NOT FOUND; 150 MG CAP 1 BL X 2; BFR
85100; ROSUVASTATI CAL; NOT FOUND; CPR REVEST 10 MG x 30; LG6;538820902119118; ROSUVASTATINA CALCICA; ROSUVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 30; LG6
68526; CLOR NORTRIPTIL; CLORIDRATO NORTRIPTILINA; CAPS 25 MG x 30; EUF;508019806113114; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 25 MG CAP GEL DURA CT BL AL PLAS INC X 30; EUF
63058; ZETRON; NOT FOUND; CPR SR 150 MG x 30; LIB;523705701116411; ZETRON; NOT FOUND; 150 MG REV LIB LENT CT BL AL PLAS INC X 30; LIB
61810; DUPHASTON; NOT FOUND; CPR REVEST 10 MG x 28; ABT;532001002112311; DUPHASTON; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 28; ABT
101604; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 20; B0B;538100406113116; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PVC X 20; B0B
67024; AMOXACIN; NOT FOUND; CAPS 500 MG x 10; CAZ;505515107118411; AMOXACIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; CAZ
72558; FLUCONAZOL; FLUCONAZOL; CAPS 150 MG x 2; N_Q;519026002119116; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2; N_Q
80458; ELODIUS; NOT FOUND; CAPS 250 MG x 120; B_I;504505302114214; ELODIUS; NOT FOUND; 250 MG CAP GEL MOLE CT FR PLAS OPC X 120; B_I
65413; CLINFAR; NOT FOUND; CPR REVEST 20 MG x 30; M_S;525402504116416; CLINFAR; NOT FOUND; 20 MG COM REV CT CART BL AL PLAS INC X 30 ; M_S
73309; PARACETAMOL; PARACETAMOL; CPR 500 MG x 360; PZ8;528504411111111; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS INC X 360 (EMB MULT); PZ8
74157; CLOR TIZANIDINA; CLORIDRATO TIZANIDINA; CPR 2 MG x 20; RBY;529914601113113; CLORIDRATO TIZANIDINA; CLORIDRATO TIZANIDINA; 2 MG COM CT BL AL PLAS BCO OPC X 20 ; RBY
62364; DICLOFENACO SOD; DICLOFENACO SODICO; CPR REVEST 50 MG x 20; NVR;526504601119112; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT 1 BL AL PLAS INC X 20; NVR
51711; PRAZOL; NOT FOUND; CAPS ENTERIC 15 MG x 28; MD7;525010502111412; PRAZOL; NOT FOUND; 15 MG CAP DURA LIB RETARD CT BL AL PLAS INC X 28; MD7
161175; CIAVOR; NOT FOUND; CPR REVEST 20 MG x 4; BS2;504114110053004; CIAVOR; NOT FOUND; 20 MG COM REV CT  BL AL PLAS INC X 4; BS2
72188; DORFENOL; NOT FOUND; GOTAS 200 MG 15 ML x 1 (/ML); VAP;533508803134415; DORFENOL; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; VAP
58909; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 3; SDZ;511516002111116; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS OPC X 3; SDZ
65335; BESFLOX; NOT FOUND; CPR REVEST 500 MG x 14; L3B;522822605115419; BESFLOX; NOT FOUND; 500 MG COM REV CT BL AL PLAS AMB X 14; L3B
