526107102116419, MAG-TAB, MAG TAB, NOT FOUND, 130MG 2 BL X 15 COMP, GM2
526123201115110, MESILATO DE DOXAZOSINA, MESILATO DOXAZOSINA, MESILATO DOXAZOSINA, 2 MG COM CT BL AL PLAS LEIT X 30, GM2
526107501118415, MESMERIN, MESMERIN, NOT FOUND, 1MG 2 BL X 10 COMP (B1), GM2
526107502114413, MESMERIN, MESMERIN, NOT FOUND, 2MG 2 BL X 10 COMP (B1), GM2
526124901171119, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 10MG/G GEL VAG 50 G + 10 APLIC, GM2
526127701112113, MICOFENOLATO DE MOFETILA, MICOFENOLATO MOFETILA, MICOFENOLATO MOFETILA, 500 MG COM REV CT BL AL PLAS LEIT X 50 (EMB HOSP), GM2
526130001118410, MICOIMMUN, MICOIMMUN, NOT FOUND, 500 MG COM REV CT BL AL PLAS LEIT X 50, GM2
526107601112419, MICROPIL, MICROPIL, NOT FOUND, 0.075 MG + 0.020 MG COM REV CT BL AL PLAS INC CALEND X 21, GM2
526107603115415, MICROPIL, MICROPIL, NOT FOUND, 0.075 MG + 0.030 MG DRG CT EST CALEND X 21 + PORTA EST, GM2
526107701117412, MIGRALIV, MIGRALIV, NOT FOUND, 1 BL X 12 COMP, GM2
526107801111416, MIGRANE, MIGRANE, NOT FOUND,  5 STP X 4 COMP, GM2
526115602114416, MIGRANETTE, MIGRANETTE, NOT FOUND, 20 COMP REV, GM2
526115601134413, MIGRANETTE, MIGRANETTE, NOT FOUND, GTS FR X 20ML, GM2
526108002115419, MINIPIL, MINIPIL, NOT FOUND, 1 BL X 2 COMP POST, GM2
526108001119410, MINIPIL, MINIPIL, NOT FOUND, 1 BL X 35 DRG, GM2
526108101113414, MONOZOL, MONOZOL, NOT FOUND, 400MG 1STP X 1 COMP, GM2
526108102136418, MONOZOL, MONOZOL, NOT FOUND, SUSP FR X 15ML, GM2
526108302119411, MUSCORIL, MUSCORIL, NOT FOUND, 4MG 2 BL X 6 COMP, GM2
526108301155412, MUSCORIL, MUSCORIL, NOT FOUND, 4MG INJ 3 AMP X 2ML, GM2
526108303166411, MUSCORIL, MUSCORIL, NOT FOUND, CREME 2.5MG BISN X 30G, GM2
526107102116419, MAG-TAB, MAG TAB, NOT FOUND, 130MG 2 BL X 15 COMP, GM2
526114902130117, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, GM2
526114903161113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 10 MG/G CREM DERM CT BG AL X 30 G, GM2
526114901118113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2 MG COM CT BL AL PLAS BCO LEIT X 20, GM2
526114904133113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML                                                         , GM2
526121702133115, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GM2
526121701110111, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 2 MG + 0.25 MG COM CT BL AL PLAS LEIT X 20, GM2
526119301135115, MALEATO DE DEXCLORFENIRAMINA+SULFATODE PSEUDOEFEDRINA+GUAIFENESINA, MALEATO DEXCLORFENIRAMINA SULFATODE PSEUDOEFEDRINA GUAIFENESINA, NOT FOUND, 0.4MG/ML + 4MG/ML+20MG/ML SOL OR CT FR VD AMB X 120ML, GM2
526114502116117, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT STR AL AL X 30 , GM2
526114503112115, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20MG 3STP C/ 10COMP, GM2
526114501111111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5MG COM CT 3 STR X 10, GM2
526113101118110, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 10MG + 25MG COM CT BL AL PLAS LEITOSO X 30, GM2
526113102114119, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 20+15.5MG 2BLT C/15, GM2
526123001175111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 2.5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, GM2
526123002171118, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, GM2
526107201114414, MALU, MALU, NOT FOUND, 1BL X 21 COMP, GM2
526126701135115, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED, GM2
526117701111111, MEBENDAZOL+TIABENDAZOL, MEBENDAZOL TIABENDAZOL, NOT FOUND, 6 COMP MASTIGAVEL, GM2
526107401113411, MELOTEC, MELOTEC, NOT FOUND, 15MG FR X 10 COMP, GM2
526107402111412, MELOTEC, MELOTEC, NOT FOUND, 7.5MG FR X10 COMP, GM2
526119701117114, MELOXICAM, MELOXICAM, MELOXICAM, 15MG COM CT BL AL PLAS BCO LEIT X 10, GM2
526119702113112, MELOXICAM, MELOXICAM, MELOXICAM, 7.5MG 1BLT C/ 10 COMP, GM2
526123101171116, MESALAZINA, MESALAZINA, MESALAZINA, 3 G ENEMA CT SACH AL POLIET X 3 G + DIL FR PLAS TRANS X 100 ML, GM2
526123102117115, MESALAZINA, MESALAZINA, MESALAZINA, 800 MG COM REV CT BL AL PLAS LEIT X 30, GM2
526123201115110, MESILATO DE DOXAZOSINA, MESILATO DOXAZOSINA, MESILATO DOXAZOSINA, 2 MG COM CT BL AL PLAS LEIT X 30, GM2
526107501118415, MESMERIN, MESMERIN, NOT FOUND, 1MG 2 BL X 10 COMP (B1), GM2
526107502114413, MESMERIN, MESMERIN, NOT FOUND, 2MG 2 BL X 10 COMP (B1), GM2
526124901171119, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 10MG/G GEL VAG 50 G + 10 APLIC, GM2
526127701112113, MICOFENOLATO DE MOFETILA, MICOFENOLATO MOFETILA, MICOFENOLATO MOFETILA, 500 MG COM REV CT BL AL PLAS LEIT X 50 (EMB HOSP), GM2
526130001118410, MICOIMMUN, MICOIMMUN, NOT FOUND, 500 MG COM REV CT BL AL PLAS LEIT X 50, GM2
526107601112419, MICROPIL, MICROPIL, NOT FOUND, 0.075 MG + 0.020 MG COM REV CT BL AL PLAS INC CALEND X 21, GM2
526107603115415, MICROPIL, MICROPIL, NOT FOUND, 0.075 MG + 0.030 MG DRG CT EST CALEND X 21 + PORTA EST, GM2
526107701117412, MIGRALIV, MIGRALIV, NOT FOUND, 1 BL X 12 COMP, GM2
526107801111416, MIGRANE, MIGRANE, NOT FOUND,  5 STP X 4 COMP, GM2
526115602114416, MIGRANETTE, MIGRANETTE, NOT FOUND, 20 COMP REV, GM2
526115601134413, MIGRANETTE, MIGRANETTE, NOT FOUND, GTS FR X 20ML, GM2
526108002115419, MINIPIL, MINIPIL, NOT FOUND, 1 BL X 2 COMP POST, GM2
526108001119410, MINIPIL, MINIPIL, NOT FOUND, 1 BL X 35 DRG, GM2
526108101113414, MONOZOL, MONOZOL, NOT FOUND, 400MG 1STP X 1 COMP, GM2
526108102136418, MONOZOL, MONOZOL, NOT FOUND, SUSP FR X 15ML, GM2
526108302119411, MUSCORIL, MUSCORIL, NOT FOUND, 4MG 2 BL X 6 COMP, GM2
526108301155412, MUSCORIL, MUSCORIL, NOT FOUND, 4MG INJ 3 AMP X 2ML, GM2
526108303166411, MUSCORIL, MUSCORIL, NOT FOUND, CREME 2.5MG BISN X 30G, GM2
526107102116419, MAG-TAB, MAG TAB, NOT FOUND, 130MG 2 BL X 15 COMP, GM2
526114902130117, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, GM2
526114903161113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 10 MG/G CREM DERM CT BG AL X 30 G, GM2
526114901118113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2 MG COM CT BL AL PLAS BCO LEIT X 20, GM2
526114904133113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML                                                         , GM2
526121702133115, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GM2
526121701110111, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 2 MG + 0.25 MG COM CT BL AL PLAS LEIT X 20, GM2
526119301135115, MALEATO DE DEXCLORFENIRAMINA+SULFATODE PSEUDOEFEDRINA+GUAIFENESINA, MALEATO DEXCLORFENIRAMINA SULFATODE PSEUDOEFEDRINA GUAIFENESINA, NOT FOUND, 0.4MG/ML + 4MG/ML+20MG/ML SOL OR CT FR VD AMB X 120ML, GM2
526114502116117, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT STR AL AL X 30 , GM2
526114503112115, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20MG 3STP C/ 10COMP, GM2
526114501111111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5MG COM CT 3 STR X 10, GM2
526113101118110, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 10MG + 25MG COM CT BL AL PLAS LEITOSO X 30, GM2
526113102114119, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 20+15.5MG 2BLT C/15, GM2
526123001175111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 2.5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, GM2
526123002171118, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, GM2
526107201114414, MALU, MALU, NOT FOUND, 1BL X 21 COMP, GM2
526126701135115, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED, GM2
526117701111111, MEBENDAZOL+TIABENDAZOL, MEBENDAZOL TIABENDAZOL, NOT FOUND, 6 COMP MASTIGAVEL, GM2
526107401113411, MELOTEC, MELOTEC, NOT FOUND, 15MG FR X 10 COMP, GM2
526107402111412, MELOTEC, MELOTEC, NOT FOUND, 7.5MG FR X10 COMP, GM2
526119701117114, MELOXICAM, MELOXICAM, MELOXICAM, 15MG COM CT BL AL PLAS BCO LEIT X 10, GM2
526119702113112, MELOXICAM, MELOXICAM, MELOXICAM, 7.5MG 1BLT C/ 10 COMP, GM2
526123101171116, MESALAZINA, MESALAZINA, MESALAZINA, 3 G ENEMA CT SACH AL POLIET X 3 G + DIL FR PLAS TRANS X 100 ML, GM2
526123102117115, MESALAZINA, MESALAZINA, MESALAZINA, 800 MG COM REV CT BL AL PLAS LEIT X 30, GM2
526123201115110, MESILATO DE DOXAZOSINA, MESILATO DOXAZOSINA, MESILATO DOXAZOSINA, 2 MG COM CT BL AL PLAS LEIT X 30, GM2
526107501118415, MESMERIN, MESMERIN, NOT FOUND, 1MG 2 BL X 10 COMP (B1), GM2
526107502114413, MESMERIN, MESMERIN, NOT FOUND, 2MG 2 BL X 10 COMP (B1), GM2
526124901171119, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 10MG/G GEL VAG 50 G + 10 APLIC, GM2
526127701112113, MICOFENOLATO DE MOFETILA, MICOFENOLATO MOFETILA, MICOFENOLATO MOFETILA, 500 MG COM REV CT BL AL PLAS LEIT X 50 (EMB HOSP), GM2
526130001118410, MICOIMMUN, MICOIMMUN, NOT FOUND, 500 MG COM REV CT BL AL PLAS LEIT X 50, GM2
526107601112419, MICROPIL, MICROPIL, NOT FOUND, 0.075 MG + 0.020 MG COM REV CT BL AL PLAS INC CALEND X 21, GM2
526107603115415, MICROPIL, MICROPIL, NOT FOUND, 0.075 MG + 0.030 MG DRG CT EST CALEND X 21 + PORTA EST, GM2
526107701117412, MIGRALIV, MIGRALIV, NOT FOUND, 1 BL X 12 COMP, GM2
526107801111416, MIGRANE, MIGRANE, NOT FOUND,  5 STP X 4 COMP, GM2
526115602114416, MIGRANETTE, MIGRANETTE, NOT FOUND, 20 COMP REV, GM2
526115601134413, MIGRANETTE, MIGRANETTE, NOT FOUND, GTS FR X 20ML, GM2
526108002115419, MINIPIL, MINIPIL, NOT FOUND, 1 BL X 2 COMP POST, GM2
526108001119410, MINIPIL, MINIPIL, NOT FOUND, 1 BL X 35 DRG, GM2
526108101113414, MONOZOL, MONOZOL, NOT FOUND, 400MG 1STP X 1 COMP, GM2
526108102136418, MONOZOL, MONOZOL, NOT FOUND, SUSP FR X 15ML, GM2
526108302119411, MUSCORIL, MUSCORIL, NOT FOUND, 4MG 2 BL X 6 COMP, GM2
526108301155412, MUSCORIL, MUSCORIL, NOT FOUND, 4MG INJ 3 AMP X 2ML, GM2
526108303166411, MUSCORIL, MUSCORIL, NOT FOUND, CREME 2.5MG BISN X 30G, GM2
526107102116419, MAG-TAB, MAG TAB, NOT FOUND, 130MG 2 BL X 15 COMP, GM2
526114902130117, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, GM2
526114903161113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 10 MG/G CREM DERM CT BG AL X 30 G, GM2
526114901118113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2 MG COM CT BL AL PLAS BCO LEIT X 20, GM2
526114904133113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML                                                         , GM2
526121702133115, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GM2
526121701110111, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 2 MG + 0.25 MG COM CT BL AL PLAS LEIT X 20, GM2
526119301135115, MALEATO DE DEXCLORFENIRAMINA+SULFATODE PSEUDOEFEDRINA+GUAIFENESINA, MALEATO DEXCLORFENIRAMINA SULFATODE PSEUDOEFEDRINA GUAIFENESINA, NOT FOUND, 0.4MG/ML + 4MG/ML+20MG/ML SOL OR CT FR VD AMB X 120ML, GM2
526114502116117, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT STR AL AL X 30 , GM2
526114503112115, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20MG 3STP C/ 10COMP, GM2
526114501111111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5MG COM CT 3 STR X 10, GM2
526113101118110, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 10MG + 25MG COM CT BL AL PLAS LEITOSO X 30, GM2
526113102114119, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 20+15.5MG 2BLT C/15, GM2
526123001175111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 2.5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, GM2
526123002171118, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, GM2
526107201114414, MALU, MALU, NOT FOUND, 1BL X 21 COMP, GM2
526126701135115, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED, GM2
526117701111111, MEBENDAZOL+TIABENDAZOL, MEBENDAZOL TIABENDAZOL, NOT FOUND, 6 COMP MASTIGAVEL, GM2
526107401113411, MELOTEC, MELOTEC, NOT FOUND, 15MG FR X 10 COMP, GM2
526107402111412, MELOTEC, MELOTEC, NOT FOUND, 7.5MG FR X10 COMP, GM2
526119701117114, MELOXICAM, MELOXICAM, MELOXICAM, 15MG COM CT BL AL PLAS BCO LEIT X 10, GM2
526119702113112, MELOXICAM, MELOXICAM, MELOXICAM, 7.5MG 1BLT C/ 10 COMP, GM2
526123101171116, MESALAZINA, MESALAZINA, MESALAZINA, 3 G ENEMA CT SACH AL POLIET X 3 G + DIL FR PLAS TRANS X 100 ML, GM2
526123102117115, MESALAZINA, MESALAZINA, MESALAZINA, 800 MG COM REV CT BL AL PLAS LEIT X 30, GM2
526123201115110, MESILATO DE DOXAZOSINA, MESILATO DOXAZOSINA, MESILATO DOXAZOSINA, 2 MG COM CT BL AL PLAS LEIT X 30, GM2
526107501118415, MESMERIN, MESMERIN, NOT FOUND, 1MG 2 BL X 10 COMP (B1), GM2
526107502114413, MESMERIN, MESMERIN, NOT FOUND, 2MG 2 BL X 10 COMP (B1), GM2
526124901171119, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 10MG/G GEL VAG 50 G + 10 APLIC, GM2
526127701112113, MICOFENOLATO DE MOFETILA, MICOFENOLATO MOFETILA, MICOFENOLATO MOFETILA, 500 MG COM REV CT BL AL PLAS LEIT X 50 (EMB HOSP), GM2
526130001118410, MICOIMMUN, MICOIMMUN, NOT FOUND, 500 MG COM REV CT BL AL PLAS LEIT X 50, GM2
526107601112419, MICROPIL, MICROPIL, NOT FOUND, 0.075 MG + 0.020 MG COM REV CT BL AL PLAS INC CALEND X 21, GM2
526107603115415, MICROPIL, MICROPIL, NOT FOUND, 0.075 MG + 0.030 MG DRG CT EST CALEND X 21 + PORTA EST, GM2
526107701117412, MIGRALIV, MIGRALIV, NOT FOUND, 1 BL X 12 COMP, GM2
526107801111416, MIGRANE, MIGRANE, NOT FOUND,  5 STP X 4 COMP, GM2
526115602114416, MIGRANETTE, MIGRANETTE, NOT FOUND, 20 COMP REV, GM2
526115601134413, MIGRANETTE, MIGRANETTE, NOT FOUND, GTS FR X 20ML, GM2
526108002115419, MINIPIL, MINIPIL, NOT FOUND, 1 BL X 2 COMP POST, GM2
526108001119410, MINIPIL, MINIPIL, NOT FOUND, 1 BL X 35 DRG, GM2
526108101113414, MONOZOL, MONOZOL, NOT FOUND, 400MG 1STP X 1 COMP, GM2
526108102136418, MONOZOL, MONOZOL, NOT FOUND, SUSP FR X 15ML, GM2
526108302119411, MUSCORIL, MUSCORIL, NOT FOUND, 4MG 2 BL X 6 COMP, GM2
526108301155412, MUSCORIL, MUSCORIL, NOT FOUND, 4MG INJ 3 AMP X 2ML, GM2
526108303166411, MUSCORIL, MUSCORIL, NOT FOUND, CREME 2.5MG BISN X 30G, GM2
526107102116419, MAG-TAB, MAG TAB, NOT FOUND, 130MG 2 BL X 15 COMP, GM2
526114902130117, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, GM2
526114903161113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 10 MG/G CREM DERM CT BG AL X 30 G, GM2
526114901118113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2 MG COM CT BL AL PLAS BCO LEIT X 20, GM2
526114904133113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML                                                         , GM2
526121702133115, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GM2
526121701110111, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 2 MG + 0.25 MG COM CT BL AL PLAS LEIT X 20, GM2
526119301135115, MALEATO DE DEXCLORFENIRAMINA+SULFATODE PSEUDOEFEDRINA+GUAIFENESINA, MALEATO DEXCLORFENIRAMINA SULFATODE PSEUDOEFEDRINA GUAIFENESINA, NOT FOUND, 0.4MG/ML + 4MG/ML+20MG/ML SOL OR CT FR VD AMB X 120ML, GM2
526114502116117, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT STR AL AL X 30 , GM2
526114503112115, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20MG 3STP C/ 10COMP, GM2
526114501111111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5MG COM CT 3 STR X 10, GM2
526113101118110, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 10MG + 25MG COM CT BL AL PLAS LEITOSO X 30, GM2
526113102114119, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 20+15.5MG 2BLT C/15, GM2
526123001175111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 2.5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, GM2
526123002171118, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, GM2
526107201114414, MALU, MALU, NOT FOUND, 1BL X 21 COMP, GM2
526126701135115, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED, GM2
526117701111111, MEBENDAZOL+TIABENDAZOL, MEBENDAZOL TIABENDAZOL, NOT FOUND, 6 COMP MASTIGAVEL, GM2
526107401113411, MELOTEC, MELOTEC, NOT FOUND, 15MG FR X 10 COMP, GM2
526107402111412, MELOTEC, MELOTEC, NOT FOUND, 7.5MG FR X10 COMP, GM2
526119701117114, MELOXICAM, MELOXICAM, MELOXICAM, 15MG COM CT BL AL PLAS BCO LEIT X 10, GM2
526119702113112, MELOXICAM, MELOXICAM, MELOXICAM, 7.5MG 1BLT C/ 10 COMP, GM2
526123101171116, MESALAZINA, MESALAZINA, MESALAZINA, 3 G ENEMA CT SACH AL POLIET X 3 G + DIL FR PLAS TRANS X 100 ML, GM2
526123102117115, MESALAZINA, MESALAZINA, MESALAZINA, 800 MG COM REV CT BL AL PLAS LEIT X 30, GM2
526123201115110, MESILATO DE DOXAZOSINA, MESILATO DOXAZOSINA, MESILATO DOXAZOSINA, 2 MG COM CT BL AL PLAS LEIT X 30, GM2
526107501118415, MESMERIN, MESMERIN, NOT FOUND, 1MG 2 BL X 10 COMP (B1), GM2
526107502114413, MESMERIN, MESMERIN, NOT FOUND, 2MG 2 BL X 10 COMP (B1), GM2
526124901171119, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 10MG/G GEL VAG 50 G + 10 APLIC, GM2
526127701112113, MICOFENOLATO DE MOFETILA, MICOFENOLATO MOFETILA, MICOFENOLATO MOFETILA, 500 MG COM REV CT BL AL PLAS LEIT X 50 (EMB HOSP), GM2
526130001118410, MICOIMMUN, MICOIMMUN, NOT FOUND, 500 MG COM REV CT BL AL PLAS LEIT X 50, GM2
526107601112419, MICROPIL, MICROPIL, NOT FOUND, 0.075 MG + 0.020 MG COM REV CT BL AL PLAS INC CALEND X 21, GM2
526107603115415, MICROPIL, MICROPIL, NOT FOUND, 0.075 MG + 0.030 MG DRG CT EST CALEND X 21 + PORTA EST, GM2
526107701117412, MIGRALIV, MIGRALIV, NOT FOUND, 1 BL X 12 COMP, GM2
526107801111416, MIGRANE, MIGRANE, NOT FOUND,  5 STP X 4 COMP, GM2
526115602114416, MIGRANETTE, MIGRANETTE, NOT FOUND, 20 COMP REV, GM2
526115601134413, MIGRANETTE, MIGRANETTE, NOT FOUND, GTS FR X 20ML, GM2
526108002115419, MINIPIL, MINIPIL, NOT FOUND, 1 BL X 2 COMP POST, GM2
526108001119410, MINIPIL, MINIPIL, NOT FOUND, 1 BL X 35 DRG, GM2
526108101113414, MONOZOL, MONOZOL, NOT FOUND, 400MG 1STP X 1 COMP, GM2
526108102136418, MONOZOL, MONOZOL, NOT FOUND, SUSP FR X 15ML, GM2
526108302119411, MUSCORIL, MUSCORIL, NOT FOUND, 4MG 2 BL X 6 COMP, GM2
526108301155412, MUSCORIL, MUSCORIL, NOT FOUND, 4MG INJ 3 AMP X 2ML, GM2
526108303166411, MUSCORIL, MUSCORIL, NOT FOUND, CREME 2.5MG BISN X 30G, GM2
526108101113414, MONOZOL, MONOZOL, NOT FOUND, 400 MG 1STP X 1 COMP, GM2
526108102136418, MONOZOL, MONOZOL, NOT FOUND, SUSP FR X 15ML, GM2
526115602114416, MIGRANETTE, MIGRANETTE, NOT FOUND, 20 COMP REV, GM2
526107201114414, MALU, MALU, NOT FOUND, 1BL X 21 COMP, GM2
526107801111416, MIGRANE, MIGRANE, NOT FOUND,  5 STP X 4 COMP, GM2
526107701117412, MIGRALIV, MIGRALIV, NOT FOUND, 1 BL X 12 COMP, GM2
526107601112419, MICROPIL, MICROPIL, NOT FOUND, 0.075 MG + 0.020 MG COM REV CT BL AL PLAS INC CALEND X 21, GM2
526107603115415, MICROPIL, MICROPIL, NOT FOUND, 0.075 MG + 0.030 MG DRG CT EST CALEND X 21 + PORTA EST, GM2
526107102116419, MAG-TAB, MAG TAB, NOT FOUND, 130 MG 2 BL X 15 COMP, GM2
526113101118110, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 10MG + 25MG COM CT BL AL PLAS LEITOSO X 30, GM2
