500511801116215, FACTIVE, FACTIVE, NOT FOUND, 320 MG COM REV CT BL AL PLAS INC X 5, A4H
500503502113418, FEMINA, FEMINA, NOT FOUND, 150 MCG + 20 MCG COM REV CT BL AL PLAS INC X 21, A4H
500512202119411, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 200 UI COM REV CT FR PLAS OPC X 10, A4H
500512203115418, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 200 UI COM REV CT FR PLAS OPC X 30, A4H
500512204111416, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 200 UI COM REV CT FR PLAS OPC X 60, A4H
500512205118414, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 400 UI COM REV CT FR PLAS OPC X 10, A4H
500512206114412, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 400 UI COM REV CT FR PLAS OPC X 30, A4H
500512201112411, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 400 UI COM REV CT FR PLAS OPC X 60, A4H
500503701116417, FEMME COM FLÚOR, FEMME FLUOR, NOT FOUND, COM REV CT FR PLAS OPC X 30, A4H
500509103164311, FENTIZOL, FENTIZOL, NOT FOUND, 0.02 G/G CREM DERM CT BG AL 30 G, A4H
500509104160318, FENTIZOL, FENTIZOL, NOT FOUND, 0.02 G/G CREM DERM CT BG AL X 20 G, A4H
500509105116312, FENTIZOL, FENTIZOL, NOT FOUND, 600 MG OVL CT BL AL PLAS INC X 1 + 1 APLIC, A4H
500509101110311, FENTIZOL, FENTIZOL, NOT FOUND, 600 MG OVL CT BL AL PLAS INC X 1 + 1 APLIC + 2 DEDEIRAS, A4H
500509102168311, FENTIZOL, FENTIZOL, NOT FOUND, CREM VAG BG X 40G + 7 APLIC, A4H
500503801110410, FLAGASS, FLAGASS, NOT FOUND, 40MG COM CT BL AL PLAS INC X 20, A4H
500503802133414, FLAGASS, FLAGASS, NOT FOUND, 75MG/ML EMU OR CT FR PLAS OPC GOT X 10ML, A4H
500503901131411, FLAGASS BABY, FLAGASS BABY, NOT FOUND, 80 MG/ML + 2.5 MG/ML EMU OR CT FR PLAS OPC GOT X 1, A4H
500504001134410, FLOGENE, FLOGENE, NOT FOUND, 10MG/ML SUS OR CT FR PLAS OPC GOT X 20ML, A4H
500504002114413, FLOGENE, FLOGENE, NOT FOUND, 20MG CAP GEL DURA CT 2 BL AL PLAS INC X 5, A4H
500508917117315, FLOGORAL, FLOGORAL, NOT FOUND, 3.0 MG PAST DROPS CT 25 STRIP PAPEL POLI/AL POLI X 4 (SABOR LARANJA) (EMB. MULT.), A4H
500508916110317, FLOGORAL, FLOGORAL, NOT FOUND, 3.0 MG PAST DROPS CT 25 STRIP PAPEL POLI/AL POLI X 4 (SABOR MENTA) (EMB. MULT.), A4H
500510203177417, FLOGO-ROSA, FLOGO ROSA, NOT FOUND, 50 MG/ML SOL GIN CT FR PET AMB X 100 ML, A4H
500510201131411, FLOGO-ROSA, FLOGO ROSA, NOT FOUND, 50 MG/ML SOL GIN CT FR VD AMB X 100 ML, A4H
500510202170419, FLOGO-ROSA, FLOGO ROSA, NOT FOUND, 500 MG PO PREP PO EXTEMP CT 10 ENV AL POLIET X 9.4 G, A4H
500510204173318, FLOGO-ROSA, FLOGO ROSA, NOT FOUND, 53.2 MG/G PO PREP PO EXTEMP CT 04 ENV AL POLIET X 9.4 G, A4H
500508101133419, FLUNARIN, FLUNARIN, NOT FOUND, 5MG/ML SOL OR CT FR PLAS TRANS GOT X 30 ML, A4H
500508102113411, FLUNARIN, FLUNARIN, NOT FOUND, CAP 4 BL X 15, A4H
500504101171415, FREENAL, FREENAL, NOT FOUND, 0.5MG/ML SOL NAS CT FR PLAS OPC X 20ML, A4H
500511801116215, FACTIVE, FACTIVE, NOT FOUND, 320 MG COM REV CT BL AL PLAS INC X 5, A4H
500511802112213, FACTIVE, FACTIVE, NOT FOUND, 320 MG COM REV CT BL AL PLAS INC X 7, A4H
500503401112416, FAMOX, FAMOX, NOT FOUND, 20MG COM CT BL AL PLAS INC X 10, A4H
500503402119414, FAMOX, FAMOX, NOT FOUND, 40MG COM CT BL AL PLAS INC X 10, A4H
500503502113418, FEMINA, FEMINA, NOT FOUND, 150 MCG + 20 MCG COM REV CT BL AL PLAS INC X 21, A4H
500512202119411, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 200 UI COM REV CT FR PLAS OPC X 10, A4H
500512203115418, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 200 UI COM REV CT FR PLAS OPC X 30, A4H
500512204111416, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 200 UI COM REV CT FR PLAS OPC X 60, A4H
500512205118414, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 400 UI COM REV CT FR PLAS OPC X 10, A4H
500512206114412, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 400 UI COM REV CT FR PLAS OPC X 30, A4H
500512201112411, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 400 UI COM REV CT FR PLAS OPC X 60, A4H
500503701116417, FEMME COM FLÚOR, FEMME FLUOR, NOT FOUND, COM REV CT FR PLAS OPC X 30, A4H
500509103164311, FENTIZOL, FENTIZOL, NOT FOUND, 0.02 G/G CREM DERM CT BG AL 30 G, A4H
500509104160318, FENTIZOL, FENTIZOL, NOT FOUND, 0.02 G/G CREM DERM CT BG AL X 20 G, A4H
500509105116312, FENTIZOL, FENTIZOL, NOT FOUND, 600 MG OVL CT BL AL PLAS INC X 1 + 1 APLIC, A4H
500509101110311, FENTIZOL, FENTIZOL, NOT FOUND, 600 MG OVL CT BL AL PLAS INC X 1 + 1 APLIC + 2 DEDEIRAS, A4H
500509102168311, FENTIZOL, FENTIZOL, NOT FOUND, CREM VAG BG X 40G + 7 APLIC, A4H
500503801110410, FLAGASS, FLAGASS, NOT FOUND, 40MG COM CT BL AL PLAS INC X 20, A4H
500503802133414, FLAGASS, FLAGASS, NOT FOUND, 75MG/ML EMU OR CT FR PLAS OPC GOT X 10ML, A4H
500503901131411, FLAGASS BABY, FLAGASS BABY, NOT FOUND, 80 MG/ML + 2.5 MG/ML EMU OR CT FR PLAS OPC GOT X 1, A4H
500504001134410, FLOGENE, FLOGENE, NOT FOUND, 10MG/ML SUS OR CT FR PLAS OPC GOT X 20ML, A4H
500504002114413, FLOGENE, FLOGENE, NOT FOUND, 20MG CAP GEL DURA CT 2 BL AL PLAS INC X 5, A4H
500508917117315, FLOGORAL, FLOGORAL, NOT FOUND, 3.0 MG PAST DROPS CT 25 STRIP PAPEL POLI/AL POLI X 4 (SABOR LARANJA) (EMB. MULT.), A4H
500508916110317, FLOGORAL, FLOGORAL, NOT FOUND, 3.0 MG PAST DROPS CT 25 STRIP PAPEL POLI/AL POLI X 4 (SABOR MENTA) (EMB. MULT.), A4H
500510203177417, FLOGO-ROSA, FLOGO ROSA, NOT FOUND, 50 MG/ML SOL GIN CT FR PET AMB X 100 ML, A4H
500510201131411, FLOGO-ROSA, FLOGO ROSA, NOT FOUND, 50 MG/ML SOL GIN CT FR VD AMB X 100 ML, A4H
500510202170419, FLOGO-ROSA, FLOGO ROSA, NOT FOUND, 500 MG PO PREP PO EXTEMP CT 10 ENV AL POLIET X 9.4 G, A4H
500510204173318, FLOGO-ROSA, FLOGO ROSA, NOT FOUND, 53.2 MG/G PO PREP PO EXTEMP CT 04 ENV AL POLIET X 9.4 G, A4H
500508101133419, FLUNARIN, FLUNARIN, NOT FOUND, 5MG/ML SOL OR CT FR PLAS TRANS GOT X 30 ML, A4H
500508102113411, FLUNARIN, FLUNARIN, NOT FOUND, CAP 4 BL X 15, A4H
500504101171415, FREENAL, FREENAL, NOT FOUND, 0.5MG/ML SOL NAS CT FR PLAS OPC X 20ML, A4H
500512202119411, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 200 UI COM REV CT FR PLAS OPC X 10, A4H
500512203115418, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 200 UI COM REV CT FR PLAS OPC X 30, A4H
500512204111416, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 200 UI COM REV CT FR PLAS OPC X 60, A4H
500512205118414, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 400 UI COM REV CT FR PLAS OPC X 10, A4H
500512206114412, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 400 UI COM REV CT FR PLAS OPC X 30, A4H
500512201112411, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 400 UI COM REV CT FR PLAS OPC X 60, A4H
500503701116417, FEMME COM FLÚOR, FEMME FLUOR, NOT FOUND, COM REV CT FR PLAS OPC X 30, A4H
500510203177417, FLOGO-ROSA, FLOGO ROSA, NOT FOUND, 50 MG/ML SOL GIN CT FR PET AMB X 100 ML, A4H
500510201131411, FLOGO-ROSA, FLOGO ROSA, NOT FOUND, 50 MG/ML SOL GIN CT FR VD AMB X 100 ML, A4H
500510202170419, FLOGO-ROSA, FLOGO ROSA, NOT FOUND, 500 MG PO PREP PO EXTEMP CT 10 ENV AL POLIET X 9.4 G, A4H
500510204173318, FLOGO-ROSA, FLOGO ROSA, NOT FOUND, 53.2 MG/G PO PREP PO EXTEMP CT 04 ENV AL POLIET X 9.4 G, A4H
500504101171415, FREENAL, FREENAL, NOT FOUND, 0.5MG/ML SOL NAS CT FR PLAS OPC X 20ML, A4H
500503502113418, FEMINA, FEMINA, NOT FOUND, 150 MCG + 20 MCG COM REV CT BL AL PLAS INC X 21, A4H
500508102113411, FLUNARIN, FLUNARIN, NOT FOUND, 10MG CAP GEL DURA MICROG CT 4 BL AL PLAS INC X 15, A4H
500508101133419, FLUNARIN, FLUNARIN, NOT FOUND, 5MG/ML SOL OR CT FR PLAS TRANS GOT X 30 ML, A4H
500503801110410, FLAGASS, FLAGASS, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 20, A4H
500503802133414, FLAGASS, FLAGASS, NOT FOUND, 75MG/ML EMU OR CT FR PLAS OPC GOT X 10ML, A4H
500503401112416, FAMOX, FAMOX, NOT FOUND, 20 MG COM CT BL AL PLAS INC X 10, A4H
500503402119414, FAMOX, FAMOX, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 10, A4H
500511801116215, FACTIVE, FACTIVE, NOT FOUND, 320 MG COM REV CT BL AL PLAS INC X 5, A4H
500511802112213, FACTIVE, FACTIVE, NOT FOUND, 320 MG COM REV CT BL AL PLAS INC X 7, A4H
500503901131411, FLAGASS BABY, FLAGASS BABY, NOT FOUND, 80 MG / ML + 2.5 MG / ML EMU OR CT FR PLAS OPC GOT X 15 ML, A4H
500509103164311, FENTIZOL, FENTIZOL, NOT FOUND, 0.02 G/G CREM DERM CT BG AL 30 G, A4H
500509104160318, FENTIZOL, FENTIZOL, NOT FOUND, 0.02 G/G CREM DERM CT BG AL X 20 G, A4H
500509102168311, FENTIZOL, FENTIZOL, NOT FOUND, 0.02 G/G CREM VAG CT BG AL X 40 G + 7 APLIC , A4H
500509106171317, FENTIZOL, FENTIZOL, NOT FOUND, 20 MG/ML SOL DERM CT FR PLAS OPC SPR X 30 ML, A4H
500509105116312, FENTIZOL, FENTIZOL, NOT FOUND, 600 MG OVL CT BL AL PLAS INC X 1 + 1 APLIC, A4H
500509101110311, FENTIZOL, FENTIZOL, NOT FOUND, 600 MG OVL CT BL AL PLAS INC X 1 + 1 APLIC + 2 DEDEIRAS, A4H
500504001134410, FLOGENE, FLOGENE, NOT FOUND, 10MG/ML SUS OR CT FR PLAS OPC GOT X 20ML, A4H
500504002114413, FLOGENE, FLOGENE, NOT FOUND, 20 MG CAP GEL DURA CT 2 BL AL PLAS INC X 5, A4H
500512202119411, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 200 UI COM REV CT FR PLAS OPC X 10, A4H
500512203115418, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 200 UI COM REV CT FR PLAS OPC X 30, A4H
500512204111416, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 200 UI COM REV CT FR PLAS OPC X 60, A4H
500512205118414, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 400 UI COM REV CT FR PLAS OPC X 10, A4H
500512206114412, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 400 UI COM REV CT FR PLAS OPC X 30, A4H
500512201112411, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 400 UI COM REV CT FR PLAS OPC X 60, A4H
500503701116417, FEMME COM FLÚOR, FEMME FLUOR, NOT FOUND, COM REV CT FR PLAS OPC X 30, A4H
500510203177417, FLOGO-ROSA, FLOGO ROSA, NOT FOUND, 50 MG/ML SOL GIN CT FR PET AMB X 100 ML, A4H
500510201131411, FLOGO-ROSA, FLOGO ROSA, NOT FOUND, 50 MG/ML SOL GIN CT FR VD AMB X 100 ML, A4H
500510204173318, FLOGO-ROSA, FLOGO ROSA, NOT FOUND, 53.2 MG/G PO PREP PO EXTEMP CT 04 ENV AL POLIET X 9.4 G, A4H
500510202170419, FLOGO-ROSA, FLOGO ROSA, NOT FOUND, 53.2 MG/G PO PREP PO EXTEMP CT 10 ENV AL POLIET X 9.4 G, A4H
500504101171415, FREENAL, FREENAL, NOT FOUND, 0.5MG/ML SOL NAS CT FR PLAS OPC X 20ML, A4H
500503502113418, FEMINA, FEMINA, NOT FOUND, 150 MCG + 20 MCG COM REV CT BL AL PLAS INC X 21, A4H
500508102113411, FLUNARIN, FLUNARIN, NOT FOUND, 10MG CAP GEL DURA MICROG CT 4 BL AL PLAS INC X 15, A4H
500508101133419, FLUNARIN, FLUNARIN, NOT FOUND, 5MG/ML SOL OR CT FR PLAS TRANS GOT X 30 ML, A4H
500503801110410, FLAGASS, FLAGASS, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 20, A4H
500503802133414, FLAGASS, FLAGASS, NOT FOUND, 75MG/ML EMU OR CT FR PLAS OPC GOT X 10ML, A4H
500503401112416, FAMOX, FAMOX, NOT FOUND, 20 MG COM CT BL AL PLAS INC X 10, A4H
500503402119414, FAMOX, FAMOX, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 10, A4H
500511801116215, FACTIVE, FACTIVE, NOT FOUND, 320 MG COM REV CT BL AL PLAS INC X 5, A4H
500511802112213, FACTIVE, FACTIVE, NOT FOUND, 320 MG COM REV CT BL AL PLAS INC X 7, A4H
500503901131411, FLAGASS BABY, FLAGASS BABY, NOT FOUND, 80 MG / ML + 2.5 MG / ML EMU OR CT FR PLAS OPC GOT X 15 ML, A4H
500509103164311, FENTIZOL, FENTIZOL, NOT FOUND, 0.02 G/G CREM DERM CT BG AL 30 G, A4H
500509104160318, FENTIZOL, FENTIZOL, NOT FOUND, 0.02 G/G CREM DERM CT BG AL X 20 G, A4H
500509102168311, FENTIZOL, FENTIZOL, NOT FOUND, 0.02 G/G CREM VAG CT BG AL X 40 G + 7 APLIC , A4H
500509106171317, FENTIZOL, FENTIZOL, NOT FOUND, 20 MG/ML SOL DERM CT FR PLAS OPC SPR X 30 ML, A4H
500509105116312, FENTIZOL, FENTIZOL, NOT FOUND, 600 MG OVL CT BL AL PLAS INC X 1 + 1 APLIC, A4H
500509101110311, FENTIZOL, FENTIZOL, NOT FOUND, 600 MG OVL CT BL AL PLAS INC X 1 + 1 APLIC + 2 DEDEIRAS, A4H
500504001134410, FLOGENE, FLOGENE, NOT FOUND, 10MG/ML SUS OR CT FR PLAS OPC GOT X 20ML, A4H
500504002114413, FLOGENE, FLOGENE, NOT FOUND, 20 MG CAP GEL DURA CT 2 BL AL PLAS INC X 5, A4H
