530200105136411, AEROTAMOL, AEROTAMOL, NOT FOUND, 0.4 MG/ML XPE CT 50 FR VD AMB X 120 ML (EMB HOSP), ROY
530204503111411, ATENOTON, ATENOTON, NOT FOUND, 50 MG COM CX 50 BL AL PLAS INC X 14 - EMB HOSP , ROY
530201201112410, AZIDROMIC, AZIDROMIC, NOT FOUND,  1 G - CX. C/ 1 COMP, ROY
530201203115417, AZIDROMIC, AZIDROMIC, NOT FOUND,  500 MG - CX. C/ 3 COMP, ROY
530201204138410, AZIDROMIC, AZIDROMIC, NOT FOUND, 600 MG - SUSP, ROY
530201205134419, AZIDROMIC, AZIDROMIC, NOT FOUND, 900 MG - SUSP., ROY
530201101118417, ANTIFEBRIN, ANTIFEBRIN, NOT FOUND, 100 MG - INF. CX. C/ 200 COMP., ROY
530201102114415, ANTIFEBRIN, ANTIFEBRIN, NOT FOUND, 500 MG - ADU. CX. C/ 100 COMP., ROY
530200704110411, ALBENDROX, ALBENDROX, NOT FOUND, 200 MG COM CT 50 BL AL PLAS INC X 2, ROY
530200702118413, ALBENDROX, ALBENDROX, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 2, ROY
530200703114411, ALBENDROX, ALBENDROX, NOT FOUND, 400 MG COM CT BL AL PLAS INC X 1, ROY
530200705117418, ALBENDROX, ALBENDROX, NOT FOUND, 400 MG COM CX 100 BL AL PLAS INC X 1 USO HOSP , ROY
530200701138410, ALBENDROX, ALBENDROX, NOT FOUND, 400 MG/ 10 ML SUS OR CT FR VD AMB X 10 ML , ROY
530200706131414, ALBENDROX, ALBENDROX, NOT FOUND, 400 MG/10 ML SUS OR CT 100 FR VD AMB X 10 ML (EMB HOSP), ROY
530200901153413, AMICALIN, AMICALIN, NOT FOUND, 100 MG - INJ. CX. C/ 50 AMP, ROY
530200902151414, AMICALIN, AMICALIN, NOT FOUND, 500 MG - INJ. CX. C/ 50 AMP, ROY
530201001113413, ANGYTON, ANGYTON, NOT FOUND, 200 MG - CX. C/ 20 COMP, ROY
530201002111414, ANGYTON, ANGYTON, NOT FOUND, 200 MG - CX. C/ 500 COMP, ROY
530204402119417, AMPICIMAX, AMPICIMAX, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, ROY
530204401139414, AMPICIMAX, AMPICIMAX, NOT FOUND, 250 MG/5 ML PO PREP EXT CT FR VD AMB X 60 ML, ROY
530204502113410, ATENOTON, ATENOTON, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 28, ROY
530204503111411, ATENOTON, ATENOTON, NOT FOUND, 50 MG COM CX 50 BL AL PLAS INC X 14 - EMB HOSP , ROY
530201201112410, AZIDROMIC, AZIDROMIC, NOT FOUND,  1 G - CX. C/ 1 COMP, ROY
530201203115417, AZIDROMIC, AZIDROMIC, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 3, ROY
530201204138410, AZIDROMIC, AZIDROMIC, NOT FOUND, 600 MG - SUSP, ROY
530201205134419, AZIDROMIC, AZIDROMIC, NOT FOUND, 900 MG - SUSP., ROY
530200803135410, ALERMINE, ALERMINE, NOT FOUND, 0.400 MG/ML SOL OR CX 50 FR VD AMB X 100 ML (EMB HOSP), ROY
530200801116419, ALERMINE, ALERMINE, NOT FOUND, 2 MG - CX. C/ 20 COMP., ROY
530200802139412, ALERMINE, ALERMINE, NOT FOUND, XPE. CX. FR. X 100 ML, ROY
530200105136411, AEROTAMOL, AEROTAMOL, NOT FOUND, 0.4 MG/ML XPE CT 50 FR VD AMB X 120 ML (EMB HOSP), ROY
530200104113418, AEROTAMOL, AEROTAMOL, NOT FOUND, 2 MG COM CT 2 BL AL PLAS INC X 10, ROY
530200103117411, AEROTAMOL, AEROTAMOL, NOT FOUND, 2 MG COM CX 50 BL AL PLAS INC X 10 (EMB HOSP), ROY
530200102137417, AEROTAMOL, AEROTAMOL, NOT FOUND, XPE. FR. X 120 ML, ROY
530201101118417, ANTIFEBRIN, ANTIFEBRIN, NOT FOUND, 100 MG - INF. CX. C/ 200 COMP., ROY
530201102114415, ANTIFEBRIN, ANTIFEBRIN, NOT FOUND, 500 MG - ADU. CX. C/ 100 COMP., ROY
530200704110411, ALBENDROX, ALBENDROX, NOT FOUND, 200 MG COM CT 50 BL AL PLAS INC X 2, ROY
530200702118413, ALBENDROX, ALBENDROX, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 2, ROY
530200703114411, ALBENDROX, ALBENDROX, NOT FOUND, 400 MG COM CT BL AL PLAS INC X 1, ROY
530200705117418, ALBENDROX, ALBENDROX, NOT FOUND, 400 MG COM CX 100 BL AL PLAS INC X 1 USO HOSP , ROY
530200701138410, ALBENDROX, ALBENDROX, NOT FOUND, 400 MG/ 10 ML SUS OR CT FR VD AMB X 10 ML , ROY
530200706131414, ALBENDROX, ALBENDROX, NOT FOUND, 400 MG/10 ML SUS OR CT 100 FR VD AMB X 10 ML (EMB HOSP), ROY
530200901153413, AMICALIN, AMICALIN, NOT FOUND, 100 MG - INJ. CX. C/ 50 AMP, ROY
530200902151414, AMICALIN, AMICALIN, NOT FOUND, 500 MG - INJ. CX. C/ 50 AMP, ROY
530201001113413, ANGYTON, ANGYTON, NOT FOUND, 200 MG - CX. C/ 20 COMP, ROY
530201002111414, ANGYTON, ANGYTON, NOT FOUND, 200 MG - CX. C/ 500 COMP, ROY
530204402119417, AMPICIMAX, AMPICIMAX, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, ROY
530204401139414, AMPICIMAX, AMPICIMAX, NOT FOUND, 250 MG/5 ML PO PREP EXT CT FR VD AMB X 60 ML, ROY
530204502113410, ATENOTON, ATENOTON, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 28, ROY
530204503111411, ATENOTON, ATENOTON, NOT FOUND, 50 MG COM CX 50 BL AL PLAS INC X 14 - EMB HOSP , ROY
530201201112410, AZIDROMIC, AZIDROMIC, NOT FOUND,  1 G - CX. C/ 1 COMP, ROY
530201203115417, AZIDROMIC, AZIDROMIC, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 3, ROY
530201204138410, AZIDROMIC, AZIDROMIC, NOT FOUND, 600 MG - SUSP, ROY
530201205134419, AZIDROMIC, AZIDROMIC, NOT FOUND, 900 MG - SUSP., ROY
530200803135410, ALERMINE, ALERMINE, NOT FOUND, 0.400 MG/ML SOL OR CX 50 FR VD AMB X 100 ML (EMB HOSP), ROY
530200801116419, ALERMINE, ALERMINE, NOT FOUND, 2 MG - CX. C/ 20 COMP., ROY
530200802139412, ALERMINE, ALERMINE, NOT FOUND, XPE. CX. FR. X 100 ML, ROY
530200105136411, AEROTAMOL, AEROTAMOL, NOT FOUND, 0.4 MG/ML XPE CT 50 FR VD AMB X 120 ML (EMB HOSP), ROY
530200104113418, AEROTAMOL, AEROTAMOL, NOT FOUND, 2 MG COM CT 2 BL AL PLAS INC X 10, ROY
530200103117411, AEROTAMOL, AEROTAMOL, NOT FOUND, 2 MG COM CX 50 BL AL PLAS INC X 10 (EMB HOSP), ROY
530200102137417, AEROTAMOL, AEROTAMOL, NOT FOUND, XPE. FR. X 120 ML, ROY
