63813, AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 18,504600202113114, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 50MG/ML + 12
102175, CARVEDILOL, CARVEDILOL, CPR 12.5 MG x 15,507706701118415, CLO, NOT FOUND, (C1) 10MG 2 BL X 10 COMP REV HOSP
102175, CARVEDILOL, CARVEDILOL, CPR 12.5 MG x 15,507706703110411, CLO, NOT FOUND, 75MG 2 BLT C/ 10 COMP
102175, CARVEDILOL, CARVEDILOL, CPR 12.5 MG x 15,507706701118415, CLO, NOT FOUND, (C1) 10 MG 2 BL X 10 COMP REV HOSP
102175, CARVEDILOL, CARVEDILOL, CPR 12.5 MG x 15,507706702114413, CLO, NOT FOUND, (C1) 25 MG 2 BL X 10 COMP REV HOSP
60067, CLORATADD, NOT FOUND, XAR. 5 MG 100 ML x 1 (/5ML),507708002136410, CLORATADD, NOT FOUND, 5MG/5ML XPE FR C/100ML
60067, CLORATADD, NOT FOUND, XAR. 5 MG 100 ML x 1 (/5ML),507706702114413, CLO, NOT FOUND, (C1) 25MG 2 BL X 10 COMP REV HOSP
60067, CLORATADD, NOT FOUND, XAR. 5 MG 100 ML x 1 (/5ML),507708101134416, CLORATADD D, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML
60067, CLORATADD, NOT FOUND, XAR. 5 MG 100 ML x 1 (/5ML),507708001113417, CLORATADD, NOT FOUND, 10 MG 1BL X 12 COMP
60067, CLORATADD, NOT FOUND, XAR. 5 MG 100 ML x 1 (/5ML),507708102114419, CLORATADD D, NOT FOUND, (D1) BL X 12 DRG
60067, CLORATADD, NOT FOUND, XAR. 5 MG 100 ML x 1 (/5ML),507708001113417, CLORATADD, NOT FOUND, 10MG 1BL X 12 COMP
60067, CLORATADD, NOT FOUND, XAR. 5 MG 100 ML x 1 (/5ML),507708101134416, CLORATADD D, NOT FOUND, (D1) XPE FR C/60 ML
60067, CLORATADD, NOT FOUND, XAR. 5 MG 100 ML x 1 (/5ML),507706703110411, CLO, NOT FOUND, 75 MG 2 BLT C/ 10 COMP
60067, CLORATADD, NOT FOUND, XAR. 5 MG 100 ML x 1 (/5ML),507706701118415, CLO, NOT FOUND, (C1) 10MG 2 BL X 10 COMP REV HOSP
60067, CLORATADD, NOT FOUND, XAR. 5 MG 100 ML x 1 (/5ML),507706703110411, CLO, NOT FOUND, 75MG 2 BLT C/ 10 COMP
60067, CLORATADD, NOT FOUND, XAR. 5 MG 100 ML x 1 (/5ML),507706701118415, CLO, NOT FOUND, (C1) 10 MG 2 BL X 10 COMP REV HOSP
60067, CLORATADD, NOT FOUND, XAR. 5 MG 100 ML x 1 (/5ML),507706702114413, CLO, NOT FOUND, (C1) 25 MG 2 BL X 10 COMP REV HOSP
57056, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 14,507714005117111, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG COM REV CT BL AL PLAS LEIT X 30
57056, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 14,507714002118115, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PLAS INC X 28
57056, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 14,507706702114413, CLO, NOT FOUND, (C1) 25MG 2 BL X 10 COMP REV HOSP
57056, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 14,507714002118115, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20MG 4BL X 7 CAPS
57056, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 14,507714003114113, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG COM REV CT BL AL PLAS LEIT X 20
57056, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 14,507714008116114, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 10 MG CAP GEL DURA CT BL AL PLAS INC X 20
57056, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 14,507714001111117, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG 2BL X 7 CAPS
57056, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 14,507706703110411, CLO, NOT FOUND, 75 MG 2 BLT C/ 10 COMP
57056, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 14,507706701118415, CLO, NOT FOUND, (C1) 10MG 2 BL X 10 COMP REV HOSP
57056, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 14,507714006131116, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG/ML SOL OR CT FR PLAS TRANS GOT X 20 ML
57056, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 14,507706703110411, CLO, NOT FOUND, 75MG 2 BLT C/ 10 COMP
57056, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 14,507714007111119, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 10 MG CAP GEL DURA CT BL AL PLAS INC X 28
57056, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 14,507706701118415, CLO, NOT FOUND, (C1) 10 MG 2 BL X 10 COMP REV HOSP
57056, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 14,507706702114413, CLO, NOT FOUND, (C1) 25 MG 2 BL X 10 COMP REV HOSP
57056, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 14,507714001111117, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20MG 2BL X 7 CAPS
77323, CITALOPRAM, CITALOPRAM, CPR REVEST 20 MG x 28,507706702114413, CLO, NOT FOUND, (C1) 25MG 2 BL X 10 COMP REV HOSP
77323, CITALOPRAM, CITALOPRAM, CPR REVEST 20 MG x 28,507706703110411, CLO, NOT FOUND, 75 MG 2 BLT C/ 10 COMP
77323, CITALOPRAM, CITALOPRAM, CPR REVEST 20 MG x 28,507706701118415, CLO, NOT FOUND, (C1) 10MG 2 BL X 10 COMP REV HOSP
77323, CITALOPRAM, CITALOPRAM, CPR REVEST 20 MG x 28,507706703110411, CLO, NOT FOUND, 75MG 2 BLT C/ 10 COMP
77323, CITALOPRAM, CITALOPRAM, CPR REVEST 20 MG x 28,507706701118415, CLO, NOT FOUND, (C1) 10 MG 2 BL X 10 COMP REV HOSP
77323, CITALOPRAM, CITALOPRAM, CPR REVEST 20 MG x 28,507706702114413, CLO, NOT FOUND, (C1) 25 MG 2 BL X 10 COMP REV HOSP
79575, CLO DOR MAL TIM, NOT FOUND, SOLN OFTAL. 5 ML x 1,507706702114413, CLO, NOT FOUND, (C1) 25MG 2 BL X 10 COMP REV HOSP
79575, CLO DOR MAL TIM, NOT FOUND, SOLN OFTAL. 5 ML x 1,507706703110411, CLO, NOT FOUND, 75 MG 2 BLT C/ 10 COMP
79575, CLO DOR MAL TIM, NOT FOUND, SOLN OFTAL. 5 ML x 1,507706701118415, CLO, NOT FOUND, (C1) 10MG 2 BL X 10 COMP REV HOSP
79575, CLO DOR MAL TIM, NOT FOUND, SOLN OFTAL. 5 ML x 1,507706703110411, CLO, NOT FOUND, 75MG 2 BLT C/ 10 COMP
79575, CLO DOR MAL TIM, NOT FOUND, SOLN OFTAL. 5 ML x 1,507706701118415, CLO, NOT FOUND, (C1) 10 MG 2 BL X 10 COMP REV HOSP
79575, CLO DOR MAL TIM, NOT FOUND, SOLN OFTAL. 5 ML x 1,507706702114413, CLO, NOT FOUND, (C1) 25 MG 2 BL X 10 COMP REV HOSP
79575, CLO DOR MAL TIM, NOT FOUND, SOLN OFTAL. 5 ML x 1,507743901176111, CLORIDRATO DE DORZOLAMIDA MALEATO DE TIMOLOL, NOT FOUND, 20 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML 
60835, CEFACLOR, CEFACLOR, SUSP 375 MG 80 ML x 1 (/5ML),507704305118114, CEFACLOR, CEFACLOR, 500 MG CAP GEL DURA CT BL AL PLAS INC X 30 (EMB FRAC)
60835, CEFACLOR, CEFACLOR, SUSP 375 MG 80 ML x 1 (/5ML),507706702114413, CLO, NOT FOUND, (C1) 25MG 2 BL X 10 COMP REV HOSP
60835, CEFACLOR, CEFACLOR, SUSP 375 MG 80 ML x 1 (/5ML),507704303131113, CEFACLOR, CEFACLOR, 375MG/5ML SUSP ORAL FR 80ML
60835, CEFACLOR, CEFACLOR, SUSP 375 MG 80 ML x 1 (/5ML),507704302135115, CEFACLOR, CEFACLOR, 250MG/5ML SUSP ORAL FR 80ML
60835, CEFACLOR, CEFACLOR, SUSP 375 MG 80 ML x 1 (/5ML),507706703110411, CLO, NOT FOUND, 75 MG 2 BLT C/ 10 COMP
60835, CEFACLOR, CEFACLOR, SUSP 375 MG 80 ML x 1 (/5ML),507706701118415, CLO, NOT FOUND, (C1) 10MG 2 BL X 10 COMP REV HOSP
60835, CEFACLOR, CEFACLOR, SUSP 375 MG 80 ML x 1 (/5ML),507704304111116, CEFACLOR, CEFACLOR, 500MG 1 BL X 10 CAPS
60835, CEFACLOR, CEFACLOR, SUSP 375 MG 80 ML x 1 (/5ML),507706703110411, CLO, NOT FOUND, 75MG 2 BLT C/ 10 COMP
60835, CEFACLOR, CEFACLOR, SUSP 375 MG 80 ML x 1 (/5ML),507704304111116, CEFACLOR, CEFACLOR, 500 MG 1 BL X 10 CAPS
60835, CEFACLOR, CEFACLOR, SUSP 375 MG 80 ML x 1 (/5ML),507706701118415, CLO, NOT FOUND, (C1) 10 MG 2 BL X 10 COMP REV HOSP
60835, CEFACLOR, CEFACLOR, SUSP 375 MG 80 ML x 1 (/5ML),507706702114413, CLO, NOT FOUND, (C1) 25 MG 2 BL X 10 COMP REV HOSP
66394, CLOR METOCLOP, CLORIDRATO METOCLOPRAMIDA MONOIDRATADO, GOTAS 4 MG 10 ML x 1 (/ML),507728001135113, CLOR METOCLOPRAMIDA, CLORIDRATO METOCLOPRAMIDA MONOIDRATADO, 4MG/ML SOL ORAL FR C/ 10ML
66394, CLOR METOCLOP, CLORIDRATO METOCLOPRAMIDA MONOIDRATADO, GOTAS 4 MG 10 ML x 1 (/ML),507706702114413, CLO, NOT FOUND, (C1) 25MG 2 BL X 10 COMP REV HOSP
66394, CLOR METOCLOP, CLORIDRATO METOCLOPRAMIDA MONOIDRATADO, GOTAS 4 MG 10 ML x 1 (/ML),507706703110411, CLO, NOT FOUND, 75 MG 2 BLT C/ 10 COMP
66394, CLOR METOCLOP, CLORIDRATO METOCLOPRAMIDA MONOIDRATADO, GOTAS 4 MG 10 ML x 1 (/ML),507706701118415, CLO, NOT FOUND, (C1) 10MG 2 BL X 10 COMP REV HOSP
66394, CLOR METOCLOP, CLORIDRATO METOCLOPRAMIDA MONOIDRATADO, GOTAS 4 MG 10 ML x 1 (/ML),507706703110411, CLO, NOT FOUND, 75MG 2 BLT C/ 10 COMP
66394, CLOR METOCLOP, CLORIDRATO METOCLOPRAMIDA MONOIDRATADO, GOTAS 4 MG 10 ML x 1 (/ML),507706701118415, CLO, NOT FOUND, (C1) 10 MG 2 BL X 10 COMP REV HOSP
66394, CLOR METOCLOP, CLORIDRATO METOCLOPRAMIDA MONOIDRATADO, GOTAS 4 MG 10 ML x 1 (/ML),507706702114413, CLO, NOT FOUND, (C1) 25 MG 2 BL X 10 COMP REV HOSP
54405, CORTIZOL, NOT FOUND, F.AMP SOLV 500 MG 5 ML x 50,507708802159415, CORTIZOL, NOT FOUND, 100MG INJ C/50 FR C/2ML (HOSP)
54405, CORTIZOL, NOT FOUND, F.AMP SOLV 500 MG 5 ML x 50,507708804151411, CORTIZOL, NOT FOUND, 500MG INJC/50FR C/5ML (HOSP)
61436, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 14,507707603111112, CLOR TERBINAFINA, CLORIDRATO TERBINAFINA, 250 MG 2 BL X 7 COMP
61436, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 14,507707608111110, CLOR TERBINAFINA, CLORIDRATO TERBINAFINA, 125 MG COM CT BL AL PLAS INC X 90 (EMB FRAC)
61436, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 14,507706702114413, CLO, NOT FOUND, (C1) 25MG 2 BL X 10 COMP REV HOSP
61436, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 14,507707606135111, CLOR TERBINAFINA, CLORIDRATO TERBINAFINA, 10 MG/G SOL TOP CT FR PLAS OPC GOT X 30 ML
61436, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 14,507707603111112, CLOR TERBINAFINA, CLORIDRATO TERBINAFINA, 250MG 2 BL X 7 COMP
61436, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 14,507707604116118, CLOR TERBINAFINA, CLORIDRATO TERBINAFINA, 250MG 4 BL X 7 COMP
61436, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 14,507707605163111, CLOR TERBINAFINA, CLORIDRATO TERBINAFINA, 10 MG/G CREM DERM CT BG AL X 20 G
61436, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 14,507706703110411, CLO, NOT FOUND, 75 MG 2 BLT C/ 10 COMP
61436, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 14,507707604116118, CLOR TERBINAFINA, CLORIDRATO TERBINAFINA, 250 MG 4 BL X 7 COMP
61436, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 14,507706701118415, CLO, NOT FOUND, (C1) 10MG 2 BL X 10 COMP REV HOSP
61436, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 14,507707607131118, CLOR TERBINAFINA, CLORIDRATO TERBINAFINA, 10 MG/G SOL TOP CT FR PLAS OPC SPRAY X 30 ML
61436, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 14,507706703110411, CLO, NOT FOUND, 75MG 2 BLT C/ 10 COMP
61436, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 14,507706701118415, CLO, NOT FOUND, (C1) 10 MG 2 BL X 10 COMP REV HOSP
61436, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 14,507706702114413, CLO, NOT FOUND, (C1) 25 MG 2 BL X 10 COMP REV HOSP
61436, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 14,507707609118119, CLOR TERBINAFINA, CLORIDRATO TERBINAFINA, 250 MG COM CT BL AL PLAS INC X 90 (EMB FRAC)
76774, CICLOPIROX OLAM, CICLOPIROX OLAMINA, SOLN TOP. 10 MG 15 ML x 1 (/ML),507706702114413, CLO, NOT FOUND, (C1) 25MG 2 BL X 10 COMP REV HOSP
76774, CICLOPIROX OLAM, CICLOPIROX OLAMINA, SOLN TOP. 10 MG 15 ML x 1 (/ML),507739801170113, CICLOPIROX OLAMINA, CICLOPIROX OLAMINA, 10 MG/ML SOL TOP CT FR GOT PLAS TRANS X 15 ML
76774, CICLOPIROX OLAM, CICLOPIROX OLAMINA, SOLN TOP. 10 MG 15 ML x 1 (/ML),507706703110411, CLO, NOT FOUND, 75 MG 2 BLT C/ 10 COMP
76774, CICLOPIROX OLAM, CICLOPIROX OLAMINA, SOLN TOP. 10 MG 15 ML x 1 (/ML),507706701118415, CLO, NOT FOUND, (C1) 10MG 2 BL X 10 COMP REV HOSP
76774, CICLOPIROX OLAM, CICLOPIROX OLAMINA, SOLN TOP. 10 MG 15 ML x 1 (/ML),507706703110411, CLO, NOT FOUND, 75MG 2 BLT C/ 10 COMP
76774, CICLOPIROX OLAM, CICLOPIROX OLAMINA, SOLN TOP. 10 MG 15 ML x 1 (/ML),507706701118415, CLO, NOT FOUND, (C1) 10 MG 2 BL X 10 COMP REV HOSP
76774, CICLOPIROX OLAM, CICLOPIROX OLAMINA, SOLN TOP. 10 MG 15 ML x 1 (/ML),507706702114413, CLO, NOT FOUND, (C1) 25 MG 2 BL X 10 COMP REV HOSP
89121, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 30,507706702114413, CLO, NOT FOUND, (C1) 25MG 2 BL X 10 COMP REV HOSP
89121, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 30,507706703110411, CLO, NOT FOUND, 75 MG 2 BLT C/ 10 COMP
89121, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 30,507706701118415, CLO, NOT FOUND, (C1) 10MG 2 BL X 10 COMP REV HOSP
89121, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 30,507706703110411, CLO, NOT FOUND, 75MG 2 BLT C/ 10 COMP
89121, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 30,507706701118415, CLO, NOT FOUND, (C1) 10 MG 2 BL X 10 COMP REV HOSP
89121, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 30,507706702114413, CLO, NOT FOUND, (C1) 25 MG 2 BL X 10 COMP REV HOSP
89121, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 30,507742501115117, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 30 MG COM REV CT BL AL PLAS OPC X 30
76779, CLO DORZOLAMIDA, CLORIDRATO DORZOLAMIDA, SOLN OFTAL 20 MG 5 ML x 1 (/ML),507706702114413, CLO, NOT FOUND, (C1) 25MG 2 BL X 10 COMP REV HOSP
76779, CLO DORZOLAMIDA, CLORIDRATO DORZOLAMIDA, SOLN OFTAL 20 MG 5 ML x 1 (/ML),507739901175117, CLORIDRATO DORZOLAMIDA, CLORIDRATO DORZOLAMIDA, 20 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML 
76779, CLO DORZOLAMIDA, CLORIDRATO DORZOLAMIDA, SOLN OFTAL 20 MG 5 ML x 1 (/ML),507706703110411, CLO, NOT FOUND, 75 MG 2 BLT C/ 10 COMP
76779, CLO DORZOLAMIDA, CLORIDRATO DORZOLAMIDA, SOLN OFTAL 20 MG 5 ML x 1 (/ML),507706701118415, CLO, NOT FOUND, (C1) 10MG 2 BL X 10 COMP REV HOSP
76779, CLO DORZOLAMIDA, CLORIDRATO DORZOLAMIDA, SOLN OFTAL 20 MG 5 ML x 1 (/ML),507706703110411, CLO, NOT FOUND, 75MG 2 BLT C/ 10 COMP
76779, CLO DORZOLAMIDA, CLORIDRATO DORZOLAMIDA, SOLN OFTAL 20 MG 5 ML x 1 (/ML),507706701118415, CLO, NOT FOUND, (C1) 10 MG 2 BL X 10 COMP REV HOSP
76779, CLO DORZOLAMIDA, CLORIDRATO DORZOLAMIDA, SOLN OFTAL 20 MG 5 ML x 1 (/ML),507706702114413, CLO, NOT FOUND, (C1) 25 MG 2 BL X 10 COMP REV HOSP
76779, CLO DORZOLAMIDA, CLORIDRATO DORZOLAMIDA, SOLN OFTAL 20 MG 5 ML x 1 (/ML),507743901176111, CLORIDRATO DE DORZOLAMIDA MALEATO DE TIMOLOL, NOT FOUND, 20 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML 
61433, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 125 MG x 14,507707603111112, CLOR TERBINAFINA, CLORIDRATO TERBINAFINA, 250 MG 2 BL X 7 COMP
61433, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 125 MG x 14,507707608111110, CLOR TERBINAFINA, CLORIDRATO TERBINAFINA, 125 MG COM CT BL AL PLAS INC X 90 (EMB FRAC)
61433, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 125 MG x 14,507706702114413, CLO, NOT FOUND, (C1) 25MG 2 BL X 10 COMP REV HOSP
61433, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 125 MG x 14,507707606135111, CLOR TERBINAFINA, CLORIDRATO TERBINAFINA, 10 MG/G SOL TOP CT FR PLAS OPC GOT X 30 ML
61433, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 125 MG x 14,507707603111112, CLOR TERBINAFINA, CLORIDRATO TERBINAFINA, 250MG 2 BL X 7 COMP
61433, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 125 MG x 14,507707604116118, CLOR TERBINAFINA, CLORIDRATO TERBINAFINA, 250MG 4 BL X 7 COMP
61433, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 125 MG x 14,507707605163111, CLOR TERBINAFINA, CLORIDRATO TERBINAFINA, 10 MG/G CREM DERM CT BG AL X 20 G
61433, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 125 MG x 14,507706703110411, CLO, NOT FOUND, 75 MG 2 BLT C/ 10 COMP
61433, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 125 MG x 14,507707604116118, CLOR TERBINAFINA, CLORIDRATO TERBINAFINA, 250 MG 4 BL X 7 COMP
61433, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 125 MG x 14,507706701118415, CLO, NOT FOUND, (C1) 10MG 2 BL X 10 COMP REV HOSP
61433, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 125 MG x 14,507707607131118, CLOR TERBINAFINA, CLORIDRATO TERBINAFINA, 10 MG/G SOL TOP CT FR PLAS OPC SPRAY X 30 ML
61433, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 125 MG x 14,507706703110411, CLO, NOT FOUND, 75MG 2 BLT C/ 10 COMP
61433, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 125 MG x 14,507706701118415, CLO, NOT FOUND, (C1) 10 MG 2 BL X 10 COMP REV HOSP
61433, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 125 MG x 14,507706702114413, CLO, NOT FOUND, (C1) 25 MG 2 BL X 10 COMP REV HOSP
61433, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 125 MG x 14,507707609118119, CLOR TERBINAFINA, CLORIDRATO TERBINAFINA, 250 MG COM CT BL AL PLAS INC X 90 (EMB FRAC)
57700, CLARITROMICINA, CLARITROMICINA, CPR REVEST 500 MG x 14,507706404172113, CLARITROMICINA, CLARITROMICINA, 50MG/ML GRAN SUSP 60ML + DIL
57700, CLARITROMICINA, CLARITROMICINA, CPR REVEST 500 MG x 14,507706702114413, CLO, NOT FOUND, (C1) 25MG 2 BL X 10 COMP REV HOSP
57700, CLARITROMICINA, CLARITROMICINA, CPR REVEST 500 MG x 14,507706401114112, CLARITROMICINA, CLARITROMICINA, 500 MG 1 BL X 10 COMP
57700, CLARITROMICINA, CLARITROMICINA, CPR REVEST 500 MG x 14,507706401114112, CLARITROMICINA, CLARITROMICINA, 500MG 1 BL X 10 COMP
57700, CLARITROMICINA, CLARITROMICINA, CPR REVEST 500 MG x 14,507706402110110, CLARITROMICINA, CLARITROMICINA, 500 MG 2 BL X 7 COMP
57700, CLARITROMICINA, CLARITROMICINA, CPR REVEST 500 MG x 14,507706402110110, CLARITROMICINA, CLARITROMICINA, 500MG 2 BL X 7 COMP
57700, CLARITROMICINA, CLARITROMICINA, CPR REVEST 500 MG x 14,507706703110411, CLO, NOT FOUND, 75 MG 2 BLT C/ 10 COMP
57700, CLARITROMICINA, CLARITROMICINA, CPR REVEST 500 MG x 14,507706701118415, CLO, NOT FOUND, (C1) 10MG 2 BL X 10 COMP REV HOSP
57700, CLARITROMICINA, CLARITROMICINA, CPR REVEST 500 MG x 14,507706703110411, CLO, NOT FOUND, 75MG 2 BLT C/ 10 COMP
57700, CLARITROMICINA, CLARITROMICINA, CPR REVEST 500 MG x 14,507706701118415, CLO, NOT FOUND, (C1) 10 MG 2 BL X 10 COMP REV HOSP
57700, CLARITROMICINA, CLARITROMICINA, CPR REVEST 500 MG x 14,507706403176115, CLARITROMICINA, CLARITROMICINA, 25MG/ML GRAN SUSP 60ML + DIL
57700, CLARITROMICINA, CLARITROMICINA, CPR REVEST 500 MG x 14,507706702114413, CLO, NOT FOUND, (C1) 25 MG 2 BL X 10 COMP REV HOSP
57700, CLARITROMICINA, CLARITROMICINA, CPR REVEST 500 MG x 14,507706405111118, CLARITROMICINA, CLARITROMICINA, 500 MG COM REV CT BL AL PLAS LEIT X 30 (EMB FRAC)
89901, CLOR BUPROPIONA, CLORIDRATO BUPROPIONA, CPR REV A P 150 MG x 60,507706702114413, CLO, NOT FOUND, (C1) 25MG 2 BL X 10 COMP REV HOSP
89901, CLOR BUPROPIONA, CLORIDRATO BUPROPIONA, CPR REV A P 150 MG x 60,507706703110411, CLO, NOT FOUND, 75 MG 2 BLT C/ 10 COMP
89901, CLOR BUPROPIONA, CLORIDRATO BUPROPIONA, CPR REV A P 150 MG x 60,507706701118415, CLO, NOT FOUND, (C1) 10MG 2 BL X 10 COMP REV HOSP
89901, CLOR BUPROPIONA, CLORIDRATO BUPROPIONA, CPR REV A P 150 MG x 60,507706703110411, CLO, NOT FOUND, 75MG 2 BLT C/ 10 COMP
89901, CLOR BUPROPIONA, CLORIDRATO BUPROPIONA, CPR REV A P 150 MG x 60,507706701118415, CLO, NOT FOUND, (C1) 10 MG 2 BL X 10 COMP REV HOSP
89901, CLOR BUPROPIONA, CLORIDRATO BUPROPIONA, CPR REV A P 150 MG x 60,507706702114413, CLO, NOT FOUND, (C1) 25 MG 2 BL X 10 COMP REV HOSP
66534, CLOR DILTIAZEM, CLORIDRATO DILTIAZEM, CPR 30 MG x 50,507706702114413, CLO, NOT FOUND, (C1) 25MG 2 BL X 10 COMP REV HOSP
66534, CLOR DILTIAZEM, CLORIDRATO DILTIAZEM, CPR 30 MG x 50,507706703110411, CLO, NOT FOUND, 75 MG 2 BLT C/ 10 COMP
66534, CLOR DILTIAZEM, CLORIDRATO DILTIAZEM, CPR 30 MG x 50,507706701118415, CLO, NOT FOUND, (C1) 10MG 2 BL X 10 COMP REV HOSP
66534, CLOR DILTIAZEM, CLORIDRATO DILTIAZEM, CPR 30 MG x 50,507706703110411, CLO, NOT FOUND, 75MG 2 BLT C/ 10 COMP
66534, CLOR DILTIAZEM, CLORIDRATO DILTIAZEM, CPR 30 MG x 50,507706701118415, CLO, NOT FOUND, (C1) 10 MG 2 BL X 10 COMP REV HOSP
66534, CLOR DILTIAZEM, CLORIDRATO DILTIAZEM, CPR 30 MG x 50,507706702114413, CLO, NOT FOUND, (C1) 25 MG 2 BL X 10 COMP REV HOSP
74350, CLOR LIDOCAINA, CLORIDRATO LIDOCAINA, CREME DERMAT 40 MG 30 G x 1 (/G),507706702114413, CLO, NOT FOUND, (C1) 25MG 2 BL X 10 COMP REV HOSP
74350, CLOR LIDOCAINA, CLORIDRATO LIDOCAINA, CREME DERMAT 40 MG 30 G x 1 (/G),507706703110411, CLO, NOT FOUND, 75 MG 2 BLT C/ 10 COMP
74350, CLOR LIDOCAINA, CLORIDRATO LIDOCAINA, CREME DERMAT 40 MG 30 G x 1 (/G),507733201163117, CLORIDRATO LIDOCAINA, CLORIDRATO LIDOCAINA, 20 MG/ML GEL TOP CT BG AL X 30 G
