511303902113412; SUPLAN; SUPLAN; NOT FOUND; GEST FR. C/ 30 COMPR. VER.; NO_ACR
532301303118415; SULFAZINA; SULFAZINA; NOT FOUND; 500 MG COM CX ENV KRAFT X 500 (EMB HOSP); NO_ACR
513902202131419; ST400; ST400; NOT FOUND; FR COM SUSP 100 ML; NO_ACR
513902201119415; ST400; ST400; NOT FOUND; CX COM 2 BL COM 10; NO_ACR
517005401131418; SULFAMETOXAZOL+TRIMETOPRIMA; SULFAMETOXAZOL TRIMETOPRIMA; NOT FOUND; 40 + 8MG CX. C/50 FRASCOS X 50 ML; NO_ACR
513902203138417; ST400; ST400; NOT FOUND; FR COM SUSP 60 ML; NO_ACR
519602301117418; SULFAMETOXAZOL+TRIMETROPRIMA; SULFAMETOXAZOL TRIMETROPRIMA; NOT FOUND; 400 MG + 80 MG COM CX 50 ENV AL POLIET X 10; NO_ACR
517005402111410; SULFAMETOXAZOL+TRIMETOPRIMA; SULFAMETOXAZOL TRIMETOPRIMA; NOT FOUND; 400 + 80MG CX. C/50 ENV. X 10 COMP.; NO_ACR
540600201156411; SULFATO DE MAGNÉSIO HEPTAIDRATADO; SULFATO MAGNESIO HEPTAIDRATADO; SULFATO MAGNESIO HEPTAIDRATADO; 100 MG/ML SOL INJ IV CX 50 AMP VD INC X 10 ML; NO_ACR
540600202152418; SULFATO DE MAGNÉSIO HEPTAIDRATADO; SULFATO MAGNESIO HEPTAIDRATADO; SULFATO MAGNESIO HEPTAIDRATADO; 500 MG/ML SOL INJ IV CX 50 AMP VD INC X 10 ML; NO_ACR
532312100006106; SULFATO DE SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 0.4 MG/ML XPE CT FR PLAS AMB X 100 ML + CP MED; NO_ACR
532312100006206; SULFATO DE SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 0.4 MG/ML XPE CX 60 FR PLAS AMB X 100 ML + CP MED (EMB HOSP); NO_ACR
505207601138411; SALBUTAM; SALBUTAM; NOT FOUND; 0.4 MG/ML XPE CT FR VD AMB X 100 ML; NO_ACR
505209601135115; SULFATO DE SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 0.4 MG/ML XPE CT FR VD AMB X 100 ML; NO_ACR
532301201137119; SULFATO DE SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 0.4 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED X 10 ML; NO_ACR
540600501151316; SULFATO DE ZINCO; SULFATO ZINCO; NOT FOUND; 200 MCG/ML SOL INJ IV CX 50 AMP VD INC X 5 ML; NO_ACR
509401701110415; SULFERRO; SULFERRO; NOT FOUND; FR C/50 CAPS.-200 MG; NO_ACR
505207903134417; SULFERROL; SULFERROL; NOT FOUND; 25 MG/ML XPE CT FR VD AMB X 120 ML; NO_ACR
505207901115415; SULFERROL; SULFERROL; NOT FOUND; 250 MG DRG CT FR VD AMB X 50; NO_ACR
505207902138419; SULFERROL; SULFERROL; NOT FOUND; 68 MG/ML SOL OR GTS CT FR PLAS OPC X 30 ML; NO_ACR
525505101138315; SAFLUTAN; SAFLUTAN; NOT FOUND; 15 MCG/ML SOL OFT CT 30 FLAC X 0.3 ML; NO_ACR
525505102134313; SAFLUTAN; SAFLUTAN; NOT FOUND; 15 MCG/ML SOL OFT CT 90 FLAC X 0.3 ML; NO_ACR
510607104170318; SEREVENT; SEREVENT; NOT FOUND; 50 MCG/DOSE PO INAL CT BL AL/PVC X 60 DOSES; NO_ACR
