526124401169115; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; CLOTRIMAZOL ACETATO DEXAMETASONA; NOT FOUND; 10MG/G + 0.4MG/G CREM DERM CT BG AL X 40G; GM2
526116002161411; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 20 MG/G CREM VAG CT BG AL X 20 G + 3 APLIC ; GM2
526102103114427; CENALFAN; CENALFAN; NOT FOUND; FR X 32 PLUS COMP; GM2
526114070093703; COSARTAN HCT; COSARTAN HCT; NOT FOUND; 320 MG + 12.5 MG COM REV CT BL AL AL X 30; GM2
526112090087103; COSARTAN HCT; COSARTAN HCT; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL AL X 30; GM2
526112090087003; COSARTAN HCT; COSARTAN HCT; NOT FOUND; 80 MG + 12.5 MG COM REV CT BL AL AL X 30; GM2
526112090087203; COSARTAN HCT; COSARTAN HCT; NOT FOUND; 160 MG + 25 MG COM REV CT BL AL AL X 30; GM2
526112090087303; COSARTAN HCT; COSARTAN HCT; NOT FOUND; 320 MG + 25 MG COM REV CT BL AL AL X 30; GM2
526130301162415; CLAQUINONA; CLAQUINONA; NOT FOUND; 40 MG/G CREM CT BG AL X 30 G; GM2
526130302169413; CLAQUINONA; CLAQUINONA; NOT FOUND; 40 MG/G GEL CT BG AL X 30 G; GM2
526132001131111; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 2 MG/ ML SOL OR CT FR PLAS OPC X 120 ML + CP MED; GM2
526132002111114; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 25 MG COM CT FR PLAS OPC X 30; GM2
526103001153413; CONTRACEP; CONTRACEP; NOT FOUND; 150 MG/ML SUSP INJ CT FA VD INC X 1 ML; GM2
526102202155113; CETOROLACO TROMETAMINA; CETOROLACO TROMETAMINA; NOT FOUND; 30 MG/ML SOL INJ CT 3 AMP VD AMB X 1ML; GM2
526102203151111; CETOROLACO TROMETAMINA; CETOROLACO TROMETAMINA; NOT FOUND; 30 MG/ML SOL INJ CT 3 AMP VD AMB X 2ML; GM2
526102201175110; CETOROLACO TROMETAMINA; CETOROLACO TROMETAMINA; NOT FOUND; 5 MG/ML SOL OFT ESTERIL CT FR PLAS OPC GOT X 5 ML; GM2
526135002112417; COSARTAN; COSARTAN; NOT FOUND; 160 MG COM REV CT BL AL AL X 30; GM2
526135003119415; COSARTAN; COSARTAN; NOT FOUND; 320 MG COM REV CT BL AL AL X 30; GM2
526135001116419; COSARTAN; COSARTAN; NOT FOUND; 80 MG COM REV CT BL AL AL X 30; GM2
526124001111411; CARDIO AAS ENTÉRICO; CARDIO AAS ENTERICO; NOT FOUND; 165 MG COM CT BL AL PVDC LEIT X 30; GM2
526101901114426; CARDIO AAS; CARDIO AAS; NOT FOUND; 325MG 3 BL X 10 COMP; GM2
526101902110424; CARDIO AAS; CARDIO AAS; NOT FOUND; 85MG 3 BL X 10 COMP; GM2
