507722401115412, SECNAXIDOL, SECNAXIDOL, NOT FOUND, 1G 1 BL X 2 COMP, E3S
507744508117413, SOLLEVARE, SOLLEVARE, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 2, E3S
507744509113411, SOLLEVARE, SOLLEVARE, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 4, E3S
507744510111419, SOLLEVARE, SOLLEVARE, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 8, E3S
507741302119416, SIBUCTIL, SIBUCTIL, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS OPC X 30, E3S
507741301112418, SIBUCTIL, SIBUCTIL, NOT FOUND, 15 MG CAP GEL DURA CT BL AL PLAS OPC X 30, E3S
507722401115412, SECNAXIDOL, SECNAXIDOL, NOT FOUND, 1G 1 BL X 2 COMP, E3S
507728701137119, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 30MG/ML PO SUSP ORAL FR C/ 15ML, E3S
507728702133117, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 30MG/ML PO SUSP ORAL FR C/ 30ML, E3S
507722502116112, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG 3 BL X 10 COMP, E3S
507722505115117, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC), E3S
507722603117416, SINVATROX, SINVATROX, NOT FOUND, 20 MG 3 BL X 10 COMP, E3S
507722508114111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS OPC X 30, E3S
507722506111115, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS OPC X 60, E3S
507722509110111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM REV CT BL AL PLAS OPC X 30, E3S
507722507118113, SINVASTATINA, SINVASTATINA, SINVASTATINA, 80 MG COM REV CT BL AL PLAS OPC X 10, E3S
507739501177112, SULFATO DE GENTAMICINA + FOSFATO DISSÓDICO DE BETAMETASONA, SULFATO GENTAMICINA FOSFATO DISSODICO BETAMETASONA, NOT FOUND, 3 MG/ML + 1 MG/ML SOL OFT CT FR PLAS TRANS GOT X 10 ML, E3S
507744901137416, SULGLIC, SULGLIC, NOT FOUND, 1.5 G PO P/ SOL OR CT 30 ENV AL PLAS X 3.95 G, E3S
507732801159112, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 0.2 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML (EMB HOSP), E3S
507732802155110, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 1 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP), E3S
507732803151119, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML (EMB HOSP), E3S
507732804131111, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL OR CT FR VD AMB X 60 ML + CGT , E3S
507723201160110, SULFATO NEOMICINA + BACITRACINA, SULFATO NEOMICINA BACITRACINA, NOT FOUND, 5 MG/G + 250 UI/G POM DERM CT BG AL X 15 G, E3S
507723301130116, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, E3S
507736901131115, SULFATO DE SALBUTAMOL + GUAIFENESINA, SULFATO SALBUTAMOL GUAIFENESINA, NOT FOUND, 0.4 MG/ML + 20 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, E3S
507738101132113, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.3 MG/ML XPE CT FR VD AMB X 100 ML + CP MED , E3S
507722801172413, STILUX, STILUX, NOT FOUND, 0.15 MG/ML + 0.30 MG/ML SOL OFT CT FR PLAS OPC GOT X 20 ML, E3S
507738401111413, SUPRICAL D, SUPRICAL D, NOT FOUND, 500 MG + 200 UI COM REV CT FR PLAS OPC X 75, E3S
507744502119414, SOLLEVARE, SOLLEVARE, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 1, E3S
507744503115412, SOLLEVARE, SOLLEVARE, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 2, E3S
507744504111410, SOLLEVARE, SOLLEVARE, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 4, E3S
507744501112416, SOLLEVARE, SOLLEVARE, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 1, E3S
507744505118419, SOLLEVARE, SOLLEVARE, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 2, E3S
507744506114417, SOLLEVARE, SOLLEVARE, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 4, E3S
507744507110415, SOLLEVARE, SOLLEVARE, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 1, E3S
507744511118417, SOLLEVARE, SOLLEVARE, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 12, E3S
507744508117413, SOLLEVARE, SOLLEVARE, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 2, E3S
507744509113411, SOLLEVARE, SOLLEVARE, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 4, E3S
507744510111419, SOLLEVARE, SOLLEVARE, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 8, E3S
507745401170412, SALVELOX, SALVELOX, NOT FOUND, 21 MG/ML + 1.33 MG/ML SOL TOP CT FR PLAS OPC SPRAY X 50 ML, E3S
507741302119416, SIBUCTIL, SIBUCTIL, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS OPC X 30, E3S
507741301112418, SIBUCTIL, SIBUCTIL, NOT FOUND, 15 MG CAP GEL DURA CT BL AL PLAS OPC X 30, E3S
507722401115412, SECNAXIDOL, SECNAXIDOL, NOT FOUND, 1G 1 BL X 2 COMP, E3S
507728701137119, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 30MG/ML PO SUSP ORAL FR C/ 15ML, E3S
507728702133117, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 30MG/ML PO SUSP ORAL FR C/ 30ML, E3S
507722502116112, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG 3 BL X 10 COMP, E3S
507722505115117, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC), E3S
507722603117416, SINVATROX, SINVATROX, NOT FOUND, 20 MG 3 BL X 10 COMP, E3S
507722508114111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS OPC X 30, E3S
507722506111115, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS OPC X 60, E3S
507722509110111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM REV CT BL AL PLAS OPC X 30, E3S
507722507118113, SINVASTATINA, SINVASTATINA, SINVASTATINA, 80 MG COM REV CT BL AL PLAS OPC X 10, E3S
507739501177112, SULFATO DE GENTAMICINA + FOSFATO DISSÓDICO DE BETAMETASONA, SULFATO GENTAMICINA FOSFATO DISSODICO BETAMETASONA, NOT FOUND, 3 MG/ML + 1 MG/ML SOL OFT CT FR PLAS TRANS GOT X 10 ML, E3S
507744901137416, SULGLIC, SULGLIC, NOT FOUND, 1.5 G PO P/ SOL OR CT 30 ENV AL PLAS X 3.95 G, E3S
507732801159112, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 0.2 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML (EMB HOSP), E3S
507732802155110, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 1 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP), E3S
507732803151119, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML (EMB HOSP), E3S
507732804131111, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL OR CT FR VD AMB X 60 ML + CGT , E3S
507723201160110, SULFATO NEOMICINA + BACITRACINA, SULFATO NEOMICINA BACITRACINA, NOT FOUND, 5 MG/G + 250 UI/G POM DERM CT BG AL X 15 G, E3S
507723301130116, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, E3S
507736901131115, SULFATO DE SALBUTAMOL + GUAIFENESINA, SULFATO SALBUTAMOL GUAIFENESINA, NOT FOUND, 0.4 MG/ML + 20 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, E3S
507738101132113, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.3 MG/ML XPE CT FR VD AMB X 100 ML + CP MED , E3S
