507725801017110, MALEA.ENALAP.+HIDR., MALEA ENALAP HIDR, NOT FOUND, 10/25MG 2BX15 COMP, E3S
507717401110414, MELOXIGRAN, MELOXIGRAN, NOT FOUND, 15MG FR C/10 COMP, E3S
507731901176118, MESALAZINA, MESALAZINA, MESALAZINA, 3 G ENEMA CT SACH AL POLIET X 3 G + DIL FR PLAS TRANS X 100 ML, E3S
507731902113111, MESALAZINA, MESALAZINA, MESALAZINA, 800 MG COM REV CT BL AL PLAS LEIT X 30, E3S
507732001111115, MESILATO DE DOXAZOSINA, MESILATO DOXAZOSINA, MESILATO DOXAZOSINA, 2 MG COM CT BL AL PLAS LEIT X 30, E3S
507717603112116, METILDOPA, METILDOPA, METILDOPA, 250 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC), E3S
507717601111112, METILDOPA, METILDOPA, METILDOPA, 250MG 3 BL X 10 COMP, E3S
507717604119114, METILDOPA, METILDOPA, METILDOPA, 500 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC), E3S
507717602116118, METILDOPA, METILDOPA, METILDOPA, 500MG 3 BL X 10 COMP, E3S
507717701114415, METILPRESS, METILPRESS, NOT FOUND, 250 MG COM REV CT 3 BL AL PLAS INC X 10, E3S
507717702110413, METILPRESS, METILPRESS, NOT FOUND, 500 MG COM REV CT 3 BL AL PLAS INC X 10, E3S
507717903167110, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, GEL VAG. BISN C/50G C/APL, E3S
507737401116115, MICOFENOLATO DE MOFETILA, MICOFENOLATO MOFETILA, MICOFENOLATO MOFETILA, 500 MG COM REV CT BL AL PLAS LEIT X 50 (EMB HOSP), E3S
507741701171411, MUPIROX, MUPIROX, NOT FOUND, 10 MG/ML SOL TOP CT FR GOT PLAS TRANS X 15 ML, E3S
507725801017110, MALEA.ENALAP.+HIDR., MALEA ENALAP HIDR, NOT FOUND, 10/25MG 2BX15 COMP, E3S
507716902116115, MALEATO DE DEXCLOR.+BETAMETASONA, MALEATO DEXCLOR BETAMETASONA, NOT FOUND, 2 MG + 0.25 MG COM CT BL AL PLAS LEIT X 20, E3S
507716901136112, MALEATO DE DEXCLOR.+BETAMETASONA, MALEATO DEXCLOR BETAMETASONA, NOT FOUND, XPE 120ML, E3S
507717003166118, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 10 MG/G CREM DERM CT BG AL X 30 G, E3S
507717002119116, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2 MG COM CT BL AL BCO PLAS LEIT X 20, E3S
507717001139113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, SOL ORAL 120ML, E3S
507729501131115, MALEATO DE DEXCLORFENIRAMINA+SULFATO DE PSEUDOEFEDRINA+GUAIFENESINA, MALEATO DEXCLORFENIRAMINA SULFATO PSEUDOEFEDRINA GUAIFENESINA, NOT FOUND, 0.4 + 4.0 + 20 MG/ML SOL ORAL X 120 ML, E3S
507734801113119, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 60 (EMB FRAC), E3S
507734802111111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 60 (EMB FRAC), E3S
507734803116115, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 60 (EMB FRAC), E3S
507729602116111, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 10 MG + 25 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507729601111116, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 20 MG + 12.5 MG COM CT BL AL PLAS LEIT X 30, E3S
507729603112111, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 20 MG + 12.5 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507733601137113, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 2.5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, E3S
507733602133111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, E3S
507717101117111, MALEATO ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10MG 3STP C/10 COMP, E3S
507717102113111, MALEATO ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20MG 3STP C/10 COMP, E3S
507717103111110, MALEATO ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5MG 3STP C/10 COMP, E3S
507717201111115, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100MG 1 BL X 6 COMP, E3S
507717202134119, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR VD AMB X 30 ML, E3S
507728501111116, MEBENDAZOL + TIABENDAZOL, MEBENDAZOL TIABENDAZOL, NOT FOUND, 200MG+332MG 1 BLT C/ 6 COMP, E3S
507717303119115, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS BCO LEIT X 60 (EMB FRAC), E3S
507717302112117, MELOXICAM, MELOXICAM, MELOXICAM, 15MG COM CT BL AL PLAS BCO LEIT X 10, E3S
507717304115113, MELOXICAM, MELOXICAM, MELOXICAM, 7.5 MG COM CT BL AL PLAS BCO LEIT X 60 (EMB FRAC), E3S
507717301116119, MELOXICAM, MELOXICAM, MELOXICAM, 7.5MG FR C/10 COMP, E3S
507717401110414, MELOXIGRAN, MELOXIGRAN, NOT FOUND, 15MG FR C/10 COMP, E3S
507731901176118, MESALAZINA, MESALAZINA, MESALAZINA, 3 G ENEMA CT SACH AL POLIET X 3 G + DIL FR PLAS TRANS X 100 ML, E3S
507731902113111, MESALAZINA, MESALAZINA, MESALAZINA, 800 MG COM REV CT BL AL PLAS LEIT X 30, E3S
507732001111115, MESILATO DE DOXAZOSINA, MESILATO DOXAZOSINA, MESILATO DOXAZOSINA, 2 MG COM CT BL AL PLAS LEIT X 30, E3S
507717603112116, METILDOPA, METILDOPA, METILDOPA, 250 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC), E3S
507717601111112, METILDOPA, METILDOPA, METILDOPA, 250MG 3 BL X 10 COMP, E3S
507717604119114, METILDOPA, METILDOPA, METILDOPA, 500 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC), E3S
507717602116118, METILDOPA, METILDOPA, METILDOPA, 500MG 3 BL X 10 COMP, E3S
507717701114415, METILPRESS, METILPRESS, NOT FOUND, 250 MG COM REV CT 3 BL AL PLAS INC X 10, E3S
507717702110413, METILPRESS, METILPRESS, NOT FOUND, 500 MG COM REV CT 3 BL AL PLAS INC X 10, E3S
507717903167110, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, GEL VAG. BISN C/50G C/APL, E3S
507737401116115, MICOFENOLATO DE MOFETILA, MICOFENOLATO MOFETILA, MICOFENOLATO MOFETILA, 500 MG COM REV CT BL AL PLAS LEIT X 50 (EMB HOSP), E3S
507741701171411, MUPIROX, MUPIROX, NOT FOUND, 10 MG/ML SOL TOP CT FR GOT PLAS TRANS X 15 ML, E3S
507725801017110, MALEA.ENALAP.+HIDR., MALEA ENALAP HIDR, NOT FOUND, 10/25MG 2BX15 COMP, E3S
507716902116115, MALEATO DE DEXCLOR.+BETAMETASONA, MALEATO DEXCLOR BETAMETASONA, NOT FOUND, 2 MG + 0.25 MG COM CT BL AL PLAS LEIT X 20, E3S
507716901136112, MALEATO DE DEXCLOR.+BETAMETASONA, MALEATO DEXCLOR BETAMETASONA, NOT FOUND, XPE 120ML, E3S
507717003166118, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 10 MG/G CREM DERM CT BG AL X 30 G, E3S
507717002119116, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2 MG COM CT BL AL BCO PLAS LEIT X 20, E3S
507717001139113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, SOL ORAL 120ML, E3S
507729501131115, MALEATO DE DEXCLORFENIRAMINA+SULFATO DE PSEUDOEFEDRINA+GUAIFENESINA, MALEATO DEXCLORFENIRAMINA SULFATO PSEUDOEFEDRINA GUAIFENESINA, NOT FOUND, 0.4 + 4.0 + 20 MG/ML SOL ORAL X 120 ML, E3S
507734801113119, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 60 (EMB FRAC), E3S
507734802111111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 60 (EMB FRAC), E3S
507734803116115, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 60 (EMB FRAC), E3S
507729602116111, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 10 MG + 25 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507729601111116, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 20 MG + 12.5 MG COM CT BL AL PLAS LEIT X 30, E3S
507729603112111, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 20 MG + 12.5 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507733601137113, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 2.5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, E3S
507733602133111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, E3S
507717101117111, MALEATO ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10MG 3STP C/10 COMP, E3S
507717102113111, MALEATO ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20MG 3STP C/10 COMP, E3S
507717103111110, MALEATO ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5MG 3STP C/10 COMP, E3S
507717201111115, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100MG 1 BL X 6 COMP, E3S
507717202134119, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR VD AMB X 30 ML, E3S
507728501111116, MEBENDAZOL + TIABENDAZOL, MEBENDAZOL TIABENDAZOL, NOT FOUND, 200MG+332MG 1 BLT C/ 6 COMP, E3S
507717303119115, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS BCO LEIT X 60 (EMB FRAC), E3S
507717302112117, MELOXICAM, MELOXICAM, MELOXICAM, 15MG COM CT BL AL PLAS BCO LEIT X 10, E3S
507717304115113, MELOXICAM, MELOXICAM, MELOXICAM, 7.5 MG COM CT BL AL PLAS BCO LEIT X 60 (EMB FRAC), E3S
507717301116119, MELOXICAM, MELOXICAM, MELOXICAM, 7.5MG FR C/10 COMP, E3S
507717401110414, MELOXIGRAN, MELOXIGRAN, NOT FOUND, 15MG FR C/10 COMP, E3S
507731901176118, MESALAZINA, MESALAZINA, MESALAZINA, 3 G ENEMA CT SACH AL POLIET X 3 G + DIL FR PLAS TRANS X 100 ML, E3S
507731902113111, MESALAZINA, MESALAZINA, MESALAZINA, 800 MG COM REV CT BL AL PLAS LEIT X 30, E3S
507732001111115, MESILATO DE DOXAZOSINA, MESILATO DOXAZOSINA, MESILATO DOXAZOSINA, 2 MG COM CT BL AL PLAS LEIT X 30, E3S
507717603112116, METILDOPA, METILDOPA, METILDOPA, 250 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC), E3S
507717601111112, METILDOPA, METILDOPA, METILDOPA, 250MG 3 BL X 10 COMP, E3S
507717604119114, METILDOPA, METILDOPA, METILDOPA, 500 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC), E3S
507717602116118, METILDOPA, METILDOPA, METILDOPA, 500MG 3 BL X 10 COMP, E3S
507717701114415, METILPRESS, METILPRESS, NOT FOUND, 250 MG COM REV CT 3 BL AL PLAS INC X 10, E3S
507717702110413, METILPRESS, METILPRESS, NOT FOUND, 500 MG COM REV CT 3 BL AL PLAS INC X 10, E3S
507717903167110, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, GEL VAG. BISN C/50G C/APL, E3S
507737401116115, MICOFENOLATO DE MOFETILA, MICOFENOLATO MOFETILA, MICOFENOLATO MOFETILA, 500 MG COM REV CT BL AL PLAS LEIT X 50 (EMB HOSP), E3S
507741701171411, MUPIROX, MUPIROX, NOT FOUND, 10 MG/ML SOL TOP CT FR GOT PLAS TRANS X 15 ML, E3S
507725801017110, MALEA.ENALAP.+HIDR., MALEA ENALAP HIDR, NOT FOUND, 10/25MG 2BX15 COMP, E3S
507716902116115, MALEATO DE DEXCLOR.+BETAMETASONA, MALEATO DEXCLOR BETAMETASONA, NOT FOUND, 2 MG + 0.25 MG COM CT BL AL PLAS LEIT X 20, E3S
507716901136112, MALEATO DE DEXCLOR.+BETAMETASONA, MALEATO DEXCLOR BETAMETASONA, NOT FOUND, XPE 120ML, E3S
507717003166118, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 10 MG/G CREM DERM CT BG AL X 30 G, E3S
507717002119116, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2 MG COM CT BL AL BCO PLAS LEIT X 20, E3S
507717001139113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, SOL ORAL 120ML, E3S
507729501131115, MALEATO DE DEXCLORFENIRAMINA+SULFATO DE PSEUDOEFEDRINA+GUAIFENESINA, MALEATO DEXCLORFENIRAMINA SULFATO PSEUDOEFEDRINA GUAIFENESINA, NOT FOUND, 0.4 + 4.0 + 20 MG/ML SOL ORAL X 120 ML, E3S
507734801113119, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 60 (EMB FRAC), E3S
507734802111111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 60 (EMB FRAC), E3S
507734803116115, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 60 (EMB FRAC), E3S
507729602116111, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 10 MG + 25 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507729601111116, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 20 MG + 12.5 MG COM CT BL AL PLAS LEIT X 30, E3S
507729603112111, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 20 MG + 12.5 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507733601137113, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 2.5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, E3S
507733602133111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, E3S
507717101117111, MALEATO ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10MG 3STP C/10 COMP, E3S
507717102113111, MALEATO ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20MG 3STP C/10 COMP, E3S
507717103111110, MALEATO ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5MG 3STP C/10 COMP, E3S
507717201111115, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100MG 1 BL X 6 COMP, E3S
507717202134119, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR VD AMB X 30 ML, E3S
507728501111116, MEBENDAZOL + TIABENDAZOL, MEBENDAZOL TIABENDAZOL, NOT FOUND, 200MG+332MG 1 BLT C/ 6 COMP, E3S
507717303119115, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS BCO LEIT X 60 (EMB FRAC), E3S
507717302112117, MELOXICAM, MELOXICAM, MELOXICAM, 15MG COM CT BL AL PLAS BCO LEIT X 10, E3S
507717304115113, MELOXICAM, MELOXICAM, MELOXICAM, 7.5 MG COM CT BL AL PLAS BCO LEIT X 60 (EMB FRAC), E3S
507717301116119, MELOXICAM, MELOXICAM, MELOXICAM, 7.5MG FR C/10 COMP, E3S
507717401110414, MELOXIGRAN, MELOXIGRAN, NOT FOUND, 15MG FR C/10 COMP, E3S
507731901176118, MESALAZINA, MESALAZINA, MESALAZINA, 3 G ENEMA CT SACH AL POLIET X 3 G + DIL FR PLAS TRANS X 100 ML, E3S
507731902113111, MESALAZINA, MESALAZINA, MESALAZINA, 800 MG COM REV CT BL AL PLAS LEIT X 30, E3S
507732001111115, MESILATO DE DOXAZOSINA, MESILATO DOXAZOSINA, MESILATO DOXAZOSINA, 2 MG COM CT BL AL PLAS LEIT X 30, E3S
507717603112116, METILDOPA, METILDOPA, METILDOPA, 250 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC), E3S
507717601111112, METILDOPA, METILDOPA, METILDOPA, 250MG 3 BL X 10 COMP, E3S
507717604119114, METILDOPA, METILDOPA, METILDOPA, 500 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC), E3S
507717602116118, METILDOPA, METILDOPA, METILDOPA, 500MG 3 BL X 10 COMP, E3S
507717701114415, METILPRESS, METILPRESS, NOT FOUND, 250 MG COM REV CT 3 BL AL PLAS INC X 10, E3S
507717702110413, METILPRESS, METILPRESS, NOT FOUND, 500 MG COM REV CT 3 BL AL PLAS INC X 10, E3S
507717903167110, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, GEL VAG. BISN C/50G C/APL, E3S
507737401116115, MICOFENOLATO DE MOFETILA, MICOFENOLATO MOFETILA, MICOFENOLATO MOFETILA, 500 MG COM REV CT BL AL PLAS LEIT X 50 (EMB HOSP), E3S
507741701171411, MUPIROX, MUPIROX, NOT FOUND, 10 MG/ML SOL TOP CT FR GOT PLAS TRANS X 15 ML, E3S
507725801017110, MALEA.ENALAP.+HIDR., MALEA ENALAP HIDR, NOT FOUND, 10/25MG 2BX15 COMP, E3S
507716902116115, MALEATO DE DEXCLOR.+BETAMETASONA, MALEATO DEXCLOR BETAMETASONA, NOT FOUND, 2 MG + 0.25 MG COM CT BL AL PLAS LEIT X 20, E3S
507716901136112, MALEATO DE DEXCLOR.+BETAMETASONA, MALEATO DEXCLOR BETAMETASONA, NOT FOUND, XPE 120ML, E3S
507717003166118, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 10 MG/G CREM DERM CT BG AL X 30 G, E3S
507717002119116, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2 MG COM CT BL AL BCO PLAS LEIT X 20, E3S
507717001139113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, SOL ORAL 120ML, E3S
507729501131115, MALEATO DE DEXCLORFENIRAMINA+SULFATO DE PSEUDOEFEDRINA+GUAIFENESINA, MALEATO DEXCLORFENIRAMINA SULFATO PSEUDOEFEDRINA GUAIFENESINA, NOT FOUND, 0.4 + 4.0 + 20 MG/ML SOL ORAL X 120 ML, E3S
507734801113119, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 60 (EMB FRAC), E3S
507734802111111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 60 (EMB FRAC), E3S
507734803116115, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 60 (EMB FRAC), E3S
507729602116111, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 10 MG + 25 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507729601111116, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 20 MG + 12.5 MG COM CT BL AL PLAS LEIT X 30, E3S
507729603112111, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 20 MG + 12.5 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507733601137113, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 2.5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, E3S
507733602133111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, E3S
507717101117111, MALEATO ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10MG 3STP C/10 COMP, E3S
507717102113111, MALEATO ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20MG 3STP C/10 COMP, E3S
507717103111110, MALEATO ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5MG 3STP C/10 COMP, E3S
507717201111115, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100MG 1 BL X 6 COMP, E3S
507717202134119, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR VD AMB X 30 ML, E3S
507728501111116, MEBENDAZOL + TIABENDAZOL, MEBENDAZOL TIABENDAZOL, NOT FOUND, 200MG+332MG 1 BLT C/ 6 COMP, E3S
507717303119115, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS BCO LEIT X 60 (EMB FRAC), E3S
507717302112117, MELOXICAM, MELOXICAM, MELOXICAM, 15MG COM CT BL AL PLAS BCO LEIT X 10, E3S
507717304115113, MELOXICAM, MELOXICAM, MELOXICAM, 7.5 MG COM CT BL AL PLAS BCO LEIT X 60 (EMB FRAC), E3S
507717301116119, MELOXICAM, MELOXICAM, MELOXICAM, 7.5MG FR C/10 COMP, E3S
507717401110414, MELOXIGRAN, MELOXIGRAN, NOT FOUND, 15MG FR C/10 COMP, E3S
507731901176118, MESALAZINA, MESALAZINA, MESALAZINA, 3 G ENEMA CT SACH AL POLIET X 3 G + DIL FR PLAS TRANS X 100 ML, E3S
507731902113111, MESALAZINA, MESALAZINA, MESALAZINA, 800 MG COM REV CT BL AL PLAS LEIT X 30, E3S
507732001111115, MESILATO DE DOXAZOSINA, MESILATO DOXAZOSINA, MESILATO DOXAZOSINA, 2 MG COM CT BL AL PLAS LEIT X 30, E3S
507717603112116, METILDOPA, METILDOPA, METILDOPA, 250 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC), E3S
507717601111112, METILDOPA, METILDOPA, METILDOPA, 250MG 3 BL X 10 COMP, E3S
507717604119114, METILDOPA, METILDOPA, METILDOPA, 500 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC), E3S
507717602116118, METILDOPA, METILDOPA, METILDOPA, 500MG 3 BL X 10 COMP, E3S
507717701114415, METILPRESS, METILPRESS, NOT FOUND, 250 MG COM REV CT 3 BL AL PLAS INC X 10, E3S
507717702110413, METILPRESS, METILPRESS, NOT FOUND, 500 MG COM REV CT 3 BL AL PLAS INC X 10, E3S
507717903167110, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, GEL VAG. BISN C/50G C/APL, E3S
507737401116115, MICOFENOLATO DE MOFETILA, MICOFENOLATO MOFETILA, MICOFENOLATO MOFETILA, 500 MG COM REV CT BL AL PLAS LEIT X 50 (EMB HOSP), E3S
507741701171411, MUPIROX, MUPIROX, NOT FOUND, 10 MG/ML SOL TOP CT FR GOT PLAS TRANS X 15 ML, E3S
507741701171411, MUPIROX, MUPIROX, NOT FOUND, 10 MG/ML SOL TOP CT FR GOT PLAS TRANS X 15 ML, E3S
507729602116111, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 10 MG + 25 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507725801017110, MALEA.ENALAP.+HIDR., MALEA ENALAP HIDR, NOT FOUND, 10/25 MG 2BX15 COMP, E3S
507729601111116, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 20 MG + 12.5 MG COM CT BL AL PLAS LEIT X 30, E3S
507729603112111, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 20 MG + 12.5 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507717001139113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML , E3S
507717003166118, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 10 MG/G CREM DERM CT BG AL X 30 G, E3S
507717002119116, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2 MG COM CT BL AL BCO PLAS LEIT X 20, E3S
507717004138118, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, E3S
507716902116115, MALEATO DE DEXCLOR.+BETAMETASONA, MALEATO DEXCLOR BETAMETASONA, NOT FOUND, 2 MG + 0.25 MG COM CT BL AL PLAS LEIT X 20, E3S
507716901136112, MALEATO DE DEXCLOR.+BETAMETASONA, MALEATO DEXCLOR BETAMETASONA, NOT FOUND, XPE 120ML, E3S
507729501131115, MALEATO DE DEXCLORFENIRAMINA+SULFATO DE PSEUDOEFEDRINA+GUAIFENESINA, MALEATO DEXCLORFENIRAMINA SULFATO PSEUDOEFEDRINA GUAIFENESINA, NOT FOUND, 0.4 + 4.0 + 20 MG/ML SOL ORAL X 120 ML, E3S
