506703501152415, DANTROLEN, DANTROLEN, NOT FOUND, IV 20MG-KIT.C/3 CXS.12FRS., CT6
506704204151315, DIMORF, DIMORF, NOT FOUND, 10MG/ML-50AP.1ML., CT6
506704205158313, DIMORF, DIMORF, NOT FOUND, 10MG/ML-5AP.1ML., CT6
506704207150311, DIMORF, DIMORF, NOT FOUND, 1MG/ML-50 ETJ. 2ML, CT6
506704209110315, DIMORF, DIMORF, NOT FOUND, 30MG-5BLIST.10CPS., CT6
506704301114410, DIMORF LC, DIMORF LC, NOT FOUND, 100 MG CAP GEL CX 6 BL AL PLAS INC X 10 , CT6
506704302110419, DIMORF LC, DIMORF LC, NOT FOUND, 30 MG CAP GEL CT 6 BL AL PLAS INC X 10 , CT6
506704303117417, DIMORF LC, DIMORF LC, NOT FOUND, 60 MG CAP GEL CX 6 BL AL PLAS INC X 10 , CT6
506704401151415, DOLOSAL, DOLOSAL, NOT FOUND, 50 MG/ML SOL INJ CX 25 AMP VD AMB X 2 ML, CT6
506704501156419, DOPACRIS, DOPACRIS, NOT FOUND, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML EMB HOSP , CT6
506704606152413, DORMIRE, DORMIRE, NOT FOUND, 1 MG/ML SOL INJ CX 50 AMP VD AMB X 5 ML, CT6
506704601150412, DORMIRE, DORMIRE, NOT FOUND, 15MG-5AP.3ML, CT6
506704602114411, DORMIRE, DORMIRE, NOT FOUND, 15MG-C/20CPS., CT6
506704603137413, DORMIRE, DORMIRE, NOT FOUND, 2MG/ML-CX.12F.10ML+12DOSADOR, CT6
506704607159411, DORMIRE, DORMIRE, NOT FOUND, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML, CT6
506704608155411, DORMIRE, DORMIRE, NOT FOUND, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 3 ML (EMB HOSP), CT6
506704604151411, DORMIRE, DORMIRE, NOT FOUND, 50MG-5AP.10ML, CT6
506704605156415, DORMIRE, DORMIRE, NOT FOUND, 5MG-5AP. 5ML, CT6
506704701155416, DROPERDAL, DROPERDAL, NOT FOUND, 2.5MG/ML 50AP. 1ML, CT6
506704801151412, DUOFLAM, DUOFLAM, NOT FOUND, 6.43 MG/ML + 2.63 MG/ML SUS INJ CT 1 AMP VD INC X 1 ML + SER, CT6
506703601114418, DENYL, DENYL, NOT FOUND, 20 MG-1BLIST.14CPS., CT6
506703602110416, DENYL, DENYL, NOT FOUND, 20 MG-2BLIST.14CPS., CT6
506703603117414, DENYL, DENYL, NOT FOUND, 40 MG-1BLIST.14CPS., CT6
506704101158414, DIFENIDRIN, DIFENIDRIN, NOT FOUND, 50MG/ML-25AP.1ML, CT6
506704501156419, DOPACRIS, DOPACRIS, NOT FOUND, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML EMB HOSP , CT6
506704606152413, DORMIRE, DORMIRE, NOT FOUND, 1 MG/ML SOL INJ CX 50 AMP VD AMB X 5 ML, CT6
506704601150412, DORMIRE, DORMIRE, NOT FOUND, 15MG-5AP.3ML, CT6
506704603137413, DORMIRE, DORMIRE, NOT FOUND, 2MG/ML-CX.12F.10ML+12DOSADOR, CT6
506704607159411, DORMIRE, DORMIRE, NOT FOUND, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML, CT6
506704608155411, DORMIRE, DORMIRE, NOT FOUND, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 3 ML (EMB HOSP), CT6
506704604151411, DORMIRE, DORMIRE, NOT FOUND, 50MG-5AP.10ML, CT6
506704605156415, DORMIRE, DORMIRE, NOT FOUND, 5MG-5AP. 5ML, CT6
506704401151415, DOLOSAL, DOLOSAL, NOT FOUND, 50 MG/ML SOL INJ CX 25 AMP VD AMB X 2 ML, CT6
506703501152415, DANTROLEN, DANTROLEN, NOT FOUND, IV 20MG-KIT.C/3 CXS.12FRS., CT6
506703801131111, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1MG/ML-ELIX-1FR.120ML, CT6
506703701161418, DEXAMESON, DEXAMESON, NOT FOUND, -50BIS. 10G, CT6
506704001161111, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, -1BIS.60G.GE, CT6
506704801151412, DUOFLAM, DUOFLAM, NOT FOUND, 6.43 MG/ML + 2.63 MG/ML SUS INJ CT 1 AMP VD INC X 1 ML + SER, CT6
506704701155416, DROPERDAL, DROPERDAL, NOT FOUND, 2.5MG/ML 50AP. 1ML, CT6
506703901134414, DEXCLOR, DEXCLOR, NOT FOUND, 0.04%-50FR.100ML, CT6
506703902114417, DEXCLOR, DEXCLOR, NOT FOUND, 2 MG-20BLIS.10CPS., CT6
506704602114411, DORMIRE, DORMIRE, NOT FOUND, 15 MG-C/20CPS., CT6
506704210151313, DIMORF, DIMORF, NOT FOUND, 0.1 MG/ML SOL INJ CX 50 EST AMP VD AMB X 1 ML, CT6
506704201152310, DIMORF, DIMORF, NOT FOUND, 0.2MG/ML-50ETJ.1ML (SP), CT6
506704206111310, DIMORF, DIMORF, NOT FOUND, 10 MG COM CT FR VD AMB X 50 , CT6
506704301114410, DIMORF LC, DIMORF LC, NOT FOUND, 100 MG CAP GEL CX 6 BL AL PLAS INC X 10 , CT6
506704203139311, DIMORF, DIMORF, NOT FOUND, 10MG/ML S.ORAL-1FR.60ML., CT6
506704204151315, DIMORF, DIMORF, NOT FOUND, 10MG/ML-50AP.1ML., CT6
506704205158313, DIMORF, DIMORF, NOT FOUND, 10MG/ML-5AP.1ML., CT6
506704207150311, DIMORF, DIMORF, NOT FOUND, 1MG/ML-50 ETJ. 2ML, CT6
506704302110419, DIMORF LC, DIMORF LC, NOT FOUND, 30 MG CAP GEL CT 6 BL AL PLAS INC X 10 , CT6
506704209110315, DIMORF, DIMORF, NOT FOUND, 30 MG-5BLIST.10CPS., CT6
506704303117417, DIMORF LC, DIMORF LC, NOT FOUND, 60 MG CAP GEL CX 6 BL AL PLAS INC X 10 , CT6
506703601114418, DENYL, DENYL, NOT FOUND, 20 MG-1BLIST.14CPS., CT6
506703602110416, DENYL, DENYL, NOT FOUND, 20 MG-2BLIST.14CPS., CT6
506703603117414, DENYL, DENYL, NOT FOUND, 40 MG-1BLIST.14CPS., CT6
506704101158414, DIFENIDRIN, DIFENIDRIN, NOT FOUND, 50MG/ML-25AP.1ML, CT6
506704501156419, DOPACRIS, DOPACRIS, NOT FOUND, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML EMB HOSP , CT6
506704606152413, DORMIRE, DORMIRE, NOT FOUND, 1 MG/ML SOL INJ CX 50 AMP VD AMB X 5 ML, CT6
506704601150412, DORMIRE, DORMIRE, NOT FOUND, 15MG-5AP.3ML, CT6
506704603137413, DORMIRE, DORMIRE, NOT FOUND, 2MG/ML-CX.12F.10ML+12DOSADOR, CT6
506704607159411, DORMIRE, DORMIRE, NOT FOUND, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML, CT6
506704608155411, DORMIRE, DORMIRE, NOT FOUND, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 3 ML (EMB HOSP), CT6
506704604151411, DORMIRE, DORMIRE, NOT FOUND, 50MG-5AP.10ML, CT6
506704605156415, DORMIRE, DORMIRE, NOT FOUND, 5MG-5AP. 5ML, CT6
506704401151415, DOLOSAL, DOLOSAL, NOT FOUND, 50 MG/ML SOL INJ CX 25 AMP VD AMB X 2 ML, CT6
506703501152415, DANTROLEN, DANTROLEN, NOT FOUND, IV 20MG-KIT.C/3 CXS.12FRS., CT6
506703801131111, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1MG/ML-ELIX-1FR.120ML, CT6
506703701161418, DEXAMESON, DEXAMESON, NOT FOUND, -50BIS. 10G, CT6
506704001161111, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, -1BIS.60G.GE, CT6
506704801151412, DUOFLAM, DUOFLAM, NOT FOUND, 6.43 MG/ML + 2.63 MG/ML SUS INJ CT 1 AMP VD INC X 1 ML + SER, CT6
506704701155416, DROPERDAL, DROPERDAL, NOT FOUND, 2.5MG/ML 50AP. 1ML, CT6
506703901134414, DEXCLOR, DEXCLOR, NOT FOUND, 0.04%-50FR.100ML, CT6
506703902114417, DEXCLOR, DEXCLOR, NOT FOUND, 2 MG-20BLIS.10CPS., CT6
506704602114411, DORMIRE, DORMIRE, NOT FOUND, 15 MG-C/20CPS., CT6
506704210151313, DIMORF, DIMORF, NOT FOUND, 0.1 MG/ML SOL INJ CX 50 EST AMP VD AMB X 1 ML, CT6
506704201152310, DIMORF, DIMORF, NOT FOUND, 0.2MG/ML-50ETJ.1ML (SP), CT6
506704206111310, DIMORF, DIMORF, NOT FOUND, 10 MG COM CT FR VD AMB X 50 , CT6
506704301114410, DIMORF LC, DIMORF LC, NOT FOUND, 100 MG CAP GEL CX 6 BL AL PLAS INC X 10 , CT6
506704203139311, DIMORF, DIMORF, NOT FOUND, 10MG/ML S.ORAL-1FR.60ML., CT6
506704204151315, DIMORF, DIMORF, NOT FOUND, 10MG/ML-50AP.1ML., CT6
506704205158313, DIMORF, DIMORF, NOT FOUND, 10MG/ML-5AP.1ML., CT6
506704207150311, DIMORF, DIMORF, NOT FOUND, 1MG/ML-50 ETJ. 2ML, CT6
506704302110419, DIMORF LC, DIMORF LC, NOT FOUND, 30 MG CAP GEL CT 6 BL AL PLAS INC X 10 , CT6
506704209110315, DIMORF, DIMORF, NOT FOUND, 30 MG-5BLIST.10CPS., CT6
506704303117417, DIMORF LC, DIMORF LC, NOT FOUND, 60 MG CAP GEL CX 6 BL AL PLAS INC X 10 , CT6
