506717801137411, TANOHALO, TANOHALO, NOT FOUND, FRASCO 100 ML, CT6
506714503151411, TRACUR, TRACUR, NOT FOUND, 10MG/ML-5AP. 2.5ML, CT6
506714504158411, TRACUR, TRACUR, NOT FOUND, 10MG/ML-5AP. 5ML, CT6
506713901110415, TEGRETARD, TEGRETARD, NOT FOUND, 200 MG-20 BLI.10CPS, CT6
506713902117413, TEGRETARD, TEGRETARD, NOT FOUND, 200 MG-C/20CPS., CT6
506713903113411, TEGRETARD, TEGRETARD, NOT FOUND, 400 MG-20 BLI.10CPS, CT6
506713904111412, TEGRETARD, TEGRETARD, NOT FOUND, 400 MG-C/20CPS., CT6
506714609146411, TRAMADON, TRAMADON, NOT FOUND, 100 MG SUP RET CT STR X 5, CT6
506714602117416, TRAMADON, TRAMADON, NOT FOUND, 100 MG-CX.C/10CPS., CT6
506714601137413, TRAMADON, TRAMADON, NOT FOUND, 100MG/ML-S.ORAL-1FR.10ML., CT6
506714610111413, TRAMADON, TRAMADON, NOT FOUND, 150 MG COM REV CT BL AL PLAS OPC X 10, CT6
506714611116419, TRAMADON, TRAMADON, NOT FOUND, 200 MG COM REV CT BL AL PLAS OPC X 10, CT6
506714607119417, TRAMADON, TRAMADON, NOT FOUND, 50 MG-10BLIST.10CPS., CT6
506714608115415, TRAMADON, TRAMADON, NOT FOUND, 50 MG-1BLIST.10CAPS., CT6
506714603156415, TRAMADON, TRAMADON, NOT FOUND, 50MG/ML -100AP.1ML., CT6
506714604152413, TRAMADON, TRAMADON, NOT FOUND, 50MG/ML -100AP.2ML., CT6
506714605159411, TRAMADON, TRAMADON, NOT FOUND, 50MG/ML-6AP.1ML., CT6
506714606155411, TRAMADON, TRAMADON, NOT FOUND, 50MG/ML-6AP.2ML., CT6
506714001156417, TENSURIL, TENSURIL, NOT FOUND, 300MG-1AP. 20ML, CT6
506717801137411, TANOHALO, TANOHALO, NOT FOUND, 1 ML/ML SOL INAL CT FR VD AMB X 100 ML, CT6
506714702154410, TRIDIL, TRIDIL, NOT FOUND, 5 MG/ML SOL INJ CT AMP VD AMB X 10 ML, CT6
506714701158412, TRIDIL, TRIDIL, NOT FOUND, 5 MG/ML SOL INJ CT AMP VD AMB X 5 ML, CT6
506714704157311, TRIDIL, TRIDIL, NOT FOUND, 5 MG/ML SOL INJ CX 10 AMP VD AMB X 10 ML, CT6
506714703150311, TRIDIL, TRIDIL, NOT FOUND, 5 MG/ML SOL INJ CX 10 AMP VD AMB X 5 ML, CT6
506719201153110, TENOXICAM, TENOXICAM, TENOXICAM, 20 MG PO LIOF P/ SOL INJ CX 50 FA VD INC + AMP DIL X 2 ML, CT6
506719202151111, TENOXICAM, TENOXICAM, TENOXICAM, 40 MG PO LIOF P/ SOL INJ CX 50 FA VD INC + AMP DIL X 2 ML, CT6
506714201163115, TINIDAZOL +MICONAZOL, TINIDAZOL MICONAZOL, NOT FOUND, 1XBIS40G GE, CT6
506714301168410, TINIDAZOL+NITRATO DE MICONAZOL, TINIDAZOL NITRATO MICONAZOL, NOT FOUND, BISN 40G + 7 APLICADORES GENERICO, CT6
506714101150410, THIOPENTAX, THIOPENTAX, NOT FOUND, 0.5G-25FR.C/ 0.5G, CT6
506714102157419, THIOPENTAX, THIOPENTAX, NOT FOUND, 1.0GR-25FR.C/1G, CT6
506714401170115, TOBRAMICINA, TOBRAMICINA, TOBRAMICINA, 0.3%-SOL.OFTALM.1FR.5ML, CT6
506714501159415, TRACUR, TRACUR, NOT FOUND, 10 MG/ML SOL INJ CX 25 AMP X 2.5 ML, CT6
506714502155413, TRACUR, TRACUR, NOT FOUND, 10 MG/ML SOL INJ CX 25 AMP X 5 ML, CT6
506714503151411, TRACUR, TRACUR, NOT FOUND, 10MG/ML-5AP. 2.5ML, CT6
506714504158411, TRACUR, TRACUR, NOT FOUND, 10MG/ML-5AP. 5ML, CT6
506713901110415, TEGRETARD, TEGRETARD, NOT FOUND, 200 MG-20 BLI.10CPS, CT6
506713902117413, TEGRETARD, TEGRETARD, NOT FOUND, 200 MG-C/20CPS., CT6
506713903113411, TEGRETARD, TEGRETARD, NOT FOUND, 400 MG-20 BLI.10CPS, CT6
506713904111412, TEGRETARD, TEGRETARD, NOT FOUND, 400 MG-C/20CPS., CT6
506714609146411, TRAMADON, TRAMADON, NOT FOUND, 100 MG SUP RET CT STR X 5, CT6
506714602117416, TRAMADON, TRAMADON, NOT FOUND, 100 MG-CX.C/10CPS., CT6
506714601137413, TRAMADON, TRAMADON, NOT FOUND, 100MG/ML-S.ORAL-1FR.10ML., CT6
506714610111413, TRAMADON, TRAMADON, NOT FOUND, 150 MG COM REV CT BL AL PLAS OPC X 10, CT6
506714611116419, TRAMADON, TRAMADON, NOT FOUND, 200 MG COM REV CT BL AL PLAS OPC X 10, CT6
506714607119417, TRAMADON, TRAMADON, NOT FOUND, 50 MG-10BLIST.10CPS., CT6
506714608115415, TRAMADON, TRAMADON, NOT FOUND, 50 MG-1BLIST.10CAPS., CT6
506714603156415, TRAMADON, TRAMADON, NOT FOUND, 50MG/ML -100AP.1ML., CT6
506714604152413, TRAMADON, TRAMADON, NOT FOUND, 50MG/ML -100AP.2ML., CT6
506714605159411, TRAMADON, TRAMADON, NOT FOUND, 50MG/ML-6AP.1ML., CT6
506714606155411, TRAMADON, TRAMADON, NOT FOUND, 50MG/ML-6AP.2ML., CT6
506714001156417, TENSURIL, TENSURIL, NOT FOUND, 300MG-1AP. 20ML, CT6
506717801137411, TANOHALO, TANOHALO, NOT FOUND, 1 ML/ML SOL INAL CT FR VD AMB X 100 ML, CT6
506714702154410, TRIDIL, TRIDIL, NOT FOUND, 5 MG/ML SOL INJ CT AMP VD AMB X 10 ML, CT6
506714701158412, TRIDIL, TRIDIL, NOT FOUND, 5 MG/ML SOL INJ CT AMP VD AMB X 5 ML, CT6
506714704157311, TRIDIL, TRIDIL, NOT FOUND, 5 MG/ML SOL INJ CX 10 AMP VD AMB X 10 ML, CT6
506714703150311, TRIDIL, TRIDIL, NOT FOUND, 5 MG/ML SOL INJ CX 10 AMP VD AMB X 5 ML, CT6
506719201153110, TENOXICAM, TENOXICAM, TENOXICAM, 20 MG PO LIOF P/ SOL INJ CX 50 FA VD INC + AMP DIL X 2 ML, CT6
506719202151111, TENOXICAM, TENOXICAM, TENOXICAM, 40 MG PO LIOF P/ SOL INJ CX 50 FA VD INC + AMP DIL X 2 ML, CT6
506714201163115, TINIDAZOL +MICONAZOL, TINIDAZOL MICONAZOL, NOT FOUND, 1XBIS40G GE, CT6
506714301168410, TINIDAZOL+NITRATO DE MICONAZOL, TINIDAZOL NITRATO MICONAZOL, NOT FOUND, BISN 40G + 7 APLICADORES GENERICO, CT6
506714101150410, THIOPENTAX, THIOPENTAX, NOT FOUND, 0.5G-25FR.C/ 0.5G, CT6
506714102157419, THIOPENTAX, THIOPENTAX, NOT FOUND, 1.0GR-25FR.C/1G, CT6
506714401170115, TOBRAMICINA, TOBRAMICINA, TOBRAMICINA, 0.3%-SOL.OFTALM.1FR.5ML, CT6
