506705601154416, FASTFEN, FASTFEN, NOT FOUND, 50MCG/ML-10AP. 5ML, CT6
506705902154415, FENOCRIS, FENOCRIS, NOT FOUND, 200MG-50AP. 2ML, CT6
506705903134418, FENOCRIS, FENOCRIS, NOT FOUND, 40MG/ML-10FR. 20ML, CT6
506706004176418, FENTANEST, FENTANEST, NOT FOUND, 25 MCG / H ADES TRANSD CT SACO AL X 10 (REST HOSP), CT6
506706005172416, FENTANEST, FENTANEST, NOT FOUND, 75 MCG / H ADES TRANSD CT SACO AL X 10 (REST HOSP), CT6
506706201117414, FLUCAZOL, FLUCAZOL, NOT FOUND, 100 MG-1 BLIST. 08CAPS., CT6
506706203152411, FLUCAZOL, FLUCAZOL, NOT FOUND, 2 MG/ML INFUS IV CX FR VD INC X 100 ML, CT6
506706202113412, FLUCAZOL, FLUCAZOL, NOT FOUND, 50 MG-1 BLIST. 08CAPS., CT6
506706501153416, FLUMAZIL, FLUMAZIL, NOT FOUND, 0.1MG/ML-5AP.5ML, CT6
506719402116115, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 14, CT6
506719405115111, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP), CT6
506719403112113, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 28, CT6
506719404119111, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 200 MG COM REV CT BL AL PLAS INC X 14, CT6
506719406111118, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 200 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP), CT6
506719401111111, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 200 MG COM REV CT BL AL PLAS INC X 28, CT6
506706601158411, FRUTOVITAM, FRUTOVITAM, NOT FOUND, -100AP.10ML, CT6
