536500901115211, TARGRETIN, TARGRETIN, NOT FOUND, 75 MG CAP GEL MOLE CT FR PLAS HDPE OPC X 100, BAG
536500307132311, TIORFAN, TIORFAN, NOT FOUND, 10 MG PO OR CT 2 SACH AL / PE X 1G , BAG
536500302114315, TIORFAN, TIORFAN, NOT FOUND, 100 MG CAP GEL DURA CT BL AL PLAS INC X 6, BAG
536500301118317, TIORFAN, TIORFAN, NOT FOUND, 100 MG CAP GEL DURA CT BL AL PLAS INC X 9, BAG
536500308139311, TIORFAN, TIORFAN, NOT FOUND, 30 MG PO OR CT 02 SACH X 3 G, BAG
536500303171312, TIORFAN, TIORFAN, NOT FOUND, 30 MG PO OR CT 10 SACH X 3 G, BAG
536500304176318, TIORFAN, TIORFAN, NOT FOUND, 30 MG PO OR CT 18 SACH X 3 G, BAG
536501602111417, TRANQUINAL, TRANQUINAL, NOT FOUND, 0.25 MG COM EST CART BL AL PVC X 20, BAG
536501603118415, TRANQUINAL, TRANQUINAL, NOT FOUND, 0.50 MG COM EST CART BL AL PVC X 20, BAG
536501604114413, TRANQUINAL, TRANQUINAL, NOT FOUND, 1.00 MG COM EST CART BL AL PVC X 20, BAG
536501601115419, TRANQUINAL, TRANQUINAL, NOT FOUND, 2.00 MG COM EST CART BL AL PVC X 20, BAG
536500804152310, TRIFAMOX IBL, TRIFAMOX IBL, NOT FOUND, 1000 MG + 500 MG PO INJ CT FA VD INC + DIL AMP VD INC X 5 ML, BAG
536500803156312, TRIFAMOX IBL, TRIFAMOX IBL, NOT FOUND, 500 MG + 250 MG PO INJ CT FA VD INC + DIL AMP VD INC X 5 ML, BAG
536500802133319, TRIFAMOX IBL, TRIFAMOX IBL, NOT FOUND, 200 MG/ML + 50 MG/ML PO P/ PREP EXT CT FR PLAS OPC X 15 G (CAP 30ML) + DOSIF, BAG
536500808131318, TRIFAMOX IBL, TRIFAMOX IBL, NOT FOUND, 200 MG/ML + 50 MG/ML PO P/ PREP EXT CT FR PLAS OPC X 30 G (CAP 60ML) + DOSIF, BAG
536500810136313, TRIFAMOX IBL, TRIFAMOX IBL, NOT FOUND, 25 MG/ML + 25 MG/ML PO P/ PREP EXT CT FR PLAS OPC X 30 G (CAP 60ML) + DOSIF, BAG
536500806112316, TRIFAMOX IBL, TRIFAMOX IBL, NOT FOUND, 250 MG + 250 MG COM REV CT BL AL PVC X 16, BAG
536500807119314, TRIFAMOX IBL, TRIFAMOX IBL, NOT FOUND, 250 MG + 250 MG COM REV CT BL AL PVC X 8, BAG
536500801137310, TRIFAMOX IBL, TRIFAMOX IBL, NOT FOUND, 50 MG/ML + 50 MG/ML PO P/ PREP EXT CT FR PLAS OPC X 30 G (CAP 60ML) + DOSIF, BAG
536500805116318, TRIFAMOX IBL, TRIFAMOX IBL, NOT FOUND, 500 MG + 500 MG COM REV CT BL AL PVC X 8, BAG
536500809111310, TRIFAMOX IBL, TRIFAMOX IBL, NOT FOUND, 875 MG + 125 MG COM REV CT BL AL PLAS INC X 14, BAG
536500305131318, TIORFAN, TIORFAN, NOT FOUND, 10 MG PO OR CT 10 SACH AL / PE X 1G, BAG
536500306136313, TIORFAN, TIORFAN, NOT FOUND, 10 MG PO OR CT 18 SACH AL / PE X 1G, BAG
536500307132311, TIORFAN, TIORFAN, NOT FOUND, 10 MG PO OR CT 2 SACH AL / PE X 1G , BAG
536500302114315, TIORFAN, TIORFAN, NOT FOUND, 100 MG CAP GEL DURA CT BL AL PLAS INC X 6, BAG
536500301118317, TIORFAN, TIORFAN, NOT FOUND, 100 MG CAP GEL DURA CT BL AL PLAS INC X 9, BAG
536500308139311, TIORFAN, TIORFAN, NOT FOUND, 30 MG PO OR CT 02 SACH X 3 G, BAG
536500303171312, TIORFAN, TIORFAN, NOT FOUND, 30 MG PO OR CT 10 SACH X 3 G, BAG
536500304176318, TIORFAN, TIORFAN, NOT FOUND, 30 MG PO OR CT 18 SACH X 3 G, BAG
