500501301161311, CANDICORT, CANDICORT, NOT FOUND, 20MG/G + 0.64MG/G CREM DERM CT BG AL X 30G, A4H
500513102118118, CLORIDRATO DE CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, 10 MG COM REV CT BL AL PLAS INC X 15, A4H
500513101111111, CLORIDRATO DE CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, 10 MG COM REV CT BL AL PLAS INC X 30, A4H
500513103114116, CLORIDRATO DE CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, 5 MG COM REV CT BL AL PLAS INC X 15, A4H
500513104110114, CLORIDRATO DE CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, 5 MG COM REV CT BL AL PLAS INC X 30, A4H
500513901118119, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 120 MG COM REV LIB RETARD CT BL AL PLAS INC X 20   , A4H
500502101166415, COLPISTATIN, COLPISTATIN, NOT FOUND, 62.5MG/G+ 25000 UI/G + 1.25MG/G CREM VAG CT BG AL, A4H
500502201111418, COMBIRON, COMBIRON, NOT FOUND, DRG CT 3 BL AL PLAS INC X 15, A4H
500502202132419, COMBIRON, COMBIRON, NOT FOUND, SOL OR CT FR VD AMB X 120ML + CP MED X 10ML, A4H
500502203139417, COMBIRON, COMBIRON, NOT FOUND, SOL OR CT FR VD AMB X 30ML + CGT, A4H
500512301133410, COMBIRON, COMBIRON, NOT FOUND, SUS OR CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML, A4H
500512302131411, COMBIRON, COMBIRON, NOT FOUND, SUS OR CT FR PLAS PET AMB X 30 ML + CGT, A4H
500512102114416, COMBIRON FÓLICO, COMBIRON FOLICO, NOT FOUND, COM REV CT BL AL PLAS INC X 15, A4H
500512101118418, COMBIRON FÓLICO, COMBIRON FOLICO, NOT FOUND, COM REV CT BL AL PLAS INC X 45, A4H
500502101166415, COLPISTATIN, COLPISTATIN, NOT FOUND, 62.5 MG/G + 25.000 UI/G + 1.25 MG/G CREM VAG CT BG AL X 40 G + 10 APLIC, A4H
500501301161311, CANDICORT, CANDICORT, NOT FOUND, 20MG/G + 0.64MG/G CREM DERM CT BG AL X 30G, A4H
500501302168311, CANDICORT, CANDICORT, NOT FOUND, 20MG/G + 0.64MG/G POM DERM CT BG AL X 30G, A4H
500501401166412, CANDIDERM, CANDIDERM, NOT FOUND, 2% CREM DERM CT BG AL X 30G, A4H
500501601114416, CANDORAL, CANDORAL, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, A4H
500514001110111, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200 MG COM CT BL AL PLAS INC X 10, A4H
500514002117118, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200 MG COM CT BL AL PLAS INC X 30, A4H
500513102118118, CLORIDRATO DE CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, 10 MG COM REV CT BL AL PLAS INC X 15, A4H
500513101111111, CLORIDRATO DE CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, 10 MG COM REV CT BL AL PLAS INC X 30, A4H
500513103114116, CLORIDRATO DE CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, 5 MG COM REV CT BL AL PLAS INC X 15, A4H
500513104110114, CLORIDRATO DE CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, 5 MG COM REV CT BL AL PLAS INC X 30, A4H
500513901118119, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 120 MG COM REV LIB RETARD CT BL AL PLAS INC X 20, A4H
500501304160316, CANDICORT, CANDICORT, NOT FOUND, 20 MG/G + 0.64 MG/G CREM DERM CT BG AL X 10 G, A4H
500501303164318, CANDICORT, CANDICORT, NOT FOUND, 20 MG/G + 0.64 MG/G POM DERM CT BG X 10 G, A4H
500502001110418, CEFALIV, CEFALIV, NOT FOUND, COM CT BL AL PLAS INC X 12, A4H
500512102114416, COMBIRON FÓLICO, COMBIRON FOLICO, NOT FOUND, COM REV CT BL AL PLAS INC X 15, A4H
500512101118418, COMBIRON FÓLICO, COMBIRON FOLICO, NOT FOUND, COM REV CT BL AL PLAS INC X 45, A4H
500501501111415, CANDIZOL, CANDIZOL, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 1, A4H
500501502116410, CANDIZOL, CANDIZOL, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 2, A4H
500512301133410, COMBIRON, COMBIRON, NOT FOUND, SUS OR CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML, A4H
500512302131411, COMBIRON, COMBIRON, NOT FOUND, SUS OR CT FR PLAS PET AMB X 30 ML + CGT, A4H
500501701119411, CARNABOL, CARNABOL, NOT FOUND, COM OR CT STR AL X 20, A4H
500501702131413, CARNABOL, CARNABOL, NOT FOUND, SUS OR CT FR VD AMB X 120ML + CP MED X 10ML, A4H
500502201111418, COMBIRON, COMBIRON, NOT FOUND, DRG CT 3 BL AL PLAS INC X 15, A4H
500502202132419, COMBIRON, COMBIRON, NOT FOUND, SOL OR CT FR VD AMB X 120ML + CP MED X 10ML, A4H
500502203139417, COMBIRON, COMBIRON, NOT FOUND, SOL OR CT FR VD AMB X 30ML + CGT, A4H
500501901118417, CEFALIUM, CEFALIUM, NOT FOUND, 1 MG + 450 MG + 75 MG + 10 MG COM CT BL AL PLAS IN, A4H
500501801164417, CAUTEREX, CAUTEREX, NOT FOUND, UNG CT BG AL X 10G, A4H
500502101166415, COLPISTATIN, COLPISTATIN, NOT FOUND, 62.5 MG/G + 25.000 UI/G + 1.25 MG/G CREM VAG CT BG AL X 40 G + 10 APLIC, A4H
500501301161311, CANDICORT, CANDICORT, NOT FOUND, 20MG/G + 0.64MG/G CREM DERM CT BG AL X 30G, A4H
500501302168311, CANDICORT, CANDICORT, NOT FOUND, 20MG/G + 0.64MG/G POM DERM CT BG AL X 30G, A4H
500501401166412, CANDIDERM, CANDIDERM, NOT FOUND, 2% CREM DERM CT BG AL X 30G, A4H
500501601114416, CANDORAL, CANDORAL, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, A4H
500514001110111, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200 MG COM CT BL AL PLAS INC X 10, A4H
500514002117118, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200 MG COM CT BL AL PLAS INC X 30, A4H
500513102118118, CLORIDRATO DE CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, 10 MG COM REV CT BL AL PLAS INC X 15, A4H
500513101111111, CLORIDRATO DE CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, 10 MG COM REV CT BL AL PLAS INC X 30, A4H
500513103114116, CLORIDRATO DE CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, 5 MG COM REV CT BL AL PLAS INC X 15, A4H
500513104110114, CLORIDRATO DE CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, 5 MG COM REV CT BL AL PLAS INC X 30, A4H
500513901118119, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 120 MG COM REV LIB RETARD CT BL AL PLAS INC X 20, A4H
500501304160316, CANDICORT, CANDICORT, NOT FOUND, 20 MG/G + 0.64 MG/G CREM DERM CT BG AL X 10 G, A4H
500501303164318, CANDICORT, CANDICORT, NOT FOUND, 20 MG/G + 0.64 MG/G POM DERM CT BG X 10 G, A4H
500502001110418, CEFALIV, CEFALIV, NOT FOUND, COM CT BL AL PLAS INC X 12, A4H
500512102114416, COMBIRON FÓLICO, COMBIRON FOLICO, NOT FOUND, COM REV CT BL AL PLAS INC X 15, A4H
500512101118418, COMBIRON FÓLICO, COMBIRON FOLICO, NOT FOUND, COM REV CT BL AL PLAS INC X 45, A4H
500501501111415, CANDIZOL, CANDIZOL, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 1, A4H
500501502116410, CANDIZOL, CANDIZOL, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 2, A4H
500512301133410, COMBIRON, COMBIRON, NOT FOUND, SUS OR CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML, A4H
500512302131411, COMBIRON, COMBIRON, NOT FOUND, SUS OR CT FR PLAS PET AMB X 30 ML + CGT, A4H
500501701119411, CARNABOL, CARNABOL, NOT FOUND, COM OR CT STR AL X 20, A4H
500501702131413, CARNABOL, CARNABOL, NOT FOUND, SUS OR CT FR VD AMB X 120ML + CP MED X 10ML, A4H
500502202132419, COMBIRON, COMBIRON, NOT FOUND, SOL OR CT FR VD AMB X 120ML + CP MED X 10ML, A4H
500501901118417, CEFALIUM, CEFALIUM, NOT FOUND, 1 MG + 450 MG + 75 MG + 10 MG COM CT BL AL PLAS INC X 12, A4H
500501801164417, CAUTEREX, CAUTEREX, NOT FOUND, 1 UL + 666 U + 1.0 MG UNG CT BG AL X 10 G , A4H
