1190900140027; TREZEVIT AB; TREZEVIT AB; NOT FOUND; SOL INJ IV A CX 25 FA VD AMB X 5 ML + SOL INJ IV B CX 25 FA VD AMB X 5 ML - PEDIATRICO; NO_ACR
1211700940093; TIMASEN SR; TIMASEN SR; NOT FOUND; 100 MG CAP BL X 10; NO_ACR
1039405060018; TINIDAZOL+NITRATO DE MICONAZOL; TINIDAZOL NITRATO MICONAZOL; NOT FOUND; 30 MG/G + 20 MG/G CREM VAG CT BG AL X 40 G + 7 APLIC; NO_ACR
1039405060026; TINIDAZOL+NITRATO DE MICONAZOL; TINIDAZOL NITRATO MICONAZOL; NOT FOUND; 30 MG/G + 20 MG/G CREM VAG CT BG AL X 80 G + 14 APLIC; NO_ACR
1055000470054; TRINIZOL-M; TRINIZOL M; NOT FOUND; 30 MG + 20MG CR VAG CT BG AL X 80 G ; NO_ACR
1055000470069; TRINIZOL-M; TRINIZOL M; NOT FOUND; 30 MG + 20MG CR VAG CT BG AL X 40 G + 7 APLIC; NO_ACR
1781700680019; TINIDAZOL + NITRATO DE MICONAZOL; TINIDAZOL NITRATO MICONAZOL; NOT FOUND; 30 MG/G + 20 MG/G CREM VAG CT BG AL X 40 G + 7 APLIC; NO_ACR
1211002920011; TROFURIM; TROFURIM; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 28; NO_ACR
1211002920021; TROFURIM; TROFURIM; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 140 (EMB HOSP); NO_ACR
1211002920038; TROFURIM; TROFURIM; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 280 (EMB HOSP); NO_ACR
1013100750017; TIACILIN; TIACILIN; NOT FOUND; 500 MG INJ CX 50 FR AMP + DIL.; NO_ACR
1376400340016; TACLIX; TACLIX; NOT FOUND; 30 MG CX. 1FA 5ML; NO_ACR
1064601390018; TAXILAN; TAXILAN; NOT FOUND; 6 MG/ML SOL INJ CT FA VD INC X 16.7 ML (REST. HOSP.); NO_ACR
1064601390026; TAXILAN; TAXILAN; NOT FOUND; 6 MG/ML SOL INJ CT FA VD INC  X 5 ML; NO_ACR
1064601390050; TAXILAN; TAXILAN; NOT FOUND; 6 MG/ML SOL INJ CT FA VD INC X 50 ML (REST. HOSP.); NO_ACR
1081700600010; TIAMINA + RIBOFLAVINA + PIRIDOXINA + PANTETONATO D; TIAMINA RIBOFLAVINA PIRIDOXINA PANTETONATO D; NOT FOUND; DRG CT PT PLAS OPC X 50; NO_ACR
1060300230012; TYLEPHEN; TYLEPHEN; NOT FOUND; FR. C/15 ML. X 200 MG.; NO_ACR
1123633260240; TYLENOL; TYLENOL; NOT FOUND; 100 MG - GOTAS - FR - 15 ML - BEBE; NO_ACR
1123633260070; TYLENOL; TYLENOL; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; NO_ACR
1123633260267; TYLENOL; TYLENOL; NOT FOUND; 32 MG - SUSPENSAO - FR - 120 ML; NO_ACR
1123633260259; TYLENOL; TYLENOL; NOT FOUND; 32 MG/ML SUS OR CT FR PLAS OPC X 60 ML + COPO MEDIDA; NO_ACR
1068900720025; TRIFEN; TRIFEN; NOT FOUND; 100MG/ML SOL ORAL FR X 20ML GOTAS; NO_ACR
1068900720098; TRIFEN; TRIFEN; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; NO_ACR
1171700120018; TYLOL; TYLOL; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS GOT X 15 ML; NO_ACR
1060300230047; TYLEPHEN; TYLEPHEN; NOT FOUND; CX. C/2 BL. X 10 COMP. X 750 MG.; NO_ACR
1060300230059; TYLEPHEN; TYLEPHEN; NOT FOUND; CX. C/50 BL. X 4 COMP. X 750 MG.; NO_ACR
1123633260089; TYLENOL; TYLENOL; NOT FOUND; 500 MG - COMP - BL - 200 COMP; NO_ACR
1123633260038; TYLENOL; TYLENOL; NOT FOUND; 750 MG - COMP - BL - 20 COMP; NO_ACR
1123633260011; TYLENOL; TYLENOL; NOT FOUND; 750 MG COM REV CT BL AL PLAS AMB X 200; NO_ACR
1123633260348; TYLENOL AP; TYLENOL AP; NOT FOUND; 650 MG COM REV CT FR PLAS OPC X 24; NO_ACR
1123633260534; TYLENOL; TYLENOL; NOT FOUND; 500 MG COM REV CT BL AL PVC X 200; NO_ACR
1123633260046; TYLENOL; TYLENOL; NOT FOUND; 750 MG COM REV CT BL AL PLAS AMB X 20; NO_ACR
1123633260526; TYLENOL; TYLENOL; NOT FOUND; 500 MG COM REV CT BL AL PVC X 100; NO_ACR
1123633260445; TYLENOL; TYLENOL; NOT FOUND; 500 MG COM REV CT BL AL PVC X 20; NO_ACR
1123633260658; TYLENOL AP; TYLENOL AP; NOT FOUND; 650 MG COM REV CT 50 BL AL PVC INC X 4; NO_ACR
1123633260747; TYLENOL AP; TYLENOL AP; NOT FOUND; 650 MG COM REV CT BL AL PVC INC X 100; NO_ACR
1068900720032; TRIFEN; TRIFEN; NOT FOUND; 750MG COMP 3 BL AL X 4; NO_ACR
1068900720047; TRIFEN; TRIFEN; NOT FOUND; 750MG COMP 30 BL AL X 4; NO_ACR
1171700120069; TYLOL; TYLOL; NOT FOUND; 750 MG COM CT 5 BL AL PLAS LARANJA X 4; NO_ACR
1171700120077; TYLOL; TYLOL; NOT FOUND; 750 MG COM CT 50 BL AL PLAS LARANJA X 4; NO_ACR
1055001470011; TRENTOFIL; TRENTOFIL; NOT FOUND; 400 MG COM REV CT 2 BL AL PVC X 10 ; NO_ACR
1055001470021; TRENTOFIL; TRENTOFIL; NOT FOUND; 400 MG COM REV CX CT 20 BL AL PVC X 10 ; NO_ACR
1376400470025; TAZPEN; TAZPEN; NOT FOUND; 2.25 MG PO CX. 10FA X 30ML; NO_ACR
1376400470017; TAZPEN; TAZPEN; NOT FOUND; 2.000 MG + 250 MG PO INJ CT FA VD INC X 30 ML; NO_ACR
1376400470041; TAZPEN; TAZPEN; NOT FOUND; 4.5 MG PO CX. 10FA X 50ML; NO_ACR
1376400470033; TAZPEN; TAZPEN; NOT FOUND; 4.000 MG + 500 MG PO INJ CT FA VD INC X 50 ML; NO_ACR
1376400470051; TAZPEN; TAZPEN; NOT FOUND; 2.000MG + 250MG PO INJ CT 50 FA VD INC; NO_ACR
1376400470068; TAZPEN; TAZPEN; NOT FOUND; 4.000MG + 500MG PO INJ CX 50 FA VD INC; NO_ACR
1211000950010; TAZOCIN; TAZOCIN; NOT FOUND; 2 G + 250 MG PO LIOF INJ CT FA VD INC; NO_ACR
1211000950037; TAZOCIN; TAZOCIN; NOT FOUND; 4 G + 500 MG PO LIOF INJ CT FA VD INC; NO_ACR
1047600330024; THIOGENOL; THIOGENOL; NOT FOUND; LIQ VD 200 ML; NO_ACR
SI/NC; TETRAPULMO; TETRAPULMO; NOT FOUND; 1 AMPOLA DE 4ML INJ ADULTO; NO_ACR
1018500300028; TETANOBULIN IMUNOGLOBULINA HUMANA ANTI-TETÂNICA; TETANOBULIN IMUNOGLOBULINA HUMANA ANTI TETANICA; NOT FOUND; FR AMP C/ 250 UI LIOF + DILUENTE (2ML); NO_ACR
1206900220012; TEICOPLANINA; TEICOPLANINA; TEICOPLANINA; 200 MG PO LIOFILIZADO SOL INJ CX C/ 1 FR/AMP X 3 M; NO_ACR
1206900220020; TEICOPLANINA; TEICOPLANINA; TEICOPLANINA; 400 MG PO LIOFILIZADO SOL INJ CX C/ 1 FR/AMP X 3 M; NO_ACR
1139800220010; TECHNESCAN DMSA; TECHNESCAN DMSA; NOT FOUND; 1.20MG PO LIOF INJ CX 5 FR VD INC X 10 ML; NO_ACR
1139800240011; TECHNESCAN DMSA; TECHNESCAN DMSA; NOT FOUND; 20.6 MG PO LIOF INJ CX 30 FA VD INC X 10 ML; NO_ACR
1139800160034; TECHNESCAN HDP; TECHNESCAN HDP; NOT FOUND; 2.0MG PO LIOF. INJ CX 5 FA VD INC X 10ML; NO_ACR
1139800140025; TECHNESCAN MAG 3; TECHNESCAN MAG 3; NOT FOUND; 1.0MG PO LIOF. INJ CX 5 FA VD INC X 10ML; NO_ACR
1085801610022; TAXIMA; TAXIMA; NOT FOUND; CX 50 FR/AMP; NO_ACR
1085802030021; TIOPEN; TIOPEN; NOT FOUND; 1G CX 25 FR/AMP; NO_ACR
1085802030011; TIOPEN; TIOPEN; NOT FOUND; 500MG CX 25 FR/AMP; NO_ACR
SI/NC; TINTURA DE JALAPA; TINTURA JALAPA; NOT FOUND; FR VD LIQ X 30 ML; NO_ACR
1186000110018; TINT. CASTANHA DA ÍNDIA; TINT CASTANHA INDIA; NOT FOUND; 30 ML; NO_ACR
1186000120013; TINT. KAVA KAVA; TINT KAVA KAVA; NOT FOUND; 30 ML; NO_ACR
1186000100012; TINT. TANACETO; TINT TANACETO; NOT FOUND; 30 ML; NO_ACR
180; TUSSOL; TUSSOL; NOT FOUND; EXPECTORANTE 100 ML; NO_ACR
SI/NC; TUSSUCALMAN; TUSSUCALMAN; NOT FOUND; 120 ML; NO_ACR
SI/NC; TUSSUCALMAN; TUSSUCALMAN; NOT FOUND; GTAS 20 ML; NO_ACR
SI/NC; TINTURA DE ARNICA; TINTURA ARNICA; NOT FOUND; SOL OR CT FR VD AMB X 150 ML; NO_ACR
SI/NC; TINTURA DE ESPINHEIRA SANTA; TINTURA ESPINHEIRA SANTA; NOT FOUND; SOL OR CT FR VD AMB X 150 ML; NO_ACR
1041500240028; TÔNICO IDEAL; TONICO IDEAL; NOT FOUND; FRASCO 100ML; NO_ACR
1041500250011; TOSSINA; TOSSINA; NOT FOUND; FRASCO 15ML; NO_ACR
22700080016; TUSSIBEL; TUSSIBEL; NOT FOUND; FR X 120 ML; NO_ACR
1046400090030; TAMARINE; TAMARINE; NOT FOUND; CARTUCHO COM 1 POTE PLASTICO COM 150G DE GELEIA; NO_ACR
1046400090048; TAMARINE; TAMARINE; NOT FOUND; CARTUCHO COM 1 POTE PLASTICO COM 250G DE GELEIA; NO_ACR
1196100010012; TOBRA M; TOBRA M; NOT FOUND; SOL OFT EM FR 5ML; NO_ACR
