1055001100036; EXAVIR; EXAVIR; NOT FOUND; 50 MG/G CREM DERM CT BG AL X 10 G; NO_ACR
1103901850019; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 25 MG COM CT BL AL PLAS TRANS X 30   ; NO_ACR
1103901850051; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 25 MG COM CT BL AL PLAS TRANS X 60 (EMB FRAC); NO_ACR
1103901850183; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 25 MG COM CT BL AL PLAS TRANS X 75 (EMB HOSP)   ; NO_ACR
1103901850159; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 25 MG COM CT BL AL PLAS TRANS X 90 (EMB FRAC)  ; NO_ACR
1103901850027; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 25 MG COM CT BL AL PLAS TRANS X 450 (EMB HOSP) ; NO_ACR
1103901850213; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 25 MG COM CT BL AL PLAS TRANS  X 500 (EMB HOSP)  ; NO_ACR
1103901850108; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 50 MG COM CT BL AL PLAS TRANS X 15    ; NO_ACR
1103901850116; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 50 MG COM CT BL AL PLAS TRANS X 30   ; NO_ACR
1103901850124; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 50 MG COM CT BL AL PLAS TRANS X 60 (EMB FRAC); NO_ACR
1103901850191; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 50 MG COM CT BL AL PLAS TRANS X 75 (EMB HOSP) ; NO_ACR
1103901850167; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 50 MG COM CT BL AL PLAS TRANS X 90 (EMB FRAC); NO_ACR
1103901850132; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 50 MG COM CT BL AL PLAS TRANS X 450 (EMB HOSP); NO_ACR
1103901850140; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 50 MG COM CT BL AL PLAS TRANS X 500 (EMB HOSP); NO_ACR
1103901850035; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 100 MG COM CT BL AL PLAS TRANS X 15  ; NO_ACR
1103901850078; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 100 MG COM CT BL AL PLAS TRANS X 16  ; NO_ACR
1103901850094; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 100 MG COM CT BL AL PLAS TRANS X 30 ; NO_ACR
1103901850086; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 100 MG COM CT BL AL PLAS TRANS X 60 (EMB FRAC); NO_ACR
1103901850205; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 100 MG COM CT BL AL PLAS TRANS X 75 (EMB HOSP) ; NO_ACR
1103901850175; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 100 MG COM CT BL AL PLAS TRANS X 90 (EMB FRAC) ; NO_ACR
1103901850043; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 100 MG COM CT BL AL PLAS TRANS X 450 (EMB HOSP); NO_ACR
1103901850221; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 100 MG COM CT BL AL PLAS TRANS X 500  (EMB HOSP) ; NO_ACR
1040700820011; ESTAVUDINA; ESTAVUDINA; ESTAVUDINA; 30 MG/CAPS - FR C/60 CAPS; NO_ACR
1040700820031; ESTAVUDINA; ESTAVUDINA; ESTAVUDINA; 40 MG/CAPS - FR C/60 CAPS; NO_ACR
1018300930036; ESTAVUDINA; ESTAVUDINA; ESTAVUDINA; CX. C/1 FRASCO X 60 CAPS. 30 MG; NO_ACR
1018300930028; ESTAVUDINA; ESTAVUDINA; ESTAVUDINA; CX. C/1 FRASCO X 60 CAPS. 40 MG; NO_ACR
1099800040039; ERIGEL; ERIGEL; NOT FOUND; 125MG/5ML SUSP.ORAL CX. C/ 50 FR 60ML; NO_ACR
1099800040012; ERIGEL; ERIGEL; NOT FOUND; 500MG COMP. CX. C/ 50 BL X 10 COMP.; NO_ACR
1211700360021; ERIFLOGIN; ERIFLOGIN; NOT FOUND; SUSP FR 100 ML 125 MG; NO_ACR
1211700360062; ERIFLOGIN; ERIFLOGIN; NOT FOUND; SUSP FR 100 ML 250 MG; NO_ACR
1211700360038; ERIFLOGIN; ERIFLOGIN; NOT FOUND; 250MG 20 COMP; NO_ACR
1211700360054; ERIFLOGIN; ERIFLOGIN; NOT FOUND; 500MG 12 COMP; NO_ACR
1092200270011; ERITROBEN (ERITROMICINA); ERITROBEN ERITROMICINA; NOT FOUND; 250MG/10ML SUSP ORAL FR 60 ML; NO_ACR
1092201160010; ERITROBEN (ERITROMICINA); ERITROBEN ERITROMICINA; NOT FOUND; 150 MG + 150 MG + 15 MG + 50 MG COM CT 50 BL STR AL X 4; NO_ACR
1211002060020; ENBREL; ENBREL; NOT FOUND; 25 MG PO LIOF INJ CT 4 EST X 1 FA VD INC + 1 SER PREENCH DIL X 1 ML + 1 AGU+ 1 ADAPT + 2 LENCOS; NO_ACR
1211002060039; ENBREL; ENBREL; NOT FOUND; 50 MG PO LIOF INJ CT C/ 2 EST X 1 FA VD INC + 1 SER PREENCH DIL X 1 ML + 1 AGU + 1 ADAPT + 2 LENCO ; NO_ACR
1211002060047; ENBREL; ENBREL; NOT FOUND; 50 MG PO LIOF INJ CT C/ 4 EST X 1 FA VD INC + 1 SER PREENCH DIL X 1 ML + 1 AGU + 1 ADAPT + 2 LENCO ; NO_ACR
1211002740013; ENBREL; ENBREL; NOT FOUND; 25 MG SOL INJ CT 2 SER PREENCH C/ AGU X 0.5 ML + 4 LENCOS; NO_ACR
1211002740021; ENBREL; ENBREL; NOT FOUND; 25 MG SOL INJ CT 4 SER PREENCH C/ AGU X 0.5 ML + 8 LENCOS; NO_ACR
1211002740031; ENBREL; ENBREL; NOT FOUND; 50 MG SOL INJ CT 2 SER PREENCH C/ AGU X 1.0 ML + 4 LENCOS; NO_ACR
1211002740048; ENBREL; ENBREL; NOT FOUND; 50 MG SOL INJ CT 4 SER PREENCH C/ AGU X 1.0 ML + 8 LENCOS; NO_ACR
1211002740064; ENBREL PFS; ENBREL PFS; NOT FOUND; 50 MG SOL INJ CT 4 SER PREENCH X 1.0 ML + SIST APLIC PLAS (PEN) + 8 LENCOS; NO_ACR
1211002740056; ENBREL PFS; ENBREL PFS; NOT FOUND; 50 MG SOL INJ CT 2 SER PREENCH X 1.0 ML + SIST APLIC PLAS (PEN) + 4 LENCOS; NO_ACR
1211002740072; ENBREL PFS; ENBREL PFS; NOT FOUND; 25 MG SOL INJ CT 2 SER PREENCH C/ AGU X 0.5 ML + 2 LENCOS; NO_ACR
1211002740080; ENBREL PFS; ENBREL PFS; NOT FOUND; 25 MG SOL INJ CT 4 SER PREENCH C/ AGU X 0.5 ML + 4 LENCOS; NO_ACR
1211002740099; ENBREL PFS; ENBREL PFS; NOT FOUND; 50 MG SOL INJ CT 2 SER PREENCH C/ AGU X 1.0 ML + 2 LENCOS; NO_ACR
1211002740102; ENBREL PFS; ENBREL PFS; NOT FOUND; 50 MG SOL INJ CT 4 SER PREENCH C/ AGU X 1.0 ML + 4 LENCOS; NO_ACR
1211002740110; ENBREL PFS; ENBREL PFS; NOT FOUND; 50 MG SOL INJ CT 2 SER PREENCH X 1.0 ML + SIST APLIC PLAS (PEN) + 2 LENCOS; NO_ACR
1211002740129; ENBREL PFS; ENBREL PFS; NOT FOUND; 50 MG SOL INJ CT 4 SER PREENCH X 1.0 ML + SIST APLIC PLAS (PEN) + 4 LENCOS; NO_ACR
1211000280015; EVANOR; EVANOR; NOT FOUND; 0.25 MG + 0.05 MG COM CT 3 BL AL PLAS INC X 21; NO_ACR
1211000280023; EVANOR; EVANOR; NOT FOUND; 0.25 MG + 0.05 MG COM CT BL AL PLAS INC X 21; NO_ACR
1123633590011; EVRA; EVRA; NOT FOUND; 0.60 MG + 6.00 MG ADS TRANS CT X 3 SACHE X 1; NO_ACR
1508200240016; ETOSIN; ETOSIN; NOT FOUND; 100 MG SOL INJ CT 10 FA VD INC X 5 ML; NO_ACR
1508200240032; ETOSIN; ETOSIN; NOT FOUND; 50 MG CAP GEL CT 2 BL AL PLAS INC X 10; NO_ACR
1508200240024; ETOSIN; ETOSIN; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 10; NO_ACR
1103901690011; EVEROLIMO; EVEROLIMO; EVEROLIMO; 0.5 MG COM CT BL AL/AL X 60 (EMB HOSP); NO_ACR
1103901690021; EVEROLIMO; EVEROLIMO; EVEROLIMO; 0.75 MG COM CT BL AL/AL X 60 (EMB HOSP) ; NO_ACR
1103901690038; EVEROLIMO; EVEROLIMO; EVEROLIMO; 1.0 MG COM CT BL AL/AL X 60 (EMB HOSP) ; NO_ACR
1103901690046; EVEROLIMO; EVEROLIMO; EVEROLIMO; 2.5 MG COM CT BL AL/AL X 30 (EMB HOSP) ; NO_ACR
1103901690054; EVEROLIMO; EVEROLIMO; EVEROLIMO; 5.0 MG COM CT BL AL/AL X 30 (EMB HOSP) ; NO_ACR
1103901690062; EVEROLIMO; EVEROLIMO; EVEROLIMO; 10 MG COM CT BL AL/AL X 30 (EMB HOSP) ; NO_ACR
1002900760011; EZETROL; EZETROL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 10 ; NO_ACR
1002900760038; EZETROL; EZETROL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; NO_ACR
1002901840027; EMEND INJETÁVEL; EMEND INJETAVEL; NOT FOUND; 150 MG PO LIOF INJ IV CT 10 FA VD INC X 10 ML ; NO_ACR
1002901840019; EMEND INJETÁVEL; EMEND INJETAVEL; NOT FOUND; 150 MG PO LIOF INJ IV CT FA VD INC X 10 ML ; NO_ACR
2500000892790; ENEMA DE GLICERINA; ENEMA GLICERINA; NOT FOUND; 12% FR 500 ML; NO_ACR
2500000892890; ENEMA DE GLICERINA; ENEMA GLICERINA; NOT FOUND; 25% FR 250 ML; NO_ACR
2500000892690; ENEMA DE GLICERINA; ENEMA GLICERINA; NOT FOUND; 6% FR 1000 ML; NO_ACR
1070400060023; ENEMA GLICERINA; ENEMA GLICERINA; NOT FOUND; SOL RETAL AMP 500 ML; NO_ACR
1070400060015; ENEMA GLICERINA; ENEMA GLICERINA; NOT FOUND; SOL RETAL AMP 250 ML; NO_ACR
1027000230046; EFRINALIN; EFRINALIN; NOT FOUND; 1 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML; NO_ACR
1890000120016; EFRINALIN; EFRINALIN; NOT FOUND; 1 MG/ML SOL INJ CX 100 AMP VD  AMB X 1 ML; NO_ACR
1028500470014; ETRAT; ETRAT; NOT FOUND; POM. TP. CX. BISN. 30GR; NO_ACR
1155700320015; ENATEC-F; ENATEC F; NOT FOUND; 20 MG + 12.5 MG COM CT 2 BL AL PLAS INC X 14 ; NO_ACR
1121300440035; EUPRESSIN H; EUPRESSIN H; NOT FOUND; 10 MG / 25 MG COM CT STR X 30; NO_ACR
1121300440027; EUPRESSIN H; EUPRESSIN H; NOT FOUND; 20 MG / 12.5 MG COM CT STR X 30; NO_ACR
1121300440086; EUPRESSIN H; EUPRESSIN H; NOT FOUND; 10 MG / 25 MG COM CT STR X 7; NO_ACR
1057601010018; ELIXIR 914; ELIXIR 914; NOT FOUND; SOL OR CT FR VD AMB X 150 ML; NO_ACR
1026400260011; ELIXIR DE NOGUEIRA; ELIXIR NOGUEIRA; NOT FOUND; ELIXIR VD AMBAR C/ 150 ML; NO_ACR
1051900100015; ELX.CABEÇA NEGRO; ELX CABECA NEGRO; NOT FOUND; 150ML.LIQ.VD.12 UN; NO_ACR
1010702360018; EPIVIR; EPIVIR; NOT FOUND; 10 MG/ML SOL OR CT FR PLAS OPC X 240 ML; NO_ACR
1010702360026; EPIVIR; EPIVIR; NOT FOUND; 150 MG COM REV CT FR PLAS OPC X 60; NO_ACR
1017100830013; EXLUTON; EXLUTON; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 28; NO_ACR
1172900080018; EXTRALERG; EXTRALERG; NOT FOUND; SUS OR CX FR PLAS CGT X 15 ML (1o SERIE); NO_ACR
1172900080026; EXTRALERG; EXTRALERG; NOT FOUND; SUS OR CX FR PLAS CGT X 15 ML (2o SERIE); NO_ACR
1172900080034; EXTRALERG; EXTRALERG; NOT FOUND; SUS OR CX FR PLAS CGT X 15 ML (3o SERIE); NO_ACR
1045401680016; ESTIMORAL; ESTIMORAL; NOT FOUND; 3.0 MG COM CT BL AL/AL X 14; NO_ACR
1045401680024; ESTIMORAL; ESTIMORAL; NOT FOUND; 3.0 MG COM CT 2 BL AL/AL X 14; NO_ACR
1092201750047; ENTEROSEC; ENTEROSEC; NOT FOUND; 2 MG COM CT 25 BL AL PLAS AMB X 4 ; NO_ACR
1155700310028; ENATEC; ENATEC; NOT FOUND; 20 MG COM CT STR X 7; NO_ACR
1155700310036; ENATEC; ENATEC; NOT FOUND; 20 MG COM CT FR PLAS OPC X 28; NO_ACR
1155700310011; ENATEC; ENATEC; NOT FOUND; 5 MG COM CT STR X 30; NO_ACR
1062400920021; ENALAP 10MG; ENALAP 10MG; NOT FOUND; 10 MG COM CT STRIP X 30; NO_ACR
1062400920031; ENALAP 20MG; ENALAP 20MG; NOT FOUND; 20 MG COM CT STRIP X 30; NO_ACR
1062400920013; ENALAP 5MG; ENALAP 5MG; NOT FOUND; 5 MG COM CT STRIP X 30; NO_ACR
1121300230043; EUPRESSIN; EUPRESSIN; NOT FOUND; 10 MG COM CT STR X 30; NO_ACR
1121300230027; EUPRESSIN; EUPRESSIN; NOT FOUND; 2.5 MG COM CT STR X 30; NO_ACR
1121300230159; EUPRESSIN; EUPRESSIN; NOT FOUND; 20 MG COM CT STR X 30; NO_ACR
1121300230094; EUPRESSIN; EUPRESSIN; NOT FOUND; 5 MG COM CT STR X 30 ; NO_ACR
1121300230197; EUPRESSIN; EUPRESSIN; NOT FOUND; 10 MG COM CT STR X 7; NO_ACR
1121300230189; EUPRESSIN; EUPRESSIN; NOT FOUND; 5 MG COM CT STR X 7; NO_ACR
1126000040032; ERGOTRATE; ERGOTRATE; NOT FOUND; ERGOTRATE - 1 CX COM 100 AMPS. INJETAVEIS; NO_ACR
1126000040024; ERGOTRATE; ERGOTRATE; NOT FOUND; ERGOTRATE - 1 CX COM 100 COMPS.; NO_ACR
1126000040016; ERGOTRATE; ERGOTRATE; NOT FOUND; ERGOTRATE - 1 CX COM 12 COMPS.; NO_ACR
1028500070024; ERAVERM; ERAVERM; NOT FOUND; 100MG CX. FR. VD. SUSP. 30ML; NO_ACR
1028500070016; ERAVERM; ERAVERM; NOT FOUND; 100 MG CX. STRIP C/ 6 COMP.; NO_ACR
1028500070024; ERAVERM T; ERAVERM T; NOT FOUND; CX. FR. VD. SUSP. 30ML; NO_ACR
208873; ERAVERM T; ERAVERM T; NOT FOUND; CX. STRIP C/ 12 COMP.; NO_ACR
1110200020012; EDICIN; EDICIN; NOT FOUND; 500 MG CX C/1 FR-AMPOLA; NO_ACR
1110200020020; EDICIN; EDICIN; NOT FOUND; 500 MG CX C/10 FR-AMPOLA; NO_ACR
1057701360037; ESTOMEPE; ESTOMEPE; NOT FOUND; 20 MG CAP GEL MICROG CT FR PLAS OPC X 14; NO_ACR
1002500610012; EXOSURF; EXOSURF; NOT FOUND; 108MG AMPOLA 1 INJETAVEL; NO_ACR
1068900120011; EFEDERM; EFEDERM; NOT FOUND; 5MG POM DERM BISN AL X 55G; NO_ACR
1235200350022; ESOPRAZOL (TOPRAZOL); ESOPRAZOL TOPRAZOL; NOT FOUND; 40 MG COMP CX C/ 14; NO_ACR
1235200350014; ESOPRAZOL (TOPRAZOL); ESOPRAZOL TOPRAZOL; NOT FOUND; 40 MG COMP CX C/ 7; NO_ACR
1211000330012; EPIDONA; EPIDONA; NOT FOUND; CARTUCHO COM FRASCO COM 120 ML DE SUSPENSAO ORAL (; NO_ACR
1508200250011; EMTHEXATE; EMTHEXATE; NOT FOUND; 25 MG / ML SOL INJ CT FA VD INC X 2 ML (REST HOSP); NO_ACR
1508200250021; EMTHEXATE; EMTHEXATE; NOT FOUND; 25 MG / ML SOL INJ CT FA VD INC X 20 ML (REST HOSP); NO_ACR
1018500390035; ENDOBULIN IMUNOGLOBULINA HUMANA ENDOVENOSA; ENDOBULIN IMUNOGLOBULINA HUMANA ENDOVENOSA; NOT FOUND; FR AMP C/1000 MG LIOF + DILUENTE (20ML); NO_ACR
1018500390078; ENDOBULIN IMUNOGLOBULINA HUMANA ENDOVENOSA; ENDOBULIN IMUNOGLOBULINA HUMANA ENDOVENOSA; NOT FOUND; FR AMP C/10000 MG LIOF + DILUENTE (200ML); NO_ACR
1018500390043; ENDOBULIN IMUNOGLOBULINA HUMANA ENDOVENOSA; ENDOBULIN IMUNOGLOBULINA HUMANA ENDOVENOSA; NOT FOUND; FR AMP C/2500 MG LIOF + DILUENTE (50ML); NO_ACR
1018500390086; ENDOBULIN IMUNOGLOBULINA HUMANA ENDOVENOSA; ENDOBULIN IMUNOGLOBULINA HUMANA ENDOVENOSA; NOT FOUND; FR AMP C/500 MG LIOF + DILUENTE (10ML); NO_ACR
1018500390051; ENDOBULIN IMUNOGLOBULINA HUMANA ENDOVENOSA; ENDOBULIN IMUNOGLOBULINA HUMANA ENDOVENOSA; NOT FOUND; FR AMP C/ 5000 MG LIOF + DILUENTE (100ML); NO_ACR
1018500390061; ENDOBULIN IMUNOGLOBULINA HUMANA ENDOVENOSA; ENDOBULIN IMUNOGLOBULINA HUMANA ENDOVENOSA; NOT FOUND; FR AMP C/ 7500 MG LIOF + DILUENTE (150ML); NO_ACR
1018500430029; ENDOBULIN S/D IMUNOGLOBULINA HUMANA ENDOVENOSA; ENDOBULIN S D IMUNOGLOBULINA HUMANA ENDOVENOSA; NOT FOUND; FR AMP C/ 1000 MG LIOF + DILUENTE (20ML); NO_ACR
1018500430053; ENDOBULIN S/D IMUNOGLOBULINA HUMANA ENDOVENOSA; ENDOBULIN S D IMUNOGLOBULINA HUMANA ENDOVENOSA; NOT FOUND; FR AMP C/ 10000 MG LIOF + DILUENTE (200ML); NO_ACR
1018500430037; ENDOBULIN S/D IMUNOGLOBULINA HUMANA ENDOVENOSA; ENDOBULIN S D IMUNOGLOBULINA HUMANA ENDOVENOSA; NOT FOUND; FR AMP C/ 2500 MG LIOF + DILUENTE (50ML); NO_ACR
1018500430010; ENDOBULIN S/D IMUNOGLOBULINA HUMANA ENDOVENOSA; ENDOBULIN S D IMUNOGLOBULINA HUMANA ENDOVENOSA; NOT FOUND; FR AMP C/ 500 MG LIOF + DILUENTE (10ML); NO_ACR
1018500430045; ENDOBULIN S/D IMUNOGLOBULINA HUMANA ENDOVENOSA; ENDOBULIN S D IMUNOGLOBULINA HUMANA ENDOVENOSA; NOT FOUND; FR AMP C/ 5000 MG LIOF + DILUENTE (100ML); NO_ACR
1060300120013; ESTAFILÓIDE; ESTAFILOIDE; NOT FOUND; CX. C/1 FR. AMP. X 8 ML.; NO_ACR
1121302960125; EXPANGEL GEL; EXPANGEL GEL; NOT FOUND; 4 PCC SOL INJ CX 10 BOLS PLAS FLEX X 500 ML (EMB HOSP); NO_ACR
1206900240013; ESTREPTOQUINASE; ESTREPTOQUINASE; ESTREPTOQUINASE; 1500000 UI PO LIOFILIZADO CT FR/AMP VD INC; NO_ACR
1206900240021; ESTREPTOQUINASE; ESTREPTOQUINASE; ESTREPTOQUINASE; 750000 UI PO LIOFILIZADO CT FR/AMP VD INC; NO_ACR
1450100200076; EQUINACEA BRASMED; EQUINACEA BRASMED; NOT FOUND; 0.1 ML/ML SOL OR CT FR PLAS AMB X 100 ML; NO_ACR
1450100200051; EQUINACEA BRASMED; EQUINACEA BRASMED; NOT FOUND; 0.1 ML/ML SOL OR CT FR PLAS AMB X 120 ML; NO_ACR
1450100200068; EQUINACEA BRASMED; EQUINACEA BRASMED; NOT FOUND; 0.1 ML/ML SOL OR CT FR PLAS AMB X 150 ML; NO_ACR
1450100200084; EQUINACEA BRASMED; EQUINACEA BRASMED; NOT FOUND; 0.1 ML/ML SOL OR CT FR PLAS AMB X 60 ML; NO_ACR
SI/NC; ELIXIR PAREGÓRICO; ELIXIR PAREGORICO; NOT FOUND; FR VD LIQ GTS CT X 30 ML; NO_ACR
1007700050020; ERVA DE PASSARINHO; ERVA PASSARINHO; NOT FOUND; ELIXIR 200 ML; NO_ACR
100770011001; ERVA SILVINA; ERVA SILVINA; NOT FOUND; ELIXIR 200 ML; NO_ACR
1228300940023; EPAREX; EPAREX; NOT FOUND; 50 FLAC X 10 ML; NO_ACR
1370700120018; ECZOFLORA; ECZOFLORA; NOT FOUND; SOL. ORAL 80 ML.; NO_ACR
1155700080012; EXPECTOBRON; EXPECTOBRON; NOT FOUND; XAROPE FR. 120ML; NO_ACR
1155700600034; ENDORUS; ENDORUS; NOT FOUND; SOLUCAO ORAL FR. C/ 30ML; NO_ACR
1155700600026; ENDORUS; ENDORUS; NOT FOUND; XAROPE FR. C/ 100ML; NO_ACR
1046702910019; ELIXIR AGONIADA; ELIXIR AGONIADA; NOT FOUND; PLUMIRIA LANCIFATIA 0.033ML./ML.+ASSOC. ELIXIR FR/; NO_ACR
1046700080013; ELIXIR CATUABA; ELIXIR CATUABA; NOT FOUND; CATUABA 0.0333ML/ML+ASSOC.ELIXIR FR/150ML.; NO_ACR
1046700090014; ELIXIR HAMAMELIS; ELIXIR HAMAMELIS; NOT FOUND; HAMAMELIS ORGANICA 0.20ML./ML+ASSOC. ELIXIR FR/100; NO_ACR
1046702740016; ELIXIR JURUBEBA; ELIXIR JURUBEBA; NOT FOUND; EXT.FL.SOLANUM PANICULATUM 0.020ML./ML.+ASSOC.ELIX; NO_ACR
1046700110010; ELIXIR MARACUJÁ; ELIXIR MARACUJA; NOT FOUND; PASSIFLORA ALATA 0.0333ML/ML+ASSOC. ELIXIR FR/100M; NO_ACR
1046700120015; ELIXIR VELAME; ELIXIR VELAME; NOT FOUND; CROTON CAMPESTRIS 0.083ML/ML+ASSOC. ELIXIR FR/150M; NO_ACR
1046700140016; ESTOMALINA; ESTOMALINA; NOT FOUND; CHA LINHA BOTANICUM - ESPINHEIRA SANTA 0.462G+ASSOC.PO P/PREP.EXTEMPORAN; NO_ACR
1046700140032; ESTOMALINA; ESTOMALINA; NOT FOUND; LIQUIDA 100ML. - MAISTEMS ILICIFALIA 0.400ML./ML.+ASSOC.SOLUCAO FR/; NO_ACR
SI/NC; ESPINHEIRA SANTA; ESPINHEIRA SANTA; NOT FOUND; FRASCO 60ML; NO_ACR
2501600034294; ERVA DOCE; ERVA DOCE; NOT FOUND; ENVELOPE X 5 G; NO_ACR
1022700110018; EXTRATO HEPATICO VITAMINADO; EXTRATO HEPATICO VITAMINADO; NOT FOUND; 10ML/15ML +5MCG/15ML SOL OR CT FR VD AMBAR X 30 ML; NO_ACR
1051900180026; ELX.DE VELAME; ELX VELAME; NOT FOUND; 150ML.LIQ.VD.12 UN; NO_ACR
SI/NC; EXTRATO HEPÁTICO; EXTRATO HEPATICO; NOT FOUND; LIQ VD 100 ML; NO_ACR
47700160951; ELIX.CAJU CHAPEU COURO; ELIX CAJU CHAPEU COURO; NOT FOUND; VD 150 ML SOL; NO_ACR
47700040118; ELIXIR BAICURÚ; ELIXIR BAICURU; NOT FOUND; VD 150 ML SOL; NO_ACR
1025500050010; ELIXIR DE INHAME GOULART; ELIXIR INHAME GOULART; NOT FOUND; FR PLAS OPC X 200 ML; NO_ACR
1000121116481; ESP. LAXANTES; ESP LAXANTES; NOT FOUND; FR. 100ML; NO_ACR
1047300200010; ESPINHEIRA DIVINA COMPOSTA; ESPINHEIRA DIVINA COMPOSTA; NOT FOUND; FR. 100ML; NO_ACR
1047300050018; ESPLENOHEPÁ; ESPLENOHEPA; NOT FOUND; FR. 100ML; NO_ACR
SI/NC; ESPASMO FLATOL; ESPASMO FLATOL; NOT FOUND; GOTAS FR C/ 20ML; NO_ACR
SI/NC; ESSEDIN; ESSEDIN; NOT FOUND; 100+2+2MG/ML SOL ORAL FR X 20ML; NO_ACR
SI/NC; ESSEDIN; ESSEDIN; NOT FOUND; 200+3+3MG/ML XPE FR X 100ML; NO_ACR
1120600170019; ERITROMICINA; ERITROMICINA; ERITROMICINA; CX.C/50 FR. X 60ML; NO_ACR
3200130018; ERITRIL; ERITRIL; NOT FOUND; FR.C/60 ML; NO_ACR
1085800110012; ENDOTUSSIN; ENDOTUSSIN; NOT FOUND; VD 120ML; NO_ACR
1085800680042; ERICLORAN; ERICLORAN; NOT FOUND; 25 MG/ML SUS OR CT FR AMB X 60ML; NO_ACR
1085800680015; ERICLORAN; ERICLORAN; NOT FOUND; 50 MG/ML SUS OR CT FR AMB X 60ML; NO_ACR
1096300430019; ERITROCIN; ERITROCIN; NOT FOUND; 125MG/5ML - 100ML CX C/12; NO_ACR
1096300430019; ERITROCIN; ERITROCIN; NOT FOUND; 125MG/5ML - 100MLX60; NO_ACR
1006100170077; ERYSIDORON 1; ERYSIDORON 1; NOT FOUND; 0.5 ML/ML + 0.5 ML/ML SOL OR CT FR VD CGT X 50 ML; NO_ACR
100770022002; ESPELINA; ESPELINA; NOT FOUND; SOLUCAO 200 ML; NO_ACR
