1065500260022; OTODOL; OTODOL; NOT FOUND; SOL. FR X 8ML; NO_ACR
1085802220015; OXACILINA; OXACILINA; OXACILINA; CX 1 FR/AMP INCOLOR+DIL 5ML; NO_ACR
1085802220058; OXACILINA; OXACILINA; OXACILINA; CX 100 FR/AMP INCOLOR+DIL 5ML; NO_ACR
1085802220031; OXACILINA; OXACILINA; OXACILINA; CX 25 FR/AMP INCOLOR+DIL 5ML; NO_ACR
1085802220023; OXACILINA; OXACILINA; OXACILINA; CX 5 FR/AMP INCOLOR+DIL 5ML; NO_ACR
1085802220041; OXACILINA; OXACILINA; OXACILINA; CX 50 FR/AMP INCOLOR+DIL 5ML; NO_ACR
1370700220010; OVARIOFLORA; OVARIOFLORA; NOT FOUND; SOL. ORAL 80 ML.; NO_ACR
9529595999999; OLEO MINERAL; OLEO MINERAL; NOT FOUND; FRASCO COM 100ML; NO_ACR
2501600035694; OLEO DE RICINO; OLEO RICINO; OLEO RICINO; FR VD X 30 ML; NO_ACR
SI/NC; OLEO MINERAL; OLEO MINERAL; NOT FOUND; OLEO FR PLASTICO TRANASPARENTE X100 ML; NO_ACR
SI/NC; OLEO MINERAL; OLEO MINERAL; NOT FOUND; OLEO FR PLASTICO TRANASPARENTE X1000 ML; NO_ACR
isento; ÓLEO DE RÍCINO AROMÁTICO; OLEO RICINO AROMATICO; NOT FOUND; FRASCO DE PLASTICO COM 50ML; NO_ACR
2535102587901; OLEO RICINO AROMATICO; OLEO RICINO AROMATICO; NOT FOUND; 30ML.LIQ. VD. 12 UN; NO_ACR
1029900020049; OLINA ESSÊNCIA DE VIDA; OLINA ESSENCIA VIDA; NOT FOUND; 10 ML; NO_ACR
1029900020030; OLINA ESSÊNCIA DE VIDA; OLINA ESSENCIA VIDA; NOT FOUND; 100 ML; NO_ACR
1029900020022; OLINA ESSÊNCIA DE VIDA; OLINA ESSENCIA VIDA; NOT FOUND; 60 ML; NO_ACR
1047300090044; ODORATÓN; ODORATON; NOT FOUND; FR. 100ML GOTAS; NO_ACR
1047300090036; ODORATÓN; ODORATON; NOT FOUND; FR. 100ML XAROPE; NO_ACR
isento; OLEO MINERAL; OLEO MINERAL; NOT FOUND; 100 ML; NO_ACR
