1186101270037; VITIZIN E; VITIZIN E; NOT FOUND; 400UI CX C/ 30 CAPSULAS; NO_ACR
1010700830122; VACINA HEPATITE B (RECOMBINANTE); VACINA HEPATITE B RECOMBINANTE; VACINA HEPATITE B RECOMBINANTE; 10 MCG SUS INJ CT SER PRE ENC X 0.5 ML; NO_ACR
1010700830031; VACINA HEPATITE B (RECOMBINANTE); VACINA HEPATITE B RECOMBINANTE; VACINA HEPATITE B RECOMBINANTE; 20MCG INJ 25 FRASCO AMPOLA 1ML; NO_ACR
1010700830015; VACINA HEPATITE B (RECOMBINANTE); VACINA HEPATITE B RECOMBINANTE; VACINA HEPATITE B RECOMBINANTE; 20 MCG SUS INJ CT FA VD INC X 1 ML; NO_ACR
1010700830130; VACINA HEPATITE B (RECOMBINANTE); VACINA HEPATITE B RECOMBINANTE; VACINA HEPATITE B RECOMBINANTE; 20 MCG SUS INJ CT SER PRE ENC X 1 ML ; NO_ACR
100610056; VISCUM ALBUM M (MALI); VISCUM ALBUM M MALI; NOT FOUND; INJETAVEL 3 AMP.; NO_ACR
100610056; VISCUM ALBUM M (MALI); VISCUM ALBUM M MALI; NOT FOUND; INJETAVEL 3 AMP.; NO_ACR
100610056; VISCUM ALBUM M (MALI); VISCUM ALBUM M MALI; NOT FOUND; INJETAVEL 3 AMP.; NO_ACR
100610056; VISCUM ALBUM M (MALI); VISCUM ALBUM M MALI; NOT FOUND; INJETAVEL 3 AMP.; NO_ACR
100610056; VISCUM ALBUM M (MALI); VISCUM ALBUM M MALI; NOT FOUND; INJETAVEL 3 AMP.; NO_ACR
100610056; VISCUM ALBUM P (PINI); VISCUM ALBUM P PINI; NOT FOUND; INJETAVEL 3 AMP.; NO_ACR
100610056; VISCUM ALBUM P (PINI); VISCUM ALBUM P PINI; NOT FOUND; INJETAVEL 3 AMP.; NO_ACR
100610056; VISCUM ALBUM P (PINI); VISCUM ALBUM P PINI; NOT FOUND; INJETAVEL 3 AMP.; NO_ACR
100610056; VISCUM ALBUM P (PINI); VISCUM ALBUM P PINI; NOT FOUND; INJETAVEL 3 AMP.; NO_ACR
100610056; VISCUM ALBUM P (PINI); VISCUM ALBUM P PINI; NOT FOUND; INJETAVEL 3 AMP.; NO_ACR
100610056; VISCUM ALBUM QU (QUERCUS); VISCUM ALBUM QU QUERCUS; NOT FOUND; INJETAVEL 3 AMP.; NO_ACR
100610056; VISCUM ALBUM QU (QUERCUS); VISCUM ALBUM QU QUERCUS; NOT FOUND; INJETAVEL 3 AMP.; NO_ACR
100610056; VISCUM ALBUM QU (QUERCUS); VISCUM ALBUM QU QUERCUS; NOT FOUND; INJETAVEL 3 AMP.; NO_ACR
100610056; VISCUM ALBUM QU (QUERCUS); VISCUM ALBUM QU QUERCUS; NOT FOUND; INJETAVEL 3 AMP.; NO_ACR
100610056; VISCUM ALBUM QU (QUERCUS); VISCUM ALBUM QU QUERCUS; NOT FOUND; INJETAVEL 3 AMP.; NO_ACR
1064800210014; VENTRE LIVRE; VENTRE LIVRE; NOT FOUND; FR 140 ML; NO_ACR
1370700310018; VIRILIFLORA; VIRILIFLORA; NOT FOUND; SOL. ORAL 80 ML.; NO_ACR
1060300510016; VAG; VAG; NOT FOUND; FR. C/15 ML.; NO_ACR
1052900070011; VERTON; VERTON; NOT FOUND; SOL OR CT FR VD AMB X 150 ML; NO_ACR
ISENTO; VINHO JATOBEBA; VINHO JATOBEBA; NOT FOUND; SOL OR CT FR VD AMB X 150 ML; NO_ACR
9555223155222; VASELINA; VASELINA; NOT FOUND; OLEO FR PLASTICO TRANSPARENTE X 100 ML; NO_ACR
1022700120013; VERMESAN; VERMESAN; NOT FOUND; 20MG/ML SUSP ORAL FR VD AMBAR X 30ML; NO_ACR
SI/NC; VINHO JUR.BOLDO; VINHO JUR BOLDO; NOT FOUND; 150ML.LIQ.VD.12UN; NO_ACR
1047600350025; VIGLIMEX; VIGLIMEX; NOT FOUND; SUSP VD 100 ML; NO_ACR
1094000010039; VITAPLEX; VITAPLEX; NOT FOUND; VD 120ML LIQUIDO; NO_ACR
1085800720053; VITAMIN C; VITAMIN C; NOT FOUND; VD 20 ML GOTAS; NO_ACR
1006100640014; VENODORON; VENODORON; NOT FOUND; (350+250+200+100+100) MG/G SOL CT FR VD AMB CGT X 50 ML; NO_ACR
1059000170020; VITICROMIN; VITICROMIN; NOT FOUND; 0.2 G/ML SOL TOP CT FR VD AMB X 60 ML; NO_ACR
