66855, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 200, BF8
68308, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 20 MG x 10, N_Q

61451, PYLORIKIT , PYLORIKIT, NOT FOUND, KIT 7X8 x 56, N_Q

71655, PYLORISET , PYLORISET, NOT FOUND, KIT 7X8 x 56, N_Q

78953, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 7, N_Q

75308, PLESONAX , PLESONAX, NOT FOUND, DRAG 5 MG x 100, N_Q

70379, PLESONAX , PLESONAX, NOT FOUND, DRAG 5 MG x 20, N_Q

77036, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 7, N_Q

77030, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 28, N_Q

63190, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 200 MG 15 ML x 1 (/ML), N_Q

54702, PULMOFLUX , PULMOFLUX, NOT FOUND, XAROPE 2 MG 100 ML x 1 (/5ML), N_Q

72344, PIROXICAM MG , PIROXICAM, PIROXICAM, CAPS 20 MG x 10, N_Q

57794, PROPIOSOL , PROPIOSOL, NOT FOUND, CREME 0.50 MG 30 G x 1 (/G), N_Q

55725, PROXACIN , PROXACIN, NOT FOUND, CPR REVEST 250 MG x 6, N_Q

77033, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 14, N_Q

46957, PIROXINID , PIROXINID, NOT FOUND, CAPS 20 MG x 15, N_Q

53333, PROXACIN , PROXACIN, NOT FOUND, CPR REVEST 500 MG x 6, N_Q

66325, PIROXICAM MG , PIROXICAM, PIROXICAM, CAPS 20 MG x 15, N_Q

77034, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 28, N_Q

66071, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, POM.DERMAT 0.50 MG 30 G x 1 (/G), N_Q

74691, PRAVASTAT SODIC MG , PRAVASTAT SODIC, NOT FOUND, CPR 20 MG x 30, N_Q

55726, PROXACIN , PROXACIN, NOT FOUND, CPR REVEST 500 MG x 14, N_Q

56629, PLAVIX , PLAVIX, NOT FOUND, CPR REVEST 75 MG x 28, S_A

61997, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 200 Y x 30, S_A

75662, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 200, S_A

74484, PROFENID XAROPE , PROFENID XAROPE, NOT FOUND, XAROPE 1 MG 150 ML x 1 (/ML), S_A

77286, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 88 Y x 28, S_A

50075, PLAQUINOL , PLAQUINOL, NOT FOUND, CPR 400 MG x 30, S_A

58311, PEPSAMAR , PEPSAMAR, NOT FOUND, CPR 230 MG x 30, S_A

55776, PLAVIX , PLAVIX, NOT FOUND, CPR REVEST 75 MG x 14, S_A

54789, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 25 Y x 30, S_A

41996, PROFENID , PROFENID, NOT FOUND, CPR ENT.RET. 200 MG x 10, S_A

69867, PEPSAMAR , PEPSAMAR, NOT FOUND, CPR MASC 230 MG x 200, S_A

77074, PLAVIX PROTECT , PLAVIX PROTECT, NOT FOUND, CPR REVEST 75 MG x 56 (/100), S_A

54791, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 75 Y x 30, S_A

49284, PROFENID , PROFENID, NOT FOUND, CPR ENT.COAT 100 MG x 20, S_A

77288, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 100 Y x 28, S_A

51567, PROFENID , PROFENID, NOT FOUND, F.IV LIOF 100 MG x 50, S_A

77291, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 150 MG x 28, S_A

70085, PLAVIX , PLAVIX, NOT FOUND, CPR REVEST 75 MG x 98, S_A

49923, PROFENID GOTAS , PROFENID GOTAS, NOT FOUND, GOTAS 2 % 20 ML x 1, S_A

95781, PROFENID , PROFENID, NOT FOUND, CPR ENT COAT 100 MG x 3, S_A

73576, PENTOXIFILINA MG , PENTOXIFILINA, PENTOXIFILINA, CPR REVES.LP 400 MG x 30, S_A

46225, PLASIL , PLASIL, NOT FOUND, SOLN 5 MG 100 ML x 1 (/5ML), S_A

59666, PEPSAPLUS , PEPSAPLUS, NOT FOUND, SUSP 240 ML x 1, S_A

56633, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 125 Y x 30, S_A

77284, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 50 Y x 28, S_A

77290, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 125 Y x 28, S_A

54790, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 50 Y x 30, S_A

73575, PENTOXIFILINA MG , PENTOXIFILINA, PENTOXIFILINA, CPR REVES.LP 400 MG x 20, S_A

51118, PERIODONTIL , PERIODONTIL, NOT FOUND, CPR x 20, S_A

8235, PEPSAMAR , PEPSAMAR, NOT FOUND, CPR 230 MG x 100, S_A

77294, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 200 Y x 28, S_A

32554, PIPORTIL L4 , PIPORTIL L4, NOT FOUND, AMP. RETARD 100 MG 4 ML x 1, S_A

8236, PEPSAMAR , PEPSAMAR, NOT FOUND, GEL. 230 MG 240 ML x 1 (/5ML), S_A

29354, PROFENID , PROFENID, NOT FOUND, SUP. 100 MG x 10, S_A

49922, PROFENID GEL , PROFENID GEL, NOT FOUND, GEL. 2.50 % 30 G x 1, S_A

64253, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 112 Y x 30, S_A

64252, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 88 Y x 30, S_A

42795, PROFENID , PROFENID, NOT FOUND, F.AMP LIOF 100 MG x 6, S_A

69866, PEPSAMAR , PEPSAMAR, NOT FOUND, CPR MASC 230 MG x 50, S_A

32553, PIPORTIL L4 , PIPORTIL L4, NOT FOUND, AMP. RETARD 25 MG 1 ML x 3, S_A

77289, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 112 Y x 28, S_A

50625, PREDNISOLON , PREDNISOLON, NOT FOUND, SOLN 5 MG 100 ML x 1 (/5ML), S_A

50003, PRIMACOR , PRIMACOR, NOT FOUND, INFUSAO I.V 1 MG 20 ML x 1 (/ML), S_A

75802, PROMETAZINA MG , PROMETAZINA, PROMETAZINA, CREME. 20 MG 30 G x 1 (/G), S_A

75419, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 20, S_A

8404, PLASIL , PLASIL, NOT FOUND, AMP. 10 MG 2 ML x 100, S_A

79291, PRIMACOR , PRIMACOR, NOT FOUND, VIAL I.V 1 MG 10 ML x 10 (/ML), S_A

77283, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 25 Y x 28, S_A

8409, PLASIL , PLASIL, NOT FOUND, CPR 10 MG x 20, S_A

77285, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 75 Y x 28, S_A

8410, PLASIL , PLASIL, NOT FOUND, GOTAS 10 MG 10 ML x 1 (/ML), S_A

77075, PLAVIX PROTECT , PLAVIX PROTECT, NOT FOUND, CPR REVEST 75 MG x 28 (/100), S_A

8688, PROFENID , PROFENID, NOT FOUND, CAPS 50 MG x 24, S_A

31211, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 100 Y x 30, S_A

77293, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 175 Y x 28, S_A

78410, PLAVIX , PLAVIX, NOT FOUND, CPR REVEST 300 MG x 4, S_A

134323, PROFENID PROTECT , PROFENID PROTECT, NOT FOUND, CAPS GEL DUR x 10, S_A

54792, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 150 Y x 30, S_A

57800, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 175 Y x 30, S_A

64527, PANTOPAZ , PANTOPAZ, NOT FOUND, CPR REVEST 20 MG x 28, SDZ

63919, PANTOPAZ , PANTOPAZ, NOT FOUND, CPR REVEST 40 MG x 7, SDZ

72728, PLAGREL , PLAGREL, NOT FOUND, CPR REVEST 75 MG x 14, SDZ

76091, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 14, SDZ

72729, PLAGREL , PLAGREL, NOT FOUND, CPR REVEST 75 MG x 28, SDZ

63921, PANTOPAZ , PANTOPAZ, NOT FOUND, CPR REVEST 40 MG x 28, SDZ

64526, PANTOPAZ , PANTOPAZ, NOT FOUND, CPR REVEST 20 MG x 14, SDZ

64525, PANTOPAZ , PANTOPAZ, NOT FOUND, CPR REVEST 20 MG x 7, SDZ

75251, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 28, SDZ

75904, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 14, SDZ

63920, PANTOPAZ , PANTOPAZ, NOT FOUND, CPR REVEST 40 MG x 14, SDZ

75252, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 28, SDZ

