77003, CARVEDILOL, CARVEDILOL, CPR 25 MG x 30, MD7,525071504114119, CARVEDILOL, CARVEDILOL, 25 MG COM CT BL AL/AL X 30, MD7
69524, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 20, LG6,538817703119118, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS OPC X 20, LG6
66626, METILDOPA, METILDOPA, CPR REVEST 250 MG x 30, LR3,524308501119111, METILDOPA, METILDOPA, 250 MG COM CT BL AL PLAS INC X 30, LR3
78306, SINVASTATINA, SINVASTATINA, CPR REVEST 20 MG x 30, GM2,526133601116111, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS OPC X 30, GM2
82916, ROVELAN, NOT FOUND, CPR REV . 160 MG x 30, E3S,507722303113415, ROVELAN, NOT FOUND, 160 MG COM REV CT BL AL/AL X 30, E3S
73834, LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 30, E3S,507737602111110, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS LEIT X 30, E3S
73884, CLO TICLOPIDINA, CLORIDRATO TICLOPIDINA, CPR REVEST 250 MG x 30, GM2,526127801117117, CLORIDRATO TICLOPIDINA, CLORIDRATO TICLOPIDINA, 250 MG COM REV CT BL AL PLAS INC X 30, GM2
61987, LANZACOR, NOT FOUND, CPR REVEST 50 MG x 14, N_Q,519006201116414, LANZACOR, NOT FOUND, 50 MG CP VER CX C/14, N_Q
67364, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 20, BF8,504610402115118, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS OPC X 20, BF8
61104, LISINOPRIL, LISINOPRIL, CPR 20 MG x 30, MD7,525007303111110, LISINOPRIL, LISINOPRIL, 20 MG COM CT BL AL PLAS INC X 30, MD7
69646, ATENOLOL, ATENOLOL, CPR 100 MG x 60, E3S,507703007113116, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS INC X 60, E3S
71374, GABAPENTINA, GABAPENTINA, CAPS 300 MG x 30, GM2,526126601114116, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT BL AL PLAS LEIT X 30, GM2
4075, ESSEN, NOT FOUND, CAPS x 16, FAS,508702101114411, ESSEN, NOT FOUND, CAPS GEL CT STR X 16, FAS
69442, APRAZ, NOT FOUND, CPR 0.25 MG x 30, MQF,512400305114416, APRAZ, NOT FOUND, 0.25 MG COM CT BL AL PLAS INC X 30, MQF
78517, ATORLESS, NOT FOUND, CPR REVEST 10 MG x 30, GM2,526134701114410, ATORLESS, NOT FOUND, 10 MG COM REV CT BL AL / AL X 30, GM2
95684, GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 60, E3S,507740605118116, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS OPC X 60, E3S
74635, CLONAZEPAM, CLONAZEPAM, CPR 2 MG x 30, GM2,526120703111117, CLONAZEPAM, CLONAZEPAM, 2 MG COM CT BL AL PLAS LEIT X 30, GM2
75535, NAPROFLEN, NOT FOUND, CPR 500 MG x 20, SDZ,511514901117412, NAPROFLEN, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 20, SDZ
58331, CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 28, MD7,525004004113117, CLORIDRATO TERBINAFINA, CLORIDRATO TERBINAFINA, 250 MG COM CT BL AL PLAS INC X 28, MD7
63851, SINVASTATINA, SINVASTATINA, CPR REVEST 20 MG x 30, SDZ,511508611110119, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS INC X 30, SDZ
77053, CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 10 MG x 10, E3S,507740701117117, CLORIDRATO CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, 10 MG COM REV CT BL AL PLAS OPC X 10, E3S
66302, CLOR TRAMADOL, CLORIDRATO TRAMADOL, CAPS GEL 50 MG x 10, MD7,525065101119118, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG CAP GEL DURA CT BL AL PLAS BCO X 10, MD7
64527, PANTOPAZ, NOT FOUND, CPR REVEST 20 MG x 28, SDZ,511515402114114, PANTOPRAZOL SODICO, PANTOPRAZOL SODICO SESQUI-HIDRATADO, 20 MG COM REV CT BL AL/AL X 28, SDZ
80408, COSARTAN, NOT FOUND, CPR REVEST 80 MG x 30, GM2,526135001116419, COSARTAN, NOT FOUND, 80 MG COM REV CT BL AL AL X 30, GM2
72333, GLIANSOR, NOT FOUND, CPR 1 MG x 30, LG6,538813903113412, GLIANSOR, NOT FOUND, 1 MG COM CT BL AL PLAS INC X 30, LG6
66779, PENTOXIFILINA, PENTOXIFILINA, CPR REVEST 400 MG x 20, GM2,526113401111111, PENTOXIFILINA, PENTOXIFILINA, 400 MG COM REVES CT BL AL PLAS INC X 20, GM2
66743, LORAZEPAM, LORAZEPAM, CPR 2 MG x 20, GM2,526121502118112, LORAZEPAM, LORAZEPAM, 2 MG COM CT BL AL PLAS INC X 20, GM2
30432, CELESTONE, NOT FOUND, CPR 2 MG x 10, MQF,512400702113319, CELESTONE SOLUSPAN, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 10, MQF
75546, ATENOLOL, ATENOLOL, CPR 50 MG x 30, N_Q,519028302111117, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 30, N_Q
78658, DOMPERIDONA, DOMPERIDONA, CPR 10 MG x 30, E3S,507743601113114, DOMPERIDONA, DOMPERIDONA, 10 MG COM CT BL AL PLAS OPC X 30, E3S
73454, PROCSIM, NOT FOUND, CPR 250 MG x 14, MQF,512406402111417, PROCSIM, NOT FOUND, 250 MG COM REV CT BL AL PLAS INC X 14, MQF
83349, VALSACOR, NOT FOUND, CPR REV . 160 MG x 30, LG6,538807102112413, VALSACOR, NOT FOUND, 160 MG COM REV CT BL AL/AL X 30, LG6
66086, ALPRAZOLAM, ALPRAZOLAM, CPR 0.25 MG x 20, GM2,526118401111112, ALPRAZOLAM B1, NOT FOUND, 0.25 MG COM CT BL AL PLAS INC X 20, GM2
61102, LISINOPRIL, LISINOPRIL, CPR 10 MG x 10, MD7,525007302115112, LISINOPRIL, LISINOPRIL, 10 MG COM CT BL AL PLAST INC X 10, MD7
68304, TOPIRAMATO, TOPIRAMATO, CPR REVEST 100 MG x 60, E3S,507735001110113, TOPIRAMATO, TOPIRAMATO, 100 MG COM REV CT BL AL PLAS LEIT X 60, E3S
63990, CLO DOXICICLINA, CLORIDRATO DOXICICLINA, CPR REVEST 100 MG x 15, GM2,526114601114112, CLORIDRATO DOXICICLINA, CLORIDRATO DOXICICLINA, 100 MG COM VER CT BL AL PLAS INC X 15, GM2
77080, RISONATO, NOT FOUND, CPR REVEST 35 MG x 4, GM2,526132801111115, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 4, GM2
69523, CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 7, MD7,525067708118114, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 7, MD7
74642, CLOR RANITIDINA, CLORIDRATO RANITIDINA, CPR REVEST 150 MG x 20, GM2,526127302110117, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150 MG COM REV CT BL AL/AL X 20, GM2
63849, SINVASTATINA, SINVASTATINA, CPR REVEST 10 MG x 30, SDZ,511508610114110, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 30, SDZ
77685, TAR METOPROLOL, NOT FOUND, CPR REVEST 100 MG x 20, E3S,507740401113116, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 20, E3S
84457, ANGIO II, ANGIOTENSINA II, CPR REVEST 320 MG x 30, MD7,525073707111412, ANGIO II, ANGIOTENSINA II, 320 MG COM REV CT BL AL/AL X 30, MD7
69196, OXCARBAZEPINA, OXCARBAZEPINA, CPR REVEST 600 MG x 20, MD7,525067605114116, OXCARBAZEPINA, OXCARBAZEPINA, 600 MG COM REV CT BL AL PLAST INC X 20, MD7
57250, DICLOFENACO SOD, DICLOFENACO SODICO, AMP. 25 MG 3 ML x 5 (/ML), N_Q,519003301152116, DICLOFENACO SODICO, DICLOFENACO SODICO, 25 MG/ML SOL INJ CT 5 AMB VD INC X 3 ML, N_Q
74943, CLOR AMITRIPTIL, CLORIDRATO AMITRIPTILINA, CPR REVEST 75 MG x 30, E3S,507738802114111, CLORIDRATO AMITRIPTILINA, CLORIDRATO AMITRIPTILINA, 75 MG COM REV CT BL AL PLAS OPC X 30, E3S
68055, PIROXICAM, PIROXICAM, CAPS 20 MG x 10, MD7,525067001111111, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA EST FR PLAS OPC X 10, MD7
71615, LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 500 MG x 3, SDZ,511511903119116, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 3, SDZ
75582, TENOXICAM, TENOXICAM, CPR REVEST 20 MG x 10, N_Q,519028201119112, TENOXICAM, TENOXICAM, 20 MG COM REV CT BL AL PLAS INC X 10, N_Q
71613, GABAPENTINA, GABAPENTINA, CAPS 400 MG x 30, E3S,507736802117114, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT BL AL PLAS LEIT X 30, E3S
78320, AH ZUL, NOT FOUND, CPR REVEST 50 MG x 1, LG6,538806304110413, AH ZUL, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 1, LG6
65164, MELOXICAM, MELOXICAM, CPR 15 MG x 10, E3S,507717302112117, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS BCO LEIT X 10, E3S
76671, PIROXICAM, PIROXICAM, CPR SOLUVEL 20 MG x 10, GM2,526113701115112, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 10, GM2
69728, ALPRAZOLAM, ALPRAZOLAM, CPR 1 MG x 30, E3S,507727806113114, ALPRAZOLAM, ALPRAZOLAM, 1 MG COM CT BL AL PLAS INC X 30, E3S
56204, OMEPROTEC, NOT FOUND, CAPS 10 MG x 14, SDZ,511507401112419, OMEPROTEC, NOT FOUND, 10 MG CAP GEL DURA CT FR PLAS OPC X 14, SDZ
57229, TEGREX, NOT FOUND, CPR 200 MG x 20, N_Q,519015901117412, TEGREX, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 20, N_Q
52088, ENERGIL C, NOT FOUND, ROSE HIPS 1 G x 10, E3S,507712303137414, ENERGIL C, NOT FOUND, 1 G ROSE HIPS C/10, E3S
91073, PAXORAL, NOT FOUND, CAPS 7 MG x 30, FAS,508709606114416, PAXORAL, NOT FOUND, 7 MG CAPS GEL DURA CT BL AL PLAST INC X 30, FAS
79146, LIPIGRAN, NOT FOUND, CPR REVEST 20 MG x 60, LG6,538805204112416, LIPIGRAND, NOT FOUND, 20 MG COM REV CT BL AL/AL X 60, LG6
76394, ATENEUM, NOT FOUND, CPR 50 MG x 30, N_Q,519030003116410, ATENEUM, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 30, N_Q
65128, OMEPROTEC, NOT FOUND, CAPS 20 MG x 28, SDZ,511507405118411, OMEPROTEC, NOT FOUND, 20 MG CAP GEL DURA CT FR PLAS OPC X 28, SDZ
81141, VALSARTANA, VALSARTANA, CPR REVEST 80 MG x 30, LG6,538806702116111, VALSARTANA, VALSARTANA, 80 MG COM REV CT BL AL AL X 30, LG6
73629, ALPRAZOLAM, ALPRAZOLAM, CPR 0.25 MG x 30, MD7,525070204117114, ALPRAZOLAM, ALPRAZOLAM, 0.25 MG COM CT BL AL PLAS OPC X 30, MD7
63615, NORFLOXACINO, NORFLOXACINO, CPR REVEST 400 MG x 6, BF8,504601802114111, NORFLOXACINO, NORFLOXACINO, 400 MG COM REV CT BL AL PLAS INC X 6, BF8
58050, PRESSEL, NOT FOUND, CPR 10 MG x 30, LG6,538809002115417, PRESSEL, NOT FOUND, 10 MG COM CT STR X 30, LG6
76788, IBUPROFENO, IBUPROFENO, CPR REVEST 400 MG x 10, GM2,526122803111115, IBUPROFENO, IBUPROFENO, 400 MG COM REV CT BL AL PLAS OPC X 10, GM2
83352, CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 25 MG x 2, MD7,525074107116111, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 25 MG COM REV CT BL AL PLAS INC X 2, MD7
64722, RISPERIDONA, RISPERIDONA, CPR REVEST 3 MG x 20, SDZ,511516104117113, RISPERIDONA, RISPERIDONA, 3 MG COM REV CT BL AL PLAS INC X 20, SDZ
80736, FUM QUETIAPINA, NOT FOUND, CPR REVEST 100 MG x 30, E3S,507745001113111, FUMARATO QUETIAPINA, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 30, E3S
68255, LANSOPRAZOL, LANSOPRAZOL, CAPS 30 MG x 14, LG6,538817802117113, LANSOPRAZOL, LANSOPRAZOL, 30 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 14, LG6
69354, PONSDRIL, NOT FOUND, CPR 500 MG x 24, LG6,538811601111410, PONSDRIL, NOT FOUND, 500 MG COM CT BL AL PLAS LEIT X 24, LG6
58395, ENDCOFF, NOT FOUND, PAST MEL LIM x 12, E3S,507712202111411, ENDCOFF, NOT FOUND, PAST MEL E LIMAO C/12UN, E3S
77810, GLIBENCLAMIDA, GLIBENCLAMIDA, CPR 5 MG x 30, N_Q,519031101111111, GLIBENCLAMIDA, GLIBENCLAMIDA,  5 MG COM CT BL AL PLAS INC X 30, N_Q
80659, PIOTAZ, NOT FOUND, CPR 30 MG x 15, GM2,526135703110410, PIOTAZ, NOT FOUND, 30 MG COM CT FR PLAS OPC X 15, GM2
66094, BEZAFIBRATO, BEZAFIBRATO, CPR REVEST 200 MG x 20, GM2,526114301110111, BEZAFIBRATO, BEZAFIBRATO, 200 MG COM REVES CT BL AL PLAS BCO X 20, GM2
47749, SCAFLAM, NOT FOUND, CPR 100 MG x 12, MQF,512404001111411, SCAFLAM, NOT FOUND, 100 MG COM CT BL AL PLAS X 12, MQF
70777, NEOPRAZOL, NOT FOUND, CAPS GASTROR 20 MG x 28, N_Q,519012404112418, NEOPRAZOL, NOT FOUND, 20 MG CAP GEL DURA CT FR PLAS OPC X 28, N_Q
55760, NEO FEDIPINA, NOT FOUND, CPR 20 MG x 30, N_Q,519008902111415, NEO FEDIPINA, NOT FOUND, 20 MG COM CT BL AL PLAS AMB X 30, N_Q
99995, MIRTAZAPINA, MIRTAZAPINA, CPR ORODISPE 45 MG x 28, SDZ,511515204118113, MIRTAZAPINA, MIRTAZAPINA, 45 MG COM REV CT BL AL PLAS INC X 28, SDZ
68110, MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 2 MG x 30, E3S,507732001111115, MESILATO DOXAZOSINA, MESILATO DOXAZOSINA, 2 MG COM CT BL AL PLAS LEIT X 30, E3S
72520, GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, MD7,525068913114115, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS INC X 30, MD7
66690, CLOR DILTIAZEM, CLORIDRATO DILTIAZEM, CPR 60 MG x 25, GM2,526117102119113, CLOR DILTIAZEM, CLORIDRATO DILTIAZEM, 60 MG FR C/25COMP, GM2
83359, CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 25 MG x 4, MD7,525074108112118, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 25 MG COM REV CT BL AL PLAS INC X 4, MD7
64720, RISPERIDONA, RISPERIDONA, CPR REVEST 1 MG x 20, SDZ,511516101118119, RISPERIDONA, RISPERIDONA, 1 MG COM REV CT BL AL PLAS INC X 20, SDZ
58244, ESTROFEM, NOT FOUND, CPR REVEST 1 MG x 28, MD7,525005702116411, ESTROFEM, NOT FOUND, 1 MG COM REV CT EST CALEND X 28, MD7
78654, AC TRANEXAMICO, ACIDO TRANEXAMICO, CPR 250 MG x 12, E3S,507743301111116, ACIDO TRANEXAMICO, ACIDO TRANEXAMICO, 250 MG COM CT BL AL PLAS OPC X 12, E3S
78656, DOMPLIV, NOT FOUND, CPR 10 MG x 30, E3S,507742601111415, DOMPLIV, NOT FOUND, 10 MG COM CT BL AL PLAS OPC X 30, E3S
71284, PENTOXIFILINA, PENTOXIFILINA, CPR REVEST 400 MG x 30, GM2,526113403114118, PENTOXIFILINA, PENTOXIFILINA, 400 MG COM REV CT BL AL PLAS INC X 30, GM2
64103, MIRTAZAPINA, MIRTAZAPINA, CPR REVEST 30 MG x 14, SDZ,511515202115117, MIRTAZAPINA, MIRTAZAPINA, 30 MG COM REV CT BL AL PLAS INC X 14, SDZ
56678, AZI, NOT FOUND, CPR 1000 MG x 1, E3S,507734201116117, AZITROMICINA DIIDRATADA, NOT FOUND, 1000 MG COM REV CT BL AL PLAS LEIT X 1, E3S
71614, LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 250 MG x 7, SDZ,511511901116111, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COM REV CT BL AL PLAS INC X 7, SDZ
81118, REPAGLINIDA, REPAGLINIDA, CPR 2 MG x 30, GM2,526135901117111, REPAGLINIDA, REPAGLINIDA, 2 MG COM CT BL AL AL X 30, GM2
77334, INFLADEX, NOT FOUND, CPR REVEST 100 MG x 10, LG6,538803001117417, INFLADEX, NOT FOUND, 100 MG COM REV DESINT LENTA CT BL AL PLAS INC X 10, LG6
66104, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CPR REVEST 20 MG x 14, GM2,526116903118117, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PLAS INC X 14, GM2
68335, SIMETICONA, SIMETICONA, CPR 40 MG x 20, MD7,525063607112118, SIMETICONA, SIMETICONA, 40 MG COM CT BL AL PLAS INC X 20, MD7
69727, ALPRAZOLAM, ALPRAZOLAM, CPR 2 MG x 20, E3S,507727807111115, ALPRAZOLAM, ALPRAZOLAM, 2 MG COM CT BL AL PLAS INC X 20, E3S
80432, GLIMEPIRIDA, GLIMEPIRIDA, CPR 1 MG x 30, GM2,526131103119112, GLIMEPIRIDA, GLIMEPIRIDA, 1 MG COM CT BL AL PLAS OPC X 30, GM2
78987, KOLEVAS, NOT FOUND, CPR REVEST 10 MG x 30, E3S,507743203118418, KOLEVAS, NOT FOUND, 10 MG COM REV CT BL AL/AL X 30, E3S
70871, MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 20 MG x 30, LG6,538815903110118, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 30, LG6
66784, PIROXICAM, PIROXICAM, CAPS 20 MG x 15, GM2,526113702111110, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 15, GM2
73453, PROCSIM, NOT FOUND, CPR 500 MG x 14, MQF,512406403118415, PROCSIM, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 14, MQF
75881, CLOR NORTRIPTIL, CLORIDRATO NORTRIPTILINA, CAPS 75 MG x 20, MD7,525070801115111, CLORIDRATO NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, 75 MG CAP GEL DURA CT BL AL PLAS INC X 20, MD7
77926, SOLLEVARE, NOT FOUND, CPR REVEST 25 MG x 1, E3S,507744501112416, SOLLEVARE, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 1, E3S
79596, VALSARTANA, VALSARTANA, CPR REVEST 320 MG x 30, MD7,525073110113111, VALSARTANA, VALSARTANA, 320 MG COM REV CT BL AL/AL X 30, MD7
61527, ACICLOVIR, ACICLOVIR, CPR 200 MG x 25, SDZ,511500101113110, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 25, SDZ
66689, CLOR DILTIAZEM, CLORIDRATO DILTIAZEM, CPR 60 MG x 50, GM2,526117103115111, CLOR DILTIAZEM, CLORIDRATO DILTIAZEM, 60 MG FR C/50COMP, GM2
62025, LISINOPRIL, LISINOPRIL, CPR 5 MG x 30, SDZ,511505403118116, LISINOPRIL, LISINOPRIL, 5 MG COM CT BL AL PLAS BCO OPC X 30, SDZ
71836, ZANIDIP, NOT FOUND, CPR REVEST 20 MG x 20, MD7,525013103110311, ZANIDIP, NOT FOUND, 20 MG COM REV CT STR AL X 20, MD7
78245, VIDENFIL, NOT FOUND, CPR 50 MG x 8, SDZ,511517006119411, VIDENFIL, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 8, SDZ
82910, ROSUVAST, NOT FOUND, CPR REVEST 20 MG x 30, E3S,507745101118113, ROSUVASTATINA CALCICA, ROSUVASTATINA CALCICA, 20 MG COM REV CT BL AL/AL X 30, E3S
80657, COSARTAN, NOT FOUND, CPR REVEST 320 MG x 30, GM2,526135003119415, COSARTAN, NOT FOUND, 320 MG COM REV CT BL AL AL X 30, GM2
84458, ANGIO II, ANGIOTENSINA II, CPR REVEST 160 MG x 30, MD7,525073703114417, ANGIO II, ANGIOTENSINA II, 160 MG COM REV CT BL AL/AL X 30, MD7
53133, LIORAM, NOT FOUND, CPR 10 MG x 10, MQF,512402702110413, LIORAM, NOT FOUND, COMP 10 MG BL C/ 10, MQF
77006, CARVEDILOL, CARVEDILOL, CPR 12.5 MG x 30, MD7,525071503118110, CARVEDILOL, CARVEDILOL, 12.5 MG COM CT BL AL/AL X 30, MD7
71602, ATENOLOL, ATENOLOL, CPR 25 MG x 60, SDZ,511500705116115, ATENOLOL, ATENOLOL, 25 MG COM REV CT BL AL PLAS INC X 60, SDZ
73817, DIAZEPAM, DIAZEPAM, CPR 5 MG x 20, LG6,538808202110119, DIAZEPAM, DIAZEPAM, 5 MG COM CT BL AL PLAS INC X 20, LG6
62027, LISINOPRIL, LISINOPRIL, CPR 20 MG x 30, SDZ,511505405110112, LISINOPRIL, LISINOPRIL, 20 MG COM CT BL AL PLAS INC X 30, SDZ
66271, MACRODANTINA, NOT FOUND, CAPS 100 MG x 28, MQF,512402802115311, MACRODANTINA, NOT FOUND, 100 MG CAPGEL DURA CT BL AL PLAS INC X 28, MQF
73896, LOSARTAN POTAS, NOT FOUND, CPR REVEST 100 MG x 30, GM2,526127902118119, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 100 MG COM REV CT BL AL PLAS LEIT X 30, GM2
77343, MIOFIBRAX, NOT FOUND, CPR REVEST 10 MG x 15, LG6,538805101119418, MIOFIBRAX, NOT FOUND, 10 MG COM REV CT BL AL PLAS OPC X 15, LG6
64729, GENFIBROZILA, GENFIBROZILA, CPR REVEST 600 MG x 24, E3S,507729401110116, GENFIBROZILA, GENFIBROZILA, 600 MG COM REV CT BL AL PLAST INC X 24, E3S
77982, SINVASTATINA, SINVASTATINA, CPR REVEST 80 MG x 30, SDZ,511508613113115, SINVASTATINA, SINVASTATINA, 80 MG COM REV CT BL AL PLAS INC X 30, SDZ
82915, ROVELAN, NOT FOUND, CPR REV . 80 MG x 30, E3S,507722307119418, ROVELAN, NOT FOUND, 80 MG COM REV CT BL AL/AL X 30, E3S
79147, LIPIGRAN, NOT FOUND, CPR REVEST 40 MG x 30, LG6,538805205119414, LIPIGRAND, NOT FOUND, 40 MG COM REV CT BL AL/AL X 30, LG6
70397, AMOXICILINA, AMOXICILINA, CAPS 500 MG x 30, E3S,507735401119118, AMOXICILINA TRIIDRATADA, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 30, E3S
79145, LIPIGRAN, NOT FOUND, CPR REVEST 20 MG x 30, LG6,538805203116418, LIPIGRAND, NOT FOUND, 20 MG COM REV CT BL AL/AL X 30, LG6
78243, VIDENFIL, NOT FOUND, CPR 50 MG x 2, SDZ,511517004116415, VIDENFIL, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 2, SDZ
58870, MELOXIGRAN, NOT FOUND, CPR 15 MG x 10, LG6,538811301116417, MELOXIGRAN, NOT FOUND, 15 MG COM CT BL AL PLAS OPC X 10, LG6
70023, ALPRAZOLAM, ALPRAZOLAM, CPR 1 MG x 30, GM2,526118405115112, ALPRAZOLAM B1, NOT FOUND, 1 MG COM CT BL AL PLAS INC X 30, GM2
69522, CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 250 MG x 14, MD7,525067701113117, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 250 MG COM REV CT BL AL PLAS INC X 14, MD7
68299, NORFLOXACINO, NORFLOXACINO, CPR REVEST 400 MG x 14, LG6,538810401117115, NORFLOXACINO, NORFLOXACINO, 400 MG COM REV CT BL AL PLAS LEIT X 14, LG6
74506, CLOR AMITRIPTIL, CLORIDRATO AMITRIPTILINA, CPR REVEST 75 MG x 20, GM2,526128601111113, CLORIDRATO AMITRIPTILINA, CLORIDRATO AMITRIPTILINA, 75 MG COM REV CT BL AL PLAS OPC X 20, GM2
80311, FUM QUETIAPINA, NOT FOUND, CPR REVEST 100 MG x 28, SDZ,511517801113118, FUMARATO QUETIAPINA, NOT FOUND, 100 MG COM REV OR CT BL AL PLAS INC X 28, SDZ
79149, LIPIGRAN, NOT FOUND, CPR REVEST 80 MG x 30, LG6,538805201113411, LIPIGRAND, NOT FOUND, 80 MG COM REV CT BL AL/AL X 30, LG6
76497, CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 14, GM2,526120904115111, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS OPC X 14, GM2
73452, PROCSIM, NOT FOUND, CPR 500 MG x 6, MQF,512406404114413, PROCSIM, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 6, MQF
59136, ALOPURINOL, ALOPURINOL, CPR 300 MG x 30, SDZ,511500201118114, ALOPURINOL, ALOPURINOL, 300 MG COM CT BL AL PLAS INC X 30, SDZ
74253, AMPICILINA, AMPICILINA, CAPS 500 MG x 18, SDZ,511512103116110, AMPICILINA, AMPICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 18, SDZ
55179, ESTROFEM, NOT FOUND, CPR REVEST 2 MG x 28, MD7,525005701111416, ESTROFEM, NOT FOUND, 2 MG COMP REV CT EST CALEND X 28, MD7
72238, ALENTHUS XR, NOT FOUND, CAPS L.C. 75 MG x 15, MD7,525068604111413, ALENTHUS XR, NOT FOUND, 75 MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 15, MD7
75251, PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 28, SDZ,511515402114114, PANTOPRAZOL SODICO, PANTOPRAZOL SODICO SESQUI-HIDRATADO, 20 MG COM REV CT BL AL/AL X 28, SDZ
59569, DEXANIL, NOT FOUND, AMP. 2 MG 1 ML x 2 (/ML), N_Q,519030102157417, DEXANIL, NOT FOUND, 2 MG/ML SOL INJ CT 2 AMP VD INC X 1 ML , N_Q
75283, CETOCONAZOL, CETOCONAZOL, CPR 200 MG x 10, BF8,504612801114111, CETOCONAZOL, CETOCONAZOL, 200 MG COM CT BL AL PLAS INC X 10, BF8
80204, VOLUNTA, NOT FOUND, CPR REVEST 10 MG x 30, MD7,525073803119410, VOLUNTA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 30, MD7
