511508901119119, TARTARATO DE ZOLPIDEM, TARTARATO ZOLPIDEM, NOT FOUND, 10 MG COM REV CT 1 BL AL PLAS BCO OPC X 10, SDZ
511508902115117, TARTARATO DE ZOLPIDEM, TARTARATO ZOLPIDEM, NOT FOUND, 10 MG COM REV CT 2 BL AL PLAS BCO OPC X 10, SDZ
511513402151412, TARVEXOL, TARVEXOL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 16.7 ML, SDZ
511513401153411, TARVEXOL, TARVEXOL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 5 ML, SDZ
511509402116414, TRILAX, TRILAX, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 100, SDZ
511509401111419, TRILAX, TRILAX, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 12, SDZ
511509403112412, TRILAX, TRILAX, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 30 , SDZ
511509002118411, TILOXICAN, TILOXICAN, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 10, SDZ
511517401115113, TENOXICAM, TENOXICAM, TENOXICAM, 20 MG COM REV CT BL AL PLAS INC X 10, SDZ
511511303111114, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 100 MG COM REV CT BL AL AL X 60, SDZ
511511402111414, TOPTIL, TOPTIL, NOT FOUND, 100 MG COM REV CT BL AL/AL X 10, SDZ
511511408118410, TOPTIL, TOPTIL, NOT FOUND, 100 MG COM REV CT BL AL/AL X 30, SDZ
511511401113413, TOPTIL, TOPTIL, NOT FOUND, 100 MG COM REV CT BL AL/AL X 60, SDZ
511511304118112, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 25 MG COM REV CT BL AL AL X 60, SDZ
511511406115414, TOPTIL, TOPTIL, NOT FOUND, 25 MG COM REV CT BL AL/AL X 10, SDZ
511511409114419, TOPTIL, TOPTIL, NOT FOUND, 25 MG COM REV CT BL AL/AL X 30, SDZ
511511403116411, TOPTIL, TOPTIL, NOT FOUND, 25 MG COM REV CT BL AL/AL X 60, SDZ
511511305114110, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 50 MG COM REV CT BL AL AL X 60, SDZ
511511407111412, TOPTIL, TOPTIL, NOT FOUND, 50 MG COM REV CT BL AL/AL X 10, SDZ
511511404112418, TOPTIL, TOPTIL, NOT FOUND, 50 MG COM REV CT BL AL/AL X 30, SDZ
511511405119416, TOPTIL, TOPTIL, NOT FOUND, 50 MG COM REV CT BL AL/AL X 60, SDZ
511509201171418, TIRACASPA, TIRACASPA, NOT FOUND, 20 MG/ML SHAMP CT FR PLAS OPC X 100 ML, SDZ
511513301159418, TRIXOTENE, TRIXOTENE, NOT FOUND, 20 MG SOL INJ CT FA VD INC X 0.5 ML + SOL DIL X 1.5 ML, SDZ
511513302155416, TRIXOTENE, TRIXOTENE, NOT FOUND, 80 MG SOL INJ CT FA VD INC X 2.0 ML + SOL DIL X 6.0 ML, SDZ
511508901119119, TARTARATO DE ZOLPIDEM, TARTARATO ZOLPIDEM, NOT FOUND, 10 MG COM REV CT 1 BL AL PLAS BCO OPC X 10, SDZ
511508902115117, TARTARATO DE ZOLPIDEM, TARTARATO ZOLPIDEM, NOT FOUND, 10 MG COM REV CT 2 BL AL PLAS BCO OPC X 10, SDZ
511513402151412, TARVEXOL, TARVEXOL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 16.7 ML, SDZ
511513401153411, TARVEXOL, TARVEXOL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 5 ML, SDZ
511509402116414, TRILAX, TRILAX, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 100, SDZ
511509401111419, TRILAX, TRILAX, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 12, SDZ
511509403112412, TRILAX, TRILAX, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 30 , SDZ
511509002118411, TILOXICAN, TILOXICAN, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 10, SDZ
511517401115113, TENOXICAM, TENOXICAM, TENOXICAM, 20 MG COM REV CT BL AL PLAS INC X 10, SDZ
511511303111114, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 100 MG COM REV CT BL AL AL X 60, SDZ
511511402111414, TOPTIL, TOPTIL, NOT FOUND, 100 MG COM REV CT BL AL/AL X 10, SDZ
511511408118410, TOPTIL, TOPTIL, NOT FOUND, 100 MG COM REV CT BL AL/AL X 30, SDZ
511511401113413, TOPTIL, TOPTIL, NOT FOUND, 100 MG COM REV CT BL AL/AL X 60, SDZ
511511304118112, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 25 MG COM REV CT BL AL AL X 60, SDZ
511511406115414, TOPTIL, TOPTIL, NOT FOUND, 25 MG COM REV CT BL AL/AL X 10, SDZ
511511409114419, TOPTIL, TOPTIL, NOT FOUND, 25 MG COM REV CT BL AL/AL X 30, SDZ
511511403116411, TOPTIL, TOPTIL, NOT FOUND, 25 MG COM REV CT BL AL/AL X 60, SDZ
511511305114110, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 50 MG COM REV CT BL AL AL X 60, SDZ
511511407111412, TOPTIL, TOPTIL, NOT FOUND, 50 MG COM REV CT BL AL/AL X 10, SDZ
511511404112418, TOPTIL, TOPTIL, NOT FOUND, 50 MG COM REV CT BL AL/AL X 30, SDZ
511511405119416, TOPTIL, TOPTIL, NOT FOUND, 50 MG COM REV CT BL AL/AL X 60, SDZ
