508303402137111, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR PLAS AMB X 100 ML + CP MED, FM_
508301501154417, METROFARMA, METROFARMA, NOT FOUND, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML, FM_
508303402137111, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR PLAS AMB X 100 ML + CP MED, FM_
508303403133111, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR PLAS AMB X 120 ML + CP MED, FM_
508303401130113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED, FM_
508303404131110, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, FM_
508303405136116, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 100 FR PLAS AMB X 100 ML + 100 CP MED ( EMB HOSP) , FM_
508303406132114, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 100 FR PLAS AMB X 120 ML + 100 CP MED ( EMB HOSP) , FM_
508303407139112, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 100 FR VD AMB X 100 ML + 100 CP MED ( EMB HOSP), FM_
508303408135110, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 100 FR VD AMB X 120 ML + 100 CP MED ( EMB HOSP), FM_
508303409131119, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 60 FR PLAS AMB X 100 ML + 60 CP MED ( EMB HOSP) , FM_
508303410131119, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 60 FR PLAS AMB X 120 ML + 60 CP MED ( EMB HOSP), FM_
508303411136114, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 60 FR VD AMB X 100 ML + 60 CP MED ( EMB HOSP), FM_
508303412132112, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 60 FR VD AMB X 120 ML + 60 CP MED ( EMB HOSP), FM_
508304102153411, MANITOL FARMACE, MANITOL FARMACE, NOT FOUND, 200 MG/ML SOL INJ IV CX 24 FA PLAS TRANS SIST FECH X 500 ML, FM_
508304101157413, MANITOL FARMACE, MANITOL FARMACE, NOT FOUND, 200 MG/ML SOL INJ IV CX 50 FA PLAS TRANS SIST FECH X 250 ML , FM_
508301502150415, METROFARMA, METROFARMA, NOT FOUND, 5 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP), FM_
508301501154417, METROFARMA, METROFARMA, NOT FOUND, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML, FM_
508301502150415, METROFARMA, METROFARMA, NOT FOUND, 5 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP), FM_
508301501154417, METROFARMA, METROFARMA, NOT FOUND, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML, FM_
508303402137111, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR PLAS AMB X 100 ML + CP MED, FM_
508303403133111, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR PLAS AMB X 120 ML + CP MED, FM_
508303401130113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED, FM_
508303404131110, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, FM_
508303405136116, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 100 FR PLAS AMB X 100 ML + 100 CP MED ( EMB HOSP) , FM_
508303406132114, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 100 FR PLAS AMB X 120 ML + 100 CP MED ( EMB HOSP) , FM_
508303407139112, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 100 FR VD AMB X 100 ML + 100 CP MED ( EMB HOSP), FM_
508303408135110, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 100 FR VD AMB X 120 ML + 100 CP MED ( EMB HOSP), FM_
508303409131119, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 60 FR PLAS AMB X 100 ML + 60 CP MED ( EMB HOSP) , FM_
508303410131119, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 60 FR PLAS AMB X 120 ML + 60 CP MED ( EMB HOSP), FM_
508303411136114, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 60 FR VD AMB X 100 ML + 60 CP MED ( EMB HOSP), FM_
508303412132112, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 60 FR VD AMB X 120 ML + 60 CP MED ( EMB HOSP), FM_
508304102153411, MANITOL FARMACE, MANITOL FARMACE, NOT FOUND, 200 MG/ML SOL INJ IV CX 24 FA PLAS TRANS SIST FECH X 500 ML, FM_
508304101157413, MANITOL FARMACE, MANITOL FARMACE, NOT FOUND, 200 MG/ML SOL INJ IV CX 50 FA PLAS TRANS SIST FECH X 250 ML , FM_
508301502150415, METROFARMA, METROFARMA, NOT FOUND, 5 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP), FM_
508301501154417, METROFARMA, METROFARMA, NOT FOUND, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML, FM_
508303402137111, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR PLAS AMB X 100 ML + CP MED, FM_
508303403133111, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR PLAS AMB X 120 ML + CP MED, FM_
508303401130113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED, FM_
508303404131110, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, FM_
508303405136116, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 100 FR PLAS AMB X 100 ML + 100 CP MED ( EMB HOSP) , FM_
508303406132114, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 100 FR PLAS AMB X 120 ML + 100 CP MED ( EMB HOSP) , FM_
508303407139112, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 100 FR VD AMB X 100 ML + 100 CP MED ( EMB HOSP), FM_
508303408135110, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 100 FR VD AMB X 120 ML + 100 CP MED ( EMB HOSP), FM_
508303409131119, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 60 FR PLAS AMB X 100 ML + 60 CP MED ( EMB HOSP) , FM_
508303410131119, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 60 FR PLAS AMB X 120 ML + 60 CP MED ( EMB HOSP), FM_
508303411136114, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 60 FR VD AMB X 100 ML + 60 CP MED ( EMB HOSP), FM_
508303412132112, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 60 FR VD AMB X 120 ML + 60 CP MED ( EMB HOSP), FM_
508304102153411, MANITOL FARMACE, MANITOL FARMACE, NOT FOUND, 200 MG/ML SOL INJ IV CX 24 FA PLAS TRANS SIST FECH X 500 ML, FM_
508304101157413, MANITOL FARMACE, MANITOL FARMACE, NOT FOUND, 200 MG/ML SOL INJ IV CX 50 FA PLAS TRANS SIST FECH X 250 ML , FM_
