529901103111117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COMP C/2 BL X 15, RBY
529903205114111, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 300MG COM REV CT 3BL AL X 10, RBY
529903304112117, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT 3 AL PLAS OPC X 10, RBY
529903301113112, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COMP C/ 1 BL X 10, RBY
529903302111113, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COMP C/ 2 BL X 10, RBY
529903303116119, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COMP C/ 2 BL X 14, RBY
529915401118111, CLORIDRATO DE SIBUTRAMINA, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 10 MG CAP GEL DURA CT BL AL PLAS INC X 30, RBY
529915402114118, CLORIDRATO DE SIBUTRAMINA, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 15 MG CAP GEL DURA CT BL AL PLAS INC X 30, RBY
529903401118116, CLORIDRATO DE SOTALOL, CLORIDRATO SOTALOL, CLORIDRATO SOTALOL, 160 MG COM CT 2 BL AL PLAS OPC X 10, RBY
529903501112111, CLORIDRATO DE TERBINAFINA, CLORIDRATO TERBINAFINA, CLORIDRATO TERBINAFINA, 250 MG COMP C/2 BL X 7, RBY
529903502119118, CLORIDRATO DE TERBINAFINA, CLORIDRATO TERBINAFINA, CLORIDRATO TERBINAFINA, 250 MG COMP C/4 BL X 7, RBY
529914602111114, CLORIDRATO DE TIZANIDINA, CLORIDRATO TIZANIDINA, CLORIDRATO TIZANIDINA, 2 MG COM CT BL AL PLAS BCO OPC X 30, RBY
529914601113113, CLORIDRATO DE TIZANIDINA, CLORIDRATO TIZANIDINA, CLORIDRATO TIZANIDINA, 2 MG COM CT BL AL PLAS BR OPC X 20, RBY
529912605111119, CLORTALIDONA, CLORTALIDONA, CLORTALIDONA, 12.5 MG COM CT BL AL PLAS INC X 60, RBY
529912603119112, CLORTALIDONA, CLORTALIDONA, CLORTALIDONA, 12.5MG COM CT 3 BL AL PLAST INC X 14, RBY
529912607114115, CLORTALIDONA, CLORTALIDONA, CLORTALIDONA, 25 MG COM CT BL AL PLAS INC X 60, RBY
529912602112114, CLORTALIDONA, CLORTALIDONA, CLORTALIDONA, 25MG COM CT 3 BL AL PLAST INC X 14, RBY
529912601116116, CLORTALIDONA, CLORTALIDONA, CLORTALIDONA, 50MG COM CT 2 BL AL PLAST INC X 14, RBY
529913201111417, CONTIFLO OD, CONTIFLO OD, NOT FOUND, 0.4 MG CAP GEL DURA LIB CONTROL CT 2 BL AL PLAS INC X 10, RBY
529913202118415, CONTIFLO OD, CONTIFLO OD, NOT FOUND, 0.4 MG CAP GEL DURA LIB CONTROL CT 3 BL AL PLAS INC X 10, RBY
529913301175417, CUTISONE, CUTISONE, NOT FOUND, 1 MG/G CREM DERM CT BG AL X 20 G, RBY
529913302163412, CUTISONE, CUTISONE, NOT FOUND, 1 MG/G POM DERM CT BG AL X 20G, RBY
529901103111117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COMP C/2 BL X 15, RBY
529901104116112, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COMP C/4 BL X 4, RBY
529901105112110, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COMP C/7 BL X 4, RBY
529901108111115, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25.0 MG COM CT BL AL PLAS INC X 30, RBY
529901109118113, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25.0 MG COM CT BL AL PLAS INC X 60, RBY
529901106119119, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COMP C/4 BL X 4, RBY
529901107115117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COMP C/7 BL X 4, RBY
529901110116110, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50.0 MG COM CT BL AL PLAS INC X 30, RBY
529901203165413, CECNOIN, CECNOIN, NOT FOUND, 0.50 MG/G GEL CT BG AL X 30 G, RBY
529901201111413, CECNOIN, CECNOIN, NOT FOUND, 10 MG CAPS C/ 3 BL X 10, RBY
529901202118411, CECNOIN, CECNOIN, NOT FOUND, 20 MG CAPS C/ 3 BL X 10, RBY
529901303119111, CEFACLOR, CEFACLOR, CEFACLOR, 500 MG CAPS C/1 BL X 10, RBY
529901501115112, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COMP C/ 1 BL X 8, RBY
529901502111110, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COMP C/ 2 BL X 10, RBY
529901503118119, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COMP C/ 20 BL X 10, RBY
529914301152113, CEFAZOLINA SÓDICA, CEFAZOLINA SODICA, CEFAZOLINA SODICA, 1 G PO INJ CT 50 FR AMP VD INC X 10 ML (EMB HOSP), RBY
529901903116415, CELEN AF, CELEN AF, NOT FOUND, 750 MG COMP C/ 1 BL X 4, RBY
529901904112413, CELEN AF, CELEN AF, NOT FOUND, 750 MG COMP C/ 5 BL X 4, RBY
529902001116118, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200 MG COMP C/ 1 STR X 10, RBY
529902002112116, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200 MG COMP C/ 3 STR X 10, RBY
529913501166111, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL REV X 30 G, RBY
529913502162118, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0.50 MG/G + 2.5 MG/G POM DERM CT BG AL REV X 30 G, RBY
529913601160113, CETOCONAZOL+DIPROPIONATO DE BETAMETASONA, CETOCONAZOL DIPROPIONATO BETAMETASONA, NOT FOUND, 20 MG/G + 0.5 MG/G CREM DERM CT BG AL REV X 30 G, RBY
529913602167111, CETOCONAZOL+DIPROPIONATO DE BETAMETASONA, CETOCONAZOL DIPROPIONATO BETAMETASONA, NOT FOUND, 20 MG/G + 0.5 MG/G POM DERM CT BG AL REV X 30G, RBY
529912401117119, CETOPROFENO, CETOPROFENO, CETOPROFENO, 100 MG COM REV CT 2 BL AL PLAS INC X 10, RBY
529912302119113, CINARIZINA, CINARIZINA, CINARIZINA, 25 MG COM CT 3 BL AL PLAST INC X 10, RBY
529912303115111, CINARIZINA, CINARIZINA, CINARIZINA, 25 MG COM CT BL AL PLAS INC X 100 (EMB HOSP), RBY
529912301112115, CINARIZINA, CINARIZINA, CINARIZINA, 75 MG COM CT 3 BL AL PLAST INC X 10, RBY
529912304111111, CINARIZINA, CINARIZINA, CINARIZINA, 75 MG COM CT BL AL PLAS INC X 100 (EMB HOSP), RBY
529902101110111, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20MG COMP C/ 1BL X 14, RBY
529902102117111, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20MG COMP C/ 2BL X 14, RBY
529902303112115, CLARITROMICINA, CLARITROMICINA, CLARITROMICINA, 250 MG COMP REV C / 3 BL X 4, RBY
529902305131117, CLARITROMICINA, CLARITROMICINA, CLARITROMICINA, 25MG/ML GRAN SUS OR CT FR PLAS OPC X 60ML + SER DOS X 5ML, RBY
529902306111111, CLARITROMICINA, CLARITROMICINA, CLARITROMICINA, 500 MG COMP C/ 1 BL X 14, RBY
529902309137111, CLARITROMICINA, CLARITROMICINA, CLARITROMICINA, 50MG/ML GRAN SUS OR CT FR PLAS OPC X 60ML + SER DOS X 5ML, RBY
529914101110115, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 0.5 MG COM CT BL AL PLAS INC X 20, RBY
529914102117113, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 0.5 MG COM CT BL AL PLAS INC X 30, RBY
529914103113111, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 2 MG COM CT BL AL PLAS INC X 20, RBY
529914104111112, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 2 MG COM CT BL AL PLAS INC X 30, RBY
529913102113111, CLORIDRATO DE AMILORIDA+HIDROCLOROTIAZIDA, CLORIDRATO AMILORIDA HIDROCLOROTIAZIDA, NOT FOUND, 2.5 MG + 25 MG COM CT 3 BL AL PLAS INC X 10, RBY
529913101117111, CLORIDRATO DE AMILORIDA+HIDROCLOROTIAZIDA, CLORIDRATO AMILORIDA HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 50 MG COM CT 3 BL AL PLAS INC X 10, RBY
529902501119116, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 250 MG COMP REV C/ 10 BL X 10, RBY
529902503111112, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 250 MG COMP REV C/1 BL X 14, RBY
529902504118110, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 250 MG COMP REV C/1 BL X 6, RBY
529902509179118, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 3.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, RBY
529902505114119, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COMP REV C/ 10 BL X 10, RBY
529902506110117, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COMP REV C/1 BL X 14, RBY
529902507117115, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COMP REV C/1 BL X 6, RBY
529902601113111, CLORIDRATO DE CLINDAMICINA, CLORIDRATO CLINDAMICINA, CLORIDRATO CLINDAMICINA MONOIDRATADO, 300 MG CAP GEL DURA CT BL AL PLAS INC X 10, RBY
529902602111110, CLORIDRATO DE CLINDAMICINA, CLORIDRATO CLINDAMICINA, CLORIDRATO CLINDAMICINA MONOIDRATADO, 300 MG CAP GEL DURA CT BL AL PLAS INC X 16, RBY
529902603116116, CLORIDRATO DE CLINDAMICINA, CLORIDRATO CLINDAMICINA, CLORIDRATO CLINDAMICINA MONOIDRATADO, 300 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529914201115119, CLORIDRATO DE DILTIAZEM, CLORIDRATO DILTIAZEM, CLORIDRATO DILTIAZEM, 30 MG COM CT STR AL AL X 30, RBY
529914202111117, CLORIDRATO DE DILTIAZEM, CLORIDRATO DILTIAZEM, CLORIDRATO DILTIAZEM, 30 MG COM CT STR AL AL X 50, RBY
529914203118115, CLORIDRATO DE DILTIAZEM, CLORIDRATO DILTIAZEM, CLORIDRATO DILTIAZEM, 60 MG COM CT STR AL AL X 30, RBY
529914204114113, CLORIDRATO DE DILTIAZEM, CLORIDRATO DILTIAZEM, CLORIDRATO DILTIAZEM, 60 MG COM CT STR AL AL X 50, RBY
529915301113116, CLORIDRATO DE DONEPEZILA, CLORIDRATO DONEPEZILA, CLORIDRATO DONEPEZILA, 10 MG COM REV BL AL PLAS INC X 30, RBY
529902701118113, CLORIDRATO DE DOXICICLINA, CLORIDRATO DOXICICLINA, CLORIDRATO DOXICICLINA, 100 MG COMP REV C/ 1 STR X 15, RBY
529902801112117, CLORIDRATO DE FEXOFENADINA, CLORIDRATO FEXOFENADINA, CLORIDRATO FEXOFENADINA, 120 MG COM REV CT 1 BL AL PLAS OPC X 10, RBY
529902802119115, CLORIDRATO DE FEXOFENADINA, CLORIDRATO FEXOFENADINA, CLORIDRATO FEXOFENADINA, 180 MG COM REV CT 1 BL AL PLAS OPC X 10, RBY
529902901117110, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20MG CAPS C/ 1 BL X 10, RBY
529902902113119, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20MG CAPS C/ 1 BL X 7, RBY
529902903111111, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20MG CAPS C/ 2 BL X 7, RBY
529902904116115, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20MG X CAPS C/ 4 BL X 7, RBY
529913701114113, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 500 MG COM REV CT BL AL PLAS INC X 60, RBY
529903001111114, CLORIDRATO DE METIFORMINA, CLORIDRATO METIFORMINA, NOT FOUND, 500 MG COMP REV C/5 BL X 6, RBY
529903003112118, CLORIDRATO DE METIFORMINA, CLORIDRATO METIFORMINA, NOT FOUND, 850 MG COM REV CT BL AL PLAS INC X 60, RBY
529903002116111, CLORIDRATO DE METIFORMINA, CLORIDRATO METIFORMINA, NOT FOUND, 850 MG COMP REV C/5 BL X 6, RBY
529903101114115, CLORIDRATO DE MINOCICLINA, CLORIDRATO MINOCICLINA, CLORIDRATO MINOCICLINA, 100MG COMP C/ 1BL X 30, RBY
529903102110113, CLORIDRATO DE MINOCICLINA, CLORIDRATO MINOCICLINA, CLORIDRATO MINOCICLINA, 100MG COMP C/ 1BL X 9, RBY
529914401114116, CLORIDRATO DE NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, 25 MG CAP GEL DURA CT BL AL PLAS INC X 20, RBY
529914402110114, CLORIDRATO DE NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, 25 MG CAP GEL DURA CT BL AL PLAS INC X 30, RBY
529914403117112, CLORIDRATO DE NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, 50 MG CAP GEL DURA CT BL AL PLAS INC X 30, RBY
529914404113110, CLORIDRATO DE NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, 75 MG CAP GEL DURA CT BL AL PLAS INC X 30, RBY
529903201119119, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150MG COM REV CT 1BL AL X 10, RBY
529903203111115, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150MG COM REV CT 2BL AL X 10, RBY
529903202115117, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150MG COM REV CT 3BL AL X 10, RBY
529903206110111, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 300MG COM REV CT 1BL AL X 10, RBY
529903207117118, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 300MG COM REV CT 2BL AL X 10, RBY
529903205114111, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 300MG COM REV CT 3BL AL X 10, RBY
529903304112117, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT 3 AL PLAS OPC X 10, RBY
529903301113112, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COMP C/ 1 BL X 10, RBY
529903302111113, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COMP C/ 2 BL X 10, RBY
529903303116119, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COMP C/ 2 BL X 14, RBY
529915401118111, CLORIDRATO DE SIBUTRAMINA, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 10 MG CAP GEL DURA CT BL AL PLAS INC X 30, RBY
529915402114118, CLORIDRATO DE SIBUTRAMINA, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 15 MG CAP GEL DURA CT BL AL PLAS INC X 30, RBY
529903401118116, CLORIDRATO DE SOTALOL, CLORIDRATO SOTALOL, CLORIDRATO SOTALOL, 160 MG COM CT 2 BL AL PLAS OPC X 10, RBY
529903501112111, CLORIDRATO DE TERBINAFINA, CLORIDRATO TERBINAFINA, CLORIDRATO TERBINAFINA, 250 MG COMP C/2 BL X 7, RBY
529903502119118, CLORIDRATO DE TERBINAFINA, CLORIDRATO TERBINAFINA, CLORIDRATO TERBINAFINA, 250 MG COMP C/4 BL X 7, RBY
529914602111114, CLORIDRATO DE TIZANIDINA, CLORIDRATO TIZANIDINA, CLORIDRATO TIZANIDINA, 2 MG COM CT BL AL PLAS BCO OPC X 30, RBY
529914601113113, CLORIDRATO DE TIZANIDINA, CLORIDRATO TIZANIDINA, CLORIDRATO TIZANIDINA, 2 MG COM CT BL AL PLAS BR OPC X 20, RBY
529912605111119, CLORTALIDONA, CLORTALIDONA, CLORTALIDONA, 12.5 MG COM CT BL AL PLAS INC X 60, RBY
529912603119112, CLORTALIDONA, CLORTALIDONA, CLORTALIDONA, 12.5MG COM CT 3 BL AL PLAST INC X 14, RBY
529912607114115, CLORTALIDONA, CLORTALIDONA, CLORTALIDONA, 25 MG COM CT BL AL PLAS INC X 60, RBY
529912602112114, CLORTALIDONA, CLORTALIDONA, CLORTALIDONA, 25MG COM CT 3 BL AL PLAST INC X 14, RBY
529912601116116, CLORTALIDONA, CLORTALIDONA, CLORTALIDONA, 50MG COM CT 2 BL AL PLAST INC X 14, RBY
529913201111417, CONTIFLO OD, CONTIFLO OD, NOT FOUND, 0.4 MG CAP GEL DURA LIB CONTROL CT 2 BL AL PLAS INC X 10, RBY
529913202118415, CONTIFLO OD, CONTIFLO OD, NOT FOUND, 0.4 MG CAP GEL DURA LIB CONTROL CT 3 BL AL PLAS INC X 10, RBY
529913301175417, CUTISONE, CUTISONE, NOT FOUND, 1 MG/G CREM DERM CT BG AL X 20 G, RBY
529913302163412, CUTISONE, CUTISONE, NOT FOUND, 1 MG/G POM DERM CT BG AL X 20G, RBY
529901103111117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COMP C/2 BL X 15, RBY
529901104116112, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COMP C/4 BL X 4, RBY
529901105112110, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COMP C/7 BL X 4, RBY
529901108111115, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25.0 MG COM CT BL AL PLAS INC X 30, RBY
529901109118113, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25.0 MG COM CT BL AL PLAS INC X 60, RBY
529901106119119, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COMP C/4 BL X 4, RBY
529901107115117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COMP C/7 BL X 4, RBY
529901110116110, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50.0 MG COM CT BL AL PLAS INC X 30, RBY
529901203165413, CECNOIN, CECNOIN, NOT FOUND, 0.50 MG/G GEL CT BG AL X 30 G, RBY
529901201111413, CECNOIN, CECNOIN, NOT FOUND, 10 MG CAPS C/ 3 BL X 10, RBY
529901202118411, CECNOIN, CECNOIN, NOT FOUND, 20 MG CAPS C/ 3 BL X 10, RBY
529901303119111, CEFACLOR, CEFACLOR, CEFACLOR, 500 MG CAPS C/1 BL X 10, RBY
529901501115112, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COMP C/ 1 BL X 8, RBY
529901502111110, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COMP C/ 2 BL X 10, RBY
529901503118119, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COMP C/ 20 BL X 10, RBY
529914301152113, CEFAZOLINA SÓDICA, CEFAZOLINA SODICA, CEFAZOLINA SODICA, 1 G PO INJ CT 50 FR AMP VD INC X 10 ML (EMB HOSP), RBY
529901903116415, CELEN AF, CELEN AF, NOT FOUND, 750 MG COMP C/ 1 BL X 4, RBY
529901904112413, CELEN AF, CELEN AF, NOT FOUND, 750 MG COMP C/ 5 BL X 4, RBY
529902001116118, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200 MG COMP C/ 1 STR X 10, RBY
529902002112116, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200 MG COMP C/ 3 STR X 10, RBY
529913501166111, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL REV X 30 G, RBY
529913502162118, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0.50 MG/G + 2.5 MG/G POM DERM CT BG AL REV X 30 G, RBY
529913601160113, CETOCONAZOL+DIPROPIONATO DE BETAMETASONA, CETOCONAZOL DIPROPIONATO BETAMETASONA, NOT FOUND, 20 MG/G + 0.5 MG/G CREM DERM CT BG AL REV X 30 G, RBY
529913602167111, CETOCONAZOL+DIPROPIONATO DE BETAMETASONA, CETOCONAZOL DIPROPIONATO BETAMETASONA, NOT FOUND, 20 MG/G + 0.5 MG/G POM DERM CT BG AL REV X 30G, RBY
529912401117119, CETOPROFENO, CETOPROFENO, CETOPROFENO, 100 MG COM REV CT 2 BL AL PLAS INC X 10, RBY
529912302119113, CINARIZINA, CINARIZINA, CINARIZINA, 25 MG COM CT 3 BL AL PLAST INC X 10, RBY
529912303115111, CINARIZINA, CINARIZINA, CINARIZINA, 25 MG COM CT BL AL PLAS INC X 100 (EMB HOSP), RBY
529912301112115, CINARIZINA, CINARIZINA, CINARIZINA, 75 MG COM CT 3 BL AL PLAST INC X 10, RBY
529912304111111, CINARIZINA, CINARIZINA, CINARIZINA, 75 MG COM CT BL AL PLAS INC X 100 (EMB HOSP), RBY
529902101110111, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20MG COMP C/ 1BL X 14, RBY
529902102117111, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20MG COMP C/ 2BL X 14, RBY
529902303112115, CLARITROMICINA, CLARITROMICINA, CLARITROMICINA, 250 MG COMP REV C / 3 BL X 4, RBY
529902305131117, CLARITROMICINA, CLARITROMICINA, CLARITROMICINA, 25MG/ML GRAN SUS OR CT FR PLAS OPC X 60ML + SER DOS X 5ML, RBY
529902306111111, CLARITROMICINA, CLARITROMICINA, CLARITROMICINA, 500 MG COMP C/ 1 BL X 14, RBY
529902309137111, CLARITROMICINA, CLARITROMICINA, CLARITROMICINA, 50MG/ML GRAN SUS OR CT FR PLAS OPC X 60ML + SER DOS X 5ML, RBY
529914101110115, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 0.5 MG COM CT BL AL PLAS INC X 20, RBY
529914102117113, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 0.5 MG COM CT BL AL PLAS INC X 30, RBY
529914103113111, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 2 MG COM CT BL AL PLAS INC X 20, RBY
529914104111112, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 2 MG COM CT BL AL PLAS INC X 30, RBY
529913102113111, CLORIDRATO DE AMILORIDA+HIDROCLOROTIAZIDA, CLORIDRATO AMILORIDA HIDROCLOROTIAZIDA, NOT FOUND, 2.5 MG + 25 MG COM CT 3 BL AL PLAS INC X 10, RBY
529913101117111, CLORIDRATO DE AMILORIDA+HIDROCLOROTIAZIDA, CLORIDRATO AMILORIDA HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 50 MG COM CT 3 BL AL PLAS INC X 10, RBY
529902501119116, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 250 MG COMP REV C/ 10 BL X 10, RBY
529902503111112, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 250 MG COMP REV C/1 BL X 14, RBY
529902504118110, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 250 MG COMP REV C/1 BL X 6, RBY
529902509179118, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 3.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, RBY
529902505114119, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COMP REV C/ 10 BL X 10, RBY
529902506110117, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COMP REV C/1 BL X 14, RBY
529902507117115, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COMP REV C/1 BL X 6, RBY
529902601113111, CLORIDRATO DE CLINDAMICINA, CLORIDRATO CLINDAMICINA, CLORIDRATO CLINDAMICINA MONOIDRATADO, 300 MG CAP GEL DURA CT BL AL PLAS INC X 10, RBY
529902602111110, CLORIDRATO DE CLINDAMICINA, CLORIDRATO CLINDAMICINA, CLORIDRATO CLINDAMICINA MONOIDRATADO, 300 MG CAP GEL DURA CT BL AL PLAS INC X 16, RBY
529902603116116, CLORIDRATO DE CLINDAMICINA, CLORIDRATO CLINDAMICINA, CLORIDRATO CLINDAMICINA MONOIDRATADO, 300 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529914201115119, CLORIDRATO DE DILTIAZEM, CLORIDRATO DILTIAZEM, CLORIDRATO DILTIAZEM, 30 MG COM CT STR AL AL X 30, RBY
529914202111117, CLORIDRATO DE DILTIAZEM, CLORIDRATO DILTIAZEM, CLORIDRATO DILTIAZEM, 30 MG COM CT STR AL AL X 50, RBY
529914203118115, CLORIDRATO DE DILTIAZEM, CLORIDRATO DILTIAZEM, CLORIDRATO DILTIAZEM, 60 MG COM CT STR AL AL X 30, RBY
529914204114113, CLORIDRATO DE DILTIAZEM, CLORIDRATO DILTIAZEM, CLORIDRATO DILTIAZEM, 60 MG COM CT STR AL AL X 50, RBY
529915301113116, CLORIDRATO DE DONEPEZILA, CLORIDRATO DONEPEZILA, CLORIDRATO DONEPEZILA, 10 MG COM REV BL AL PLAS INC X 30, RBY
