73676; CLO TICLOPIDINA; CLORIDRATO TICLOPIDINA; CPR REVEST 250 MG x 30; LG6;5,08026E+14; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INCX 30; EUF
64581; LANSOPRAZOL; LANSOPRAZOL; CAPS 15 MG x 14; E3S;5,31605E+14; LANSOPRAZOL; LANSOPRAZOL; 15 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 14; NO_ACR
73627; ALPRAZOLAM; ALPRAZOLAM; CPR 0.50 MG x 30; MD7;5,2507E+14; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS OPC X 30 ; MD7
85398; BROMAZEPAM; BROMAZEPAM; CPR 3 MG x 20; N_Q;5,00201E+14; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT 2 BL AL PLAS INC X 10; ABT
66551; PROP CLOBETASOL; NOT FOUND; POM. 0.50 MG 30 G x 1 (/G); E3S;5,1761E+14; PROPIONATO DE CLOBETASOL; NOT FOUND; 0.5 MG/G CREM DERM CT BG AL X 30 G ; GLO
63915; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 15; N_Q;5,33018E+14; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; U_Q
76646; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 10 MG x 15; GM2;5,07741E+14; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10MG COM REV CT BL AL PLAS OPC X 15; E3S
66094; BEZAFIBRATO; BEZAFIBRATO; CPR REVEST 200 MG x 20; GM2;5,26114E+14; BEZAFIBRATO; BEZAFIBRATO; 200MG COM REVES CT BL AL PLAS BCO X 20; GM2
72212; ADAPALENO; ADAPALENO; GEL. 1 MG 30 G x 1 (/G); MD7;5,07731E+14; ADAPALENO; ADAPALENO; 1 MG/G GEL CT BG AL X 30 G; E3S
65623; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 10 MG x 30; N_Q;5,20714E+14; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10MG COM CT 3 ENV AL X 10; TTB
58463; VALER BETAMETA; VALERATO BETAMETASONA; POM. 1 MG 30 G x 1 (/G); MD7;5,02407E+14; VALERATO BETAMETASONA; VALERATO BETAMETASONA; 1 MG/G CREM CT BG AL X 30 G; NO_ACR
68255; LANSOPRAZOL; LANSOPRAZOL; CAPS 30 MG x 14; LG6;5,26119E+14; LANSOPRAZOL; LANSOPRAZOL; 30 MG 2BLT C/7 CAP; GM2
64089; CLOR FEXOFENADI; CLORIDRATO FEXOFENADINA; CPR REVEST 120 MG x 10; N_Q;5,25304E+14; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 120MG COM REVES CT BL AL PLAS OPC X 10; NO_ACR
62535; CLO; NOT FOUND; CPR REVEST 25 MG x 20; E3S;5,07728E+14; CLOR ANFEPRAMONA; CLORIDRATO ANFEPRAMONA; 25MG C/20 COMP; E3S
58871; MELOXICAM; MELOXICAM; CPR 7.50 MG x 10; MD7;5,386E+14; MELOXICAM; MELOXICAM; 7.5 MG COM CT BL AL PLAS OPC X 10; UFB
73841; MALENA; NOT FOUND; CPR 10 MG x 30; E3S;5,31621E+14; MALENA; NOT FOUND; 10 MG COM CT BL AL/AL X 30; NO_ACR
65309; NITRA MICONAZOL; NITRATO MICONAZOL; LOC. 20 MG 30 ML x 1 (/ML); N_Q;5,28504E+14; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G LOC CT FR PLAST X 30 G; PZ8
57770; NEODAZOL; NOT FOUND; CPR 500 MG x 4; N_Q;5,19011E+14; NEODAZOL; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 4; N_Q
76943; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 30; N_Q;5,2853E+14; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS INC X 30; PZ8
66096; BROMAZEPAM; BROMAZEPAM; CPR 6 MG x 20; GM2;5,20727E+14; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 20; TTB
69688; LISINOPRIL; LISINOPRIL; CPR 20 MG x 60; E3S;5,07717E+14; LISINOPRIL; LISINOPRIL; 20 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); E3S
68203; DEFLAZACORTE; DEFLAZACORTE; CPR 6 MG x 20; LG6;5,38813E+14; DEFLAZACORTE; DEFLAZACORTE; 6 MG COM CT BL AL PLAS OPC X 20; LG6
68155; ALPRAZOLAM; ALPRAZOLAM; CPR 1 MG x 20; LG6;5,31608E+14; ALPRAZOLAM B1; NOT FOUND; 1 MG BLT C/ 20 COMP; NO_ACR
73832; LOSARTAN POTAS; NOT FOUND; CPR REVEST 100 MG x 30; LG6;5,26122E+14; LOSARTAN POTASSICO HIDROCLOROTIAZIDA; NOT FOUND; 100 MG + 25 MG COM REV CT BL AL AL X 30; GM2
63173; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; SDZ;5,25002E+14; CAPTOPRIL; CAPTOPRIL; 25 MG COMP CT 1 BL AL PLAS INC X 30; MD7
75460; HIDROQUINONA; HIDROQUINONA; GEL. 40 MG 30 G x 1 (/G); GM2;5,26132E+14; HIDROQUINONA; HIDROQUINONA; 40 MG/G CREM CT BG AL X 30G; GM2
79615; TENOXICAM; TENOXICAM; CPR REVEST 20 MG x 10; SDZ;5,19028E+14; TENOXICAM; TENOXICAM; 20 MG COM REV CT BL AL PLAS INC X 10; N_Q
69686; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 500 MG x 3; GM2;5,31616E+14; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS LEIT X 3; NO_ACR
68207; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 10; GM2;5,31611E+14; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS BCO LEIT X 10; NO_ACR
68167; BROM FENOTEROL; NOT FOUND; GOTAS 5 MG 20 ML x 1 (/ML); GM2;5,28524E+14; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 5 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; PZ8
64729; GENFIBROZILA; GENFIBROZILA; CPR REVEST 600 MG x 24; E3S;5,07729E+14; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAST INC X 24; E3S
77723; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; CPR REVEST 500 MG x 14; LG6;5,19021E+14; CLORIDRATO CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; 500 MG COM REV CT BL AL PLAS INC X 14; N_Q
68553; ACETILCISTEINA; ACETILCISTEINA; GRAN ENVELO. 600 MG 5 G x 16; MD7;5,08708E+14; ACETILCISTEINA; ACETILCISTEINA; 600 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G; FAS
65164; MELOXICAM; MELOXICAM; CPR 15 MG x 10; E3S;5,21121E+14; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLS INC X 10; NO_ACR
66088; ALPRAZOLAM; ALPRAZOLAM; CPR 1 MG x 20; GM2;5,26118E+14; ALPRAZOLAM B1; NOT FOUND; 1MG 2BLT C/ 10COMP; GM2
62535; CLO; NOT FOUND; CPR REVEST 25 MG x 20; E3S;5,2853E+14; CLORIDRATO OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; 0.25 MG/ML SOL NAS CX 100 FR PLAS OPC GOT X 20 ML (EMB HOSP); PZ8
59529; SULFATO TERBUTA; SULFATO TERBUTALINA; XAROPE 0.30 MG 100 ML x 1 (/ML); MD7;5,28505E+14; SULFATO TERBUTALINA; SULFATO TERBUTALINA; 0.3MG/ML XPE CT FR VD AMB X 100ML C/ CP MED; PZ8
75427; RAMIPRIL; RAMIPRIL; CPR 2.50 MG x 30; S_A;5,25073E+14; RAMIPRIL; RAMIPRIL; 2.5 MG COM CT BL AL/AL X 30; MD7
75252; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 28; SDZ;5,25418E+14; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV EST CT BL AL/AL X 28; NO_ACR
104574; LORATADINA; LORATADINA; CPR 10 MG x 12; N_Q;5,25302E+14; LORATADINA; LORATADINA; 10 MG COM CT 2 BL AL PLAS INC X 6; NO_ACR
77306; GLIMEPIRIDA; GLIMEPIRIDA; CPR 4 MG x 30; LG6;5,25069E+14; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 30; MD7
69737; CLO SIBUTRAMINA; CLORIDRATO SIBUTRAMINA MONOIDRATADO; CAPS 15 MG x 30; MD7;5,21124E+14; CLORIDRATO SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; 15 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
80681; FUM QUETIAPINA; NOT FOUND; CPR REVEST 25 MG x 30; GM2;5,06906E+14; FUMARATO DE QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
64730; GENFIBROZILA; GENFIBROZILA; CPR REVEST 900 MG x 12; E3S;5,07729E+14; GENFIBROZILA; GENFIBROZILA; 900MG 2 BLT C/ 6 COMP; E3S
85398; BROMAZEPAM; BROMAZEPAM; CPR 3 MG x 20; N_Q;5,20727E+14; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 20; TTB
57056; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 20 MG x 14; E3S;5,26117E+14; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 14; GM2
58821; BROMOPRIDA; BROMOPRIDA; GOTAS 4 MG 20 ML x 1 (/ML); MD7;5,25305E+14; BROMOPRIDA; BROMOPRIDA; 4 MG/ML SOL OR CT FR VD AMB X 20ML + CGT; NO_ACR
76981; GLIMEPIRIDA; GLIMEPIRIDA; CPR 4 MG x 30; GM2;5,0641E+14; GLIMEPIRIDA; GLIMEPIRIDA; 4MG COM CT BL AL PLAS INC X 30; CM5
59943; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 30; E3S;5,28527E+14; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 30; PZ8
73552; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); S_A;5,26125E+14; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; GM2
68515; ACETILCISTEINA; ACETILCISTEINA; XAR. INF 20 MG 120 ML x 1 (/ML); GM2;5,38807E+14; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; LG6
56724; GELOL; NOT FOUND; LIN. 45 ML x 1; DNF;5,38501E+14; GELOL; NOT FOUND; LIN CT FR PLAS OPC X 45 ML; HY_
76488; SIMETICONA; SIMETICONA; CPR 40 MG x 20; S_A;5,02818E+14; SIMETICONA; SIMETICONA; 40 MG COM CT BL AL PLAS INC X 20 ; NO_ACR
68277; MELOXICAM; MELOXICAM; CPR 15 MG x 10; LG6;5,19028E+14; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS INC X 10; N_Q
64089; CLOR FEXOFENADI; CLORIDRATO FEXOFENADINA; CPR REVEST 120 MG x 10; N_Q;5,25072E+14; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 120 MG COM REV CT BL AL PLAS INC X 10; MD7
69602; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 100 MG x 14; E3S;5,31617E+14; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 100 MG COM REV CT BL AL PLAS LEIT X 14; NO_ACR
76411; GLIMEPIRIDA; GLIMEPIRIDA; CPR 2 MG x 30; N_Q;5,25418E+14; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 30; NO_ACR
77916; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 25 MG x 2; E3S;5,07743E+14; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS OPC X 2 ; E3S
67436; ADAPALENO; ADAPALENO; CREME 1 MG 30 G x 1 (/G); E3S;5,25072E+14; ADAPALENO; ADAPALENO; 1 MG/G GEL DERM CT BG PLAS OPC X 30 G; MD7
68194; CLOR NAFAZOLINA; CLORIDRATO NAFAZOLINA; SOLN NASAL 0.50 MG 30 ML x 1 (/ML); LG6;5,17608E+14; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.5 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML; GLO
75460; HIDROQUINONA; HIDROQUINONA; GEL. 40 MG 30 G x 1 (/G); GM2;5,26132E+14; HIDROQUINONA; HIDROQUINONA; 40 MG/G GEL CT BG AL X 30 G; GM2
64001; LISINOPRIL; LISINOPRIL; CPR 5 MG x 30; GM2;5,35901E+14; LISINOPRIL; LISINOPRIL; 5 MG COM CT BL AL PLAS INC X 30; NO_ACR
59046; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 5 MG x 20; MD7;5,25401E+14; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT CART BL AL PLAS OPC X 20; NO_ACR
78852; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 5 MG x 15; GM2;5,08022E+14; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5 MG COM REV CT BL AL PLAS INC X 15; EUF
63613; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 5 MG x 30; BF8;5,25401E+14; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS OPC X 30; NO_ACR
64562; CARBOCISTEINA; CARBOCISTEINA; XAR. PED. 20 MG 100 ML x 1 (/ML); N_Q;5,26117E+14; CARBOCISTEINA; CARBOCISTEINA; 20MG/ML XPE INF 100 ML; GM2
66325; PIROXICAM; PIROXICAM; CAPS 20 MG x 15; N_Q;5,0772E+14; PIROXICAM; PIROXICAM; 20 MG 1 BL X 15 CAPS; E3S
77005; CARVEDILOL; CARVEDILOL; CPR 12.5 MG x 15; MD7;5,25072E+14; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL/AL X 15; MD7
68955; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 30; N_Q;5,00104E+14; CAPTOPRIL; CAPTOPRIL; 50MG COM CT BL AL PLAS INC X 30; AOB
54609; METILCORD; NOT FOUND; CPR 500 MG x 30; LR3;5,24305E+14; METILCORD; NOT FOUND; 500 MG C/30 COMPRIMIDOS; LR3
71312; CLO CLINDAMICIN; CLORIDRATO CLINDAMICINA MONOIDRATADO; CAPS 300 MG x 16; E3S;5,33021E+14; CLORIDRATO CLINDAMICINA; CLORIDRATO CLINDAMICINA MONOIDRATADO; 300 MG CAP GEL DURA CT BL AL PLAS INC X 16; U_Q
59699; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; CPR REVEST 500 MG x 14; SDZ;5,001E+14; CLORIDRATO CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; 500 MG COM REVES CT 2 BL AL PLAS INC X 7; AOB
79281; BRASART; NOT FOUND; CPR. REV. 320 MG x 30; E3S;5,31624E+14; BRASART; NOT FOUND; 320 MG COM REV CT BL AL AL X 30; NO_ACR
66101; CEFACLOR; CEFACLOR; CAPS 500 MG x 10; GM2;5,07704E+14; CEFACLOR; CEFACLOR; 500 MG 1 BL X 10 CAPS; E3S
57295; OMEPRAZOL; OMEPRAZOL; CAPS 20 MG x 14; MD7;5,26116E+14; OMEPRAZOL; OMEPRAZOL; 20 MG 2BLT C/ 7 CAP; GM2
52814; NIMESILAM; NOT FOUND; GOTAS 50 MG 15 ML x 1 (/ML); E3S;5,07719E+14; NIMESILAM; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; E3S
76647; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 10 MG x 30; GM2;5,25308E+14; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
59557; CETOCONAZOL CRE; NOT FOUND; CREME 20 MG 30 G x 1 (/G); N_Q;5,32302E+14; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G; NO_ACR
69367; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 500 MG x 7; GM2;5,08009E+14; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 7  ; EUF
64463; RIFAMICINA; RIFAMICINA; SPRAY 10 MG 20 ML x 1 (/ML); E3S;5,31609E+14; RIFAMICINA; RIFAMICINA; 10MG/ML SOL TOP SPRAY CT FR VD AMB X 20ML; NO_ACR
69087; BROMOPRIDA; BROMOPRIDA; SOLN ORAL 4 MG 20 ML x 1 (/ML); LG6;5,25417E+14; BROMOPRIDA; BROMOPRIDA; 4MG/ML SOL OR CT FR PLAS OPC GOT X 20ML ; NO_ACR
69978; TOPIRAMATO; TOPIRAMATO; CPR REVEST 100 MG x 60; LG6;5,21126E+14; TOPIRAMATO; TOPIRAMATO; 100 MG COM REV CT BL AL/AL X 60; NO_ACR
66742; LORAZEPAM; LORAZEPAM; CPR 1 MG x 20; GM2;5,07717E+14; LORAZEPAM; LORAZEPAM; 1 MG COM CT BL AL PLAS INC X 20; E3S
68277; MELOXICAM; MELOXICAM; CPR 15 MG x 10; LG6;5,2612E+14; MELOXICAM; MELOXICAM; 15MG COM CT BL AL PLAS BCO LEIT X 10; GM2
59699; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; CPR REVEST 500 MG x 14; SDZ;5,38802E+14; CLORIDRATO CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; 500 MG COM REV CT BL AL PLAS OPC X 14; LG6
59048; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 10 MG x 20; MD7;5,06905E+14; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 20; NO_ACR
59103; OMEPRAZOL; OMEPRAZOL; CAPS 40 MG x 7; SDZ;5,07719E+14; OMEPRAZOL; OMEPRAZOL; 40 MG 1 BL X 7 CAPS; E3S
102178; CARVEDILOL; CARVEDILOL; CPR 25 MG x 30; E3S;5,06906E+14; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL PLAS INC X 30; NO_ACR
76646; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 10 MG x 15; GM2;5,25308E+14; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 15; NO_ACR
68384; IBUPROFENO; IBUPROFENO; CPR REVEST 200 MG x 20; E3S;5,25106E+14; IBUPROFENO; IBUPROFENO; 200 MG COM REV CT BL AL PLAS INC X 20; MDQ
68646; BROMAZEPAM; BROMAZEPAM; CPR 6 MG x 30; GM2;5,38504E+14; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 30; HY_
73834; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 30; E3S;5,25417E+14; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50MG COM REV EST CART BL AL PLAS INC X 30; NO_ACR
80662; ROSTATIN; NOT FOUND; CPR REVEST 10 MG x 30; GM2;5,07745E+14; ROSUVASTATINA CALCICA; ROSUVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 30; E3S
57137; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 10 MG x 30; E3S;5,26113E+14; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 10MG + 25MG COM CT BL AL PLAS LEITOSO X 30; GM2
78163; RAMIPRIL; RAMIPRIL; CPR SULCADO 5 MG x 30; MD7;5,04611E+14; RAMIPRIL; RAMIPRIL; 5 MG COM REV CT 2 STR AL / AL X 15 ; BF8
71860; AMOXICILINA; AMOXICILINA; CPR 500 MG x 21; E3S;5,046E+14; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; BF8
63845; VALER BETAMETA; VALERATO BETAMETASONA; CREME 1 MG 30 G x 1 (/G); E3S;5,0773E+14; VALERATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 1 MG/ G + 5 MG/G CREM CT BG AL X 30G; E3S
62305; FLUCONAZOL; FLUCONAZOL; CAPS 150 MG x 2; E3S;5,06409E+14; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2; CM5
58357; CARBOCISTEINA; CARBOCISTEINA; XAR. 20 MG 100 ML x 1 (/ML); MD7;5,19022E+14; CARBOCISTEINA; CARBOCISTEINA; XPE INF 20MG/ML (FR C/100ML) + COPO MEDIDA; N_Q
68966; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 500 MG x 7; E3S;5,04601E+14; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 7; BF8
71279; NIMESULIDA; NIMESULIDA; GOTAS 50 MG 15 ML x 1 (/ML); BF8;5,25009E+14; NIMESULIDA; NIMESULIDA; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; MD7
77630; DIAZEPAM; DIAZEPAM; CPR 5 MG x 30; N_Q;5,0771E+14; DIAZEPAM; DIAZEPAM; 5 MG COM CT BL AL PLAS INC X 30; E3S
67364; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 20; BF8;5,38818E+14; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 20; LG6
73841; MALENA; NOT FOUND; CPR 10 MG x 30; E3S;5,26115E+14; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 10 MG/G CREM DERM CT BG AL X 30 G; GM2
72179; CLO SIBUTRAMINA; CLORIDRATO SIBUTRAMINA MONOIDRATADO; CAPS 15 MG x 10; MD7;5,2613E+14; CLORIDRATO SIBUTRAMINA; CLORIDRATO SIBUTRAMINA MONOIDRATADO; 15 MG CAP GEL DURA CT BL AL PLAS OPC X 10 ; GM2
66957; CICLOPIROX OLAM; CICLOPIROX OLAMINA; CREME 10 MG 20 G x 1 (/G); MD7;5,242E+14; CLOPIXOL; NOT FOUND; 10 MG - 20 COMPRIMIDOS; LUN
66096; BROMAZEPAM; BROMAZEPAM; CPR 6 MG x 20; GM2;5,11514E+14; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 20; SDZ
63869; METRONIDAZOL; METRONIDAZOL; CPR 250 MG x 20; N_Q;5,28504E+14; METRONIDAZOL; METRONIDAZOL; 250 MG COM REV CT BL AL PLAS OPC X 20; PZ8
75645; GLYFLUCAN; NOT FOUND; CAPS 150 MG x 1; GM2;5,07715E+14; GLYFLUCAN; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS LEIT X 1; E3S
58361; CEFADROXILA; CEFADROXILA; CAPS 500 MG x 8; E3S;5,07704E+14; CEFADROXIL; NOT FOUND; 500MG 1 BL X 8 CAPS; E3S
76775; CLO SIBUTRAMINA; CLORIDRATO SIBUTRAMINA MONOIDRATADO; CAPS 10 MG x 30; LG6;5,08024E+14; CLORIDRATO SIBUTRAMINA MONOHIDRATADO; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 30; EUF
78310; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 30; GM2;5,11509E+14; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT 3 BL AL PLAS INC X 10; SDZ
68139; ACEBROFILINA; ACEBROFILINA; XAR. AD 50 MG 120 ML x 1 (/5ML); LG6;5,08017E+14; ACEBROFILINA; ACEBROFILINA; 50 MG/ 5 ML XPE ADULTO FR 120 ML; EUF
66738; LANSOPRAZOL; LANSOPRAZOL; CAPS 15 MG x 14; GM2;5,38818E+14; LANSOPRAZOL; LANSOPRAZOL; 15 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 14; LG6
65164; MELOXICAM; MELOXICAM; CPR 15 MG x 10; E3S;5,2612E+14; MELOXICAM; MELOXICAM; 15MG COM CT BL AL PLAS BCO LEIT X 10; GM2
77080; RISONATO; NOT FOUND; CPR REVEST 35 MG x 4; GM2;5,07742E+14; RISONATO; NOT FOUND; 35 MG COM REV CT BL AL PLAS OPC X 4; E3S
65219; BETAMETASONA; BETAMETASONA; CPR 2 MG x 10; E3S;5,26114E+14; BETAMETASONA; BETAMETASONA; 2.0MG COM CT BL AL PLAS BCO LEITX 10; GM2
66087; ALPRAZOLAM; ALPRAZOLAM; CPR 0.50 MG x 20; GM2;5,38812E+14; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 20; LG6
64583; LANSOPRAZOL; LANSOPRAZOL; CAPS 30 MG x 14; E3S;5,07727E+14; LANSOPRAZOL; LANSOPRAZOL; 30MG 2 BLT C/ 7 CAPS; E3S
63841; DIP BET AC SALI; NOT FOUND; POM. 30 G x 1; E3S;5,07726E+14; DIPROP BETA AC SALIC; NOT FOUND; POM 30 G; E3S
68199; CLOR VERAPAMIL; CLORIDRATO VERAPAMIL; CPR REVEST 80 MG x 30; LG6;5,1151E+14; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 80 MG COM REV CT BL AL PLAS BCO OPC X 30; SDZ
57054; CLOR DILTIAZEM; CLORIDRATO DILTIAZEM; CPR 60 MG x 50; E3S;5,26117E+14; CLOR DILTIAZEM; CLORIDRATO DILTIAZEM; 60MG FR C/50COMP; GM2
70870; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 10 MG x 30; LG6;5,31619E+14; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL / AL X 30; NO_ACR
68270; MALEAT DEXCLORF; MALEATO DEXCLORFENIRAMINA; CPR 2 MG x 20; LG6;5,31607E+14; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2 MG COM CT BL AL PLAS BCO LEIT X 20; NO_ACR
57233; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 10; E3S;5,01501E+14; CETOCONAZOL; CETOCONAZOL; COMP. 200MG CX 1 BL X 10; ATX
68176; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 30; LG6;5,31605E+14; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 30; NO_ACR
78994; ATORVASTATINA; ATORVASTATINA; CPR REVEST 10 MG x 30; GM2;5,22243E+14; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 30; PFZ
56669; AMOXICILINA; AMOXICILINA; SUSP 250 MG 150 ML x 1 (/5ML); MD7;5,015E+14; AMOXICILINA; AMOXICILINA; PO SUSP.ORAL 250MG/5ML FR PLASTICO 150 ML; ATX
65577; SERTRALIN; NOT FOUND; CPR REVEST 50 MG x 28; N_Q;5,19023E+14; SERTRALIN; NOT FOUND; 50 MG COM REV CT 2 BL AL PLAS INC X 14; N_Q
