508710001131110, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, FAS
508707601131111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, FAS
508707602138111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 150 ML + CP MED, FAS
508707604114110, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 200 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G, FAS
508707605110119, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 600 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G, FAS
508707702175114, ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, ACETONIDA TRIANCINOLONA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100.000 U/G CREM DERM CT BG A, FAS
508707701160113, ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, ACETONIDA TRIANCINOLONA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100000 UI/G POM DERM BG AL X 30 G, FAS
508700101176410, ADERMYKON-C, ADERMYKON C, NOT FOUND, FR 10ML, FAS
508700201111418, AMPLIUM, AMPLIUM, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 4 , FAS
508700202118416, AMPLIUM, AMPLIUM, NOT FOUND, 500 MG COM REV CT. BL AL PLAS INC X 8 , FAS
508700203165418, AMPLIUM, AMPLIUM, NOT FOUND, G - 30 MG/G + 20 MG/G CREM VAG CT BISN AL X 80 G + 14, FAS
508700301175418, ANASEPTIL, ANASEPTIL, NOT FOUND, PO TOP CT 01 TB PLAS X 10 G , FAS
508700502111417, ANTIGERON, ANTIGERON, NOT FOUND, AP 75 MG COMP REV CT 3 BL AL PLAST INC X 10, FAS
508700601111415, ARTRIL, ARTRIL, NOT FOUND, 300 MG COMP REV CT 2 BL AL PLAST INC X 10, FAS
508700602116410, ARTRIL, ARTRIL, NOT FOUND, 600 MG COMP REV CT 2 BL AL PLAST INC X 10, FAS
508700701114416, ATENS, ATENS, NOT FOUND, 10 MG COMP CT BL AL PLAST INC X 20, FAS
508707801114113, AZITROMICINA DIIDRATADA, AZITROMICINA DIIDRATADA, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 3, FAS
508700903132415, AZITROMIN, AZITROMIN, NOT FOUND, 600 MG PO PREP EXT CT FR PLAST OPC X 1 + FR DIL X, FAS
508710001131110, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, FAS
508710002138119, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, FAS
508710003134117, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, FAS
508710004130115, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, FAS
508707603118112, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 100 MG GRAN CT 16 ENV PAPEL AL POLIET X 5G, FAS
508707601131111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, FAS
508707602138111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 150 ML + CP MED, FAS
508707604114110, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 200 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G, FAS
508707605110119, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 600 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G, FAS
508700701114416, ATENS, ATENS, NOT FOUND, 10 MG COMP CT BL AL PLAST INC X 20, FAS
508700301175418, ANASEPTIL, ANASEPTIL, NOT FOUND, PO TOP CT 01 TB PLAS X 10 G , FAS
508700201111418, AMPLIUM, AMPLIUM, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 4 , FAS
508700202118416, AMPLIUM, AMPLIUM, NOT FOUND, 500 MG COM REV CT. BL AL PLAS INC X 8 , FAS
508707702175114, ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, ACETONIDA TRIANCINOLONA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100.000 U/G CREM DERM CT BG A, FAS
508707701160113, ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, ACETONIDA TRIANCINOLONA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100000 UI/G POM DERM BG AL X 30 G, FAS
508710001131110, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, FAS
508710002138119, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, FAS
508710003134117, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, FAS
508710004130115, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, FAS
508707603118112, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 100 MG GRAN CT 16 ENV PAPEL AL POLIET X 5G, FAS
508707601131111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, FAS
508707602138111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 150 ML + CP MED, FAS
508707604114110, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 200 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G, FAS
508707605110119, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 600 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G, FAS
508700701114416, ATENS, ATENS, NOT FOUND, 10 MG COMP CT BL AL PLAST INC X 20, FAS
508700301175418, ANASEPTIL, ANASEPTIL, NOT FOUND, PO TOP CT 01 TB PLAS X 10 G , FAS
508700201111418, AMPLIUM, AMPLIUM, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 4 , FAS
508700202118416, AMPLIUM, AMPLIUM, NOT FOUND, 500 MG COM REV CT. BL AL PLAS INC X 8 , FAS
508707702175114, ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, ACETONIDA TRIANCINOLONA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100.000 U/G CREM DERM CT BG A, FAS
508707701160113, ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, ACETONIDA TRIANCINOLONA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100000 UI/G POM DERM BG AL X 30 G, FAS
