525013001164119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 15, MD7
525073804115419, VOLUNTA, VOLUNTA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 500 (EMB HOSP), MD7
525073805111417, VOLUNTA, VOLUNTA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 60, MD7
525073806118415, VOLUNTA, VOLUNTA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 90 (EMB FRAC), MD7
525073807114413, VOLUNTA, VOLUNTA, NOT FOUND, 20 MG COM REV CT BL AL/AL X 10, MD7
525073808110411, VOLUNTA, VOLUNTA, NOT FOUND, 20 MG COM REV CT BL AL/AL X 200 (EMB HOSP), MD7
525073809117411, VOLUNTA, VOLUNTA, NOT FOUND, 20 MG COM REV CT BL AL/AL X 30, MD7
525073810115417, VOLUNTA, VOLUNTA, NOT FOUND, 20 MG COM REV CT BL AL/AL X 500 (EMB HOSP), MD7
525073811111415, VOLUNTA, VOLUNTA, NOT FOUND, 20 MG COM REV CT BL AL/AL X 60, MD7
525073812118413, VOLUNTA, VOLUNTA, NOT FOUND, 20 MG COM REV CT BL AL/AL X 90 (EMB FRAC), MD7
525073813114411, VOLUNTA, VOLUNTA, NOT FOUND, 40 MG COM REV CT BL AL/AL X 10, MD7
525073814110411, VOLUNTA, VOLUNTA, NOT FOUND, 40 MG COM REV CT BL AL/AL X 200 (EMB HOSP), MD7
525073815117418, VOLUNTA, VOLUNTA, NOT FOUND, 40 MG COM REV CT BL AL/AL X 30, MD7
525073816113416, VOLUNTA, VOLUNTA, NOT FOUND, 40 MG COM REV CT BL AL/AL X 500 (EMB HOSP), MD7
525073817111417, VOLUNTA, VOLUNTA, NOT FOUND, 40 MG COM REV CT BL AL/AL X 60, MD7
525073818116412, VOLUNTA, VOLUNTA, NOT FOUND, 40 MG COM REV CT BL AL/AL X 90 (EMB FRAC), MD7
525073819112410, VOLUNTA, VOLUNTA, NOT FOUND, 80 MG COM REV CT BL AL/AL X 10, MD7
525073820110418, VOLUNTA, VOLUNTA, NOT FOUND, 80 MG COM REV CT BL AL/AL X 200 (EMB HOSP), MD7
525073821117416, VOLUNTA, VOLUNTA, NOT FOUND, 80 MG COM REV CT BL AL/AL X 30, MD7
525073822113414, VOLUNTA, VOLUNTA, NOT FOUND, 80 MG COM REV CT BL AL/AL X 500 (EMB HOSP), MD7
525073823111415, VOLUNTA, VOLUNTA, NOT FOUND, 80 MG COM REV CT BL AL/AL X 60, MD7
525073824116410, VOLUNTA, VOLUNTA, NOT FOUND, 80 MG COM REV CT BL AL/AL X 90 (EMB FRAC), MD7
525068402160111, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/ G + 1.0 MG/ G + 10.0 MG/ G + 10.0 MG/ G POM DERM CT BG AL X 20 G, MD7
525068401164113, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G, MD7
525065901115419, VIVANZA, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 2, MD7
525066501110418, VIVANZA, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 4, MD7
525066101112413, VIVANZA, VIVANZA, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 4, MD7
525066201117417, VIVANZA, VIVANZA, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 2, MD7
525073202158411, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 1 CARP VD INC X 3 ML, MD7
525073203154411, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 1 CARP VD INC X 3 ML + 1 SIST APLIC PLAST, MD7
525073204150418, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 1 FA VD INC X 10 ML, MD7
525073205157416, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 1 FA VD INC X 5 ML, MD7
525073206153414, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 10 CARP VD INC X 3 ML, MD7
525073207151415, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 2 CARP VD INC X 3 ML, MD7
525073208156410, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 3 CARP VD INC X 3 ML, MD7
525073201151413, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 4 CARP VD INC X 3 ML, MD7
525073209152419, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 5 CARP VD INC X 3 ML, MD7
525073212153412, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 5 CARP VD INC X 3 ML + 5 SISTEMA APLIC PLAS, MD7
525073210150416, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 5 FA VD INC X 10 ML, MD7
525073211157414, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 5 FA VD INC X 5 ML, MD7
525065801110415, VALTRIAN, VALTRIAN, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 30 , MD7
525065802117413, VALTRIAN, VALTRIAN, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 30, MD7
525065803113411, VALTRIAN, VALTRIAN, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 30, MD7
525065804111412, VALTRIAN, VALTRIAN, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065805116418, VALTRIAN, VALTRIAN, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 15, MD7
525070601116416, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS BCO OPC X 30, MD7
525070602112414, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS OPC X 15 , MD7
525070603119412, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 15, MD7
525070604115410, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 30, MD7
525013001164119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 15, MD7
525013002160117, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 30 G, MD7
525013003175118, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G SOL CAPILAR CT FR PLAS OPC GOT X 50 G, MD7
525013004171116, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0MG/G LOC DERM CT FR PLAS OPC GOT X 50 G, MD7
525013005161114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1MG/G POM DERM CT BG AL X 15 G, MD7
525013006166111, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1MG/G POM DERM CT BG AL X 30 G, MD7
525073102110115, VALSARTANA, VALSARTANA, VALSARTANA, 160 MG COM REV CT BL AL/AL X 15, MD7
525073103117113, VALSARTANA, VALSARTANA, VALSARTANA, 160 MG COM REV CT BL AL/AL X 30, MD7
525073104113111, VALSARTANA, VALSARTANA, VALSARTANA, 160 MG COM REV CT BL AL/AL X 60, MD7
525073111111110, VALSARTANA, VALSARTANA, VALSARTANA, 160 MG COM REV CT BL AL/AL X 90 (EMB FRAC), MD7
525073101114117, VALSARTANA, VALSARTANA, VALSARTANA, 320 MG COM REV CT BL AL/AL X 15, MD7
525073110113111, VALSARTANA, VALSARTANA, VALSARTANA, 320 MG COM REV CT BL AL/AL X 30, MD7
525073108119114, VALSARTANA, VALSARTANA, VALSARTANA, 320 MG COM REV CT BL AL/AL X 60, MD7
525073109115112, VALSARTANA, VALSARTANA, VALSARTANA, 320 MG COM REV CT BL AL/AL X 90 (EMB FRAC), MD7
525073105111112, VALSARTANA, VALSARTANA, VALSARTANA, 80 MG COM REV CT BL AL/AL X 15, MD7
525073106116118, VALSARTANA, VALSARTANA, VALSARTANA, 80 MG COM REV CT BL AL/AL X 30, MD7
525073107112116, VALSARTANA, VALSARTANA, VALSARTANA, 80 MG COM REV CT BL AL/AL X 60, MD7
525073112116116, VALSARTANA, VALSARTANA, VALSARTANA, 80 MG COM REV CT BL AL/AL X 90 (EMB FRAC), MD7
525073801116414, VOLUNTA, VOLUNTA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 10, MD7
525073802112412, VOLUNTA, VOLUNTA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 200 (EMB HOSP), MD7
525073803119410, VOLUNTA, VOLUNTA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 30, MD7
525073804115419, VOLUNTA, VOLUNTA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 500 (EMB HOSP), MD7
525073805111417, VOLUNTA, VOLUNTA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 60, MD7
525073806118415, VOLUNTA, VOLUNTA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 90 (EMB FRAC), MD7
525073807114413, VOLUNTA, VOLUNTA, NOT FOUND, 20 MG COM REV CT BL AL/AL X 10, MD7
525073808110411, VOLUNTA, VOLUNTA, NOT FOUND, 20 MG COM REV CT BL AL/AL X 200 (EMB HOSP), MD7
525073809117411, VOLUNTA, VOLUNTA, NOT FOUND, 20 MG COM REV CT BL AL/AL X 30, MD7
525073810115417, VOLUNTA, VOLUNTA, NOT FOUND, 20 MG COM REV CT BL AL/AL X 500 (EMB HOSP), MD7
525073811111415, VOLUNTA, VOLUNTA, NOT FOUND, 20 MG COM REV CT BL AL/AL X 60, MD7
525073812118413, VOLUNTA, VOLUNTA, NOT FOUND, 20 MG COM REV CT BL AL/AL X 90 (EMB FRAC), MD7
525073813114411, VOLUNTA, VOLUNTA, NOT FOUND, 40 MG COM REV CT BL AL/AL X 10, MD7
525073814110411, VOLUNTA, VOLUNTA, NOT FOUND, 40 MG COM REV CT BL AL/AL X 200 (EMB HOSP), MD7
525073815117418, VOLUNTA, VOLUNTA, NOT FOUND, 40 MG COM REV CT BL AL/AL X 30, MD7
525073816113416, VOLUNTA, VOLUNTA, NOT FOUND, 40 MG COM REV CT BL AL/AL X 500 (EMB HOSP), MD7
525073817111417, VOLUNTA, VOLUNTA, NOT FOUND, 40 MG COM REV CT BL AL/AL X 60, MD7
525073818116412, VOLUNTA, VOLUNTA, NOT FOUND, 40 MG COM REV CT BL AL/AL X 90 (EMB FRAC), MD7
525073819112410, VOLUNTA, VOLUNTA, NOT FOUND, 80 MG COM REV CT BL AL/AL X 10, MD7
525073820110418, VOLUNTA, VOLUNTA, NOT FOUND, 80 MG COM REV CT BL AL/AL X 200 (EMB HOSP), MD7
525073821117416, VOLUNTA, VOLUNTA, NOT FOUND, 80 MG COM REV CT BL AL/AL X 30, MD7
525073822113414, VOLUNTA, VOLUNTA, NOT FOUND, 80 MG COM REV CT BL AL/AL X 500 (EMB HOSP), MD7
525073823111415, VOLUNTA, VOLUNTA, NOT FOUND, 80 MG COM REV CT BL AL/AL X 60, MD7
525073824116410, VOLUNTA, VOLUNTA, NOT FOUND, 80 MG COM REV CT BL AL/AL X 90 (EMB FRAC), MD7
525068402160111, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/ G + 1.0 MG/ G + 10.0 MG/ G + 10.0 MG/ G POM DERM CT BG AL X 20 G, MD7
525068401164113, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G, MD7
525065901115419, VIVANZA, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 2, MD7
525066501110418, VIVANZA, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 4, MD7
525066101112413, VIVANZA, VIVANZA, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 4, MD7
525066201117417, VIVANZA, VIVANZA, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 2, MD7
525073202158411, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 1 CARP VD INC X 3 ML, MD7
525073203154411, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 1 CARP VD INC X 3 ML + 1 SIST APLIC PLAST, MD7
525073204150418, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 1 FA VD INC X 10 ML, MD7
525073205157416, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 1 FA VD INC X 5 ML, MD7
525073206153414, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 10 CARP VD INC X 3 ML, MD7
525073207151415, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 2 CARP VD INC X 3 ML, MD7
525073208156410, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 3 CARP VD INC X 3 ML, MD7
525073201151413, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 4 CARP VD INC X 3 ML, MD7
525073209152419, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 5 CARP VD INC X 3 ML, MD7
525073212153412, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 5 CARP VD INC X 3 ML + 5 SISTEMA APLIC PLAS, MD7
525073210150416, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 5 FA VD INC X 10 ML, MD7
525073211157414, VELUXUS, VELUXUS, NOT FOUND, 100 UI/ML SOL INJ CT 5 FA VD INC X 5 ML, MD7
525065801110415, VALTRIAN, VALTRIAN, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 30 , MD7
525065802117413, VALTRIAN, VALTRIAN, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 30, MD7
525065803113411, VALTRIAN, VALTRIAN, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 30, MD7
525065804111412, VALTRIAN, VALTRIAN, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065805116418, VALTRIAN, VALTRIAN, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 15, MD7
525070601116416, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS BCO OPC X 30, MD7
525070602112414, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS OPC X 15 , MD7
525070603119412, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 15, MD7
525070604115410, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 30, MD7
525013001164119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 15, MD7
525013002160117, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 30 G, MD7
525013003175118, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G SOL CAPILAR CT FR PLAS OPC GOT X 50 G, MD7
525013004171116, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0MG/G LOC DERM CT FR PLAS OPC GOT X 50 G, MD7
525013005161114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1MG/G POM DERM CT BG AL X 15 G, MD7
525013006166111, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1MG/G POM DERM CT BG AL X 30 G, MD7
525073102110115, VALSARTANA, VALSARTANA, VALSARTANA, 160 MG COM REV CT BL AL/AL X 15, MD7
525073103117113, VALSARTANA, VALSARTANA, VALSARTANA, 160 MG COM REV CT BL AL/AL X 30, MD7
525073104113111, VALSARTANA, VALSARTANA, VALSARTANA, 160 MG COM REV CT BL AL/AL X 60, MD7
525073111111110, VALSARTANA, VALSARTANA, VALSARTANA, 160 MG COM REV CT BL AL/AL X 90 (EMB FRAC), MD7
525073101114117, VALSARTANA, VALSARTANA, VALSARTANA, 320 MG COM REV CT BL AL/AL X 15, MD7
525073110113111, VALSARTANA, VALSARTANA, VALSARTANA, 320 MG COM REV CT BL AL/AL X 30, MD7
525073108119114, VALSARTANA, VALSARTANA, VALSARTANA, 320 MG COM REV CT BL AL/AL X 60, MD7
525073109115112, VALSARTANA, VALSARTANA, VALSARTANA, 320 MG COM REV CT BL AL/AL X 90 (EMB FRAC), MD7
525073105111112, VALSARTANA, VALSARTANA, VALSARTANA, 80 MG COM REV CT BL AL/AL X 15, MD7
525073106116118, VALSARTANA, VALSARTANA, VALSARTANA, 80 MG COM REV CT BL AL/AL X 30, MD7
525073107112116, VALSARTANA, VALSARTANA, VALSARTANA, 80 MG COM REV CT BL AL/AL X 60, MD7
525073112116116, VALSARTANA, VALSARTANA, VALSARTANA, 80 MG COM REV CT BL AL/AL X 90 (EMB FRAC), MD7
