507736801110116, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT BL AL PLAS LEIT X 30, E3S
507726401136110, GUAIFENESINA, GUAIFENESINA, GUAIFENESINA, 13.33 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, E3S
507726402132119, GUAIFENESINA, GUAIFENESINA, GUAIFENESINA, 16 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, E3S
507736801110116, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT BL AL PLAS LEIT X 30, E3S
507736802117114, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT BL AL PLAS LEIT X 30, E3S
507736803113112, GABAPENTINA, GABAPENTINA, GABAPENTINA, 600 MG COM REV CT BL AL PLAS OPC X 27 , E3S
507714505136415, GELMAX, GELMAX, NOT FOUND, EFERV ABACAXI 100 SACHET C/5, E3S
507714506132413, GELMAX, GELMAX, NOT FOUND, EFERV ABACAXI 20 SACHET C/5G, E3S
507714502110415, GELMAX, GELMAX, NOT FOUND, PAPAYA-CASSIS BL 4 X 6 COMP, E3S
507714509131418, GELMAX, GELMAX, NOT FOUND, SUSP FR C/240ML, E3S
507739101136419, GELMAX DIM , GELMAX DIM, NOT FOUND, (400 + 400 + 30)MG/5 ML SUS OR CT FR PLAS OPC X 240 ML (MORANGO) , E3S
507739102132417, GELMAX DIM , GELMAX DIM, NOT FOUND, (400 + 400 + 30)MG/5ML SUS OR CT FR PLAS OPC X 240 ML (TRADICIONAL), E3S
507729401110116, GENFIBROZILA, GENFIBROZILA, GENFIBROZILA, 600 MG COM REV CT BL AL PLAST INC X 24, E3S
507729404111113, GENFIBROZILA, GENFIBROZILA, GENFIBROZILA, 600MG X 60 COMP REV (EMB FRAC), E3S
507729402117114, GENFIBROZILA, GENFIBROZILA, GENFIBROZILA, 900MG 2 BLT C/ 6 COMP, E3S
507729403113112, GENFIBROZILA, GENFIBROZILA, GENFIBROZILA, 900MG X 60 COMP REV (EMB FRAC), E3S
507714601161417, GENTAGRAN, GENTAGRAN, NOT FOUND, POM OT BISN C/3 G, E3S
507731703110412, GLIANSOR, GLIANSOR, NOT FOUND, 1 MG COM CT BL AL PLAS INC X 30, E3S
507731701118416, GLIANSOR, GLIANSOR, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 30, E3S
507731702114414, GLIANSOR, GLIANSOR, NOT FOUND, 4 MG COM CT BL AL PLAS INC X 30, E3S
507730202118110, GLIBENCLAMIDA, GLIBENCLAMIDA, GLIBENCLAMIDA, 5 MG COM CT BL AL PLAS INC X 60, E3S
507730201111112, GLIBENCLAMIDA, GLIBENCLAMIDA, GLIBENCLAMIDA, 5MG 2 BLT C/ 15 COMP, E3S
507714801142416, GLICERINA, GLICERINA, NOT FOUND, AD C/6 SUSP, E3S
507714802149414, GLICERINA, GLICERINA, NOT FOUND, LAC C/6 SUP-E, E3S
507740601112113, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 4MG COM CT BL AL PLAS OPC X 30, E3S
507740602119111, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 4MG COM CT BL AL PLAS OPC X 60, E3S
507715003118419, GLYFLUCAN, GLYFLUCAN, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS LEIT X 1, E3S
507715002111410, GLYFLUCAN, GLYFLUCAN, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS LEIT X 2, E3S
507715101111419, GRIPEN, GRIPEN, NOT FOUND, 3STP C/4 COMP, E3S
507726401136110, GUAIFENESINA, GUAIFENESINA, GUAIFENESINA, 13.33 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, E3S
507726402132119, GUAIFENESINA, GUAIFENESINA, GUAIFENESINA, 16 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, E3S
507744801116417, GASTROBENE, GASTROBENE, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS OPC X 20, E3S
507715003118419, GLYFLUCAN, GLYFLUCAN, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS LEIT X 1, E3S
507715002111410, GLYFLUCAN, GLYFLUCAN, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS LEIT X 2, E3S
507736801110116, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT BL AL PLAS LEIT X 30, E3S
507736802117114, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT BL AL PLAS LEIT X 30, E3S
507736803113112, GABAPENTINA, GABAPENTINA, GABAPENTINA, 600 MG COM REV CT BL AL PLAS OPC X 27 , E3S
507729404111113, GENFIBROZILA, GENFIBROZILA, GENFIBROZILA, 600 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC), E3S
507729401110116, GENFIBROZILA, GENFIBROZILA, GENFIBROZILA, 600 MG COM REV CT BL AL PLAST INC X 24, E3S
507729402117114, GENFIBROZILA, GENFIBROZILA, GENFIBROZILA, 900 MG 2 BLT C/ 6 COMP, E3S
507729403113112, GENFIBROZILA, GENFIBROZILA, GENFIBROZILA, 900 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC) , E3S
507730201111112, GLIBENCLAMIDA, GLIBENCLAMIDA, GLIBENCLAMIDA, 5 MG 2 BLT C/ 15 COMP, E3S
507730202118110, GLIBENCLAMIDA, GLIBENCLAMIDA, GLIBENCLAMIDA, 5 MG COM CT BL AL PLAS INC X 60, E3S
507714801142416, GLICERINA, GLICERINA, NOT FOUND, AD C/6 SUSP, E3S
507714802149414, GLICERINA, GLICERINA, NOT FOUND, LAC C/6 SUP-E, E3S
507731703110412, GLIANSOR, GLIANSOR, NOT FOUND, 1 MG COM CT BL AL PLAS INC X 30, E3S
507740603115111, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 1 MG COM CT BL AL PLAS OPC X 30, E3S
507731701118416, GLIANSOR, GLIANSOR, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 30, E3S
507740604111118, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS OPC X 30, E3S
507740605118116, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS OPC X 60, E3S
507731702114414, GLIANSOR, GLIANSOR, NOT FOUND, 4 MG COM CT BL AL PLAS INC X 30, E3S
507740601112113, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 4 MG COM CT BL AL PLAS OPC X 30, E3S
507740602119111, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 4 MG COM CT BL AL PLAS OPC X 60, E3S
507726401136110, GUAIFENESINA, GUAIFENESINA, GUAIFENESINA, 13.33 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, E3S
507726402132119, GUAIFENESINA, GUAIFENESINA, GUAIFENESINA, 16 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, E3S
507714511111410, GELMAX, GELMAX, NOT FOUND, 178 MG + 185 MG + 230 MG COM MAST CT BL AL PLAS INC X 120 (SABOR LIMAO), E3S
507714505136415, GELMAX, GELMAX, NOT FOUND, EFERV ABACAXI 100 SACHET C/5, E3S
507714506132413, GELMAX, GELMAX, NOT FOUND, EFERV ABACAXI 20 SACHET C/5G, E3S
507714502110415, GELMAX, GELMAX, NOT FOUND, PAPAYA-CASSIS BL 4 X 6 COMP, E3S
507714509131418, GELMAX, GELMAX, NOT FOUND, SUSP FR C/240ML, E3S
507739101136419, GELMAX DIM , GELMAX DIM, NOT FOUND, (400 + 400 + 30)MG/5 ML SUS OR CT FR PLAS OPC X 240 ML (MORANGO) , E3S
507739102132417, GELMAX DIM , GELMAX DIM, NOT FOUND, (400 + 400 + 30)MG/5ML SUS OR CT FR PLAS OPC X 240 ML (TRADICIONAL), E3S
507715101111419, GRIPEN, GRIPEN, NOT FOUND, 3STP C/4 COMP, E3S
507714601161417, GENTAGRAN, GENTAGRAN, NOT FOUND, POM OT BISN C/3 G, E3S
507744801116417, GASTROBENE, GASTROBENE, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS OPC X 20, E3S
507715003118419, GLYFLUCAN, GLYFLUCAN, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS LEIT X 1, E3S
507715002111410, GLYFLUCAN, GLYFLUCAN, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS LEIT X 2, E3S
507736801110116, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT BL AL PLAS LEIT X 30, E3S
507736802117114, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT BL AL PLAS LEIT X 30, E3S
507736803113112, GABAPENTINA, GABAPENTINA, GABAPENTINA, 600 MG COM REV CT BL AL PLAS OPC X 27 , E3S
507729404111113, GENFIBROZILA, GENFIBROZILA, GENFIBROZILA, 600 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC), E3S
507729401110116, GENFIBROZILA, GENFIBROZILA, GENFIBROZILA, 600 MG COM REV CT BL AL PLAST INC X 24, E3S
507729402117114, GENFIBROZILA, GENFIBROZILA, GENFIBROZILA, 900 MG 2 BLT C/ 6 COMP, E3S
507729403113112, GENFIBROZILA, GENFIBROZILA, GENFIBROZILA, 900 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC) , E3S
507730201111112, GLIBENCLAMIDA, GLIBENCLAMIDA, GLIBENCLAMIDA, 5 MG 2 BLT C/ 15 COMP, E3S
507730202118110, GLIBENCLAMIDA, GLIBENCLAMIDA, GLIBENCLAMIDA, 5 MG COM CT BL AL PLAS INC X 60, E3S
507714801142416, GLICERINA, GLICERINA, NOT FOUND, AD C/6 SUSP, E3S
507714802149414, GLICERINA, GLICERINA, NOT FOUND, LAC C/6 SUP-E, E3S
507731703110412, GLIANSOR, GLIANSOR, NOT FOUND, 1 MG COM CT BL AL PLAS INC X 30, E3S
507740603115111, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 1 MG COM CT BL AL PLAS OPC X 30, E3S
507731701118416, GLIANSOR, GLIANSOR, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 30, E3S
507740604111118, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS OPC X 30, E3S
507740605118116, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS OPC X 60, E3S
507731702114414, GLIANSOR, GLIANSOR, NOT FOUND, 4 MG COM CT BL AL PLAS INC X 30, E3S
507740601112113, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 4 MG COM CT BL AL PLAS OPC X 30, E3S
507740602119111, GLIMEPIRIDA, GLIMEPIRIDA, GLIMEPIRIDA, 4 MG COM CT BL AL PLAS OPC X 60, E3S
507726401136110, GUAIFENESINA, GUAIFENESINA, GUAIFENESINA, 13.33 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, E3S
507726402132119, GUAIFENESINA, GUAIFENESINA, GUAIFENESINA, 16 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, E3S
507714511111410, GELMAX, GELMAX, NOT FOUND, 178 MG + 185 MG + 230 MG COM MAST CT BL AL PLAS INC X 120 (SABOR LIMAO), E3S
507714505136415, GELMAX, GELMAX, NOT FOUND, EFERV ABACAXI 100 SACHET C/5, E3S
507714506132413, GELMAX, GELMAX, NOT FOUND, EFERV ABACAXI 20 SACHET C/5G, E3S
507714502110415, GELMAX, GELMAX, NOT FOUND, PAPAYA-CASSIS BL 4 X 6 COMP, E3S
507714509131418, GELMAX, GELMAX, NOT FOUND, SUSP FR C/240ML, E3S
507739101136419, GELMAX DIM , GELMAX DIM, NOT FOUND, (400 + 400 + 30)MG/5 ML SUS OR CT FR PLAS OPC X 240 ML (MORANGO) , E3S
507739102132417, GELMAX DIM , GELMAX DIM, NOT FOUND, (400 + 400 + 30)MG/5ML SUS OR CT FR PLAS OPC X 240 ML (TRADICIONAL), E3S
507715101111419, GRIPEN, GRIPEN, NOT FOUND, 3STP C/4 COMP, E3S
507714601161417, GENTAGRAN, GENTAGRAN, NOT FOUND, POM OT BISN C/3 G, E3S
