507740501118111, FENOFIBRATO, FENOFIBRATO, FENOFIBRATO, 200MG CAP GEL DURA CT BL AL PLAS OPC X 30, E3S
507713701111413, FLUCOCIN, FLUCOCIN, NOT FOUND, 150 MG 1 BL X 1 CAPS, E3S
507713801114112, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 150 MG 1 BL X 1 CAPS, E3S
507713702116419, FLUCOCIN, FLUCOCIN, NOT FOUND, 150 MG 1 BL X 2 CAPS, E3S
507713802110110, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 150 MG CAP GEL DURA CT BL AL PLAS INC X 2, E3S
507713803117119, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 150 MG CAP GEL DURA CT BL AL PLAS INC X 30 (EMB FRAC), E3S
507713703155418, FLUCOCIN, FLUCOCIN, NOT FOUND, INJ 200MG 1F/A C/100ML, E3S
507728803169117, FOSF. CLINDAMICINA, FOSF CLINDAMICINA, FOSFATO CLINDAMICINA, 10 MG/G GEL CT BG AL X 45 G, E3S
507728801158118, FOSF. CLINDAMICINA, FOSF CLINDAMICINA, FOSFATO CLINDAMICINA, 150MG/ML INJ 100 AMP C/ 4ML, E3S
507728802162119, FOSF. CLINDAMICINA, FOSF CLINDAMICINA, FOSFATO CLINDAMICINA, 20 MG/G CREM VAG CT BG X 20 G + 3 APLIC, E3S
507714302138111, FUMARATO DE CETOTIFENO, FUMARATO CETOTIFENO, FUMARATO CETOTIFENO, 0.2 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, E3S
507714303134111, FUMARATO DE CETOTIFENO, FUMARATO CETOTIFENO, FUMARATO CETOTIFENO, 1 MG/ML SOL OR CT FR VD AMB X 30 ML + CGT, E3S
507745001113111, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 30, E3S
507745002111110, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 200 MG COM REV CT BL AL PLAS OPC X 30, E3S
507745003116116, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 14, E3S
507745004112114, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 30, E3S
507733401162114, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 1 MG/G CREM DERM CT BG AL X 20 G, E3S
507733402169112, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 1 MG/G POM DERM CT BG AL X 20 G, E3S
507714201161411, FRIXOPEL, FRIXOPEL, NOT FOUND, 0.0444 ML/G + 0.00444 G/G + 0.0980G/G + 0.2222 ML/G GEL CT BG AL X 25 G, E3S
507713903138411, FLUITEÍNA, FLUITEINA, NOT FOUND, 40 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, E3S
507713904134418, FLUITEÍNA, FLUITEINA, NOT FOUND, 600 MG GRAN CT 16 ENV AL PE X 5 G, E3S
507736701116414, FOLIFOLIN, FOLIFOLIN, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 30, E3S
507740501118111, FENOFIBRATO, FENOFIBRATO, FENOFIBRATO, 200 MG CAP GEL DURA CT BL AL PLAS OPC X 30, E3S
507713301138111, FENOXIMETILPENIC.POT., FENOXIMETILPENIC POT, FENOXIMETILPENICILINA POTASSICA, SOL FR 60ML, E3S
507713401116118, FINASTERIDA, FINASTERIDA, FINASTERIDA, 1 MG 2 BL X 15 COMP REV, E3S
507713407114117, FINASTERIDA, FINASTERIDA, FINASTERIDA, 1 MG COM REV CT BL AL PLAS OPC X 60 (EMB FRAC), E3S
507713405111110, FINASTERIDA, FINASTERIDA, FINASTERIDA, 1 MG COM REV CT BL AL PLAS OPC X 90 (EMB FRAC) , E3S
507713403119114, FINASTERIDA, FINASTERIDA, FINASTERIDA, 5 MG 2 BL X 15 COMP, E3S
507713406118119, FINASTERIDA, FINASTERIDA, FINASTERIDA, 5 MG COM REV CT BL AL PLAS BCO LEIT X 90 (EMB FRAC) , E3S
507713701111413, FLUCOCIN, FLUCOCIN, NOT FOUND, 150 MG 1 BL X 1 CAPS, E3S
507713801114112, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 150 MG 1 BL X 1 CAPS, E3S
507713702116419, FLUCOCIN, FLUCOCIN, NOT FOUND, 150 MG 1 BL X 2 CAPS, E3S
507713802110110, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 150 MG CAP GEL DURA CT BL AL PLAS INC X 2, E3S
507713803117119, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 150 MG CAP GEL DURA CT BL AL PLAS INC X 30 (EMB FRAC), E3S
507713703155418, FLUCOCIN, FLUCOCIN, NOT FOUND, INJ 200MG 1F/A C/100ML, E3S
507728803169117, FOSF. CLINDAMICINA, FOSF CLINDAMICINA, FOSFATO CLINDAMICINA, 10 MG/G GEL CT BG AL X 45 G, E3S
507728801158118, FOSF. CLINDAMICINA, FOSF CLINDAMICINA, FOSFATO CLINDAMICINA, 150MG/ML INJ 100 AMP C/ 4ML, E3S
507728802162119, FOSF. CLINDAMICINA, FOSF CLINDAMICINA, FOSFATO CLINDAMICINA, 20 MG/G CREM VAG CT BG X 20 G + 3 APLIC, E3S
507745601110111, FUMARATO DE BISOPROLOL, FUMARATO BISOPROLOL, NOT FOUND, 1.25 MG COM REV CT BL AL PLAS OPC X 30, E3S
507714302138111, FUMARATO DE CETOTIFENO, FUMARATO CETOTIFENO, FUMARATO CETOTIFENO, 0.2 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, E3S
507714303134111, FUMARATO DE CETOTIFENO, FUMARATO CETOTIFENO, FUMARATO CETOTIFENO, 1 MG/ML SOL OR CT FR VD AMB X 30 ML + CGT, E3S
507745001113111, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 30, E3S
507745002111110, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 200 MG COM REV CT BL AL PLAS OPC X 30, E3S
507745003116116, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 14, E3S
507745004112114, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 30, E3S
507733401162114, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 1 MG/G CREM DERM CT BG AL X 20 G, E3S
507733402169112, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 1 MG/G POM DERM CT BG AL X 20 G, E3S
507714201161411, FRIXOPEL, FRIXOPEL, NOT FOUND, 0.0444 ML/G + 0.00444 G/G + 0.0980G/G + 0.2222 ML/G GEL CT BG AL X 25 G, E3S
