1058304810042; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; CLOTRIMAZOL ACETATO DEXAMETASONA; NOT FOUND; 10MG/G + 0.4MG/G CREM DERM CT BG AL X 40G; GM2
1058304120089; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10 MG/G SOL TOP CT FR PLAS OPC SPRAY X 30 ML ; GM2
1058305210049; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10 MG/G CREM DERM CT BG AL X 20 G; GM2
1058303250027; CLORIDRATO DE TICLOPIDINA; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INC X 30; GM2
1058303250019; CLORIDRATO DE TICLOPIDINA; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INC X 20 ; GM2
1058305540014; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ CT 6 AMP VD INC X 1 ML; GM2
1058305540022; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ CT 6 AMP VD INC X 2 ML ; GM2
1058302790011; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 100 MG/ML SOL OR CT FR VD AMB GOT X 15 ML; GM2
1058303880012; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG CAP GEL DURA CT BL AL PLAS OPC X 10 ; GM2
1058305900053; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 150 MG CAP GEL DURA LIB PROL CT BL AL PLAS OPC X 30; GM2
1058305900029; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 150 MG CAP GEL DURA LIB PROL CT BL AL PLAS OPC X 14; GM2
1058303430017; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 80 MG COM REV CT BL AL PLAS OPC X 30; GM2
1058302820016; CLORTALIDONA; CLORTALIDONA; CLORTALIDONA; 12.5 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); GM2
1058302820024; CLORTALIDONA; CLORTALIDONA; CLORTALIDONA; 25 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); GM2
1058302820032; CLORTALIDONA; CLORTALIDONA; CLORTALIDONA; 50 MG COM CT BL AL PLAS INC X 30; GM2
1058303820011; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM VAG CT BG AL X 35 G + 6 APLIC ; GM2
1058303820028; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 20 MG/G CREM VAG CT BG AL X 20 G + 3 APLIC ; GM2
1058305190013; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 20 G ; GM2
1058300200029; COBAGLOBAL; COBAGLOBAL; NOT FOUND; 4 MG/G CT SACH X 5G + 0.80 MG/ML XPE CT FR VD AMB X 100 ML; GM2
1058300200010; COBAGLOBAL; COBAGLOBAL; NOT FOUND; 1 MG + 4 MG COM CT STRIP X 16; GM2
1058306800011; CICATENOL; CICATENOL; NOT FOUND; 50 MG/G POM DERM CT BG AL X 30 G; GM2
1058302020011; CENALFAN; CENALFAN; NOT FOUND; GTS FR X 24 ML; GM2
1058302020028; CENALFAN; CENALFAN; NOT FOUND; FR X 30 COMP REV; GM2
1019101090030; CENALFAN; CENALFAN; NOT FOUND; FR X 32 PLUS COMP; GM2
1058300650031; CLORASEPTIC; CLORASEPTIC; NOT FOUND; FR X 25ML; GM2
1058307490022; COSARTAN HCT; COSARTAN HCT; NOT FOUND; 80 MG + 12.5 MG COM REV CT BL AL AL X 30; GM2
1058307490103; COSARTAN HCT; COSARTAN HCT; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL AL X 30; GM2
1058307490146; COSARTAN HCT; COSARTAN HCT; NOT FOUND; 160 MG + 25 MG COM REV CT BL AL AL X 30; GM2
1058307490065; COSARTAN HCT; COSARTAN HCT; NOT FOUND; 320 MG + 25 MG COM REV CT BL AL AL X 30; GM2
1058307490189; COSARTAN HCT; COSARTAN HCT; NOT FOUND; 320 MG + 12.5 MG COM REV CT BL AL AL X 30; GM2
1058306340043; CLAQUINONA; CLAQUINONA; NOT FOUND; 40 MG/G CREM CT BG AL X 30 G; GM2
1058306340086; CLAQUINONA; CLAQUINONA; NOT FOUND; 40 MG/G GEL CT BG AL X 30 G; GM2
1058306420020; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 2 MG/ ML SOL OR CT FR PLAS OPC X 120 ML + CP MED; GM2
1058306970047; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 25 MG COM CT FR PLAS OPC X 30; GM2
1058301270027; CONTILEN; CONTILEN; NOT FOUND; 3 BL X 4 CAPS; GM2
1058301270012; CONTILEN; CONTILEN; NOT FOUND; 30 BL X 4 CAPS; GM2
