1004307700011; CETOTERON; CETOTERON; NOT FOUND; 50 MG COM CT FR AMB X 20; EUF
1004307900027; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 250 MG COM CT BL AL PLAS INC X 14; EUF
1004309790024; CLORIDRATO DE TICLOPIDINA; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INC X 20; EUF
1004309790032; CLORIDRATO DE TICLOPIDINA; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INC X 30; EUF
1004307670031; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; CT C/ 6 AMP X 2 ML 100MG; EUF
1004307670013; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; CT C/ 6 AMP X 1 ML 50MG; EUF
1004307090017; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO LIOF SOL INJ CT FA VD INC; EUF
1004307090025; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO LIOF P/ SOL INJ CT 50 FA VD INC (EMB HOSP); EUF
1004309260181; CLORIDRATO DE VENLAFAXINA (PORT 344/98 LISTA C1); CLORIDRATO VENLAFAXINA PORT 344 98 LISTA C1; NOT FOUND; 37.5 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 30; EUF
1004309260041; CLORIDRATO DE VENLAFAXINA (PORT 344/98 LISTA C1); CLORIDRATO VENLAFAXINA PORT 344 98 LISTA C1; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAS INC X 30; EUF
1004309260122; CLORIDRATO DE VENLAFAXINA (PORT 344/98 LISTA C1); CLORIDRATO VENLAFAXINA PORT 344 98 LISTA C1; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 30; EUF
1004309260068; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 150 MG CAP GEL DURA CT BL AL PLAS INC X 14; EUF
1004309260025; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 75 MG CAP GEL DURA CT BL AL PLAS INC X 14; EUF
1004309260165; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 37.5 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 14; EUF
1004309260114; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 150 MG CAP GEL DURA CT BL AL PLAS INC X 28; EUF
1004309260173; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 37.5 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 28; EUF
1004309260033; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 75 MG CAP GEL DURA CT BL AL PLAS INC X 28; EUF
1004301380013; CP - VERAPAMIL; CP VERAPAMIL; NOT FOUND; CT C/ 50 STRIP X 10 COMP; EUF
1004309160012; CLOXAZOLAM; CLOXAZOLAM; CLOXAZOLAM; 1 MG COM CT STR AL X 20; EUF
1004309160020; CLOXAZOLAM; CLOXAZOLAM; CLOXAZOLAM; 2 MG COM CT STR AL X 20; EUF
1004309160039; CLOXAZOLAM; CLOXAZOLAM; CLOXAZOLAM; 4 MG COM CT STR AL X 20 ; EUF
1004309160047; CLOXAZOLAM; CLOXAZOLAM; CLOXAZOLAM; 1 MG COM CT STR AL X 30; EUF
1004309160055; CLOXAZOLAM; CLOXAZOLAM; CLOXAZOLAM; 2 MG COM CT STR AL X 30; EUF
1004306130031; CP - DICLOR DE QUININA; CP DICLOR QUININA; NOT FOUND; CT C/ 50 AMP X 2ML; EUF
1004305940013; CP - DIDAX; CP DIDAX; NOT FOUND; CT C/ FR X 60 COMP; EUF
1004305570038; CALFOLIN; CALFOLIN; NOT FOUND; 50 MG CT C/ FR AMP + DIL; EUF
1004305570011; CALFOLIN; CALFOLIN; NOT FOUND; 15 MG FR C/ 10 COMP; EUF
1004305560024; CP - TIFEN; CP TIFEN; NOT FOUND; CT C/ 1 FR X 120 ML; EUF
1004306830025; CP - INDINAX; CP INDINAX; NOT FOUND; F C/ 180 CAPS 400MG; EUF
1004306310031; CP - EUTRAMIX; CP EUTRAMIX; NOT FOUND; CT C/ 3 BL X 5 CAPS; EUF
1004301400025; CP - BIPERIDENO; CP BIPERIDENO; NOT FOUND; CT C/ 50 AMP DE 1 ML; EUF
1004305630014; CP - TREMET; CP TREMET; NOT FOUND; CT C/ FR X 25 COMP (2.5MG CPR); EUF
1004309910011; CREVAGIN; CREVAGIN; NOT FOUND; 30 MG/G +20MG/G CREM VAG CT BG AL X 40 G +7 APLIC ; EUF
1004307200017; CP - IMUNIN; CP IMUNIN; NOT FOUND; CT C/ 60 COMP; EUF
1004310150017; CIMAHER; CIMAHER; NOT FOUND; 50 MG SOL INJ IV CT FA VD INC X 10 ML ; EUF
1004310150025; CIMAHER; CIMAHER; NOT FOUND; 50 MG SOL INJ IV CT 4 FA VD INC X 10 ML ; EUF
1004307430012; CP - NISTATINA; CP NISTATINA; NOT FOUND; CX C/ 50 BISN 60 GR; EUF
1004310130024; CALNATE; CALNATE; NOT FOUND; 900 MG/G PO SUS OR CT 20 ENV PAP AL/PLAS X 30G (EMB FRAC); EUF
1004310130016; CALNATE; CALNATE; NOT FOUND; 900 MG/G PO OR CT 60 ENV PAP AL/PLAS X 30; EUF
