529900101113114, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COMP C/ 1 STR X 12, RBY
529913006114119, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 30, RBY
529900701137111, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 125MG/5ML PO SUSP X 50ML, RBY
529900702117114, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 250 MG COMP C/ 1 STR X 10, RBY
529900703131110, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 250MG/5ML PO SUSP X 50ML, RBY
529900705132114, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 50 MG/ML PO SUS OR CT FR PLAS TRANS X 50 ML + CP MED, RBY
529900704111113, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 500 MG COMP C/ 1 STR X 10, RBY
529900803134111, AZITROMICINA, AZITROMICINA, AZITROMICINA, 40 MG/ML 1FR OPC 15 ML SUSPENSAO, RBY
529900801115111, AZITROMICINA, AZITROMICINA, AZITROMICINA, 500 MG COMP C/ 1 BL X 2, RBY
529900802111118, AZITROMICINA, AZITROMICINA, AZITROMICINA, 500 MG COMP C/ 1 BL X 3, RBY
529900101113114, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COMP C/ 1 STR X 12, RBY
529900102111115, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COMP C/ 2 STR X 12, RBY
529900201118118, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200 MG COMP C/ 2 BL X 5, RBY
529900202114116, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200 MG COMP C/ 5 BL X 5, RBY
529900203110114, ACICLOVIR, ACICLOVIR, ACICLOVIR, 400 MG COMP C/ 2 BL X 5, RBY
529900204117112, ACICLOVIR, ACICLOVIR, ACICLOVIR, 400 MG COMP C/ 5 BL X 5, RBY
529912701110411, ALTIVA, ALTIVA, NOT FOUND, 120 MG COM REV CT 1 BL AL PLAS OPC X 10, RBY
529912702117411, ALTIVA, ALTIVA, NOT FOUND, 180 MG COM REV CT 1 BL AL PLAS OPC X 10, RBY
529900301112111, AMITRIPTILINA, AMITRIPTILINA, AMITRIPTILINA, 25MG COMP C/ 2 BL X 10, RBY
529900302119111, AMITRIPTILINA, AMITRIPTILINA, AMITRIPTILINA, 75MG COMP C/ 2 BL X 10, RBY
529900401133110, AMOXICILINA, AMOXICILINA, AMOXICILINA, 250 MG/5ML PO SUSP ORAL C/ 1 FR X 150 ML, RBY
529900409134116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR PLAS OPC X 150 ML + COL DOSAD, RBY
529900406119116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP), RBY
529900407115114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, RBY
529900408111112, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 500 (EMB HOSP), RBY
529900402113113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAPS C/ 20 BL X 10, RBY
529900501138114, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 125MG + 31.25MG / 5ML PO SUSP X 75 ML, RBY
529900502134112, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 250 MG + 62.5MG/5ML PO SUSP X 75 ML, RBY
529900503114115, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125MG COMP REV C/ 10 STR X 10, RBY
529900504110113, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125MG COMP REV C/3STR X 6, RBY
529900505117111, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG COMP REV C/1STR X 6, RBY
529900507136113, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, BD 80MG/ML + 11.5MG/ML PO SUS OR CT FR PLAS OPC X 70ML, RBY
529913004111112, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS INC X 30, RBY
529913001112118, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAST INC X 28, RBY
529913002119116, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 28, RBY
529913005118110, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 30, RBY
529913003115114, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 28, RBY
529913006114119, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 30, RBY
529900701137111, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 125MG/5ML PO SUSP X 50ML, RBY
529900702117114, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 250 MG COMP C/ 1 STR X 10, RBY
529900703131110, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 250MG/5ML PO SUSP X 50ML, RBY
529900705132114, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 50 MG/ML PO SUS OR CT FR PLAS TRANS X 50 ML + CP MED, RBY
529900704111113, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 500 MG COMP C/ 1 STR X 10, RBY
529900803134111, AZITROMICINA, AZITROMICINA, AZITROMICINA, 40 MG/ML 1FR OPC 15 ML SUSPENSAO, RBY
529900801115111, AZITROMICINA, AZITROMICINA, AZITROMICINA, 500 MG COMP C/ 1 BL X 2, RBY
529900802111118, AZITROMICINA, AZITROMICINA, AZITROMICINA, 500 MG COMP C/ 1 BL X 3, RBY
529900101113114, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COMP C/ 1 STR X 12, RBY
529900102111115, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COMP C/ 2 STR X 12, RBY
529900201118118, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200 MG COMP C/ 2 BL X 5, RBY
529900202114116, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200 MG COMP C/ 5 BL X 5, RBY
529900203110114, ACICLOVIR, ACICLOVIR, ACICLOVIR, 400 MG COMP C/ 2 BL X 5, RBY
529900204117112, ACICLOVIR, ACICLOVIR, ACICLOVIR, 400 MG COMP C/ 5 BL X 5, RBY
529912701110411, ALTIVA, ALTIVA, NOT FOUND, 120 MG COM REV CT 1 BL AL PLAS OPC X 10, RBY
529912702117411, ALTIVA, ALTIVA, NOT FOUND, 180 MG COM REV CT 1 BL AL PLAS OPC X 10, RBY
529900301112111, AMITRIPTILINA, AMITRIPTILINA, AMITRIPTILINA, 25MG COMP C/ 2 BL X 10, RBY
529900302119111, AMITRIPTILINA, AMITRIPTILINA, AMITRIPTILINA, 75MG COMP C/ 2 BL X 10, RBY
529900401133110, AMOXICILINA, AMOXICILINA, AMOXICILINA, 250 MG/5ML PO SUSP ORAL C/ 1 FR X 150 ML, RBY
529900409134116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR PLAS OPC X 150 ML + COL DOSAD, RBY
529900406119116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP), RBY
529900407115114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, RBY
529900408111112, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 500 (EMB HOSP), RBY
529900402113113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAPS C/ 20 BL X 10, RBY
529900501138114, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 125MG + 31.25MG / 5ML PO SUSP X 75 ML, RBY
529900502134112, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 250 MG + 62.5MG/5ML PO SUSP X 75 ML, RBY
529900503114115, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125MG COMP REV C/ 10 STR X 10, RBY
529900504110113, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125MG COMP REV C/3STR X 6, RBY
529900505117111, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG COMP REV C/1STR X 6, RBY
529900508116116, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 875 MG + 125 MG COM REV CT STR AL X 20, RBY
529900507136113, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, BD 80MG/ML + 11.5MG/ML PO SUS OR CT FR PLAS OPC X 70ML, RBY
529913004111112, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS INC X 30, RBY
529913001112118, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAST INC X 28, RBY
529913002119116, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 28, RBY
529913005118110, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 30, RBY
529913003115114, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 28, RBY
529913006114119, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 30, RBY
529900701137111, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 125MG/5ML PO SUSP X 50ML, RBY
529900702117114, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 250 MG COMP C/ 1 STR X 10, RBY
529900703131110, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 250MG/5ML PO SUSP X 50ML, RBY
529900705132114, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 50 MG/ML PO SUS OR CT FR PLAS TRANS X 50 ML + CP MED, RBY
529900704111113, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 500 MG COMP C/ 1 STR X 10, RBY
529900803134111, AZITROMICINA, AZITROMICINA, AZITROMICINA, 40 MG/ML 1FR OPC 15 ML SUSPENSAO, RBY
529900801115111, AZITROMICINA, AZITROMICINA, AZITROMICINA, 500 MG COMP C/ 1 BL X 2, RBY
529900802111118, AZITROMICINA, AZITROMICINA, AZITROMICINA, 500 MG COMP C/ 1 BL X 3, RBY
529900101113114, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COMP C/ 1 STR X 12, RBY
529900102111115, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COMP C/ 2 STR X 12, RBY
529900201118118, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200 MG COMP C/ 2 BL X 5, RBY
529900202114116, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200 MG COMP C/ 5 BL X 5, RBY
529900203110114, ACICLOVIR, ACICLOVIR, ACICLOVIR, 400 MG COMP C/ 2 BL X 5, RBY
529900204117112, ACICLOVIR, ACICLOVIR, ACICLOVIR, 400 MG COMP C/ 5 BL X 5, RBY
529912701110411, ALTIVA, ALTIVA, NOT FOUND, 120 MG COM REV CT 1 BL AL PLAS OPC X 10, RBY
529912702117411, ALTIVA, ALTIVA, NOT FOUND, 180 MG COM REV CT 1 BL AL PLAS OPC X 10, RBY
529900301112111, AMITRIPTILINA, AMITRIPTILINA, AMITRIPTILINA, 25MG COMP C/ 2 BL X 10, RBY
529900302119111, AMITRIPTILINA, AMITRIPTILINA, AMITRIPTILINA, 75MG COMP C/ 2 BL X 10, RBY
529900401133110, AMOXICILINA, AMOXICILINA, AMOXICILINA, 250 MG/5ML PO SUSP ORAL C/ 1 FR X 150 ML, RBY
529900409134116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR PLAS OPC X 150 ML + COL DOSAD, RBY
529900406119116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP), RBY
529900407115114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, RBY
529900410116118, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 30, RBY
529900408111112, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 500 (EMB HOSP), RBY
529900402113113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAPS C/ 20 BL X 10, RBY
529900501138114, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 125MG + 31.25MG / 5ML PO SUSP X 75 ML, RBY
529900502134112, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 250 MG + 62.5MG/5ML PO SUSP X 75 ML, RBY
529900503114115, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125MG COMP REV C/ 10 STR X 10, RBY
529900504110113, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125MG COMP REV C/3STR X 6, RBY
529900505117111, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG COMP REV C/1STR X 6, RBY
529900509112114, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 875 MG + 125 MG COM REV CT STR AL X 12 , RBY
529900510110111, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 875 MG + 125 MG COM REV CT STR AL X 14, RBY
529900508116116, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 875 MG + 125 MG COM REV CT STR AL X 20, RBY
529900507136113, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, BD 80MG/ML + 11.5MG/ML PO SUS OR CT FR PLAS OPC X 70ML, RBY
529913004111112, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS INC X 30, RBY
529913001112118, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAST INC X 28, RBY
529913002119116, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 28, RBY
529913005118110, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 30, RBY
529913003115114, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 28, RBY
529913006114119, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 30, RBY
529900701137111, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 125MG/5ML PO SUSP X 50ML, RBY
529900702117114, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 250 MG COMP C/ 1 STR X 10, RBY
529900703131110, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 250MG/5ML PO SUSP X 50ML, RBY
529900705132114, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 50 MG/ML PO SUS OR CT FR PLAS TRANS X 50 ML + CP MED, RBY
529900704111113, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 500 MG COMP C/ 1 STR X 10, RBY
529900803134111, AZITROMICINA, AZITROMICINA, AZITROMICINA, 40 MG/ML 1FR OPC 15 ML SUSPENSAO, RBY
529900801115111, AZITROMICINA, AZITROMICINA, AZITROMICINA, 500 MG COMP C/ 1 BL X 2, RBY
529900802111118, AZITROMICINA, AZITROMICINA, AZITROMICINA, 500 MG COMP C/ 1 BL X 3, RBY
529900102111115, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COM REV CT 2 STR AL X 12, RBY
529900101113114, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COM REV CT STR AL X 12, RBY
529900201118118, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 10, RBY
529900202114116, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 25, RBY
529900203110114, ACICLOVIR, ACICLOVIR, ACICLOVIR, 400 MG COM CT BL AL PLAS INC X 10, RBY
529900204117112, ACICLOVIR, ACICLOVIR, ACICLOVIR, 400 MG COM CT BL AL PLAS INC X 25, RBY
529900501138114, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 125MG + 31.25MG / 5ML PO SUSP X 75 ML, RBY
529900502134112, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 250 MG + 62.5MG/5ML PO SUSP X 75 ML, RBY
529900401133110, AMOXICILINA, AMOXICILINA, AMOXICILINA, 250 MG/5ML PO SUSP ORAL C/ 1 FR X 150 ML, RBY
529900409134116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR PLAS OPC X 150 ML + COL DOSAD, RBY
529900503114115, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125 MG COM REV CT STR AL X 100 (EMB HOSP), RBY
529900504110113, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125 MG COM REV CT STR AL X 18&nbsp;01, RBY
529900505117111, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125 MG COM REV CT STR AL X 6, RBY
529900411112116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 15, RBY
529900406119116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP), RBY
529900407115114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, RBY
529900410116118, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 30, RBY
529900408111112, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 500 (EMB HOSP), RBY
529900402113113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAPS C/ 20 BL X 10, RBY
529900507136113, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 80 MG/ML + 11.5 MG/ML PO SUS OR CT FR PLAS OPC X 70 ML , RBY
529900511117111, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125 MG COM REV CT STR AL X 12, RBY
529900509112114, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 875 MG + 125 MG COM REV CT STR AL X 12 , RBY
529900510110111, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 875 MG + 125 MG COM REV CT STR AL X 14, RBY
529913004111112, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS INC X 30, RBY
529913001112118, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAST INC X 28, RBY
529913002119116, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 28, RBY
529913005118110, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 30, RBY
529913003115114, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 28, RBY
529913006114119, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 30, RBY
529900701137111, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 125MG/5ML PO SUSP X 50ML, RBY
529900702117114, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 250 MG COM REV CT STR AL/AL X 10, RBY
529900705132114, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 50 MG/ML PO SUS OR CT FR PLAS TRANS X 50 ML + CP MED, RBY
529900703131110, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 50 MG/ML PO SUS OR CT FR PLAS TRANS X 50 ML , RBY
529900706139112, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 50 MG/ML PO SUS OR CT FR PLAS TRANS X 70 ML + CP MED, RBY
529900704111113, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 500 MG COM REV CT STR AL/AL X 10, RBY
529900803134111, AZITROMICINA, AZITROMICINA, AZITROMICINA, 40 MG/ML 1FR OPC 15 ML SUSPENSAO, RBY
529900801115111, AZITROMICINA, AZITROMICINA, AZITROMICINA, 500 MG COMP C/ 1 BL X 2, RBY
529900802111118, AZITROMICINA, AZITROMICINA, AZITROMICINA, 500 MG COMP C/ 1 BL X 3, RBY
529900508116116, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 875 MG + 125 MG COM REV CT STR AL X 20, RBY
529900301112111, AMITRIPTILINA, AMITRIPTILINA, AMITRIPTILINA, 25 MG COM REV CT BL AL PLAS INC X 20, RBY
529900302119111, AMITRIPTILINA, AMITRIPTILINA, AMITRIPTILINA, 75 MG COMP C/ 2 BL X 10, RBY
529912701110411, ALTIVA, ALTIVA, NOT FOUND, 120 MG COM REV CT 1 BL AL PLAS OPC X 10, RBY
529912702117411, ALTIVA, ALTIVA, NOT FOUND, 180 MG COM REV CT 1 BL AL PLAS OPC X 10, RBY
529900102111115, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COM REV CT 2 STR AL X 12, RBY
529900101113114, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COM REV CT STR AL X 12, RBY
529900201118118, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 10, RBY
529900202114116, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 25, RBY
529900203110114, ACICLOVIR, ACICLOVIR, ACICLOVIR, 400 MG COM CT BL AL PLAS INC X 10, RBY
529900204117112, ACICLOVIR, ACICLOVIR, ACICLOVIR, 400 MG COM CT BL AL PLAS INC X 25, RBY
529900501138114, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 125MG + 31.25MG / 5ML PO SUSP X 75 ML, RBY
529900502134112, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 250 MG + 62.5MG/5ML PO SUSP X 75 ML, RBY
529900401133110, AMOXICILINA, AMOXICILINA, AMOXICILINA, 250 MG/5ML PO SUSP ORAL C/ 1 FR X 150 ML, RBY
529900409134116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR PLAS OPC X 150 ML + COL DOSAD, RBY
529900503114115, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125 MG COM REV CT STR AL X 100 (EMB HOSP), RBY
529900504110113, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125 MG COM REV CT STR AL X 18&nbsp;01, RBY
529900505117111, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125 MG COM REV CT STR AL X 6, RBY
529900411112116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 15, RBY
529900406119116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP), RBY
529900407115114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, RBY
529900410116118, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 30, RBY
529900408111112, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 500 (EMB HOSP), RBY
529900402113113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAPS C/ 20 BL X 10, RBY
529900507136113, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 80 MG/ML + 11.5 MG/ML PO SUS OR CT FR PLAS OPC X 70 ML , RBY
529900511117111, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125 MG COM REV CT STR AL X 12, RBY
529900509112114, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 875 MG + 125 MG COM REV CT STR AL X 12 , RBY
529900510110111, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 875 MG + 125 MG COM REV CT STR AL X 14, RBY
529913004111112, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS INC X 30, RBY
529913001112118, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAST INC X 28, RBY
529913002119116, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 28, RBY
529913005118110, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 30, RBY
529913003115114, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 28, RBY
529913006114119, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 30, RBY
529900701137111, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 125MG/5ML PO SUSP X 50ML, RBY
