525001101134412, BENTYL, BENTYL, NOT FOUND, 20 MG/ML SOL OR CT FR VD AMB X 15 ML + CGT (BULBO+ CANDULA), MD7
525001601137119, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 1 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, MD7
525001502112118, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 10 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10, MD7
525001505111112, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 10 MG CAP GEL DURA CT BL AL PLAS INC X 60 (EMB FRAC), MD7
525001602133117, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4MG/ML SOL OR GT X 20ML, MD7
525063002131113, BROMETO DE N-BUTILESCOPOLAMINA + DIPIRONA SÓDICA, BROMETO N BUTILESCOPOLAMINA DIPIRONA SODICA, NOT FOUND, 6.67MG/ML + 333.40 SOL OR CT C/ 1 FR VD AMB GOT X 20 ML, MD7
525001101134412, BENTYL, BENTYL, NOT FOUND, 20 MG/ML SOL OR CT FR VD AMB X 15 ML + CGT (BULBO+ CANDULA), MD7
525072202111417, BENESTARE, BENESTARE, NOT FOUND, 625 MG COM REV CT BL AL PLAS INC X 14, MD7
525072201115419, BENESTARE, BENESTARE, NOT FOUND, 625 MG COM REV CT BL AL PLAS INC X 30, MD7
525067901163118, BENZOILMETRONIDAZOL + NISTATINA + CLORETO DE BENZALCÔNIO, BENZOILMETRONIDAZOL NISTATINA CLORETO BENZALCONIO, NOT FOUND, 62.5 MG/G + 25.000 UI/G + 1.25 MG/G CREM VAG CT BG AL X 40 G + 10 APLIC, MD7
525001201112119, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10.0 MG COM CT 2 BL AL PLAS OPC X 10, MD7
525001202119117, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10.0 MG COM CT 3 BL AL PLAS OPC X 10, MD7
525001203115115, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5.0 MG COM CT 2 BL AL PLAS OPC X 10, MD7
525001204111113, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5.0 MG COM CT 3 BL AL PLAS OPC X 10, MD7
525001301133118, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.1 MG/ML ELX CT FR VD AMB X 120 ML +CP-MED X 10 M, MD7
525069905115114, BISSULFATO DE CLOPIDOGREL, BISSULFATO CLOPIDOGREL, BISSULFATO CLOPIDOGREL, 75 MG COM REV CT BL AL/AL X 28, MD7
525069904119116, BISSULFATO DE CLOPIDOGREL, BISSULFATO CLOPIDOGREL, BISSULFATO CLOPIDOGREL, 75 MG COM REV CT BL AL/AL X 84 (EMB FRAC), MD7
525001401111116, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL AL PLAS INC X 20, MD7
525001402118114, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL AL PLAS INC X 30, MD7
525001403114112, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG C/ 20 COMPR, MD7
525001404110110, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT BL AL PLAS INC X 30, MD7
525001601137119, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 1 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, MD7
525001502112118, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 10 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10, MD7
525001505111112, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 10 MG CAP GEL DURA CT BL AL PLAS INC X 60 (EMB FRAC), MD7
525001602133117, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4MG/ML SOL OR GT X 20ML, MD7
525063002131113, BROMETO DE N-BUTILESCOPOLAMINA + DIPIRONA SÓDICA, BROMETO N BUTILESCOPOLAMINA DIPIRONA SODICA, NOT FOUND, 6.67MG/ML + 333.40 SOL OR CT C/ 1 FR VD AMB GOT X 20 ML, MD7
525001101134412, BENTYL, BENTYL, NOT FOUND, 20 MG/ML SOL OR CT FR VD AMB X 15 ML + CGT (BULBO+ CANDULA), MD7
525072202111417, BENESTARE, BENESTARE, NOT FOUND, 625 MG COM REV CT BL AL PLAS INC X 14, MD7
525072201115419, BENESTARE, BENESTARE, NOT FOUND, 625 MG COM REV CT BL AL PLAS INC X 30, MD7
