77104, MICOF.MOFETILA MG , MICOF MOFETILA, MICOFENOLATO MOFETILA, CPR REVEST 500 MG x 500, A1F
155761, MARCODINE SCRUB , MARCODINE SCRUB, NOT FOUND, SOL TOP 100 MG 1000 ML x 1, CT6

46673, MEDROXITEST , MEDROXITEST, NOT FOUND, CPR 10 MG x 5, DLT

62497, MENOPLAN , MENOPLAN, NOT FOUND, CPR REVEST 40 MG x 30, DLT

59264, MICOTRAT , MICOTRAT, NOT FOUND, SPRAY 1 % 30 ML x 1, DLT

59263, MICOTRAT , MICOTRAT, NOT FOUND, CREME DERMAT 1 % 20 G x 1, DLT

44701, MICOFIM , MICOFIM, NOT FOUND, CREME 20 MG 28 G x 1 (/G), ELO

81770, MICOGYN , MICOGYN, NOT FOUND, CR VAG 14APL 20 MG 80 G x 1 (/G), ELO

31169, MICOGYN , MICOGYN, NOT FOUND, CREME VAG. 80 G x 1, ELO

55250, MICORAL , MICORAL, NOT FOUND, CREME 2 % 30 G x 1, ELO

55248, MICORAL , MICORAL, NOT FOUND, CPR 200 MG x 10, ELO

75860, MANITOL , MANITOL, MANITOL, SOLN INJ S/F 20 % 250 ML x 40, EQX

75861, MANITOL , MANITOL, MANITOL, SOLN INJ S/F 20 % 250 ML x 48, EQX

53765, MANITOL , MANITOL, MANITOL, SOLN INJ. 20 % 250 ML x 1, EQX

75863, MANITOL , MANITOL, MANITOL, SOLN INJ S/F 20 % 500 ML x 24, EQX

53766, MANITOL , MANITOL, MANITOL, SOLN INJ. 20 % 500 ML x 1, EQX

114418, MAL TRIMEBUTINA MG , MAL TRIMEBUTINA, MALEATO TRIMEBUTINA, CAPS 200 MG x 30, EUF

71933, MELOCOX , MELOCOX, NOT FOUND, CPR 15 MG x 10, EUF

75568, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 2 MG x 30, EUF

63819, MEROPENEM MG , MEROPENEM, MEROPENEM, F.AMP 500 MG x 10, EUF

106502, MONTELUCASTE SO MG , MONTELUCASTE SO, MONTELUCASTE SODIO, CPR MAST 5 MG x 30, EUF

72125, MUSCULARE , MUSCULARE, NOT FOUND, CPR REVEST 10 MG x 15, EUF

100269, MESI IMATINIBE MG , MESI IMATINIBE, MESILATO IMATINIBE, CPR REVEST 400 MG x 30, EUF

60295, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, EUF

113300, MOLIERI , MOLIERI, NOT FOUND, CPR REV 0.03 MG x 63 (/3), EUF

72127, MUSCULARE , MUSCULARE, NOT FOUND, CPR REVEST 10 MG x 30, EUF

64354, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 15 MG x 10, EUF

60867, MIDAZOLAM MG , MIDAZOLAM, MIDAZOLAM, AMP. 15 MG 3 ML x 5, EUF

100268, MESI IMATINIBE MG , MESI IMATINIBE, MESILATO IMATINIBE, CPR REVEST 100 MG x 60, EUF

142048, MEROPENEM MG , MEROPENEM, MEROPENEM, F.AMP LIOF 500 MG x 25, EUF

64353, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 7.50 MG x 10, EUF

115835, MUPIROCINA MG , MUPIROCINA, MUPIROCINA, POM DERM 20 MG 15 G x 1 (/G), EUF

64459, MALEA.MIDAZOLAM MG , MALEA MIDAZOLAM, MALEATO MIDAZOLAM, CPR REVEST 15 MG x 30, EUF

114416, MAL TRIMEBUTINA MG , MAL TRIMEBUTINA, MALEATO TRIMEBUTINA, CAPS 200 MG x 60, EUF

142041, MEROPENEM MG , MEROPENEM, MEROPENEM, F.AMP LIOF 1 G x 25, EUF

71932, MELOCOX , MELOCOX, NOT FOUND, CPR 7.50 MG x 10, EUF

71931, MELOCOX , MELOCOX, NOT FOUND, A.IM 10 MG 1.50 ML x 5 (/ML), EUF

72124, MUSCULARE , MUSCULARE, NOT FOUND, CPR REVEST 5 MG x 15, EUF

75533, MICOF.MOFETILA MG , MICOF MOFETILA, MICOFENOLATO MOFETILA, CPR REVEST 500 MG x 50, EUF

67978, MEROPENEM MG , MEROPENEM, MEROPENEM, F.AMP 1 G x 10, EUF

113297, MOLIERI , MOLIERI, NOT FOUND, CPR REV 0.03 MG x 21 (/3), EUF

60869, MIDAZOLAM MG , MIDAZOLAM, MIDAZOLAM, AMP. 5 MG 5 ML x 5, EUF

106501, MONTELUCASTE SO MG , MONTELUCASTE SO, MONTELUCASTE SODIO, CPR MAST 4 MG x 30, EUF

60868, MIDAZOLAM MG , MIDAZOLAM, MIDAZOLAM, AMP. 50 MG 10 ML x 5, EUF

52124, MINILAX , MINILAX, NOT FOUND, MICRO-ENEMA 6.50 G x 7, EUF

64355, MELOXICAM MG , MELOXICAM, MELOXICAM, A.IM 10 MG 1.50 ML x 5 (/ML), EUF

58608, MUPIROCINA MG , MUPIROCINA, MUPIROCINA, CREME 20 MG 15 G x 1 (/G), EUF

64458, MALEA.MIDAZOLAM MG , MALEA MIDAZOLAM, MALEATO MIDAZOLAM, CPR REVEST 15 MG x 20, EUF

62555, MESNA MG , MESNA, MESNA, F.AMP 400 MG 4 ML x 10, EUF

75532, MAMARE , MAMARE, NOT FOUND, DISCO P/SEIO x 2, EUF

72126, MUSCULARE , MUSCULARE, NOT FOUND, CPR REVEST 5 MG x 30, EUF

62356, MENOPUR , MENOPUR, NOT FOUND, F.AMP C/DILU 75 IU 1 ML x 5, FER

54772, MENOGON , MENOGON, NOT FOUND, AMP. LIOF 75 IU 1 ML x 5, FER

62355, MENOPUR , MENOPUR, NOT FOUND, F.AMP C/DILU 75 IU 1 ML x 1, FER

72032, METROFARMA , METROFARMA, NOT FOUND, AMP. 10 MG 2 ML x 100 (/ML), FM_

76755, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, XAROPE 2 MG 100 ML x 60 (/5ML), FM_

78173, MANITOL , MANITOL, MANITOL, SOLN INJ. 20 % 250 ML x 50, FM_

76757, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, XAROPE 2 MG 100 ML x 1 (/5ML), FM_

76756, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, XAROPE 2 MG 120 ML x 60 (/5ML), FM_

61186, METROFARMA , METROFARMA, NOT FOUND, AMP. 5 MG 2 ML x 50, FM_

66157, MAREVAN , MAREVAN, NOT FOUND, CPR 7.50 MG x 30, FQM

56191, MATERVIT , MATERVIT, NOT FOUND, CPR REVEST x 30, FQM

77341, MARESIS , MARESIS, NOT FOUND, SPRAY NASAL 0.90 % 100 ML x 1, FQM

62009, MAREVAN , MAREVAN, NOT FOUND, CPR 5 MG x 30, FQM

74663, MAREVAN , MAREVAN, NOT FOUND, CPR 2.50 MG x 60, FQM

144133, MARESIS JATO FORTE , MARESIS JATO FORTE, NOT FOUND, SPRAY NAS JC 0.90 % 100 ML x 1, FQM

63787, MATERFOLIC , MATERFOLIC, NOT FOUND, CPR 5 MG x 30, FQM

6583, MAREVAN , MAREVAN, NOT FOUND, CPR 5 MG x 10, FQM

94155, MOZOBIL , MOZOBIL, NOT FOUND, F AMP SC 20 MG 1.20 ML x 1 (/ML), GEZ

86842, MYOZYME , MYOZYME, NOT FOUND, F.AMP LIOF 50 MG x 1, GEZ

165439, MIRVASO , MIRVASO, NOT FOUND, GEL 5 MG 30 G x 1 (/G), GLD

72869, MAPITRIM , MAPITRIM, NOT FOUND, SUSP F 80 MG 100 ML x 1 (/16), GLO

70552, MAPITRIM , MAPITRIM, NOT FOUND, CPR 400 MG x 20 (/80), GLO

72868, MAPITRIM , MAPITRIM, NOT FOUND, SUSP 40 MG 100 ML x 1 (/8), GLO

71496, MAPITRIM , MAPITRIM, NOT FOUND, SUSP 40 MG 60 ML x 1 (/8), GLO

70551, MAPITRIM , MAPITRIM, NOT FOUND, CPR F 800 MG x 10 (/160), GLO

69864, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 2 MG x 30, GM2

66749, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, GM2

68581, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, CPR 0.25 MG x 20 (/2), GM2

69036, MALEATO TIMOLOL MG , MALEATO TIMOLOL, MALEATO TIMOLOL, SOLN OFTAL 0.50 % 5 ML x 1, GM2

66750, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 30, GM2

69489, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, GEL VAG+10AP 500 MG 50 G x 1 (/5G), GM2

143257, MISACARDIO , MISACARDIO, NOT FOUND, CPR 80 MG x 30, GM2

66747, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CPR 2 MG x 20, GM2

69859, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, GM2

69863, MESALAZINA MG , MESALAZINA, MESALAZINA, CPR REVEST 800 MG x 30, GM2

102527, MEZOLIUM , MEZOLIUM, NOT FOUND, CPR REVEST 20 MG x 28, GM2

140279, MUSCUSAN , MUSCUSAN, NOT FOUND, CPR REVEST 5 MG x 10, GM2

78278, MODIK , MODIK, NOT FOUND, SACHETS 5 % 250 MG x 6, GM2

101632, MEZOLIUM , MEZOLIUM, NOT FOUND, CPR REVEST 40 MG x 28, GM2

73995, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, GOTAS 2.80 MG 20 ML x 1 (/ML), GM2

69035, MALEATO TIMOLOL MG , MALEATO TIMOLOL, MALEATO TIMOLOL, SOLN OFTAL 0.25 % 5 ML x 1, GM2

66745, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 12.5 MG x 30 (/20), GM2

66752, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 15 MG x 10, GM2

143255, MISACARDIO , MISACARDIO, NOT FOUND, CPR 40 MG x 30, GM2

72914, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CREME 10 MG 30 G x 1 (/G), GM2

66748, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 20 MG x 30, GM2

146572, MUSCUSAN , MUSCUSAN, NOT FOUND, CPR REVEST 10 MG x 30, GM2

140280, MUSCUSAN , MUSCUSAN, NOT FOUND, CPR REVEST 5 MG x 30, GM2

78279, MODIK , MODIK, NOT FOUND, SACHETS 5 % 250 MG x 12, GM2

66746, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 25 MG x 30 (/10), GM2

140278, MUSCUSAN , MUSCUSAN, NOT FOUND, CPR REVEST 10 MG x 10, GM2

68849, MENBEL , MENBEL, NOT FOUND, SUSP 20 MG 30 ML x 1 (/ML), GOB

95078, MERTISEPT , MERTISEPT, NOT FOUND, SOL TOP. 10 MG 30 ML x 1 (/ML), GOB

71407, MIZONOL , MIZONOL, NOT FOUND, CREME DERMAT 20 MG 28 G x 1 (/G), GOB

70611, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, SOLN ORAL 2 MG 120 ML x 1 (/5ML, GOB

78235, MIRACALCIO VIT D , MIRACALCIO VIT D, NOT FOUND, CPR REVEST x 75, GOB

71750, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, SUSP 100 MG 30 ML x 1 (/5ML), GOB

71572, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, CR.VAG.10APL 100 MG 50 G x 1 (/G), GOB

120320, MAXIVIEW , MAXIVIEW, NOT FOUND, SUSP OFTAL 5 ML x 1, GOB

150175, MIRACALCIO VIT D , MIRACALCIO VIT D, NOT FOUND, CPR RE 600MG 400 IU x 60, GOB

75715, METRO+NISTATINA MG , METRO NISTATINA, NOT FOUND, CR.VAG.10APL 50 G x 1, GOB

64922, MENBEL , MENBEL, NOT FOUND, CPR 100 MG x 6, GOB

150773, MIRACALCIO VIT D , MIRACALCIO VIT D, NOT FOUND, CPR RE 500MG 400 IU x 60, GOB

95083, MERTISEPT , MERTISEPT, NOT FOUND, SPRAY 10 MG 45 ML x 1 (/ML), GOB

93125, MENBEL , MENBEL, NOT FOUND, CPR 500 MG x 1, GOB

75686, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, GOB

52119, MEDAZOL , MEDAZOL, NOT FOUND, CPR 100 MG x 6, GP8

52120, MEDAZOL , MEDAZOL, NOT FOUND, SUSP 100 MG 30 ML x 1 (/5ML), GP8

66319, MEDAZOL , MEDAZOL, NOT FOUND, CPR 100 MG x 240, GP8

61049, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, SUSP 100 MG 30 ML x 1 (/5ML), GP8

73199, MIDAZOLAM MG , MIDAZOLAM, MIDAZOLAM, AMP. 5 MG 3 ML x 100 (/ML), HPO

73019, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, XAROPE 120 ML x 50, HPO

65118, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, XAROPE 120 ML x 1, HPO

77397, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, XAROPE 0.40 MG 100 ML x 50 (/ML, HPO

73301, MIDAZOLAM MG , MIDAZOLAM, MIDAZOLAM, AMP. 5 MG 10 ML x 100 (/ML), HPO

73297, MIDAZOLAM MG , MIDAZOLAM, MIDAZOLAM, AMP. 1 MG 5 ML x 100 (/ML), HPO

6552, MANITOL , MANITOL, MANITOL, SOLN INJ. 20 % 250 ML x 1, H_I

49346, MANITOL , MANITOL, MANITOL, SOLN INJ. 20 % 500 ML x 1, H_I

65121, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, F.AMP PLAST 5 MG 100 ML x 1 (/ML), H_I

62766, MEPENOX , MEPENOX, NOT FOUND, F.AMP INFUS 1 G 20 ML x 10, I_B

73332, MONOCEF , MONOCEF, NOT FOUND, F.AMP 750 MG x 50, I_B

80220, MIDADORM , MIDADORM, NOT FOUND, AMP. 5 MG 3 ML x 50 (/ML), I_B

62764, MEPENOX , MEPENOX, NOT FOUND, F.AMP INFUS 500 MG 10 ML x 10, I_B

141995, MEROPENEM TR-HI MG , MEROPENEM TR HI, NOT FOUND, F.A PO 500 MG 17.5 ML x 10, I_B

146376, MEROPENEM TR-HI MG , MEROPENEM TR HI, NOT FOUND, F.A PO 1 G 20 ML x 10, I_B

120327, MANITOL , MANITOL, MANITOL, SOL INJ S/F 200 MG 250 ML x 40 (/ML), JPI

49279, MANITOL , MANITOL, MANITOL, SOLN INJ. 20 % 250 ML x 1, JPI

78107, MANITOL , MANITOL, MANITOL, SOL INJ S/F 200 MG 250 ML x 35 (/ML), JPI

72031, MANITOL , MANITOL, MANITOL, SOLN INJ. 20 % 250 ML x 30, JPI

59732, MOTILIUM , MOTILIUM, NOT FOUND, CPR BLISTER 10 MG x 30, J_C

6872, MICRONOR , MICRONOR, NOT FOUND, CPR 0.35 MG x 35, J_C

92103, MOTILIUM , MOTILIUM, NOT FOUND, CPR BLISTER 10 MG x 90, J_C

59733, MOTILIUM , MOTILIUM, NOT FOUND, CPR BLISTER 10 MG x 60, J_C

62190, MYLICON , MYLICON, NOT FOUND, SUSP ORAL 75 MG 15 ML x 1 (/ML), J_C

49122, MOTILIUM , MOTILIUM, NOT FOUND, SUSP 1 MG 100 ML x 1 (/ML), J_C

77650, MOTILIUM , MOTILIUM, NOT FOUND, SUSP ORAL 1 MG 60 ML x 1 (/5ML), J_C

34031, MOTILIUM , MOTILIUM, NOT FOUND, CPR BLISTER 10 MG x 20, J_C

74617, MOTILIUM , MOTILIUM, NOT FOUND, SUSP 1 MG 200 ML x 1 (/ML), J_C

100152, MEVILIP , MEVILIP, NOT FOUND, CPR REVEST 20 MG x 60, L3B

65374, METILVITA , METILVITA, NOT FOUND, CPR REVEST 250 MG x 500, L3B

65373, METILVITA , METILVITA, NOT FOUND, CPR REVEST 250 MG x 30, L3B

65376, METILVITA , METILVITA, NOT FOUND, CPR REVEST 500 MG x 500, L3B

65379, MEVILIP , MEVILIP, NOT FOUND, CPR REVEST 40 MG x 10, L3B

65377, MEVILIP , MEVILIP, NOT FOUND, CPR REVEST 10 MG x 30, L3B

95437, MEVILIP , MEVILIP, NOT FOUND, CPR REVEST 40 MG x 30, L3B

65378, MEVILIP , MEVILIP, NOT FOUND, CPR REVEST 20 MG x 30, L3B

65375, METILVITA , METILVITA, NOT FOUND, CPR REVEST 500 MG x 30, L3B

65380, MEVILIP , MEVILIP, NOT FOUND, CPR REVEST 80 MG x 10, L3B

61195, MAXIBELL , MAXIBELL, NOT FOUND, SOLN OFTAL 10 ML x 1, L3F

61203, MAXIFLOX D , MAXIFLOX D, NOT FOUND, POM. OFTAL 3.50 G x 1, L3F

62964, MAXILERG , MAXILERG, NOT FOUND, SOLN OFTAL 1 MG 5 ML x 1 (/ML), L3F

78829, MIRUGELL , MIRUGELL, NOT FOUND, SOLN OFTAL 15 ML x 1, L3F

61204, MAXIFLOX D , MAXIFLOX D, NOT FOUND, SOLN OFTAL 5 ML x 1, L3F

61201, MAXIFLOX , MAXIFLOX, NOT FOUND, POM. OFTAL 3 MG 3.50 G x 1 (/G), L3F

78831, MIRUGELL , MIRUGELL, NOT FOUND, SOLN OFTAL 5 ML x 1, L3F

61202, MAXIFLOX , MAXIFLOX, NOT FOUND, SOLN OFTAL 3 MG 5 ML x 1 (/ML), L3F

75948, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, SUSP 20 MG 30 ML x 1 (/ML), L4S

67481, MONOCAN , MONOCAN, NOT FOUND, CAPS 150 MG x 1, L4S

67484, MUCXOL , MUCXOL, NOT FOUND, XAR. INF 15 MG 120 ML x 1 (/5ML), L4S

67482, MUCOLASA , MUCOLASA, NOT FOUND, XAR. AD 50 MG 100 ML x 1 (/ML), L4S

67483, MUCOLASA , MUCOLASA, NOT FOUND, XAR. INF 20 MG 100 ML x 1 (/ML), L4S

67485, MUCXOL , MUCXOL, NOT FOUND, XAR. AD 30 MG 120 ML x 1 (/5ML), L4S

67979, MONOZEN , MONOZEN, NOT FOUND, SUSP 40 MG 10 ML x 1 (/ML), L4S

69263, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, GEL VAG+10AP 500 MG 50 G x 1 (/5G), LG6

69954, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, SOLN ORAL 120 ML x 1, LG6

68271, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 25 MG x 30 (/10), LG6

52132, MONOZOL , MONOZOL, NOT FOUND, CPR CEREJA 400 MG x 1, LG6

68272, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 12.5 MG x 30 (/20), LG6

68278, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 7.50 MG x 10, LG6

73997, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, SOLN ORAL 2.80 MG 20 ML x 1 (/M, LG6

58870, MELOXIGRAN , MELOXIGRAN, NOT FOUND, CPR 15 MG x 10, LG6

69825, MEMO-GINKGO , MEMO GINKGO, NOT FOUND, CPR REVEST 120 MG x 30, LG6

68970, MALEATO TIMOLOL MG , MALEATO TIMOLOL, MALEATO TIMOLOL, SOLN OFTAL 0.50 % 5 ML x 1, LG6

58869, MELOXIGRAN , MELOXIGRAN, NOT FOUND, CPR 7.50 MG x 10, LG6

69118, MESALAZINA MG , MESALAZINA, MESALAZINA, CPR REVEST 800 MG x 30, LG6

51835, METILDOPA , METILDOPA, METILDOPA, CPR REVEST 500 MG x 20, LG6

62780, MIGRANETTE , MIGRANETTE, NOT FOUND, GOTAS 20 ML x 1, LG6

62453, MARACUJA CONCENTRI , MARACUJA CONCENTRI, NOT FOUND, LIQD S/ACUCA 100 ML x 1, LG6

69186, MEMO-GINKGO , MEMO GINKGO, NOT FOUND, CPR REVEST 80 MG x 30, LG6

64514, MIGRANETTE , MIGRANETTE, NOT FOUND, CPR REVEST x 20, LG6

82727, MIOFIBRAX , MIOFIBRAX, NOT FOUND, CPR REVEST 5 MG x 15, LG6

82774, MIOFIBRAX , MIOFIBRAX, NOT FOUND, CPR REVEST 5 MG x 30, LG6

52133, MONOZOL , MONOZOL, NOT FOUND, SUSP CEREJA 400 MG 15 ML x 1 (/5ML), LG6

71241, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, SUSP 20 MG 30 ML x 1 (/ML), LG6

77343, MIOFIBRAX , MIOFIBRAX, NOT FOUND, CPR REVEST 10 MG x 15, LG6

70869, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 30, LG6

68270, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CPR 2 MG x 20, LG6

68268, MAL.DEX+PSE+GUA.MG , MAL DEX PSE GUA, NOT FOUND, SUSP ORAL 120 ML x 1, LG6

70870, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, LG6

68741, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 2 MG x 30, LG6

68277, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 15 MG x 10, LG6

68969, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, LG6

77344, MIOFIBRAX , MIOFIBRAX, NOT FOUND, CPR REVEST 10 MG x 30, LG6

68269, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, CPR 0.25 MG x 20 (/2), LG6

70871, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 20 MG x 30, LG6

58868, MARACUJA CONCENTRI , MARACUJA CONCENTRI, NOT FOUND, LIQD 100 ML x 1, LG6

59266, MINIAN , MINIAN, NOT FOUND, CPR 150 Y x 21 (/20Y), LIB

63056, MUVINLAX , MUVINLAX, NOT FOUND, SACHETS 14 G x 20, LIB

82425, MINIAN , MINIAN, NOT FOUND, CPR 150 Y x 63 (/20), LIB

95702, METRI , METRI, NOT FOUND, CPR REVEST 250 MG x 30, LIB

64460, METRI , METRI, NOT FOUND, CPR REVEST 500 MG x 30, LIB

68274, MAXIDRATE , MAXIDRATE, NOT FOUND, GEL NASAL 0.45 % 30 G x 1, LIB

63057, MUVINOR , MUVINOR, NOT FOUND, CPR REVEST 500 MG x 30, LIB

65686, METRI , METRI, NOT FOUND, CPR REVEST 1000 MG x 30, LIB

65562, METRI , METRI, NOT FOUND, CPR REVEST 750 MG x 30, LIB

85566, METRO+NISTATINA MG , METRO NISTATINA, NOT FOUND, CR VAG 10APL 50 G x 1, LR3

54267, MINEGYL , MINEGYL, NOT FOUND, GEL. VAG. 500 MG 50 G x 1 (/5G), LR3

53772, MINEGYL , MINEGYL, NOT FOUND, CPR 250 MG x 20, LR3

54609, METILCORD , METILCORD, NOT FOUND, CPR 500 MG x 30, LR3

54608, METILCORD , METILCORD, NOT FOUND, CPR 250 MG x 30, LR3

66626, METILDOPA MG , METILDOPA, METILDOPA, CPR REVEST 250 MG x 30, LR3

54031, MINEGYL NISTA , MINEGYL NISTA, NOT FOUND, CREME VAG. 50 G x 1, LR3

66627, METILDOPA MG , METILDOPA, METILDOPA, CPR REVEST 500 MG x 30, LR3

61679, MULTIZOL , MULTIZOL, NOT FOUND, SUSP 20 MG 30 ML x 1 (/ML), MB9

68621, MULTIGRIP , MULTIGRIP, NOT FOUND, CAPS x 200, MB9

61678, MULTISORO , MULTISORO, NOT FOUND, GOTAS NASAL 30 ML x 1 (INF), MB9

72594, METFORGEN , METFORGEN, NOT FOUND, CPR 850 MG x 30, MB9

61674, MULTIPRESSIN , MULTIPRESSIN, NOT FOUND, CPR 5 MG x 30, MB9

73696, MENOCOL , MENOCOL, NOT FOUND, CPR 10 MG x 600, MB9

69038, MENOCOL , MENOCOL, NOT FOUND, CPR 10 MG x 30, MB9

69039, MENOCOL , MENOCOL, NOT FOUND, CPR 20 MG x 30, MB9

73261, MENOCOL , MENOCOL, NOT FOUND, CPR 20 MG x 600, MB9

77765, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CREME. 10 MG 30 G x 1, MB9

74483, MICOSTALAB , MICOSTALAB, NOT FOUND, CR.VAG.10APL 60 G x 1, MB9

113330, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, GEL VAG 10AP 100 MG 50 G x 1 (/G), MB9

61879, MULTIGRIP , MULTIGRIP, NOT FOUND, CPR x 25 X4, MB9

69040, MENOCOL , MENOCOL, NOT FOUND, CPR 40 MG x 30, MB9

61673, MUCOLAB , MUCOLAB, NOT FOUND, XAROPE 150 ML x 1, MB9

77709, MICLOX , MICLOX, NOT FOUND, CPR REVEST 100 MG x 30, MB9

79164, MULTIGRIP , MULTIGRIP, NOT FOUND, SACH.LARANJA 5 G x 50, MB9

83390, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, SOL ORAL ABA 120 ML x 1, MB9

61675, MULTIPRESSIN , MULTIPRESSIN, NOT FOUND, CPR 10 MG x 30, MB9

74561, MUCOLAB , MUCOLAB, NOT FOUND, XAROPE 100 ML x 1, MB9

67867, MULTIGRIP , MULTIGRIP, NOT FOUND, SOLN ORAL 100 ML x 1, MB9

75486, MENOCOL , MENOCOL, NOT FOUND, CPR 40 MG x 600, MB9

68052, MULTIGRIP , MULTIGRIP, NOT FOUND, GOTAS 15 ML x 1, MB9

66449, MICOSTALAB , MICOSTALAB, NOT FOUND, SOLN ORAL 50 ML x 1, MB9

67251, MULTIGRIP , MULTIGRIP, NOT FOUND, SACH.MEL/LIM 5 G x 50, MB9

66450, MICOSTALAB , MICOSTALAB, NOT FOUND, CREME VAG. 60 G x 1, MB9

76377, MICONAZOL MG , MICONAZOL, MICONAZOL, LOC. 20 MG 30 ML x 1 (/G), MB9

67081, MULTIDERME , MULTIDERME, NOT FOUND, POM. 45 G x 1, MB9

69041, MENOCOL , MENOCOL, NOT FOUND, CPR 80 MG x 10, MB9

58607, MULTIGRIP , MULTIGRIP, NOT FOUND, CAPS x 20, MB9

61676, MULTIPRESSIN , MULTIPRESSIN, NOT FOUND, CPR 20 MG x 30, MB9

93138, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, GOTAS 2 MG 20 ML x 1 (/ML), MB9

61677, MULTISORO , MULTISORO, NOT FOUND, GOTAS NASAL 30 ML x 1 (ADLT), MB9

70078, MICOSTAT , MICOSTAT, NOT FOUND, SOLN TOP. 30 ML x 1, MD6

58872, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 15 MG x 10, MD7

