68514; ACEBROFILINA; ACEBROFILINA; XAR. AD 10 MG 120 ML x 1 (/ML); N_Q;5,19E+14; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED 10 ML; N_Q
84457; ANGIO II; ANGIOTENSINA II; CPR REVEST 320 MG x 30; MD7;5,25E+14; ANGIO II; ANGIOTENSINA II; 80 MG COM REV CT BL AL/AL X 60; MD7
84455; ANGIO II; ANGIOTENSINA II; CPR REVEST 80 MG x 30; MD7;5,25E+14; ANGIO II; ANGIOTENSINA II; 80 MG COM REV CT BL AL/AL X 60; MD7
84458; ANGIO II; ANGIOTENSINA II; CPR REVEST 160 MG x 30; MD7;5,25E+14; ANGIO II; ANGIOTENSINA II; 160 MG COM REV CT BL AL/AL X 15; MD7
84457; ANGIO II; ANGIOTENSINA II; CPR REVEST 320 MG x 30; MD7;5,25E+14; ANGIO II; ANGIOTENSINA II; 80 MG COM REV CT BL AL/AL X 90 (EMB FRAC); MD7
84457; ANGIO II; ANGIOTENSINA II; CPR REVEST 320 MG x 30; MD7;5,25E+14; ANGIO II; ANGIOTENSINA II; 80 MG COM REV CT BL AL/AL X 30; MD7
84457; ANGIO II; ANGIOTENSINA II; CPR REVEST 320 MG x 30; MD7;5,25E+14; ANGIO II; ANGIOTENSINA II; 160 MG COM REV CT BL AL/AL X 60; MD7
84455; ANGIO II; ANGIOTENSINA II; CPR REVEST 80 MG x 30; MD7;5,25E+14; ANGIO II; ANGIOTENSINA II; 160 MG COM REV CT BL AL/AL X 90 (EMB FRAC); MD7
84458; ANGIO II; ANGIOTENSINA II; CPR REVEST 160 MG x 30; MD7;5,25E+14; ANGIO II; ANGIOTENSINA II; 320 MG COM REV CT BL AL/AL X 30; MD7
84458; ANGIO II; ANGIOTENSINA II; CPR REVEST 160 MG x 30; MD7;5,25E+14; ANGIO II; ANGIOTENSINA II; 320 MG COM REV CT BL AL/AL X 15; MD7
84457; ANGIO II; ANGIOTENSINA II; CPR REVEST 320 MG x 30; MD7;5,25E+14; ANGIO II; ANGIOTENSINA II; 320 MG COM REV CT BL AL/AL X 90 (EMB FRAC); MD7
84458; ANGIO II; ANGIOTENSINA II; CPR REVEST 160 MG x 30; MD7;5,25E+14; ANGIO II; ANGIOTENSINA II; 80 MG COM REV CT BL AL/AL X 60; MD7
84455; ANGIO II; ANGIOTENSINA II; CPR REVEST 80 MG x 30; MD7;5,25E+14; ANGIO II; ANGIOTENSINA II; 160 MG COM REV CT BL AL/AL X 30; MD7
84455; ANGIO II; ANGIOTENSINA II; CPR REVEST 80 MG x 30; MD7;5,25E+14; ANGIO II; ANGIOTENSINA II; 80 MG COM REV CT BL AL/AL X 90 (EMB FRAC); MD7
84455; ANGIO II; ANGIOTENSINA II; CPR REVEST 80 MG x 30; MD7;5,25E+14; ANGIO II; ANGIOTENSINA II; 80 MG COM REV CT BL AL/AL X 15; MD7
69903; ATENOLOL; ATENOLOL; CPR 100 MG x 90; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100MG 3 BL X 10 COMP; E3S
66680; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); GM2;5,26E+14; ATENOLOL; ATENOLOL; 100 MG COM CT 3 BL AL PLAS INC X 10; GM2
59044; ATENOLOL; ATENOLOL; CPR 50 MG x 30; MD7;5,25E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30 ; MD7
59043; ATENOLOL; ATENOLOL; CPR 25 MG x 30; MD7;5,25E+14; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30 ; MD7
69645; ATENOLOL; ATENOLOL; CPR 50 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 50 MG 2 BL X 15 COMP; E3S
64393; ATENOLOL; ATENOLOL; CPR 50 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100MG 3 BL X 10 COMP; E3S
69646; ATENOLOL; ATENOLOL; CPR 100 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 50 MG 2 BL X 15 COMP; E3S
64393; ATENOLOL; ATENOLOL; CPR 50 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
69903; ATENOLOL; ATENOLOL; CPR 100 MG x 90; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG 4 BL X 15 COMP; E3S
64392; ATENOLOL; ATENOLOL; CPR 100 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG 3 BL X 10 COMP; E3S
71600; ATENOLOL; ATENOLOL; CPR 25 MG x 30; LG6;5,39E+14; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS OPC X 30; LG6
64837; ATENOLOL; ATENOLOL; CPR 25 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG 2 BL X 15 COMP; E3S
64392; ATENOLOL; ATENOLOL; CPR 100 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 50MG 2 BL X 15 COMP; E3S
59865; ATENOLOL; ATENOLOL; CPR 50 MG x 30; SDZ;5,12E+14; ATENOLOL; ATENOLOL; 50 MG COM REV CT BL AL PLAS INC X 60; SDZ
62917; ATENOLOL; ATENOLOL; CPR 25 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25MG 2 BL X 15 COMP; E3S
61444; ATENOLOL; ATENOLOL; CPR 100 MG x 30; SDZ;5,12E+14; ATENOLOL; ATENOLOL; 25 MG COM REV CT BL AL PLAS INC X 60; SDZ
74934; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 60 (/50); MD7;5,25E+14; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 30 ; MD7
62917; ATENOLOL; ATENOLOL; CPR 25 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG 2 BL X 15 COMP; E3S
74932; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 60 (/100); MD7;5,25E+14; ATENOLOL; ATENOLOL; 50 MG COM CT 3 BL AL PLAS INC X 10; MD7
66679; ATENOLOL; ATENOLOL; CPR 50 MG x 30; GM2;5,26E+14; ATENOLOL; ATENOLOL; 100 MG COM CT 3 BL AL PLAS INC X 10; GM2
64393; ATENOLOL; ATENOLOL; CPR 50 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 50 MG 2 BL X 15 COMP; E3S
59045; ATENOLOL; ATENOLOL; CPR 100 MG x 30; MD7;5,25E+14; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30 ; MD7
70740; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 90 (/50); E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG 4 BL X 15 COMP; E3S
66679; ATENOLOL; ATENOLOL; CPR 50 MG x 30; GM2;5,26E+14; ATENOLOL; ATENOLOL; 25 MG COM CT 2 BL AL PLAS INC X 15; GM2
71599; ATENOLOL; ATENOLOL; CPR 100 MG x 30; LG6;5,39E+14; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS OPC X 30; LG6
63692; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); E3S;5,08E+14; ATENOLOL; ATENOLOL; 50MG 2 BL X 15 COMP; E3S
70741; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 90 (/100); E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
69903; ATENOLOL; ATENOLOL; CPR 100 MG x 90; E3S;5,08E+14; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 60; E3S
59044; ATENOLOL; ATENOLOL; CPR 50 MG x 30; MD7;5,25E+14; ATENOLOL; ATENOLOL; 25 MG COM CT 3 BL AL PLAS INC X 10; MD7
63691; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 30 (/50); E3S;5,08E+14; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 60; E3S
69645; ATENOLOL; ATENOLOL; CPR 50 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG 3 BL X 10 COMP; E3S
59865; ATENOLOL; ATENOLOL; CPR 50 MG x 30; SDZ;5,12E+14; ATENOLOL; ATENOLOL; 100 MG COM REV CT BL AL PLAS INC X 60; SDZ
64393; ATENOLOL; ATENOLOL; CPR 50 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 60; E3S
64837; ATENOLOL; ATENOLOL; CPR 25 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 60; E3S
63691; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 30 (/50); E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
63692; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 60; E3S
63691; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 30 (/50); E3S;5,08E+14; ATENOLOL; ATENOLOL; 50MG 2 BL X 15 COMP; E3S
62917; ATENOLOL; ATENOLOL; CPR 25 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
57010; ATENOLOL; ATENOLOL; CPR 50 MG x 28; E3S;5,08E+14; ATENOLOL; ATENOLOL; 50MG 2 BL X 15 COMP; E3S
74933; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 30 (/50); MD7;5,25E+14; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 30 ; MD7
69903; ATENOLOL; ATENOLOL; CPR 100 MG x 90; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 60; E3S
57011; ATENOLOL; ATENOLOL; CPR 100 MG x 28; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG 2 BL X 15 COMP; E3S
63692; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); E3S;5,08E+14; ATENOLOL; ATENOLOL; 25MG 4 BL X 15 COMP; E3S
74934; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 60 (/50); MD7;5,25E+14; ATENOLOL; ATENOLOL; 50 MG COM CT 3 BL AL PLAS INC X 10; MD7
71602; ATENOLOL; ATENOLOL; CPR 25 MG x 60; SDZ;5,12E+14; ATENOLOL; ATENOLOL; 100 MG COM REV CT BL AL PLAS INC X 60; SDZ
64392; ATENOLOL; ATENOLOL; CPR 100 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
63692; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG 2 BL X 15 COMP; E3S
66678; ATENOLOL; ATENOLOL; CPR 25 MG x 30; GM2;5,26E+14; ATENOLOL; ATENOLOL; 50 MG COM CT 2 BL AL PLAS INC X 15; GM2
74933; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 30 (/50); MD7;5,25E+14; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30 ; MD7
69903; ATENOLOL; ATENOLOL; CPR 100 MG x 90; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG 3 BL X 10 COMP; E3S
64837; ATENOLOL; ATENOLOL; CPR 25 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100MG 3 BL X 10 COMP; E3S
69646; ATENOLOL; ATENOLOL; CPR 100 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG 2 BL X 15 COMP; E3S
64393; ATENOLOL; ATENOLOL; CPR 50 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25MG 4 BL X 15 COMP; E3S
75545; ATENOLOL; ATENOLOL; CPR 100 MG x 30; N_Q;5,19E+14; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30; N_Q
57011; ATENOLOL; ATENOLOL; CPR 100 MG x 28; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25MG 4 BL X 15 COMP; E3S
57010; ATENOLOL; ATENOLOL; CPR 50 MG x 28; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
74934; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 60 (/50); MD7;5,25E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30 ; MD7
63692; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
64392; ATENOLOL; ATENOLOL; CPR 100 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100MG 3 BL X 10 COMP; E3S
63692; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
69903; ATENOLOL; ATENOLOL; CPR 100 MG x 90; E3S;5,08E+14; ATENOLOL; ATENOLOL; 50MG 2 BL X 15 COMP; E3S
57010; ATENOLOL; ATENOLOL; CPR 50 MG x 28; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 60; E3S
70741; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 90 (/100); E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG 2 BL X 15 COMP; E3S
74932; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 60 (/100); MD7;5,25E+14; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 30 ; MD7
74935; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); MD7;5,25E+14; ATENOLOL; ATENOLOL; 100 MG COM CT 3 BL AL PLAS INC X 10; MD7
69645; ATENOLOL; ATENOLOL; CPR 50 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
69903; ATENOLOL; ATENOLOL; CPR 100 MG x 90; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG 2 BL X 15 COMP; E3S
71602; ATENOLOL; ATENOLOL; CPR 25 MG x 60; SDZ;5,12E+14; ATENOLOL; ATENOLOL; 100 MG COM REV CT BL AL PLAS INC X 30; SDZ
69646; ATENOLOL; ATENOLOL; CPR 100 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
74935; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); MD7;5,25E+14; ATENOLOL; ATENOLOL; 25 MG COM CT 3 BL AL PLAS INC X 10; MD7
64392; ATENOLOL; ATENOLOL; CPR 100 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG 4 BL X 15 COMP; E3S
66680; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); GM2;5,26E+14; ATENOLOL; ATENOLOL; 50 MG COM CT 2 BL AL PLAS INC X 15; GM2
61444; ATENOLOL; ATENOLOL; CPR 100 MG x 30; SDZ;5,12E+14; ATENOLOL; ATENOLOL; 25 MG COM REV CT BL AL PLAS INC X 30; SDZ
74934; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 60 (/50); MD7;5,25E+14; ATENOLOL; ATENOLOL; 25 MG COM CT 3 BL AL PLAS INC X 10; MD7
59043; ATENOLOL; ATENOLOL; CPR 25 MG x 30; MD7;5,25E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30 ; MD7
74935; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); MD7;5,25E+14; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30 ; MD7
70740; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 90 (/50); E3S;5,08E+14; ATENOLOL; ATENOLOL; 100MG 3 BL X 10 COMP; E3S
64393; ATENOLOL; ATENOLOL; CPR 50 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
69646; ATENOLOL; ATENOLOL; CPR 100 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 50MG 2 BL X 15 COMP; E3S
57011; ATENOLOL; ATENOLOL; CPR 100 MG x 28; E3S;5,08E+14; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
57010; ATENOLOL; ATENOLOL; CPR 50 MG x 28; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25MG 2 BL X 15 COMP; E3S
63692; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG 3 BL X 10 COMP; E3S
59045; ATENOLOL; ATENOLOL; CPR 100 MG x 30; MD7;5,25E+14; ATENOLOL; ATENOLOL; 25 MG COM CT 3 BL AL PLAS INC X 10; MD7
70741; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 90 (/100); E3S;5,08E+14; ATENOLOL; ATENOLOL; 50MG 2 BL X 15 COMP; E3S
59043; ATENOLOL; ATENOLOL; CPR 25 MG x 30; MD7;5,25E+14; ATENOLOL; ATENOLOL; 100 MG COM CT 3 BL AL PLAS INC X 10; MD7
63691; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 30 (/50); E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG 2 BL X 15 COMP; E3S
66681; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 30 (/50); GM2;5,26E+14; ATENOLOL; ATENOLOL; 50 MG COM CT 2 BL AL PLAS INC X 15; GM2
57011; ATENOLOL; ATENOLOL; CPR 100 MG x 28; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG 4 BL X 15 COMP; E3S
61444; ATENOLOL; ATENOLOL; CPR 100 MG x 30; SDZ;5,12E+14; ATENOLOL; ATENOLOL; 50 MG COM REV CT BL AL PLAS INC X 60; SDZ
64393; ATENOLOL; ATENOLOL; CPR 50 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG 3 BL X 10 COMP; E3S
64392; ATENOLOL; ATENOLOL; CPR 100 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
69645; ATENOLOL; ATENOLOL; CPR 50 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG 4 BL X 15 COMP; E3S
69903; ATENOLOL; ATENOLOL; CPR 100 MG x 90; E3S;5,08E+14; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
70741; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 90 (/100); E3S;5,08E+14; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 60; E3S
64393; ATENOLOL; ATENOLOL; CPR 50 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG 4 BL X 15 COMP; E3S
69646; ATENOLOL; ATENOLOL; CPR 100 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG 3 BL X 10 COMP; E3S
63691; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 30 (/50); E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
59045; ATENOLOL; ATENOLOL; CPR 100 MG x 30; MD7;5,25E+14; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 30 ; MD7
64837; ATENOLOL; ATENOLOL; CPR 25 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
59044; ATENOLOL; ATENOLOL; CPR 50 MG x 30; MD7;5,25E+14; ATENOLOL; ATENOLOL; 100 MG COM CT 3 BL AL PLAS INC X 10; MD7
69645; ATENOLOL; ATENOLOL; CPR 50 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
69645; ATENOLOL; ATENOLOL; CPR 50 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG 2 BL X 15 COMP; E3S
70740; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 90 (/50); E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
57010; ATENOLOL; ATENOLOL; CPR 50 MG x 28; E3S;5,08E+14; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 60; E3S
62917; ATENOLOL; ATENOLOL; CPR 25 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 50MG 2 BL X 15 COMP; E3S
71603; ATENOLOL; ATENOLOL; CPR 50 MG x 60; SDZ;5,12E+14; ATENOLOL; ATENOLOL; 100 MG COM REV CT BL AL PLAS INC X 30; SDZ
66677; ATENOLOL; ATENOLOL; CPR 100 MG x 30; GM2;5,26E+14; ATENOLOL; ATENOLOL; 50 MG COM CT 2 BL AL PLAS INC X 15; GM2
64392; ATENOLOL; ATENOLOL; CPR 100 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 50 MG 2 BL X 15 COMP; E3S
64393; ATENOLOL; ATENOLOL; CPR 50 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25MG 2 BL X 15 COMP; E3S
69645; ATENOLOL; ATENOLOL; CPR 50 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 60; E3S
69646; ATENOLOL; ATENOLOL; CPR 100 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25MG 2 BL X 15 COMP; E3S
69646; ATENOLOL; ATENOLOL; CPR 100 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
64837; ATENOLOL; ATENOLOL; CPR 25 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25MG 2 BL X 15 COMP; E3S
63691; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 30 (/50); E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG 4 BL X 15 COMP; E3S
57010; ATENOLOL; ATENOLOL; CPR 50 MG x 28; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG 2 BL X 15 COMP; E3S
66681; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 30 (/50); GM2;5,26E+14; ATENOLOL; ATENOLOL; 25 MG COM CT 2 BL AL PLAS INC X 15; GM2
64392; ATENOLOL; ATENOLOL; CPR 100 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
66680; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); GM2;5,26E+14; ATENOLOL; ATENOLOL; 25 MG COM CT 2 BL AL PLAS INC X 15; GM2
71604; ATENOLOL; ATENOLOL; CPR 100 MG x 60; SDZ;5,12E+14; ATENOLOL; ATENOLOL; 100 MG COM REV CT BL AL PLAS INC X 30; SDZ
57011; ATENOLOL; ATENOLOL; CPR 100 MG x 28; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG 3 BL X 10 COMP; E3S
70741; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 90 (/100); E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 60; E3S
59864; ATENOLOL; ATENOLOL; CPR 25 MG x 30; SDZ;5,12E+14; ATENOLOL; ATENOLOL; 50 MG COM REV CT BL AL PLAS INC X 60; SDZ
57011; ATENOLOL; ATENOLOL; CPR 100 MG x 28; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100MG 3 BL X 10 COMP; E3S
63691; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 30 (/50); E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG 3 BL X 10 COMP; E3S
74932; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 60 (/100); MD7;5,25E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30 ; MD7
74935; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); MD7;5,25E+14; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 30 ; MD7
74933; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 30 (/50); MD7;5,25E+14; ATENOLOL; ATENOLOL; 50 MG COM CT 3 BL AL PLAS INC X 10; MD7
70740; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 90 (/50); E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG 3 BL X 10 COMP; E3S
71602; ATENOLOL; ATENOLOL; CPR 25 MG x 60; SDZ;5,12E+14; ATENOLOL; ATENOLOL; 25 MG COM REV CT BL AL PLAS INC X 30; SDZ
57010; ATENOLOL; ATENOLOL; CPR 50 MG x 28; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG 3 BL X 10 COMP; E3S
64392; ATENOLOL; ATENOLOL; CPR 100 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 60; E3S
64392; ATENOLOL; ATENOLOL; CPR 100 MG x 30; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 60; E3S
64837; ATENOLOL; ATENOLOL; CPR 25 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 60; E3S
64837; ATENOLOL; ATENOLOL; CPR 25 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 100 MG 3 BL X 10 COMP; E3S
59864; ATENOLOL; ATENOLOL; CPR 25 MG x 30; SDZ;5,12E+14; ATENOLOL; ATENOLOL; 100 MG COM REV CT BL AL PLAS INC X 60; SDZ
69645; ATENOLOL; ATENOLOL; CPR 50 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25MG 2 BL X 15 COMP; E3S
57010; ATENOLOL; ATENOLOL; CPR 50 MG x 28; E3S;5,08E+14; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); E3S
64837; ATENOLOL; ATENOLOL; CPR 25 MG x 60; E3S;5,08E+14; ATENOLOL; ATENOLOL; 25MG 4 BL X 15 COMP; E3S
74932; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 60 (/100); MD7;5,25E+14; ATENOLOL; ATENOLOL; 100 MG COM CT 3 BL AL PLAS INC X 10; MD7
74935; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); MD7;5,25E+14; ATENOLOL; ATENOLOL; 50 MG COM CT 3 BL AL PLAS INC X 10; MD7
74935; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); MD7;5,25E+14; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30 ; MD7
