58701; DECONGEX PLUS NF ; DECONGEX PLUS NF; NOT FOUND; CPR.RE.LP x 12; A4H

66827; DORSANOL ; DORSANOL; NOT FOUND; GOTAS 200 MG 15 ML x 1 (/ML); MB9

61636; DELTALAB ; DELTALAB; NOT FOUND; XAMP 100 ML x 1; MB9

159938; DORSANOL ; DORSANOL; NOT FOUND; PO ENV CA EC 500 MG 5 G x 50; MB9

162439; DORSANOL ; DORSANOL; NOT FOUND; PO ENV MA/CA 500 MG 5 G x 50; MB9

67648; DELTALAB ; DELTALAB; NOT FOUND; LOC. 100 ML x 162; MB9

61637; DENTISAN ; DENTISAN; NOT FOUND; FLACONETES 10 ML x 12; MB9

63588; DICLOSODICO ; DICLOSODICO; NOT FOUND; CPR 50 MG x 1000; MB9

66824; DORSANOL ; DORSANOL; NOT FOUND; CPR 500 MG x 20; MB9

75558; DERMESAN ; DERMESAN; NOT FOUND; GEL. 5 % 20 G x 1; MB9

162942; DORSANOL ; DORSANOL; NOT FOUND; PO ENV LAR 5 G x 50; MB9

66823; DORSANOL ; DORSANOL; NOT FOUND; CPR 500 MG x 200; MB9

66822; DORSANOL ; DORSANOL; NOT FOUND; CPR 750 MG x 20; MB9

61638; DICLOSODICO ; DICLOSODICO; NOT FOUND; CPR 50 MG x 20; MB9

71508; DIPIRAL ; DIPIRAL; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); MB9

69321; DORALFEBRE ; DORALFEBRE; NOT FOUND; CPR 750 MG x 200; MB9

83721; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR 50 MG x 20; MB9

164460; DORSANOL ; DORSANOL; NOT FOUND; PO ENV ABACA 500 MG 5 G x 50; MB9

91472; DUE FIBRA ; DUE FIBRA; NOT FOUND; SACHE. 5 G x 10; MBR

148468; DIVA ; DIVA; NOT FOUND; CPR REVEST x 63; MBR

100143; DIVA ; DIVA; NOT FOUND; CPR REVEST x 21; MBR

86906; DUE FIBRA ; DUE FIBRA; NOT FOUND; PO 225 G x 1; MBR

60442; DICLOR CETIRIZI.MG ; DICLOR CETIRIZI; DICLORIDRATO CETIRIZINA; SOLN ORAL 1 MG 120 ML x 1 (/ML; MD7

62275; DICLOF.COLESTIR.MG ; DICLOF COLESTIR; NOT FOUND; CAPS 70 MG x 20; MD7

46656; DILAFLUX RETARD ; DILAFLUX RETARD; NOT FOUND; CPR 20 MG x 20; MD7

50851; DESONOL ; DESONOL; NOT FOUND; LOC.CAPILAR 0.10 % 30 G x 1; MD7

57507; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR 50 MG x 20; MD7

92377; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; XAR. 0.50 MG 60 ML x 1 (/ML); MD7

62276; DICLOF.COLESTIR.MG ; DICLOF COLESTIR; NOT FOUND; CAPS 70 MG x 14; MD7

92850; DIELOFT ; DIELOFT; NOT FOUND; CPR REVEST 100 MG x 15; MD7

72582; DIELOFT ; DIELOFT; NOT FOUND; CPR REVEST 50 MG x 20; MD7

92379; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; XAR. 0.50 MG 100 ML x 1 (/ML); MD7

60068; DESONOL ; DESONOL; NOT FOUND; LOC. 0.05 % 60 G x 1; MD7

59480; DROPROPIZINA MG ; DROPROPIZINA; DROPROPIZINA; XAR. 1.50 MG 120 ML x 1 (/ML); MD7

61095; DEXAMETASONA MG ; DEXAMETASONA; DEXAMETASONA; ELIXIR 0.50 MG 120 ML x 1 (/5ML); MD7

59474; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); MD7

46655; DILAFLUX ; DILAFLUX; NOT FOUND; CPR 10 MG x 30; MD7

77509; DIELOFT ; DIELOFT; NOT FOUND; CPR REVEST 50 MG x 30; MD7

72585; DUOTRAT ; DUOTRAT; NOT FOUND; CREME DERMAT 30 G x 1; MD7

73469; DIELOFT ; DIELOFT; NOT FOUND; CPR REVEST 100 MG x 20; MD7

92848; DIELOFT ; DIELOFT; NOT FOUND; CPR REVEST 50 MG x 15; MD7

61538; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; CPR 500 MG x 100; MD7

57245; DICLOFEN.DIETIL.MG ; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL. 1 % 60 G x 1; MD7

61096; DIP.BET+SUL.GEN.MG ; DIP BET SUL GEN; NOT FOUND; CREME 30 G x 1; MD7

58845; DIP.BET+AC.SALI MG ; DIP BET AC SALI; NOT FOUND; POM. 30 G x 1; MD7

50852; DESONOL ; DESONOL; NOT FOUND; POM. 0.05 % 30 G x 1; MD7

84484; DIELOFT ; DIELOFT; NOT FOUND; CPR REVEST 100 MG x 30; MD7

32847; DESONOL ; DESONOL; NOT FOUND; CREME 0.05 % 30 G x 1; MD7

59481; DROPROPIZINA MG ; DROPROPIZINA; DROPROPIZINA; XAR. 3 MG 120 ML x 1 (/ML); MD7

67223; DESONIDA MG ; DESONIDA; DESONIDA; LOC. 0.50 MG 60 G x 1 (/G); MD7

60444; DICLOR CETIRIZI.MG ; DICLOR CETIRIZI; DICLORIDRATO CETIRIZINA; CPR RECUB. 10 MG x 12; MD7

61668; DILAFLUX RETARD ; DILAFLUX RETARD; NOT FOUND; CPR 20 MG x 400; MD7

100279; DROSPI+ETINILES MG ; DROSPI ETINILES; NOT FOUND; CPR REVEST 3 MG x 21 (/.03); MD7

66303; DESONIDA MG ; DESONIDA; DESONIDA; POM.DERMAT 0.50 MG 30 G x 1 (/G); MD7

60443; DICLOR CETIRIZI.MG ; DICLOR CETIRIZI; DICLORIDRATO CETIRIZINA; CPR RECUB. 10 MG x 6; MD7

57246; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; CPR REVEST 50 MG x 20; MD7

72581; DIELOFT ; DIELOFT; NOT FOUND; CPR REVEST 50 MG x 14; MD7

61537; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; CPR 500 MG x 30; MD7

68570; DIMET+MET.HOMAT.MG ; DIMET MET HOMAT; NOT FOUND; GOTAS 2.50 MG 20 ML x 1 (/80); MD7

61097; DIP.BET+SUL.GEN.MG ; DIP BET SUL GEN; NOT FOUND; POM. 30 G x 1; MD7

72518; DOMPERIDONA MG ; DOMPERIDONA; DOMPERIDONA; SUSP ORAL 1 MG 100 ML x 1 (/ML); MD7

57248; DICLOF.RESINATO MG ; DICLOF RESINATO; NOT FOUND; GOTAS 20 ML x 1; MD7

59884; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; SOLN ORAL 50 MG 100 ML x 1 (/M; MD7

57249; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; AMP. 25 MG 3 ML x 5 (/ML); MD7

61539; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; CPR 500 MG x 240; MD7

59475; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); MD7

72584; DUOTRAT ; DUOTRAT; NOT FOUND; POM.DERMAT 30 G x 1; MD7

64639; DESONIDA MG ; DESONIDA; DESONIDA; CREME 0.50 MG 30 G x 1 (/G); MD7

64175; DELTAMETRIL ; DELTAMETRIL; NOT FOUND; XAMP 100 ML x 1; MDQ

51812; DIPIMED ; DIPIMED; NOT FOUND; CPR x 200; MDQ

47547; DIPIMED ; DIPIMED; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); MDQ

62279; DIPIMED ; DIPIMED; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); MDQ

64174; DELTAMETRIL ; DELTAMETRIL; NOT FOUND; LOC. 100 ML x 1; MDQ

77204; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); MDQ

62280; DIPIMED ; DIPIMED; NOT FOUND; CPR 500 MG x 100; MDQ

77203; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); MDQ

59221; D.T.I. ; D T I; NOT FOUND; F.AMP LIOF 100 MG x 1; MIZ

64724; DUCRAY ANASTIM ; DUCRAY ANASTIM; NOT FOUND; LOC. 100 ML x 1; MIZ

68087; DUCRAY KERTYOL ; DUCRAY KERTYOL; NOT FOUND; XAMP 125 ML x 1; MIZ

102090; DUCRAY SQUANORM ; DUCRAY SQUANORM; NOT FOUND; SH A CASPA. 125 ML x 1; MIZ

71961; DFLAM ; DFLAM; NOT FOUND; AMP. 25 MG 3 ML x 10 (/ML); MIZ

76312; DUCRAY KERTYOL S ; DUCRAY KERTYOL S; NOT FOUND; KX125+KZ30ML x 1; MIZ

74346; DUCRAY ANASTIM ; DUCRAY ANASTIM; NOT FOUND; LOC CONC A/Q 7.50 ML x 8; MIZ

75188; DUCRAY NUTRICERAT ; DUCRAY NUTRICERAT; NOT FOUND; FLUIDO REPA 75 ML x 1; MIZ

165694; DUCRAY ANACAPS ; DUCRAY ANACAPS; NOT FOUND; CAPS x 90; MIZ

102089; DUCRAY SQUANORM ; DUCRAY SQUANORM; NOT FOUND; LOCAO 200 ML x 1; MIZ

59208; DAUNOCIN ; DAUNOCIN; NOT FOUND; F.AMP C/DILU 20 MG 4 ML x 1; MIZ

78226; DUCRAY KELUAL DS ; DUCRAY KELUAL DS; NOT FOUND; AERO MOUSSE 75 ML x 1; MIZ

74728; DUCRAY KELUAL DS ; DUCRAY KELUAL DS; NOT FOUND; CREME 40 ML x 1; MIZ

95073; DIAMIN ; DIAMIN; NOT FOUND; F AMP . 200 MG 50 ML x 1 (/ML); MIZ

102545; DUCRAY NUTRICERAT ; DUCRAY NUTRICERAT; NOT FOUND; SHAMPOO 200 ML x 1; MIZ

77562; DUCRAY KERTYOL PSO ; DUCRAY KERTYOL PSO; NOT FOUND; SHAMPOO 125 ML x 1; MIZ

150187; DUCRAY ANACAPS ; DUCRAY ANACAPS; NOT FOUND; CAPS x 30; MIZ

64141; DUCRAY ANAPHASE ; DUCRAY ANAPHASE; NOT FOUND; SH CREME 150 ML x 1; MIZ

69538; DUCRAY KERTYOL S ; DUCRAY KERTYOL S; NOT FOUND; XAMP 125 ML x 1; MIZ

102544; DUCRAY ANAPHASE ; DUCRAY ANAPHASE; NOT FOUND; SH ESTIMU 200 ML x 1; MIZ

78227; DUCRAY KELUAL DS ; DUCRAY KELUAL DS; NOT FOUND; K S 100MI+ED 75 ML x 1; MIZ

95067; DIAMIN ; DIAMIN; NOT FOUND; F AMP . 200 MG 100 ML x 1 (/ML); MIZ

78228; DUCRAY NUTRICERAT ; DUCRAY NUTRICERAT; NOT FOUND; K M 150ML+SH 75 ML x 1; MIZ

64151; DUCRAY KELUAL ZINC ; DUCRAY KELUAL ZINC; NOT FOUND; LOC. 200 ML x 1; MIZ

131504; DUCRAY SENSINOL ; DUCRAY SENSINOL; NOT FOUND; SH C C SE FR 200 ML x 1; MIZ

75758; DUCRAY NUTRICERAT ; DUCRAY NUTRICERAT; NOT FOUND; K M 150ML+NE x 1; MIZ

72566; DUCRAY KELUAL DS ; DUCRAY KELUAL DS; NOT FOUND; SHAM A/CAS 100 ML x 1; MIZ

75190; DUCRAY NUTRICERAT ; DUCRAY NUTRICERAT; NOT FOUND; MASCARA 150 ML x 1; MIZ

64176; DUCRAY EXTRA DOUX ; DUCRAY EXTRA DOUX; NOT FOUND; XAMP 300 ML x 1; MIZ

59222; D.T.I. ; D T I; NOT FOUND; F.AMP LIOF 200 MG x 1; MIZ

75189; DUCRAY NUTRICERAT ; DUCRAY NUTRICERAT; NOT FOUND; SHAMPOO 125 ML x 1; MIZ

102088; DUCRAY NEOPTIDE ; DUCRAY NEOPTIDE; NOT FOUND; LOC A QUEDA 30 ML x 3; MIZ

54478; DENACEN ; DENACEN; NOT FOUND; CPR 30 MG x 10; MJA

43877; DEXAGIL ; DEXAGIL; NOT FOUND; AMP.A+B 3 ML x 3; MJA

49099; DEXAGIL ; DEXAGIL; NOT FOUND; CPR x 20; MJA

54477; DENACEN ; DENACEN; NOT FOUND; CPR 6 MG x 20; MJA

77062; DIPROSALIC ; DIPROSALIC; NOT FOUND; SOLN 10 ML x 1; MQF

77063; DIPROSONE ; DIPROSONE; NOT FOUND; CREME 0.64 MG 10 G x 1 (/G); MQF

32318; DIPROSONE ; DIPROSONE; NOT FOUND; LOC.CAPILAR 0.64 MG 30 ML x 1 (/ML); MQF

31153; DIPROSALIC ; DIPROSALIC; NOT FOUND; POM. 30 G x 1; MQF

48786; DIPROGENTA ; DIPROGENTA; NOT FOUND; POM. 30 G x 1; MQF

77061; DIPROSALIC ; DIPROSALIC; NOT FOUND; POM. 10 G x 1; MQF

77064; DIPROSONE ; DIPROSONE; NOT FOUND; LOC.CAPILAR 0.64 MG 10 ML x 1 (/ML); MQF

30287; DIPROSPAN ; DIPROSPAN; NOT FOUND; AMP. 1 ML x 1; MQF

77065; DIPROSONE ; DIPROSONE; NOT FOUND; POM. 0.64 MG 10 G x 1 (/G); MQF

31152; DIPROSALIC ; DIPROSALIC; NOT FOUND; SOLN 30 ML x 1; MQF

50163; DIPROSPAN ; DIPROSPAN; NOT FOUND; HYPACK J.DES 1 ML x 1; MQF

68483; DERSAB ; DERSAB; NOT FOUND; SABONETE 90 G x 1; MQF

77059; DIPROGENTA ; DIPROGENTA; NOT FOUND; CREME 10 G x 1; MQF

48977; DIPROSONE ; DIPROSONE; NOT FOUND; POM. 0.64 MG 30 G x 1 (/G); MQF

48677; DIPROSONE ; DIPROSONE; NOT FOUND; CREME 0.64 MG 30 G x 1 (/G); MQF

77060; DIPROGENTA ; DIPROGENTA; NOT FOUND; POM. 10 G x 1; MQF

48785; DIPROGENTA ; DIPROGENTA; NOT FOUND; CREME 30 G x 1; MQF

61773; DICLIN ; DICLIN; NOT FOUND; CPR REVEST x 21; M_S

72186; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); M_S

92384; DABIONVITA ; DABIONVITA; NOT FOUND; CAPS x 30; M_S

140291; DEXA-CITONEURI NFF ; DEXA CITONEURI NFF; NOT FOUND; AMP I+II x 3; M_S

29125; DEXA-CITONEURIN ; DEXA CITONEURIN; NOT FOUND; CPR x 20; M_S

69418; DICLIN ; DICLIN; NOT FOUND; CPR REV.21X3 x 63; M_S

72181; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR REVEST 50 MG x 20; M_S

64727; DIP.BET+AC.SALI MG ; DIP BET AC SALI; NOT FOUND; POM. 30 G x 1; M_S

3156; DEXA-CITONEURIN ; DEXA CITONEURIN; NOT FOUND; AMP. x 3 +3; M_S

69181; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CAPS 100 MG x 10; M_S

70334; DIOZINAC KS ; DIOZINAC KS; NOT FOUND; EMULSAO 40 ML x 1; N2E

70345; DIOZINAC EMUL ; DIOZINAC EMUL; NOT FOUND; EMULSAO 40 ML x 1; N2E

70346; DIOZINAC GEL ; DIOZINAC GEL; NOT FOUND; GEL. 150 ML x 1; N2E

65978; DIADEN ; DIADEN; NOT FOUND; CPR 7.50 MG x 10; NCK

3308; DIETAMINA ; DIETAMINA; NOT FOUND; DRAG x 50; NCK

69386; DORFEBRIL ; DORFEBRIL; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); NCK

52479; DIURIT ; DIURIT; NOT FOUND; CPR 40 MG x 20; NCK

44667; DORFEBRIL ; DORFEBRIL; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); NCK

70160; DICLOF.RESINATO MG ; DICLOF RESINATO; NOT FOUND; GOTAS 15 MG 20 ML x 1 (/ML); NQA

95760; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; CPR REVEST 5 MG x 30; NQA

69941; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; CPR 500 MG x 240; NQA

69943; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); NQA

155047; DIGESIGMA ; DIGESIGMA; NOT FOUND; CAPS 10 MG x 20; NQA

163286; DIAZEPAM NQ ; DIAZEPAM NQ; NOT FOUND; CPR 10 MG x 20; NQA

77706; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; CPR REVEST 5 MG x 10; NQA

62525; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR REVEST 50 MG x 10; NQA

66606; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR REVEST 100 MG x 10; NQA

159554; DESOSKIN ; DESOSKIN; NOT FOUND; CREME DERM 30 G x 1; NQA

87133; DOMPERIDONA MG ; DOMPERIDONA; DOMPERIDONA; CPR 10 MG x 60; NQA

159555; DROXY ; DROXY; NOT FOUND; CPR 25 MG x 30; NQA

158202; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 1 MG x 30; NQA

87131; DOMPERIDONA MG ; DOMPERIDONA; DOMPERIDONA; CPR 10 MG x 30; NQA

155046; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 0.25 MG x 30; NQA

70159; DEFLAZACORTE MG ; DEFLAZACORTE; DEFLAZACORTE; CPR 6 MG x 20; NQA

69942; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); NQA

63122; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; DRAG 50 MG x 10; NQA

163287; DIAZEPAM NQ ; DIAZEPAM NQ; NOT FOUND; CPR 5 MG x 20; NQA

70158; DEFLAZACORTE MG ; DEFLAZACORTE; DEFLAZACORTE; CPR 30 MG x 10; NQA

78144; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; XAR. 0.50 MG 100 ML x 1 (/ML); NQA

96371; DROSPI+ETINILES MG ; DROSPI ETINILES; NOT FOUND; CPR 3 MG x 21 (/.03); NQA

135999; DICLOFEN.DIETIL.MG ; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL CREME 10 MG 60 G x 1 (/G); NQA

131340; DIP.BET+AC.SALI MG ; DIP BET AC SALI; NOT FOUND; SOL TOP APLI 30 ML x 1; NQA

78143; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; XAR. 0.50 MG 60 ML x 1 (/ML); NQA

63123; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; DRAG 50 MG x 20; NQA

62526; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR REVEST 50 MG x 20; NQA

155045; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 0.125 MG x 30; NQA

75590; DIGEVITA ; DIGEVITA; NOT FOUND; GOTAS AD 8 MG 20 ML x 1 (/ML); NV7

76471; DIPIRONATI ; DIPIRONATI; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); NV7

74908; DIPIRONATI ; DIPIRONATI; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); NV7

77381; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); NV7

75591; DIGEVITA ; DIGEVITA; NOT FOUND; GOTAS PED 4 MG 20 ML x 1 (/ML); NV7

76473; DISFLAT ; DISFLAT; NOT FOUND; GOTAS 75 MG 15 ML x 1 (/ML); NV7

77380; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); NV7

69945; DISFLAT ; DISFLAT; NOT FOUND; GOTAS 75 MG 10 ML x 1 (/ML); NV7

87517; DEPANTEX ; DEPANTEX; NOT FOUND; POM. 50 MG 30 G x 1 (/G); NV7

77585; DOBUTANIL ; DOBUTANIL; NOT FOUND; F.AMP 250 MG 20 ML x 50; NVA

72614; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; AMP. 75 MG 3 ML x 50; NVA

72645; DOPIMEX ; DOPIMEX; NOT FOUND; SOLN INJ. 5 MG 10 ML x 50 (/ML); NVA

67706; DOBUTANIL ; DOBUTANIL; NOT FOUND; F.AMP 250 MG 20 ML x 1; NVA

62566; DIOVAN HCT ; DIOVAN HCT; NOT FOUND; CPR REVEST 25 MG x 14 (/160); NVR

72491; DIOVAN AMLO FIX ; DIOVAN AMLO FIX; NOT FOUND; CPR.RE.320MG 10 MG x 28; NVR

72489; DIOVAN AMLO FIX ; DIOVAN AMLO FIX; NOT FOUND; CPR.RE.160MG 10 MG x 28; NVR

77163; DIOVAN TRIPLO ; DIOVAN TRIPLO; NOT FOUND; CPR REV 160 5 MG x 28 (/12); NVR

74584; DIOVAN HCT ; DIOVAN HCT; NOT FOUND; CPR REVEST 25 MG x 28 (/320); NVR

60070; DIOVAN ; DIOVAN; NOT FOUND; CPR REVEST 80 MG x 28; NVR

53230; DIOVAN HCT ; DIOVAN HCT; NOT FOUND; CPR REVEST 80 MG x 14 (/12); NVR

74583; DIOVAN HCT ; DIOVAN HCT; NOT FOUND; CPR REVEST 12.5 MG x 28 (/320); NVR

60071; DIOVAN ; DIOVAN; NOT FOUND; CPR REVEST 160 MG x 14; NVR

51810; DIOVAN ; DIOVAN; NOT FOUND; CAPS 80 MG x 14; NVR

63684; DIOVAN AMLO ; DIOVAN AMLO; NOT FOUND; CPR REVEST 160 MG x 28 (/5); NVR

72488; DIOVAN AMLO FIX ; DIOVAN AMLO FIX; NOT FOUND; CPR.RE.160MG 5 MG x 28; NVR

60069; DIOVAN ; DIOVAN; NOT FOUND; CPR REVEST 80 MG x 14; NVR

56821; DESFERAL ; DESFERAL; NOT FOUND; F.AMP 500 MG 5 ML x 5; NVR

77164; DIOVAN TRIPLO ; DIOVAN TRIPLO; NOT FOUND; CPR REV 160 10 MG x 28 (/12); NVR

56569; DIOVAN HCT ; DIOVAN HCT; NOT FOUND; CPR REVEST 12 MG x 28 (/160); NVR

75854; DIOVAN TRIPLO ; DIOVAN TRIPLO; NOT FOUND; CPR REV 160 12.5 MG x 56 (/10); NVR

77160; DIOVAN AMLO FIX ; DIOVAN AMLO FIX; NOT FOUND; CPR.RE.160MG 5 MG x 14; NVR

60072; DIOVAN ; DIOVAN; NOT FOUND; CPR REVEST 160 MG x 28; NVR

72490; DIOVAN AMLO FIX ; DIOVAN AMLO FIX; NOT FOUND; CPR.RE.320MG 5 MG x 28; NVR

75856; DIOVAN TRIPLO ; DIOVAN TRIPLO; NOT FOUND; CPR REV 160 10 MG x 56 (/25); NVR

75855; DIOVAN TRIPLO ; DIOVAN TRIPLO; NOT FOUND; CPR REV 160 25 MG x 56 (/5); NVR

63683; DIOVAN AMLO ; DIOVAN AMLO; NOT FOUND; CPR REVEST 80 MG x 28 (/5); NVR

65041; DICLOF.COLESTIR.MG ; DICLOF COLESTIR; NOT FOUND; CAPS 70 MG x 20; NVR

77162; DIOVAN HCT ; DIOVAN HCT; NOT FOUND; CPR REVEST 12.5 MG x 14 (/320); NVR

77159; DIOVAN ; DIOVAN; NOT FOUND; CPR REVEST 320 MG x 14; NVR

65040; DICLOF.COLESTIR.MG ; DICLOF COLESTIR; NOT FOUND; CAPS 70 MG x 14; NVR

77161; DIOVAN AMLO FIX ; DIOVAN AMLO FIX; NOT FOUND; CPR.RE.320MG 5 MG x 14; NVR

64250; DIOCOMB SI ; DIOCOMB SI; NOT FOUND; CPR REVEST 80 MG x 56 (/20); NVR

56568; DIOVAN HCT ; DIOVAN HCT; NOT FOUND; CPR REVEST 12 MG x 14 (/160); NVR

62364; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR REVEST 50 MG x 20; NVR

65042; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; DRAG 50 MG x 20; NVR

64251; DIOCOMB SI ; DIOCOMB SI; NOT FOUND; CPR REVEST 160 MG x 56 (/20); NVR

64499; DIOCOMB SI ; DIOCOMB SI; NOT FOUND; CPR REVEST 80 MG x 56 (/10); NVR

53231; DIOVAN HCT ; DIOVAN HCT; NOT FOUND; CPR REVEST 80 MG x 28 (/12); NVR

63800; DIOVAN ; DIOVAN; NOT FOUND; CPR REVEST 40 MG x 28; NVR

62567; DIOVAN HCT ; DIOVAN HCT; NOT FOUND; CPR REVEST 25 MG x 28 (/160); NVR

66016; DIOVAN ; DIOVAN; NOT FOUND; CPR REVEST 320 MG x 28; NVR

63799; DIOVAN ; DIOVAN; NOT FOUND; CPR REVEST 40 MG x 14; NVR

72487; DIOVAN AMLO FIX ; DIOVAN AMLO FIX; NOT FOUND; CPR.REV 80MG 5 MG x 28; NVR

75853; DIOVAN TRIPLO ; DIOVAN TRIPLO; NOT FOUND; CPR REV 160 5 MG x 56 (/12); NVR

3139; DESERILA ; DESERILA; NOT FOUND; DRAG 1 MG x 25; NVR

75290; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; SOLN OFTAL 1 MG 5 ML x 1 (/ML); N_Q

61163; DUCTOVIRAX ; DUCTOVIRAX; NOT FOUND; CPR 200 MG x 25; N_Q

78192; DIP SOD+CAF MG ; DIP SOD CAF; NOT FOUND; CPR x 100; N_Q

59571; DEXANIL ; DEXANIL; NOT FOUND; AMP. 4 MG 2.50 ML x 1 (/M); N_Q

55715; DIGESPRID ; DIGESPRID; NOT FOUND; GOTAS 4 MG 20 ML x 1 (/ML); N_Q

56571; DIPIRONA SO.INJ MG ; DIPIRONA SO INJ; NOT FOUND; AMP. 500 MG 2 ML x 50 (/ML); N_Q

66307; DROPROPIZINA MG ; DROPROPIZINA; DROPROPIZINA; XAR. AD 3 MG 120 ML x 1 (/ML); N_Q

77239; DELLA ; DELLA; NOT FOUND; SAB LIQD INT 200 ML x 1; N_Q

77629; DIAZEPAM MG ; DIAZEPAM; DIAZEPAM; CPR 5 MG x 20; N_Q

77630; DIAZEPAM MG ; DIAZEPAM; DIAZEPAM; CPR 5 MG x 30; N_Q

77200; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; CPR 50 MG x 20; N_Q

59601; DUCTOGEL ; DUCTOGEL; NOT FOUND; CPR MASC 300 MG x 24; N_Q

66286; DIP.BET+FOS.BET MG ; DIP BET FOS BET; NOT FOUND; AMP. S/SE 5 MG 1 ML x 1 (/ML); N_Q

92722; DORONA CAFI ; DORONA CAFI; NOT FOUND; CPR x 100; N_Q

55732; DEXANIL ; DEXANIL; NOT FOUND; CR.NEOMICINA 15 G x 1 (/G); N_Q

77157; DIGOXINA MG ; DIGOXINA; DIGOXINA; CPR 0.25 MG x 25; N_Q

78855; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; CPR 1 G x 10; N_Q

78857; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; CPR 1 G x 100; N_Q

46386; DUCTELMIN ; DUCTELMIN; NOT FOUND; CPR 100 MG x 6; N_Q

72552; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); N_Q

