56094; ANTUX ; ANTUX; NOT FOUND; XAR. 30 MG 120 ML x 1 (/5ML); A4H
48434; ATROPION ; ATROPION; NOT FOUND; AMP. 0.50 MG 1 ML x 100; BU_

51148; AMICILON ; AMICILON; NOT FOUND; F.AMP 100 MG 2 ML x 50; BU_

51075; AMICILON ; AMICILON; NOT FOUND; F.AMP 500 MG 2 ML x 50; BU_

76821; ALFAEPOETINA HU.RE ; ALFAEPOETINA HU RE; NOT FOUND; F.AMP 3000 IU 1 ML x 12; BU_

72677; ALFAEPOETINA HU.RE ; ALFAEPOETINA HU RE; NOT FOUND; AMP. C/DILU 4000 IU 1 ML x 12; BU_

33402; AGUA BI-DESTILADA ; AGUA BI DESTILADA; NOT FOUND; A.IV 10 ML x 100; BU_

68716; ALFAEPOETINA HU.RE ; ALFAEPOETINA HU RE; NOT FOUND; AMP. 4000 IU 1 ML x 12; BU_

50269; ADALAT RETARD ; ADALAT RETARD; NOT FOUND; CPR 10 MG x 30; BYP

33296; ANDROCUR ; ANDROCUR; NOT FOUND; CPR 50 MG x 20; BYP

63677; ASPIRINA PREVENT ; ASPIRINA PREVENT; NOT FOUND; CPR 300 MG x 30; BYP

49216; ADALAT OROS ; ADALAT OROS; NOT FOUND; CPR 60 MG x 15; BYP

47010; ADALAT ; ADALAT; NOT FOUND; CAPS 10 MG x 60; BYP

64292; AVADEN ; AVADEN; NOT FOUND; CPR REVEST x 28; BYP

47009; ADALAT RETARD ; ADALAT RETARD; NOT FOUND; CPR 20 MG x 30; BYP

59748; ANDROCUR ; ANDROCUR; NOT FOUND; CPR 100 MG x 20; BYP

48718; ADALAT OROS ; ADALAT OROS; NOT FOUND; CPR 30 MG x 15; BYP

59939; AVALOX ; AVALOX; NOT FOUND; BOLSA PLASTI 400 MG 250 ML x 1; BYP

68078; ANGELIQ ; ANGELIQ; NOT FOUND; CPR REVEST x 28; BYP

75616; ADALAT OROS ; ADALAT OROS; NOT FOUND; CPR 60 MG x 30; BYP

56102; AVALOX ; AVALOX; NOT FOUND; CPR REVEST 400 MG x 5; BYP

56103; AVALOX ; AVALOX; NOT FOUND; CPR REVEST 400 MG x 7; BYP

75617; ADALAT OROS ; ADALAT OROS; NOT FOUND; CPR 20 MG x 30; BYP

52960; ASPIRINA PREVENT ; ASPIRINA PREVENT; NOT FOUND; CPR 100 MG x 30; BYP

75615; ADALAT OROS ; ADALAT OROS; NOT FOUND; CPR 30 MG x 30; BYP

53309; ADALAT OROS ; ADALAT OROS; NOT FOUND; CPR 20 MG x 15; BYP

93690; ALLURENE ; ALLURENE; NOT FOUND; CPR 2 MG x 28; BYP

77500; ANTISTAX ; ANTISTAX; NOT FOUND; CPR REVEST 360 MG x 18; B_I

95136; ANADOR ; ANADOR; NOT FOUND; CPR 500 MG x 240; B_I

75324; ANADOR PRT ; ANADOR PRT; NOT FOUND; CPR 750 MG x 20; B_I

33971; ATENSINA ; ATENSINA; NOT FOUND; CPR 0.10 MG x 30; B_I

1045; ATENSINA ; ATENSINA; NOT FOUND; CPR 0.15 MG x 30; B_I

47733; ATROVENT ; ATROVENT; NOT FOUND; SOLN INALT 0.25 MG 20 ML x 1; B_I

53956; ANADOR ; ANADOR; NOT FOUND; CPR 500 MG x 512; B_I

48386; ANADOR ; ANADOR; NOT FOUND; CPR 500 MG x 120; B_I

82228; ANTISTAX ; ANTISTAX; NOT FOUND; CPR REVEST 360 MG x 12; B_I

32826; ANADOR ; ANADOR; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); B_I

54387; ANADOR ; ANADOR; NOT FOUND; CPR 500 MG x 24; B_I

72966; ANADOR PRT ; ANADOR PRT; NOT FOUND; GOTAS 200 MG 15 ML x 1 (/ML); B_I

77671; ATROVENT N ; ATROVENT N; NOT FOUND; AERO DOSIS 20 Y 10 ML x 200 (/DOS); B_I

51397; ANADOR ; ANADOR; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); B_I

33972; ATENSINA ; ATENSINA; NOT FOUND; CPR 0.20 MG x 30; B_I

96298; ACTILYSE ; ACTILYSE; NOT FOUND; F.INFUS.LIOF 10 MG x 1; B_I

77501; ANTISTAX ; ANTISTAX; NOT FOUND; CPR REVEST 360 MG x 30; B_I

96304; ACTILYSE ; ACTILYSE; NOT FOUND; F.INFUS.LIOF 20 MG x 1; B_I

72967; ANADOR PRT ; ANADOR PRT; NOT FOUND; CPR 750 MG x 256; B_I

53308; ACTILYSE ; ACTILYSE; NOT FOUND; F.INFUS.LIOF 50 MG x 1; B_I

33973; ATROVENT ; ATROVENT; NOT FOUND; AERO DOSIS 0.02 MG 15 ML x 300 (/DOS); B_I

78147; ALIVIRUB ; ALIVIRUB; NOT FOUND; POM. 40 G x 1; C6R

74462; AFTJET NF ; AFTJET NF; NOT FOUND; GOTAS 100 MG 30 ML x 1 (/ML); C6R

66805; AFTJET ; AFTJET; NOT FOUND; GOTAS 20 ML x 1; C6R

47125; ANFLAT ; ANFLAT; NOT FOUND; CPR 40 MG x 20; CAZ

67025; AMOXACIN ; AMOXACIN; NOT FOUND; CAPS 500 MG x 15; CAZ

67023; AMOXACIN ; AMOXACIN; NOT FOUND; PO P/SUSP 500 MG 150 ML x 1 (/5ML); CAZ

67024; AMOXACIN ; AMOXACIN; NOT FOUND; CAPS 500 MG x 10; CAZ

60131; ASMAFIN ; ASMAFIN; NOT FOUND; GOTAS 240 MG 10 ML x 1 (/ML); CAZ

61279; AEROTRAT ; AEROTRAT; NOT FOUND; CPR 2 MG x 20; CAZ

55115; ATECARD ; ATECARD; NOT FOUND; CPR 50 MG x 30; CAZ

47062; ANFLAT ; ANFLAT; NOT FOUND; SOLN 75 MG 10 ML x 1 (/ML); CAZ

48716; ACFOL ; ACFOL; NOT FOUND; GOTAS 5 MG 10 ML x 1 (/ML); CAZ

60126; ALBISTIN ; ALBISTIN; NOT FOUND; CREME VAG. 25 K 60 G x 1 (/G); CAZ

67022; AMOXACIN ; AMOXACIN; NOT FOUND; PO P/SUSP 250 MG 60 ML x 1 (/5ML); CAZ

48929; AEROTRAT ; AEROTRAT; NOT FOUND; XAR. 2 MG 100 ML x 1 (/5ML); CAZ

60128; ALBISTIN ; ALBISTIN; NOT FOUND; SUSP 100 K 40 ML x 1 (/ML); CAZ

74782; ALIVBABY ; ALIVBABY; NOT FOUND; POM. 20 G x 1; CAZ

67026; ASMANON ; ASMANON; NOT FOUND; XAR. 0.20 MG 150 ML x 1 (/ML); CAZ

52590; ANGIODARONA ; ANGIODARONA; NOT FOUND; CPR 200 MG x 20; CAZ

60127; ALBISTIN ; ALBISTIN; NOT FOUND; DRAG 500 K x 16; CAZ

66252; ALIVIAN ; ALIVIAN; NOT FOUND; CAPS 7.50 MG x 10; CAZ

67027; ASMANON ; ASMANON; NOT FOUND; CPR 1 MG x 20; CAZ

48944; ACETICIL ; ACETICIL; NOT FOUND; CPR 500 MG x 500 (ADLT); CAZ

48093; ACETICIL ; ACETICIL; NOT FOUND; CPR 100 MG x 200 (INF); CAZ

69156; ALIVBABY ; ALIVBABY; NOT FOUND; POM. 60 G x 1; CAZ

48151; ACFOL ; ACFOL; NOT FOUND; CPR 5 MG x 40; CAZ

55112; APETIVITON BC ; APETIVITON BC; NOT FOUND; SUSP ORAL 240 ML x 1; CF2

55944; AMOXADENE ; AMOXADENE; NOT FOUND; CAPS 500 MG x 21; CF2

78653; ASPARGIL C ; ASPARGIL C; NOT FOUND; CPR EFERV x 16; CF2

75456; ACNEE LOSS ; ACNEE LOSS; NOT FOUND; GEL. 20 G x 1; CF2

59431; ACIVIRAX ; ACIVIRAX; NOT FOUND; CPR 200 MG x 25; CF2

58490; ATENORM ; ATENORM; NOT FOUND; CPR 50 MG x 28; CF2

58162; AFTINE ; AFTINE; NOT FOUND; SUSP ORAL 20 ML x 1; CF2

85463; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 1000 MG x 1; CF2

97414; ALGE.AC+ENA.EST.MG ; ALGE AC ENA EST; NOT FOUND; AMP 150 MG 1 ML x 1; CF2

74318; AZITRON ; AZITRON; NOT FOUND; CPR REVEST 500 MG x 5; CF2

58169; AZITRON ; AZITRON; NOT FOUND; CPR REVEST 500 MG x 3; CF2

93530; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; CREME 50 MG 10 G x 1 (/G); CF2

73211; ACIVIRAX ; ACIVIRAX; NOT FOUND; CREME 10 G x 1; CF2

55109; AMPLACIN ; AMPLACIN; NOT FOUND; SUSP ORAL 250 MG 60 ML x 1 (/5ML); CF2

55110; AMOXADENE ; AMOXADENE; NOT FOUND; PO P/SUSP 250 MG 150 ML x 1 (/5ML); CF2

55941; AMPLACIN ; AMPLACIN; NOT FOUND; CAPS 500 MG x 12; CF2

66387; AZITRON ; AZITRON; NOT FOUND; CPR REVEST 1000 MG x 2; CF2

58171; AZITRON ; AZITRON; NOT FOUND; PO P/SUSP 900 MG 22.5 ML x 1; CF2

58163; ALIVIOL ; ALIVIOL; NOT FOUND; POM. 20 G x 1; CF2

66388; AZITRON ; AZITRON; NOT FOUND; CPR REVEST 1000 MG x 1; CF2

58164; AMOXADENE ; AMOXADENE; NOT FOUND; PO P/SUSP 125 MG 150 ML x 1 (/5ML); CF2

164624; ALIVIOL ; ALIVIOL; NOT FOUND; AEROSOL 120 ML x 1; CF2

58170; AZITRON ; AZITRON; NOT FOUND; PO P/SUSP 600 MG 15 ML x 1; CF2

59432; ACIVIRAX ; ACIVIRAX; NOT FOUND; CREME 5 G x 1; CF2

51340; ANGIOLONG ; ANGIOLONG; NOT FOUND; CPR 60 MG x 50; CHS

50829; ANGIOLONG A.P. ; ANGIOLONG A P; NOT FOUND; CAPS 90 MG x 20; CHS

50831; ANGIOLONG A.P. ; ANGIOLONG A P; NOT FOUND; CAPS 300 MG x 10; CHS

294; ALBICON ; ALBICON; NOT FOUND; PO 20 G x 1; CHS

61377; AEROJET ; AEROJET; NOT FOUND; SPRAY C/ESPA 100 Y x 200; CHS

62386; ALERFIN ; ALERFIN; NOT FOUND; SUSP AQUOSA 100 Y x 120 (/DOS); CHS

47060; AEROJET ; AEROJET; NOT FOUND; AERO DOSIS 100 Y x 200 (/DOS); CHS

49220; AEROJET ; AEROJET; NOT FOUND; XAR. 2 MG 100 ML x 1 (/5ML); CHS

33036; ASMEN ; ASMEN; NOT FOUND; CPR 1 MG x 20; CHS

51339; ANGIOLONG ; ANGIOLONG; NOT FOUND; CPR 30 MG x 50; CHS

33037; ASMEN ; ASMEN; NOT FOUND; XAR. 1 MG 100 ML x 1 (/5ML); CHS

50830; ANGIOLONG A.P. ; ANGIOLONG A P; NOT FOUND; CAPS 180 MG x 20; CHS

64263; AMBROXMEL ; AMBROXMEL; NOT FOUND; XAR. AD 30 MG 120 ML x 1 (/5ML); CM5

85500; APMED ; APMED; NOT FOUND; CPR MAST x 60; CM5

72507; ACNEZIL ; ACNEZIL; NOT FOUND; GEL. 0.50 % 20 G x 1; CM5

60130; ALGEXIN COMPOSTO ; ALGEXIN COMPOSTO; NOT FOUND; GOTAS 15 ML x 1; CM5

71837; AC.ACETIL-SALIC MG ; AC ACETIL SALIC; NOT FOUND; CPR 100 MG x 200; CM5

64264; AMBROXMEL ; AMBROXMEL; NOT FOUND; XAR. PED. 15 MG 120 ML x 1 (/5ML); CM5

101684; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; PO P/SUSP 50 MG 60 ML x 1 (/ML); CM5

76682; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. AD 50 MG 120 ML x 1 (/5ML); CM5

72964; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; PO P/SUSP 250 MG 150 ML x 1 (/5ML); CM5

125024; AMPLAVIT ; AMPLAVIT; NOT FOUND; CPR SENIOR x 60; CM5

66164; AZIMED ; AZIMED; NOT FOUND; CAPS 500 MG x 5; CM5

69085; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; CREME 50 MG 10 G x 1 (/G); CM5

97430; AMPLAVIT ; AMPLAVIT; NOT FOUND; DRAG x 60; CM5

61471; AZIMED ; AZIMED; NOT FOUND; PO P/SUSP 900 MG 22.5 ML x 1; CM5

55588; AMPLAVIT ; AMPLAVIT; NOT FOUND; DRAG SPORT x 30; CM5

78509; ALERGOMINE ; ALERGOMINE; NOT FOUND; CREME. 10 MG 30 G x 1 (/G); CM5

160469; ALIVPRESS ; ALIVPRESS; NOT FOUND; CPR 5 MG x 30; CM5

56086; AMOXIMED ; AMOXIMED; NOT FOUND; SUSP ORAL 250 MG 150 ML x 1 (/5ML); CM5

74527; ALEGRE AH ; ALEGRE AH; NOT FOUND; LIQD TUT-FRU 250 ML x 1; CM5

77757; AC DEXAMETASONA MG ; AC DEXAMETASONA; ACETATO DEXAMETASONA; CREME. 1 MG 10 G x 1 (/G); CM5

150169; ACNEZIL ; ACNEZIL; NOT FOUND; K GL+LA+GS x 1; CM5

78508; ALERGOMINE ; ALERGOMINE; NOT FOUND; SOLN ORAL 2 MG 120 ML x 1 (/5ML); CM5

62061; APMED ; APMED; NOT FOUND; XAR. 240 ML x 1; CM5

72965; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 21; CM5

118292; AMPLAVIT ; AMPLAVIT; NOT FOUND; CAPS HAIR x 30; CM5

60135; AMOXIMED ; AMOXIMED; NOT FOUND; CAPS 500 MG x 21; CM5

76683; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. PED. 25 MG 120 ML x 1 (/5ML); CM5

61380; AMOXIMED ; AMOXIMED; NOT FOUND; SUSP ORAL 500 MG 150 ML x 1 (/5ML); CM5

160468; ALIVPRESS ; ALIVPRESS; NOT FOUND; CPR 10 MG x 30; CM5

136010; ACNEZIL ; ACNEZIL; NOT FOUND; GEL LIMP 100 G x 1; CM5

144157; ACNEZIL ; ACNEZIL; NOT FOUND; LOC ADSTRING 200 ML x 1; CM5

73517; ARNICA ; ARNICA; NOT FOUND; CREME MENTOL 60 G x 1; CM5

106100; AZIOL ; AZIOL; NOT FOUND; SUSP ORAL ME 60 MG 240 ML x 1 (/ML); CM5

103501; AMPLAVIT ; AMPLAVIT; NOT FOUND; DRAG CALCI+D x 60; CM5

154141; ACNEZIL ; ACNEZIL; NOT FOUND; GEL SECATIVO 10 G x 1; CM5

154140; ACNEZIL ; ACNEZIL; NOT FOUND; SAB LIQ FAC 200 ML x 1; CM5

74526; ALEGRE AH ; ALEGRE AH; NOT FOUND; LIQ MENTA 250 ML x 1; CM5

55507; AMBEZETAL ; AMBEZETAL; NOT FOUND; CAPS 500 MG x 12; CM5

103498; AMPLAVIT ; AMPLAVIT; NOT FOUND; DRAG MULHER x 60; CM5

73801; ACNEZIL ; ACNEZIL; NOT FOUND; GEL BASE 10 % 10 G x 12; CM5

55581; ACICLOMED ; ACICLOMED; NOT FOUND; CREME 50 MG 10 G x 1 (/G); CM5

157030; ACTIVE UP MULHER ; ACTIVE UP MULHER; NOT FOUND; DRAG x 90; CM5

71838; AC.ACETIL-SALIC MG ; AC ACETIL SALIC; NOT FOUND; CPR 500 MG x 100; CM5

61470; AZIMED ; AZIMED; NOT FOUND; CAPS 500 MG x 3; CM5

74528; ALEGRE AH ; ALEGRE AH; NOT FOUND; LIQD MORANGO 250 ML x 1; CM5

73650; ARNICA ; ARNICA; NOT FOUND; OLEO 120 ML x 1; CM5

66165; AZIMED ; AZIMED; NOT FOUND; PO P/SUSP 600 MG 15 ML x 1; CM5

157029; ACTIVE UP ; ACTIVE UP; NOT FOUND; DRAG x 90; CM5

72963; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; PO P/SUSP 500 MG 150 ML x 1 (/5ML); CM5

50400; ALGEXIN ; ALGEXIN; NOT FOUND; DRAG 10 MG x 10; CM5

82813; ANA-FLEX ; ANA FLEX; NOT FOUND; CPR x 200; CT6

82810; ANA-FLEX ; ANA FLEX; NOT FOUND; GOTAS 20 ML x 1; CT6

82812; ANA-FLEX ; ANA FLEX; NOT FOUND; CPR x 30; CT6

65552; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 25 MG x 30; CT6

65553; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 50 MG x 30; CT6

65554; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 100 MG x 30; CT6

49264; ARAMIN ; ARAMIN; NOT FOUND; AMP. 19 MG 1 ML x 50 (/ML); CT6

59444; ANFORICIN B ; ANFORICIN B; ANFOTERICINA B; F.AMP LIOF 50 MG 10 ML x 25; CT6

67201; ALFAST ; ALFAST; NOT FOUND; A.IV 0.544 MG 5 ML x 10 (/ML); CT6

71245; ALIMAX ; ALIMAX; NOT FOUND; SPRAY 100 K 50 ML x 1; CT6

32590; AGUA BORICADA ; AGUA BORICADA; NOT FOUND; LIQD 100 ML x 1; C_S

252; AGUA OXIGENADA ; AGUA OXIGENADA; NOT FOUND; LIQD 10 VO 100 ML x 1; C_S

239; AGUA INGLESA ; AGUA INGLESA; NOT FOUND; LIQD 500 ML x 1; C_S

49928; ACEROLA ; ACEROLA; NOT FOUND; CAPS 400 MG x 50; C_S

60629; ALCACHOFRAX ; ALCACHOFRAX; NOT FOUND; CPR REVEST 335 MG x 100; C_S

56354; ANGIOPRIL ; ANGIOPRIL; NOT FOUND; CPR 10 MG x 30; DFP

56353; ANGIOPRIL ; ANGIOPRIL; NOT FOUND; CPR 5 MG x 30; DFP

55116; ATINAC ; ATINAC; NOT FOUND; CPR 10 MG x 6; DFP

56355; ANGIOPRIL ; ANGIOPRIL; NOT FOUND; CPR 20 MG x 30; DFP

55117; ATINAC ; ATINAC; NOT FOUND; CPR 10 MG x 12; DFP

65328; ARFLEX ; ARFLEX; NOT FOUND; CAPS RETARD 200 MG x 6; DFP

65329; ARFLEX ; ARFLEX; NOT FOUND; CAPS RETARD 200 MG x 12; DFP

55118; ATINAC ; ATINAC; NOT FOUND; XAR. PED. 5 MG 100 ML x 1 (/5ML); DFP

46672; ACERATUM ; ACERATUM; NOT FOUND; GOTAS OTO. 10 ML x 1; DLT

47544; APIRON ; APIRON; NOT FOUND; CPR 500 MG x 200; DLT

60095; ALERSIN ; ALERSIN; NOT FOUND; SOLN ORAL 1 MG 75 ML x 1 (/ML); DLT

62496; AZITRIN ; AZITRIN; NOT FOUND; CPR 500 MG x 3; DLT

32774; APIRON ; APIRON; NOT FOUND; GOTAS 10 ML x 1; DLT

62495; AZITRIN ; AZITRIN; NOT FOUND; CPR 500 MG x 2; DLT

60094; ALERSIN ; ALERSIN; NOT FOUND; CPR REVEST 10 MG x 6; DLT

78446; AGLIX ; AGLIX; NOT FOUND; XAROPE 120 ML x 1; ELO

53584; AGUA BI-DESTILADA ; AGUA BI DESTILADA; NOT FOUND; A.IV 10 ML x 1; EQX

56798; AGUA BI-DESTILADA ; AGUA BI DESTILADA; NOT FOUND; A.IV 10 ML x 200; EQX

142950; AGUA BI-DESTILADA ; AGUA BI DESTILADA; NOT FOUND; LIQ S/F 1000 ML x 1; EQX

142685; AGUA BI-DESTILADA ; AGUA BI DESTILADA; NOT FOUND; LIQ S/F 250 ML x 40; EQX

83716; ACETON TRIANCIN.MG ; ACETON TRIANCIN; NOT FOUND; POM.BUCAL 1 MG 10 G x 1 (/G); EUF

166119; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; PO P/SUSP 900 MG 12 ML x 1; EUF

74999; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); EUF

147830; AMPICILINA MG ; AMPICILINA; AMPICILINA; CAPS 500 MG x 48; EUF

68324; ANASTROZOL MG ; ANASTROZOL; ANASTROZOL; CPR REVEST 1 MG x 28; EUF

75000; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 30 (/50); EUF

64080; ALTIVA ; ALTIVA; NOT FOUND; CPR REVEST 180 MG x 10; EUF

64486; ASTRO ; ASTRO; NOT FOUND; CPR REVEST 500 MG x 5; EUF

84474; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 1 MG x 30; EUF

59129; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. INF 25 MG 120 ML x 1 (/5ML); EUF

78013; AMATO ; AMATO; NOT FOUND; CPR REVEST 100 MG x 12; EUF

72141; ANATEN ; ANATEN; NOT FOUND; CAPS 50 MG x 30 (/5); EUF

63890; ASTRO ; ASTRO; NOT FOUND; CPR REVEST 500 MG x 2; EUF

75501; AIRES ; AIRES; NOT FOUND; GRAN ENVELOP 600 MG 5 G x 16; EUF

67697; ATMOS ; ATMOS; NOT FOUND; CAPS GELATIN 20 MG x 30 (/5); EUF

77261; AC ZOLEDRONICO MG ; AC ZOLEDRONICO; NOT FOUND; AMP. 4 MG 5 ML x 1; EUF

72100; AMATO ; AMATO; NOT FOUND; CPR REVEST 100 MG x 60; EUF

56996; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 15; EUF

59134; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; SACHETS 600 MG x 16; EUF

63817; AZTREONAM MG ; AZTREONAM; AZTREONAM; F.AMP C/DILU 1 G 3 ML x 10; EUF

74992; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; CPR REVEST 875 MG x 14 (/125); EUF

137551; AIDE 3 ; AIDE 3; NOT FOUND; GOTAS 20 ML x 1; EUF

76466; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 5; EUF

160477; ANTROFI ; ANTROFI; NOT FOUND; CR VAG 20AP 30 G x 1; EUF

64478; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.25 MG x 20; EUF

74623; ARRIF ; ARRIF; NOT FOUND; SOLN TOP. 10 MG 20 ML x 1 (/ML); EUF

78978; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 40 MG x 30; EUF

59132; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; SACHETS 100 MG x 16; EUF

75811; ANASTROZOL MG ; ANASTROZOL; ANASTROZOL; CPR REVEST 1 MG x 30; EUF

63567; AMPLACILINA EUF ; AMPLACILINA EUF; NOT FOUND; F.AMP C/DILU 1 G 3 ML x 25; EUF

69086; ASTRO ; ASTRO; NOT FOUND; CPR REVEST 500 MG x 60; EUF

58470; ACTIVELLE ; ACTIVELLE; NOT FOUND; CPR REVEST x 28; EUF

78977; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 80 MG x 30; EUF

64479; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.50 MG x 20; EUF

59133; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; SACHETS 200 MG x 16; EUF

75500; AIRES ; AIRES; NOT FOUND; GRAN ENVELOP 200 MG 5 G x 16; EUF

61509; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; SUSP ORAL BD 200 MG 100 ML x 1 (/5M; EUF

166118; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; PO P/SUSP 600 MG 9 ML x 1; EUF

68755; ALENDRONATO SOD.MG ; ALENDRONATO SOD; NOT FOUND; CPR 70 MG x 4; EUF

63575; ASTRO ; ASTRO; NOT FOUND; PO P/SUSP 600 MG 15 ML x 1; EUF

160366; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; SACHETS 200 MG 5 G x 30; EUF

68759; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 2; EUF

78137; ASTRO ; ASTRO; NOT FOUND; PO P/SUSP 1500 MG 37.5 ML x 1; EUF

56999; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; SUSP ORAL 125 MG 150 ML x 1 (/5ML); EUF

59137; AC TR+S.N+GR+NI.MG ; AC TR S N GR NI; NOT FOUND; CREME 30 G x 1; EUF

58978; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; XAR. 20 MG 100 ML x 1 (/ML); EUF

57321; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; SUSP ORAL 500 MG 150 ML x 1 (/5ML); EUF

61510; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; SUSP ORAL BD 400 MG 100 ML x 1 (/5M; EUF

59138; AC TR+S.N+GR+NI.MG ; AC TR S N GR NI; NOT FOUND; POM. 30 G x 1; EUF

64350; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 3; EUF

71250; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 28 (/100); EUF

75499; AIRES ; AIRES; NOT FOUND; GRAN ENVELOP 100 MG 5 G x 16; EUF

78516; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 20 MG x 30; EUF

58469; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; F.AMP LIOF 250 MG x 5; EUF

58982; AMPICILINA MG ; AMPICILINA; AMPICILINA; CAPS 500 MG x 18; EUF

61857; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; F.AMP LIOF 1 G x 10; EUF

59130; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. AD 50 MG 120 ML x 1 (/5ML); EUF

56997; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 21; EUF

346; ALERGO FILIN.EXPT ; ALERGO FILIN EXPT; NOT FOUND; LIQD 100 ML x 1 (ADLT); EUF

68756; ALENDRONATO SOD.MG ; ALENDRONATO SOD; NOT FOUND; CPR 10 MG x 30; EUF

64480; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 1 MG x 20; EUF

166120; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; PO P/SUSP 1500 MG 22 ML x 1; EUF

78012; AMATO ; AMATO; NOT FOUND; CPR REVEST 50 MG x 12; EUF

78011; AMATO ; AMATO; NOT FOUND; CPR REVEST 25 MG x 12; EUF

57402; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; CREME 50 MG 10 G x 1 (/G); EUF

57000; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; SUSP ORAL 250 MG 150 ML x 1 (/5ML); EUF

62405; ASTRO ; ASTRO; NOT FOUND; CPR REVEST 500 MG x 3; EUF

76385; ALGE.AC+ENA.EST.MG ; ALGE AC ENA EST; NOT FOUND; A.IM 150 MG 1 ML x 1 (/10); EUF

64079; ALTIVA ; ALTIVA; NOT FOUND; CPR REVEST 120 MG x 10; EUF

58979; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; XAR. 20 MG 150 ML x 1 (/ML); EUF

72098; AMATO ; AMATO; NOT FOUND; CPR REVEST 25 MG x 60; EUF

103007; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; PO P/SUSP 400 MG 70 ML x 1 (/57; EUF

74993; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; CPR REVEST 875 MG x 20 (/125); EUF

