81082; HIDRADEEP ; HIDRADEEP; NOT FOUND; BAST LAB F30 5.50 G x 1; A4H
75983; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; K 45G+90G+FR 135 G x 1; PRG

75788; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; CREME AME 40 G x 1; PRG

63081; HEMATOFER ; HEMATOFER; NOT FOUND; CPR REVEST 109 MG x 500; PZ8

104625; HALOPERIDOL MG ; HALOPERIDOL; HALOPERIDOL; GOTAS 2 MG 30 ML x 1 (/ML); PZ8

78407; H AL+H MAG+SIM MG ; H AL H MAG SIM; NOT FOUND; LIQD CEREJA 240 ML x 1; PZ8

94281; HALOPERIDOL MG ; HALOPERIDOL; HALOPERIDOL; GOTAS 2 MG 20 ML x 200 (/ML); PZ8

74615; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 50 MG x 400; PZ8

63082; HIDROX.ALUMINIO MG ; HIDROX ALUMINIO; NOT FOUND; SUSP 61.5 MG 240 ML x 1 (/ML); PZ8

69683; HEMATOFER ; HEMATOFER; NOT FOUND; CPR REVEST 109 MG x 200; PZ8

63555; HIDROX.ALUMINIO MG ; HIDROX ALUMINIO; NOT FOUND; SUSP 61.5 MG 100 ML x 50 (/ML); PZ8

74288; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 30; PZ8

74616; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 400; PZ8

74289; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 50 MG x 30; PZ8

58013; HERPESIL ; HERPESIL; NOT FOUND; CPR 200 MG x 30; SDZ

52337; HERPESIL ; HERPESIL; NOT FOUND; CREME 5 % 10 G x 1; SDZ

67102; HERPESIL ; HERPESIL; NOT FOUND; CPR 200 MG x 25; SDZ

78123; HIDRAFIL ; HIDRAFIL; NOT FOUND; SAB LIQ FAC 60 ML x 1; STF

91005; HIDRAFIL ; HIDRAFIL; NOT FOUND; LOCAO FACIAL 60 ML x 1; STF

78624; HIDRAFIL ; HIDRAFIL; NOT FOUND; K A AG/MA/EY 95 G x 1; STF

109613; HIDRAFIL ; HIDRAFIL; NOT FOUND; LOCAO CREMOS 150 G x 1; STF

56727; HIDRAPEL PLUS ; HIDRAPEL PLUS; NOT FOUND; LOC. 120 ML x 1; STF

76056; HIDRAFIL ; HIDRAFIL; NOT FOUND; GEL ANT/AGI 30 G x 1; STF

53495; HIDRAFIL ; HIDRAFIL; NOT FOUND; SABAO 100 G x 1; STF

50799; HIDRAFIL ; HIDRAFIL; NOT FOUND; LOC. 120 ML x 1; STF

49335; HELMI-PED ; HELMI PED; NOT FOUND; SUSP 30 ML x 1; STF

86235; HIDRAFIL ; HIDRAFIL; NOT FOUND; K AAG/M/E NC 95 G x 1; STF

53494; HIDRAFIL ; HIDRAFIL; NOT FOUND; GEL. 60 G x 1; STF

91003; HIDRAFIL ; HIDRAFIL; NOT FOUND; GEL FACIAL 60 ML x 1; STF

57739; HIDRAFIL ; HIDRAFIL; NOT FOUND; CR.EYECARE 15 G x 1; STF

78622; HIDRAFIL ; HIDRAFIL; NOT FOUND; C.ANT/AG MAO 50 G x 1; STF

54674; HIDRAPEL PLUS ; HIDRAPEL PLUS; NOT FOUND; CREME 60 G x 1; STF

49157; HIDRAFIL ; HIDRAFIL; NOT FOUND; LOC. 60 ML x 1; STF

78124; HIDRAFIL ; HIDRAFIL; NOT FOUND; TONICO HIDRA 200 ML x 1; STF

5356; HIDANTAL ; HIDANTAL; NOT FOUND; CPR 100 MG x 25; S_A

135014; HIDRASTAR ; HIDRASTAR; NOT FOUND; CREME 120 G x 1; S_A

61869; HEXOMEDINE ; HEXOMEDINE; NOT FOUND; SPRAY 50 ML x 1; S_A

5353; HIDANTAL ; HIDANTAL; NOT FOUND; AMP. 50 MG 5 ML x 50 (/ML); S_A

5245; HEMOGENIN ; HEMOGENIN; NOT FOUND; CPR 50 MG x 10; S_A

5338; HEXOMEDINE ; HEXOMEDINE; NOT FOUND; SPRAY 30 ML x 1; S_A

135021; HIDRASTAR ; HIDRASTAR; NOT FOUND; LOCAO 120 ML x 1; S_A

103011; HEVELAIR ; HEVELAIR; NOT FOUND; XAR 7 MG 100 ML x 1 (/ML); TAK

52515; HIDRAFIX 90 ; HIDRAFIX 90; NOT FOUND; SOLN ORAL 250 ML x 1; TAK

49003; HIDRAFIX 90 ; HIDRAFIX 90; NOT FOUND; FLACONETES 25 ML x 2; TAK

66959; HELYAGE ; HELYAGE; NOT FOUND; GE.O/F U.F15 50 G x 1; TSK

65086; HYGINE ; HYGINE; NOT FOUND; ESPUMA VAG. 50 ML x 1; TSK

100129; HEMORFREE ; HEMORFREE; NOT FOUND; POM. 25 G x 1; TTB

51411; HIOSPAN ; HIOSPAN; NOT FOUND; AMP. 20 MG 1 ML x 6 (/ML); TTB

54631; HINCOMOX ; HINCOMOX; NOT FOUND; SUSP 250 MG 150 ML x 1 (/5ML); TTB

46954; HELMIZOL ; HELMIZOL; NOT FOUND; CPR 250 MG x 20; TTB

72807; HALOPER ; HALOPER; NOT FOUND; CPR 5 MG x 100; TTB

89886; HIPODERME AMENDOAS ; HIPODERME AMENDOAS; NOT FOUND; CREME 90 G x 1; TTB

111576; HINCOMOX ; HINCOMOX; NOT FOUND; POLVO SUSP. 250 MG 60 ML x 50 (/ML); TTB

50527; HIOSPAN CPTO DRAG ; HIOSPAN CPTO DRAG; NOT FOUND; DRAG x 20; TTB

89900; HIPODERME AMENDOAS ; HIPODERME AMENDOAS; NOT FOUND; CREME 45 G x 1; TTB

50528; HIOSPAN CPTO GO ; HIOSPAN CPTO GO; NOT FOUND; GOTAS 20 ML x 1; TTB

104618; HEM ZOLPIDEM MG ; HEM ZOLPIDEM; NOT FOUND; CPR REV 10 MG x 10; TTB

49376; HINCOMOX ; HINCOMOX; NOT FOUND; SUSP 250 MG 60 ML x 1 (/5ML); TTB

75354; HIPODERME ; HIPODERME; NOT FOUND; CREME OMEGA 90 G x 1; TTB

49007; HIPODERME ; HIPODERME; NOT FOUND; POM. 45 G x 1; TTB

104619; HEM ZOLPIDEM MG ; HEM ZOLPIDEM; NOT FOUND; CPR REV 10 MG x 20; TTB

52224; HELMIZOL ; HELMIZOL; NOT FOUND; GEL VAG.10AP 500 MG 50 G x 1 (/5G); TTB

50526; HIOSPAN COMPOSTO ; HIOSPAN COMPOSTO; NOT FOUND; AMP. 5 ML x 3; TTB

74479; HIPODERME ; HIPODERME; NOT FOUND; CREME OMEGA 45 G x 1; TTB

73009; HALOPERIDOL MG ; HALOPERIDOL; HALOPERIDOL; AMP. 5 MG 1 ML x 60; TTB

55748; HIOSPAN COMPOSTO ; HIOSPAN COMPOSTO; NOT FOUND; AMP. 5 ML x 100; TTB

55024; HELMIZOL ; HELMIZOL; NOT FOUND; CPR 500 MG x 20; TTB

123861; HIPODERME BABY ; HIPODERME BABY; NOT FOUND; OLEO PURO 400 ML x 1; TTB

85571; HIPODERTRAT ; HIPODERTRAT; NOT FOUND; POM DERM 60 G x 1; TTB

46955; HELMIZOL ; HELMIZOL; NOT FOUND; SUSP 200 MG 80 ML x 1 (/5ML); TTB

49988; HINCOMOX ; HINCOMOX; NOT FOUND; CAPS 500 MG x 12; TTB

78092; HELMIZOL ; HELMIZOL; NOT FOUND; CPR 400 MG x 24; TTB

135645; HIPODERME BABY ; HIPODERME BABY; NOT FOUND; OLEO PURO 200 ML x 1; TTB

59814; HIPERIL ; HIPERIL; NOT FOUND; CAPS GELATIN 300 MG x 30; TTB

129257; HYNIB TABS ; HYNIB TABS; NOT FOUND; TABS MAS COC x 60; TTB

75461; HIPODERME ; HIPODERME; NOT FOUND; POM. 90 G x 1; TTB

71906; HISTADIN D ; HISTADIN D; NOT FOUND; CPR REVEST 5 MG x 12 (/120); U_Q

57875; HISTADIN ; HISTADIN; NOT FOUND; XAR. 1 MG 100 ML x 1 (/ML); U_Q

54216; HYTOS PLUS ; HYTOS PLUS; NOT FOUND; XAR. 100 ML x 1; U_Q

61294; HISTADIN D ; HISTADIN D; NOT FOUND; XAR. 60 ML x 1; U_Q

50875; HERPEX ; HERPEX; NOT FOUND; GEL. 1 % 10 G x 1; U_Q

5212; HEBRIN ; HEBRIN; NOT FOUND; LIQD 30 ML x 1; U_Q

84699; HYABAK ; HYABAK; NOT FOUND; SOL OFTAL 10 ML x 1; U_Q

57874; HISTADIN ; HISTADIN; NOT FOUND; CPR 10 MG x 12; U_Q

54215; HYTOS PLUS ; HYTOS PLUS; NOT FOUND; GOTAS 15 ML x 1; U_Q

64410; HALOPERIDOL MG ; HALOPERIDOL; HALOPERIDOL; GOTAS 2 MG 20 ML x 1 (/ML); U_Q

60572; HORMONAT ; HORMONAT; NOT FOUND; CPR 40 MG x 30; VTM

32544; HAAR+HAIR INTEM ; HAAR HAIR INTEM; NOT FOUND; DRAG+GOTAS x 1; VTM

93522; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 3 MG x 30; A4H

93521; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 1.50 MG x 30; A4H

81082; HIDRADEEP ; HIDRADEEP; NOT FOUND; BAST LAB F30 5.50 G x 1; A4H

93523; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 4.50 MG x 30; A4H

52517; HIPRESS ; HIPRESS; NOT FOUND; CPR REVEST x 15; A4H

128804; HIDRADEEP AE ; HIDRADEEP AE; NOT FOUND; LOCAO HIDRAT 200 G x 1; A4H

50874; HEMAX ; HEMAX; NOT FOUND; F.AMP LIOF 4000 IU 2 ML x 1; A4H

50872; HEMAX ; HEMAX; NOT FOUND; F.AMP LIOF 1000 IU 1 ML x 1; A4H

55634; HEMAX ; HEMAX; NOT FOUND; F.AMP 10 K x 1; A4H

93524; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 6 MG x 30; A4H

83316; HIDRADEEP OIL CONT ; HIDRADEEP OIL CONT; NOT FOUND; CR H FAC F30 60 ML x 1; A4H

147817; HAEMOLANCE PLUS ; HAEMOLANCE PLUS; NOT FOUND; LANCE LOW FL x 200; ABT

51419; HYTRIN ; HYTRIN; NOT FOUND; CPR 5 MG x 30; ABT

51418; HYTRIN ; HYTRIN; NOT FOUND; CPR 5 MG x 15; ABT

50114; HYTRIN ; HYTRIN; NOT FOUND; CPR 2 MG x 14; ABT

56598; HANTINA ; HANTINA; NOT FOUND; SUSP ORAL 5 MG 120 ML x 1 (/ML); APS

47082; HOLOXANE ; HOLOXANE; NOT FOUND; F.IV LIOF 500 MG x 10; BAX

47083; HOLOXANE ; HOLOXANE; NOT FOUND; F.IV LIOF 1 G x 10; BAX

54214; HOLOXANE ; HOLOXANE; NOT FOUND; F.IV LIOF 2 G x 10; BAX

29213; HALOG ; HALOG; NOT FOUND; CREME 1 MG 30 G x 1 (/G); BMS

30906; HALOG ; HALOG; NOT FOUND; SOLN CAPIL 1 MG 30 ML x 1 (/ML); BMS

49961; HICONCIL ; HICONCIL; NOT FOUND; PO P/SUSP 125 MG 150 ML x 1 (/5ML); BMS

49962; HICONCIL ; HICONCIL; NOT FOUND; PO P/SUSP 250 MG 150 ML x 1 (/5ML); BMS

76057; HIDRAKIDS ; HIDRAKIDS; NOT FOUND; LOC. 200 G x 1; BS2

68459; HEPA-MERZ ; HEPA MERZ; NOT FOUND; GRAN ENVELO. 3 G 5 G x 10; BS2

66057; HIDRAKIDS ; HIDRAKIDS; NOT FOUND; LOC. 60 G x 1; BS2

68458; HEPA-MERZ ; HEPA MERZ; NOT FOUND; AMP.INFUSION 5 G 10 ML x 5; BS2

55012; HIOARISTON ; HIOARISTON; NOT FOUND; AMP. 5 ML x 50; BU_

75685; HEPAMAX ; HEPAMAX; NOT FOUND; F.AMP 5000 IU 5 ML x 25; BU_

82084; HEMOFISS ; HEMOFISS; NOT FOUND; POM 1APLI 30 G x 1; CM5

106113; HIPOMED ; HIPOMED; NOT FOUND; POMADA 45 G x 1; CM5

61396; HIDROMED ; HIDROMED; NOT FOUND; CPR 25 MG x 20; CM5

100098; HEPAMED ; HEPAMED; NOT FOUND; FLAC ABACAXI 10 ML x 48; CM5

80431; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 30; CM5

78158; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 50 MG x 20; CM5

99502; HEPAMED ; HEPAMED; NOT FOUND; LIQ ABA 100 ML x 1; CM5

76134; HIDRAT ; HIDRAT; NOT FOUND; LOC. 10 % 150 ML x 1; CM5

154142; HEPATOFORTE ; HEPATOFORTE; NOT FOUND; FLAC 10 ML x 48; CM5

95033; HEPAMED ; HEPAMED; NOT FOUND; FLACONETES 10 ML x 48; CM5

75240; HIDRAT ; HIDRAT; NOT FOUND; LOC. 3 % 100 ML x 1; CM5

78216; HIDRAT ; HIDRAT; NOT FOUND; LOC. 3 % 150 ML x 1; CM5

71400; HIDROMED ; HIDROMED; NOT FOUND; CPR 25 MG x 30; CM5

106108; HIPOMED ; HIPOMED; NOT FOUND; POMADA BABY 45 G x 1; CM5

69145; HIDROMED ; HIDROMED; NOT FOUND; CPR 25 MG x 1000; CM5

61397; HIDROMED ; HIDROMED; NOT FOUND; CPR 50 MG x 20; CM5

84957; HYSEAC ; HYSEAC; NOT FOUND; GEL LIMPEZA 150 ML x 1; CT6

58948; HALO ; HALO; NOT FOUND; CPR BLISTER 1 MG x 200; CT6

84955; HYSEAC ; HYSEAC; NOT FOUND; CRE ACT CARE 40 ML x 1; CT6

52510; HALO ; HALO; NOT FOUND; GOTAS 2 MG 20 ML x 1 (/ML); CT6

84956; HYSEAC ; HYSEAC; NOT FOUND; EMULS 40 ML x 1; CT6

59362; HALO DECANOATO ; HALO DECANOATO; NOT FOUND; A.IM 50 MG 1 ML x 3 (/ML); CT6

53730; HALOTHANO ; HALOTHANO; NOT FOUND; LIQD 250 ML x 1; CT6

53729; HALOTHANO ; HALOTHANO; NOT FOUND; LIQD 100 ML x 1; CT6

51824; HALO ; HALO; NOT FOUND; AMP. 5 MG 1 ML x 50; CT6

78335; HEMOFOL ; HEMOFOL; NOT FOUND; F.AMP S.C 5 K 0.25 ML x 25; CT6

84958; HYSEAC ; HYSEAC; NOT FOUND; FLUIDO FPS30 50 ML x 1; CT6

53724; HALO ; HALO; NOT FOUND; CPR 5 MG x 200; CT6

51825; HEPARIN ; HEPARIN; NOT FOUND; F.AMP 5000 IU 5 ML x 25 (/ML); CT6

78336; HEMOFOL ; HEMOFOL; NOT FOUND; F.AMP S.C 5 K 5 ML x 25; CT6

84954; HYSEAC ; HYSEAC; NOT FOUND; FLUIDO FPS50 50 ML x 1; CT6

53728; HALO ; HALO; NOT FOUND; GOTAS 2 MG 20 ML x 10 (/ML); CT6

51826; HEPARIN ; HEPARIN; NOT FOUND; F.AMP SUCC 5000 IU 5 ML x 25 (/ML); CT6

82344; HEIMER ; HEIMER; NOT FOUND; CPR 10 MG x 15; EUF

159932; HOLMES H ; HOLMES H; NOT FOUND; CPR REVEST 40 MG x 10 (/25); EUF

63796; HEPTAR ; HEPTAR; NOT FOUND; F.AMP 5000 IU 5 ML x 50; EUF

159927; HOLMES H ; HOLMES H; NOT FOUND; CPR REVEST 20 MG x 30 (/12.); EUF

159929; HOLMES H ; HOLMES H; NOT FOUND; CPR REVEST 40 MG x 30 (/25); EUF

159928; HOLMES H ; HOLMES H; NOT FOUND; CPR REVEST 40 MG x 30 (/12.); EUF

48821; HYDROPLUS ; HYDROPLUS; NOT FOUND; LIQD SOB.FRA 25 ML x 2; EUF

82337; HEIMER ; HEIMER; NOT FOUND; CPR 10 MG x 30; EUF

82343; HEIMER ; HEIMER; NOT FOUND; CPR 10 MG x 60; EUF

75418; HISOCEL ; HISOCEL; NOT FOUND; BOLSA. 500 ML x 20; FRS

45674; HISOCEL ; HISOCEL; NOT FOUND; SOLN INJ EQU 3.50 % 500 ML x 1; FRS

77023; HIDROQUINONA MG ; HIDROQUINONA; HIDROQUINONA; CREME 40 MG 30 G x 1 (/G); GM2

75460; HIDROQUINONA MG ; HIDROQUINONA; HIDROQUINONA; GEL. 40 MG 30 G x 1 (/G); GM2

95123; HEM ZOLPIDEM MG ; HEM ZOLPIDEM; NOT FOUND; CPR REVEST 10 MG x 20; GM2

70001; HIDROCORTISONA MG ; HIDROCORTISONA; HIDROCORTISONA; POM. 10 MG 30 G x 1 (/G); GM2

69746; HIDROCORTISONA MG ; HIDROCORTISONA; HIDROCORTISONA; SOLN CAPIL 10 MG 60 ML x 1 (/ML); GM2

91050; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 4.50 MG x 30; GM2

91049; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 3 MG x 30; GM2

98556; HYDRACELL ; HYDRACELL; NOT FOUND; LOC CREMOSA 200 ML x 1; GM2

69557; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 50 MG x 20; GM2

80679; HERPSTAL ; HERPSTAL; NOT FOUND; CPR REVEST 500 MG x 10; GM2

91051; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 6 MG x 30; GM2

76135; HORMOSKIN ; HORMOSKIN; NOT FOUND; CREME DERMAT 15 G x 1; GM2

69558; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 30; GM2

91047; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 1.50 MG x 30; GM2

76136; HORMOSKIN ; HORMOSKIN; NOT FOUND; CREME DERMAT 30 G x 1; GM2

80448; HIFFILS ; HIFFILS; NOT FOUND; CREME. 50 ML x 1; GM2

76987; HIDR+TRE+AC FLU MG ; HIDR TRE AC FLU; NOT FOUND; CREME DERMAT 15 G x 1; GM2

98554; HYDRACELL ; HYDRACELL; NOT FOUND; LOC CREMOSA 120 ML x 1; GM2

111995; HIALYTOPIC ; HIALYTOPIC; NOT FOUND; CREME 45+ 30 G x 1; GMK

111992; HIALYTOPIC ; HIALYTOPIC; NOT FOUND; CREME 30+ 30 G x 1; GMK

111999; HIALYTOPIC ; HIALYTOPIC; NOT FOUND; CREME 60+ 30 G x 1; GMK

64917; HPVIR ; HPVIR; NOT FOUND; CPR 200 MG x 25; GOB

63743; HIDROLAN ; HIDROLAN; NOT FOUND; CPR 50 MG x 20; GOB

67105; HPVIR ; HPVIR; NOT FOUND; CPR 200 MG x 500; GOB

70315; HYSTIN ; HYSTIN; NOT FOUND; XAR. 2 MG 120 ML x 1 (/5ML); GOB

69284; HPVIR ; HPVIR; NOT FOUND; CREME 50 MG 10 G x 1 (/G); GOB

63744; HYSTIN ; HYSTIN; NOT FOUND; CPR 2 MG x 20; GOB

71907; HYSTIN ; HYSTIN; NOT FOUND; CPR 2 MG x 500; GOB

67823; HPVIR ; HPVIR; NOT FOUND; CPR 200 MG x 10; GOB

69854; HIDROLAN ; HIDROLAN; NOT FOUND; CPR 50 MG x 500; GOB

57869; HIDRION ; HIDRION; NOT FOUND; CPR x 30; GRO

67270; HYDRACRISTAL ; HYDRACRISTAL; NOT FOUND; FLUIDO 40 ML x 1; GRO

5238; HEMATIASE B12 ; HEMATIASE B12; NOT FOUND; LIQD 150 ML x 1; GRO

73069; HYDROLIPIDIQUE ; HYDROLIPIDIQUE; NOT FOUND; LOC. 40 ML x 1; GRO

5379; HIDRION ; HIDRION; NOT FOUND; CPR x 20; GRO

52646; HENETIX ; HENETIX; NOT FOUND; F.IV 350 MG 50 ML x 1 (/ML); GUE

52645; HENETIX ; HENETIX; NOT FOUND; F.IV 300 MG 100 ML x 1 (/ML); GUE

52644; HENETIX ; HENETIX; NOT FOUND; F.IV 300 MG 50 ML x 1 (/ML); GUE

52647; HENETIX ; HENETIX; NOT FOUND; F.IV 350 MG 100 ML x 1 (/ML); GUE

76847; HIPOFOL ; HIPOFOL; NOT FOUND; CPR 5 MG x 40; HPO

76023; HIPOFOL ; HIPOFOL; NOT FOUND; CPR 5 MG x 500; HPO

65094; HYTROPIN ; HYTROPIN; NOT FOUND; AMP. 0.50 MG 1 ML x 100; HYP

65093; HYTROPIN ; HYTROPIN; NOT FOUND; AMP. 0.25 MG 1 ML x 100; HYP

65092; HYPOSIL ; HYPOSIL; NOT FOUND; AMP. 10 MG 2 ML x 100; HYP

65087; HYNALGIN ; HYNALGIN; NOT FOUND; AMP. 50 % 5 ML x 100; HYP

67238; HYPONOR ; HYPONOR; NOT FOUND; AMP.INFUSION 8 MG 4 ML x 10; HYP

56137; HYPLEX B ; HYPLEX B; NOT FOUND; AMP. 2 ML x 100; HYP

67723; HYPOCAINA ; HYPOCAINA; NOT FOUND; F.AMP C/VAS 2 % 20 ML x 25; HYP

65095; HYVIT ; HYVIT; NOT FOUND; AMP. 500 MG 5 ML x 100; HYP

70547; HYLINC ; HYLINC; NOT FOUND; AMP. 600 MG 2 ML x 50; HYP

65090; HYPOCINA ; HYPOCINA; NOT FOUND; AMP. 20 MG 1 ML x 100 (/ML); HYP

67824; HYPOCAINA HIPERB. ; HYPOCAINA HIPERB; NOT FOUND; AMP. 2 ML x 50; HYP

77388; HYCLIN ; HYCLIN; NOT FOUND; AMP. 600 MG 4 ML x 50; HYP

43897; HYPOCALCIO ; HYPOCALCIO; NOT FOUND; AMP. 10 % 10 ML x 100; HYP

65084; HYCIMET ; HYCIMET; NOT FOUND; AMP. 300 MG 2 ML x 100; HYP

73197; HYTAMICINA ; HYTAMICINA; NOT FOUND; AMP. 80 MG 2 ML x 100; HYP

44196; HYFILINA ; HYFILINA; NOT FOUND; AMP. 240 MG 10 ML x 100; HYP

73011; HYPOMAGNE ; HYPOMAGNE; NOT FOUND; AMP. 50 % 10 ML x 100; HYP

65089; HYNALGIN ; HYNALGIN; NOT FOUND; AMP. 50 % 2 ML x 100; HYP

65096; HYVIT ; HYVIT; NOT FOUND; AMP. 1 G 5 ML x 100; HYP

67724; HYPOCAINA ; HYPOCAINA; NOT FOUND; F.AMP S/VAS 2 % 5 ML x 100; HYP

65085; HYDREN ; HYDREN; NOT FOUND; AMP. 1 ML x 100; HYP

69883; HYPOCINA COMPOSTA ; HYPOCINA COMPOSTA; NOT FOUND; A.IV 5 ML x 50; HYP

67722; HYPOCAINA ; HYPOCAINA; NOT FOUND; F.AMP S/VAS 1 % 20 ML x 25; HYP

62598; HYPOVERIN ; HYPOVERIN; NOT FOUND; AMP. 2 ML x 10; HYP

67239; HYPONOR ; HYPONOR; NOT FOUND; AMP.INFUSION 8 MG 4 ML x 50; HYP

77648; HIDAZOL ; HIDAZOL; NOT FOUND; SOL INJ BOLS 5 MG 100 ML x 60 (/ML); H_I

51643; HIDAZOL ; HIDAZOL; NOT FOUND; SOLN INJ. 0.50 % 100 ML x 1; H_I

61362; HICONAZOL ; HICONAZOL; NOT FOUND; F.IV INFUSAO 2 MG 100 ML x 1 (/ML); H_I

67473; HIDAZOL ; HIDAZOL; NOT FOUND; SOL INJ BOLS 5 % 100 ML x 1; H_I

61364; HIFLOXAN ; HIFLOXAN; NOT FOUND; F.IV INFUSAO 400 MG 200 ML x 1; H_I

61363; HIFLOXAN ; HIFLOXAN; NOT FOUND; F.IV INFUSAO 200 MG 100 ML x 1; H_I

28623; HALDOL ; HALDOL; NOT FOUND; CPR 5 MG x 20; J_C

58124; HALDOL ; HALDOL; NOT FOUND; AMP. 5 MG 1 ML x 5; J_C

58267; HYPNOMIDATE ; HYPNOMIDATE; NOT FOUND; A.IV 2 MG 10 ML x 5 (/ML); J_C

58125; HALDOL DECANOATO ; HALDOL DECANOATO; NOT FOUND; A.IM 50 MG 1 ML x 5; J_C

28226; HALDOL ; HALDOL; NOT FOUND; GOTAS 2 MG 20 ML x 1 (/ML); J_C

64657; HALDOL ; HALDOL; NOT FOUND; GOTAS 2 MG 30 ML x 1 (/ML); J_C

28225; HALDOL ; HALDOL; NOT FOUND; CPR 1 MG x 20; J_C

96200; HEM ZOLPIDEM MG ; HEM ZOLPIDEM; NOT FOUND; CPR REVEST 10 MG x 20; LG6

77310; HIDROQUINONA MG ; HIDROQUINONA; HIDROQUINONA; CREME DERMAT 40 MG 30 G x 1 (/G); LG6

53375; HIDRABENE ; HIDRABENE; NOT FOUND; POLVO ENVELO 27.9 G x 4; LG6

49004; HIDROCORTE ; HIDROCORTE; NOT FOUND; CREME 20 G x 1; LG6

69536; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 30; LG6

75942; HIDROQUINONA MG ; HIDROQUINONA; HIDROQUINONA; GEL DERMAT. 40 MG 30 G x 1 (/G); LG6

77436; HIDR+TRE+AC FLU MG ; HIDR TRE AC FLU; NOT FOUND; CREME DERMAT 15 G x 1; LG6

77437; HIDR+TRE+AC FLU MG ; HIDR TRE AC FLU; NOT FOUND; CREME DERMAT 30 G x 1; LG6

69535; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 50 MG x 20; LG6

104607; HEDRA EXPEC ; HEDRA EXPEC; NOT FOUND; XAROPE 7 MG 100 ML x 1 (/ML); LG6

69772; HIDROCORTISONA MG ; HIDROCORTISONA; HIDROCORTISONA; SOLN CAPIL 10 MG 60 ML x 1 (/ML); LG6

70313; HIDROCORTISONA MG ; HIDROCORTISONA; HIDROCORTISONA; POM. 10 MG 30 G x 1 (/G); LG6

104608; HEDRA EXPEC ; HEDRA EXPEC; NOT FOUND; XAROPE 7 MG 200 ML x 1 (/ML); LG6

68772; HALOPERIDOL MG ; HALOPERIDOL; HALOPERIDOL; GOTAS 2 MG 20 ML x 1 (/ML); LG6

56023; HIDRAPLUS ; HIDRAPLUS; NOT FOUND; SOLN LARANJA 25 ML x 2; LR3

56024; HIDRAPLUS ; HIDRAPLUS; NOT FOUND; SOLN NATURAL 25 ML x 2; LR3

56022; HIDRAPLUS ; HIDRAPLUS; NOT FOUND; SOLN FRAMBOE 25 ML x 2; LR3

70249; HIDRAZIM ; HIDRAZIM; NOT FOUND; CPR 50 MG x 20; MB9

70546; HIDROMAX ; HIDROMAX; NOT FOUND; PO ENV.LARAN 7.33 G x 50; MB9

74515; HIDROMAX ; HIDROMAX; NOT FOUND; PO ENV.FRAMB 7.33 G x 4; MB9

70543; HIDROMAX ; HIDROMAX; NOT FOUND; PO ENVELOPE 7.33 G x 50; MB9

70544; HIDROMAX ; HIDROMAX; NOT FOUND; PO ENV.COCO 7.33 G x 50; MB9

74516; HIDROMAX ; HIDROMAX; NOT FOUND; PO ENV.LARAN 7.33 G x 4; MB9

70250; HIDRAZIM ; HIDRAZIM; NOT FOUND; CPR 25 MG x 20; MB9

70545; HIDROMAX ; HIDROMAX; NOT FOUND; PO ENV.FRAMB 7.33 G x 50; MB9

74514; HIDROMAX ; HIDROMAX; NOT FOUND; PO ENV.COCO 7.33 G x 4; MB9

70542; HIDROMAX ; HIDROMAX; NOT FOUND; PO ENVELOPE 7.33 G x 4; MB9

