123834; PREDNISOLONA MG ; PREDNISOLONA; PREDNISOLONA; CPR 20 MG x 10; A4H
65572; PIOLETAL PLUS ; PIOLETAL PLUS; NOT FOUND; LOC. 5 % 60 ML x 1; DLT

60194; PRAZEN ; PRAZEN; NOT FOUND; CPR REVEST 300 MG x 20; DLT

33248; PIOLETAL ; PIOLETAL; NOT FOUND; SABAO LIQD 1 % 60 ML x 1; DLT

60190; PLAMIDASIL ; PLAMIDASIL; NOT FOUND; GOTAS 4 MG 10 ML x 1 (/ML); DLT

64682; PONTREX ; PONTREX; NOT FOUND; CPR 500 MG x 24; DLT

60113; PENTALOX ; PENTALOX; NOT FOUND; CPR REVEST 400 MG x 20; DLT

60189; PLAMIDASIL ; PLAMIDASIL; NOT FOUND; CPR 10 MG x 20; DLT

64681; PRE-FOLIC ; PRE FOLIC; NOT FOUND; CPR 5 MG x 20; ELO

130371; PELLETRAT ; PELLETRAT; NOT FOUND; POMADA 50 MG 30 G x 1; ELO

146555; PIRAMIN ; PIRAMIN; NOT FOUND; GOTAS 15 ML x 1; ELO

76198; PRE-FOLIC ; PRE FOLIC; NOT FOUND; CPR 5 MG x 30; ELO

66144; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 14; EUF

64437; PHOTODERM BIOP ; PHOTODERM BIOP; NOT FOUND; CR.T FPS 100 40 ML x 1; EUF

57380; PANTOCAL ; PANTOCAL; NOT FOUND; CPR REVEST 20 MG x 28; EUF

78064; PONDERA ; PONDERA; NOT FOUND; CPR REVEST 15 MG x 10; EUF

78203; PARACETA+CODE MG ; PARACETA CODE; NOT FOUND; CPR 500 MG x 12 (/30); EUF

78067; PONDERA ; PONDERA; NOT FOUND; CPR REVEST 30 MG x 10; EUF

51712; PROFLAM ; PROFLAM; NOT FOUND; CPR 100 MG x 24; EUF

63909; PONDERA ; PONDERA; NOT FOUND; CPR REVEST 10 MG x 20; EUF

154092; PERIVASC ; PERIVASC; NOT FOUND; CPR x 30; EUF

65680; PAMIDRONATO DIS.MG ; PAMIDRONATO DIS; PAMIDRONATO DISSODICO; F.AMP INFUS 30 MG x 2; EUF

65665; PAMIDRONATO DIS.MG ; PAMIDRONATO DIS; PAMIDRONATO DISSODICO; F.AMP INFUS 90 MG x 1; EUF

76995; POVATA ; POVATA; NOT FOUND; GRAN ENVELO. 3.50 G x 30; EUF

62879; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 5 MG x 20; EUF

68344; PROPOFOL MG ; PROPOFOL; PROPOFOL; AMP. 1 % 20 ML x 10; EUF

80228; PACLITAXEL MG ; PACLITAXEL; PACLITAXEL; F.AMP 6 MG 16.7 ML x 20 (/ML); EUF

51259; PROFLAM ; PROFLAM; NOT FOUND; CPR 100 MG x 12; EUF

59299; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; SOLN TOP. 0.50 MG 50 G x 1 (/G; EUF

76993; PHOTODERM BIOP ; PHOTODERM BIOP; NOT FOUND; CR SPOT F50 30 ML x 1; EUF

106690; PIEMONTE ; PIEMONTE; NOT FOUND; CPR MAST 4 MG x 30; EUF

79959; PHOTODERM BIOP ; PHOTODERM BIOP; NOT FOUND; LOC.KIDS F50 100 ML x 1; EUF

65662; PACLITAXEL MG ; PACLITAXEL; PACLITAXEL; F.AMP 100 MG 16.7 ML x 1; EUF

70188; PONDERA ; PONDERA; NOT FOUND; CPR REVEST 15 MG x 20; EUF

62880; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 20 MG x 10; EUF

53145; PANTOCAL ; PANTOCAL; NOT FOUND; CPR REVEST 40 MG x 14; EUF

57381; PANTOCAL ; PANTOCAL; NOT FOUND; CPR REVEST 40 MG x 28; EUF

75575; PRIMERA ; PRIMERA; NOT FOUND; CPR 30 Y x 63; EUF

61862; PIPERACI+TAZOBA.MG ; PIPERACI TAZOBA; NOT FOUND; F.AMP LIOF 2.25 G x 10; EUF

61863; PIPERACI+TAZOBA.MG ; PIPERACI TAZOBA; NOT FOUND; F.AMP LIOF 4.50 G x 10; EUF

156836; PERIVASC ; PERIVASC; NOT FOUND; CPR x 60; EUF

80227; PACLITAXEL MG ; PACLITAXEL; PACLITAXEL; F.AMP 6 MG 5 ML x 20 (/ML); EUF

66145; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 28; EUF

53154; PONDERA ; PONDERA; NOT FOUND; CPR REVEST 20 MG x 20; EUF

85211; PROSSO ; PROSSO; NOT FOUND; CPR x 30; EUF

53144; PANTOCAL ; PANTOCAL; NOT FOUND; CPR REVEST 40 MG x 7; EUF

106694; PIEMONTE ; PIEMONTE; NOT FOUND; CPR MAST 5 MG x 30; EUF

65663; PACLITAXEL MG ; PACLITAXEL; PACLITAXEL; F.AMP 30 MG 5 ML x 1; EUF

59019; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; CREME 0.50 MG 30 G x 1 (/G); EUF

57378; PANTOCAL ; PANTOCAL; NOT FOUND; CPR REVEST 20 MG x 7; EUF

64357; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 20; EUF

64435; PHOTODERM BIOP ; PHOTODERM BIOP; NOT FOUND; CREME FPS100 40 ML x 1; EUF

53155; PONDERA ; PONDERA; NOT FOUND; CPR REVEST 20 MG x 30; EUF

57384; PREDMETIL ; PREDMETIL; NOT FOUND; F.AMP LIOF 500 MG 8 ML x 1; EUF

75661; PACLITAXEL MG ; PACLITAXEL; PACLITAXEL; F.AMP 6 MG 5 ML x 10 (/ML); EUF

106688; PIEMONTE ; PIEMONTE; NOT FOUND; CPR MAST 4 MG x 10; EUF

164451; PROMESTRIENO MG ; PROMESTRIENO; PROMESTRIENO; CR VAG 20APL 10 MG 30 G x 1 (/G); EUF

75660; PACLITAXEL MG ; PACLITAXEL; PACLITAXEL; F.AMP 6 MG 16.7 ML x 10 (/ML); EUF

76297; PACO ; PACO; NOT FOUND; CPR x 12; EUF

78065; PONDERA ; PONDERA; NOT FOUND; CPR REVEST 20 MG x 10; EUF

53057; PRIMERA ; PRIMERA; NOT FOUND; CPR 20 Y x 21; EUF

78068; PROFLAM ; PROFLAM; NOT FOUND; CPR 100 MG x 6; EUF

59020; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; POM. 0.50 MG 30 G x 1 (/G); EUF

57382; PONDERA ; PONDERA; NOT FOUND; CPR REVEST 30 MG x 30; EUF

64436; PHOTODERM BIOP ; PHOTODERM BIOP; NOT FOUND; FLUID FPS100 40 ML x 1; EUF

64434; PHOTODERM BIOP ; PHOTODERM BIOP; NOT FOUND; LOC.FPS 100 100 ML x 1; EUF

74763; PHOTODERM BIOP ; PHOTODERM BIOP; NOT FOUND; CR T L FP100 40 ML x 1; EUF

57379; PANTOCAL ; PANTOCAL; NOT FOUND; CPR REVEST 20 MG x 14; EUF

63910; PONDERA ; PONDERA; NOT FOUND; CPR REVEST 40 MG x 20; EUF

52233; PROFLAM CREME ; PROFLAM CREME; NOT FOUND; CREME 15 MG 30 G x 1 (/G); EUF

66143; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 7; EUF

106691; PIEMONTE ; PIEMONTE; NOT FOUND; CPR MAST 5 MG x 10; EUF

85606; PLAQ ; PLAQ; NOT FOUND; CPR REVEST 75 MG x 30; EUF

87191; PURADEX ; PURADEX; NOT FOUND; LOCAO AGE 100 ML x 1; EUF

70189; PONDERA ; PONDERA; NOT FOUND; CPR REVEST 25 MG x 20; EUF

64358; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); EUF

57377; PANTOCAL ; PANTOCAL; NOT FOUND; F.AMP LIOF 40 MG 10 ML x 1; EUF

78063; PONDERA ; PONDERA; NOT FOUND; CPR REVEST 10 MG x 10; EUF

64356; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; EUF

75574; PRIMERA ; PRIMERA; NOT FOUND; CPR 20 Y x 63; EUF

78066; PONDERA ; PONDERA; NOT FOUND; CPR REVEST 25 MG x 10; EUF

76994; POVATA ; POVATA; NOT FOUND; GRAN ENVELO. 3.50 G x 10; EUF

63798; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; F.AMP C/DILU 40 MG 10 ML x 50; EUF

55485; PRIMERA ; PRIMERA; NOT FOUND; CPR 30 Y x 21; EUF

61596; PENTASA ; PENTASA; NOT FOUND; ENEMA 1000 MG 100 ML x 7; FER

71497; PROPESS ; PROPESS; NOT FOUND; PESSARIO 10 MG x 1; FER

52229; PENTASA ; PENTASA; NOT FOUND; SUP. 1 G x 15; FER

80230; PENTASA ; PENTASA; NOT FOUND; SUP. 1 G x 28; FER

77741; PENTASA ; PENTASA; NOT FOUND; SAC GRAN L/P 1 G x 50; FER

131051; PICOPREP ; PICOPREP; NOT FOUND; SACHE 15.5 G x 2; FER

52228; PENTASA ; PENTASA; NOT FOUND; CPR 500 MG x 50; FER

77742; PENTASA ; PENTASA; NOT FOUND; SAC GRAN L/P 2 G x 60; FER

90252; PENTASA ; PENTASA; NOT FOUND; SAC GRAN L/P 2 G x 30; FER

107716; PENTASA ; PENTASA; NOT FOUND; SAC GRAN L/P 2 G x 15; FER

74415; PURISOLE ; PURISOLE; NOT FOUND; SOLN INJ. 1000 ML x 1; FRS

77492; PRODERM NF ; PRODERM NF; NOT FOUND; EMULS 120 ML x 1; GLD

60300; PRODERM NF ; PRODERM NF; NOT FOUND; SABAO 80 G x 1; GLD

76738; PRODERM NF ; PRODERM NF; NOT FOUND; SABAO LIQD 120 ML x 1; GLD

60785; PRODERM NF ; PRODERM NF; NOT FOUND; EMULS 150 ML x 1; GLD

51243; PRODERM ; PRODERM; NOT FOUND; CREM.BISNAGA 60 G x 1; GLD

60706; PRODERM NF ; PRODERM NF; NOT FOUND; SABAO LIQD 150 ML x 1; GLD

67183; POLARATIN ; POLARATIN; NOT FOUND; XAROPE 2 MG 100 ML x 1 (/5ML); GLO

65132; PRESSOCORD ; PRESSOCORD; NOT FOUND; CPR 10 MG x 30; GLO

60464; PIROXAN ; PIROXAN; NOT FOUND; CAPS 10 MG x 15; GLO

78448; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; CREME 30 G x 1; GLO

65624; PROPALOL ; PROPALOL; NOT FOUND; CPR 40 MG x 40; GLO

69547; POLARATIN ; POLARATIN; NOT FOUND; CPR 2 MG x 20; GLO

65625; PROPALOL ; PROPALOL; NOT FOUND; CPR 80 MG x 20; GLO

65134; PRESSOCORD ; PRESSOCORD; NOT FOUND; CPR 5 MG x 30; GLO

48885; PIROFEBRAN ; PIROFEBRAN; NOT FOUND; CPR 500 MG x 200; GLO

65133; PRESSOCORD ; PRESSOCORD; NOT FOUND; CPR 20 MG x 30; GLO

60465; PIROXAN ; PIROXAN; NOT FOUND; CAPS 20 MG x 15; GLO

48886; PIROFEBRAN ; PIROFEBRAN; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); GLO

69756; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR REVEST 500 MG x 100; GM2

66776; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 14; GM2

80660; PIOTAZ ; PIOTAZ; NOT FOUND; CPR 30 MG x 30; GM2

72570; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; SACH.MEL/LIM 500 MG 5 G x 25; GM2

66778; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 28; GM2

66777; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 14; GM2

73425; PARACETA+PSEUDO MG ; PARACETA PSEUDO; NOT FOUND; CPR REVEST 500 MG x 24 (/30); GM2

160482; PRENISOL ; PRENISOL; NOT FOUND; SOL ORAL 3 MG 60 ML x 1 (/ML); GM2

80659; PIOTAZ ; PIOTAZ; NOT FOUND; CPR 30 MG x 15; GM2

144149; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 42; GM2

80658; PIOTAZ ; PIOTAZ; NOT FOUND; CPR 15 MG x 30; GM2

66779; PENTOXIFILINA MG ; PENTOXIFILINA; PENTOXIFILINA; CPR REVEST 400 MG x 20; GM2

66801; PIROXICAM MG ; PIROXICAM; PIROXICAM; CAPS 20 MG x 10; GM2

64010; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 20 MG x 10; GM2

80413; PIOTAZ ; PIOTAZ; NOT FOUND; CPR 15 MG x 15; GM2

66785; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; CREME 0.50 MG 30 G x 1 (/G); GM2

66784; PIROXICAM MG ; PIROXICAM; PIROXICAM; CAPS 20 MG x 15; GM2

69757; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR REVEST 500 MG x 200; GM2

76671; PIROXICAM MG ; PIROXICAM; PIROXICAM; CPR SOLUVEL 20 MG x 10; GM2

66775; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 28; GM2

71283; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 100 MG 15 ML x 1 (/ML); GM2

80661; PIOTAZ ; PIOTAZ; NOT FOUND; CPR 45 MG x 15; GM2

71284; PENTOXIFILINA MG ; PENTOXIFILINA; PENTOXIFILINA; CPR REVEST 400 MG x 30; GM2

70194; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR REVEST 750 MG x 20; GM2

74238; PARACET+CAFEINA MG ; PARACET CAFEINA; NOT FOUND; CPR REVEST 500 MG x 20 (/65); GM2

64009; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 5 MG x 20; GM2

140522; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 42; GM2

71282; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; SUSP ORAL 32 MG 60 ML x 1 (/ML); GM2

66786; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; POM. 0.50 MG 30 G x 1 (/G); GM2

68671; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; SACH.MEL/LIM 500 MG 5 G x 50; GM2

69339; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); GM2

68940; PIROXICAM GEL MG ; PIROXICAM GEL; NOT FOUND; GEL. 0.50 % 30 G x 1; GM2

91052; PREDNISOLONA MG ; PREDNISOLONA; PREDNISOLONA; CPR 20 MG x 10; GM2

69758; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR REVEST 750 MG x 200; GM2

74451; POSPRAND ; POSPRAND; NOT FOUND; CPR 1 MG x 30; GMK

74450; POSPRAND ; POSPRAND; NOT FOUND; CPR 0.50 MG x 30; GMK

75334; PACLITAXEL MG ; PACLITAXEL; PACLITAXEL; F.AMP 6 MG 16.7 ML x 1 (/ML); GMK

75335; PACLITAXEL MG ; PACLITAXEL; PACLITAXEL; F.AMP 6 MG 25 ML x 1 (/ML); GMK

106703; PEME. DISSODICO MG ; PEME DISSODICO; NOT FOUND; F.AMP INFUS 500 MG 30 ML x 1; GMK

103443; PEME. DISSODICO MG ; PEME DISSODICO; NOT FOUND; F.AMP INFUS 100 MG 15 ML x 1; GMK

74452; POSPRAND ; POSPRAND; NOT FOUND; CPR 1 MG x 60; GMK

74454; POSPRAND ; POSPRAND; NOT FOUND; CPR 2 MG x 60; GMK

95127; PEMEGLENN ; PEMEGLENN; NOT FOUND; F AMP LIO IV 500 MG 30 ML x 1; GMK

95129; PEMEGLENN ; PEMEGLENN; NOT FOUND; F AMP LIO IV 100 MG 15 ML x 1; GMK

74453; POSPRAND ; POSPRAND; NOT FOUND; CPR 2 MG x 30; GMK

70320; PACLITAXEL MG ; PACLITAXEL; PACLITAXEL; F.AMP 6 MG 50 ML x 1 (/ML); GMK

76888; PANTODEX ; PANTODEX; NOT FOUND; POM. 50 MG 30 G x 1 (/G); GOB

64934; POLTAX ; POLTAX; NOT FOUND; CPR DISPER. 50 MG x 20; GOB

72879; POLTAX ; POLTAX; NOT FOUND; CPR REVEST 50 MG x 500; GOB

73310; PIROXICAM MG ; PIROXICAM; PIROXICAM; GEL. 5 MG 30 G x 1 (/G); GOB

63755; PRYLTEC ; PRYLTEC; NOT FOUND; CPR 20 MG x 30; GOB

94172; PLANTALYVE ; PLANTALYVE; NOT FOUND; PO ENV LARAN 5 G x 50; GOB

131066; PREDOPTIC ; PREDOPTIC; NOT FOUND; SUSP OFTAL 10 MG 5 ML x 1 (/ML); GOB

68586; PREDNAX ; PREDNAX; NOT FOUND; CPR 20 MG x 20; GOB

63751; POLOL H ; POLOL H; NOT FOUND; CPR 40 MG x 30 (/25); GOB

63041; POLOL ; POLOL; NOT FOUND; CPR 40 MG x 40; GOB

69270; POLTAX FLAN ; POLTAX FLAN; NOT FOUND; GEL. 60 G x 1; GOB

73242; PSORIZOL ; PSORIZOL; NOT FOUND; CREME 0.50 MG 30 G x 1; GOB

106700; POLOL ; POLOL; NOT FOUND; CPR 40 MG x 30; GOB

70324; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); GOB

64937; PREDNAX ; PREDNAX; NOT FOUND; CPR 5 MG x 20; GOB

64933; POLTAX ; POLTAX; NOT FOUND; CPR REVEST 50 MG x 20; GOB

94166; PLANTALYVE ; PLANTALYVE; NOT FOUND; PO ENV LARAN 5 G x 10; GOB

67109; POLOL ; POLOL; NOT FOUND; CPR 40 MG x 600; GOB

146571; PARACETA+CODE MG ; PARACETA CODE; NOT FOUND; CPR x 12; GOB

63754; PRYLTEC ; PRYLTEC; NOT FOUND; CPR 10 MG x 30; GOB

73646; PRYLTEC ; PRYLTEC; NOT FOUND; CPR 20 MG x 500; GOB

67111; PREDNAX ; PREDNAX; NOT FOUND; CPR 20 MG x 500; GOB

69355; PREDNAX ; PREDNAX; NOT FOUND; CPR 5 MG x 400; GOB

68287; PRYLTEC ; PRYLTEC; NOT FOUND; CPR 10 MG x 500; GOB

55770; PARACEN ; PARACEN; NOT FOUND; CPR 500 MG x 200; GP8

57163; PIROGREEN ; PIROGREEN; NOT FOUND; CAPS 20 MG x 10; GP8

59783; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 200; GP8

57154; PRAZOLEX ; PRAZOLEX; NOT FOUND; CAPS 20 MG x 14; GP8

68674; PRAMIL ; PRAMIL; NOT FOUND; CPR 10 MG x 500; GP8

55771; PARACEN ; PARACEN; NOT FOUND; GOTAS 200 MG 15 ML x 1 (/ML); GP8

52121; PRAMIL ; PRAMIL; NOT FOUND; CPR 10 MG x 20; GP8

57159; PARACEN ; PARACEN; NOT FOUND; CPR 750 MG x 200; GP8

52122; PRAMIL ; PRAMIL; NOT FOUND; GOTAS 4 MG 10 ML x 1 (/ML); GP8

57162; PIROGREEN ; PIROGREEN; NOT FOUND; CAPS 10 MG x 10; GP8

59778; PRAMIL ; PRAMIL; NOT FOUND; AMP. 10 MG 2 ML x 5; GP8

62828; PERIOXIDIN ; PERIOXIDIN; NOT FOUND; GEL. 50 G x 1; GRO

71943; PERIOXIDIN ; PERIOXIDIN; NOT FOUND; COLUT 500 ML x 1; GRO

74449; PERIOXIDIN ; PERIOXIDIN; NOT FOUND; COLUT 2 L x 1; GRO

73080; PERIOXIDIN ; PERIOXIDIN; NOT FOUND; GEL. 30 G x 1; GRO

62827; PERIOXIDIN ; PERIOXIDIN; NOT FOUND; COLUT 200 ML x 1; GRO

78206; POLIXIL B ; POLIXIL B; NOT FOUND; F.AMP 500 IU x 1; HLR

68788; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 200 (/ML); HPO

65183; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); HPO

65182; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; HPO

65184; PARINEX ; PARINEX; NOT FOUND; F.IV 5000 IU 5 ML x 25; HPO

65130; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 500; HPO

73027; PARINEX ; PARINEX; NOT FOUND; F.IV 5000 IU 5 ML x 50; HPO

65181; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 500; HPO

73026; PARINEX ; PARINEX; NOT FOUND; F.AMP SUCC 5000 IU 0.25 ML x 50; HPO

65185; PARINEX ; PARINEX; NOT FOUND; F.AMP SUCC 5000 IU 0.25 ML x 25; HPO

72478; PLASMIN ; PLASMIN; NOT FOUND; BOLSA. 6 % 500 ML x 12; H_I

61366; POLISOCEL ; POLISOCEL; NOT FOUND; SOLN INJ. 500 ML x 1; H_I

71585; PROPOTIL ; PROPOTIL; NOT FOUND; AMP. 10 MG 20 ML x 25 (/ML); I_B

71480; PETINAN ; PETINAN; NOT FOUND; AMP. 100 MG 2 ML x 50; I_B

53400; PIELOGRAF ; PIELOGRAF; NOT FOUND; F.IV 76 % 20 ML x 1; JIM

72529; PIELOGRAF ; PIELOGRAF; NOT FOUND; F.IV 76 % 50 ML x 25; JIM

72528; PIELOGRAF ; PIELOGRAF; NOT FOUND; F.IV 76 % 20 ML x 25; JIM

49038; PIELOGRAF ; PIELOGRAF; NOT FOUND; F.IV 76 % 50 ML x 1; JIM

53402; PIELOGRAF ; PIELOGRAF; NOT FOUND; F.IV S/EQUIP 76 % 100 ML x 1; JIM

61005; PANTELMIN ; PANTELMIN; NOT FOUND; CPR 500 MG x 1; J_C

55286; PARIET ; PARIET; NOT FOUND; CPR REVEST 10 MG x 14; J_C

7981; PANTELMIN ; PANTELMIN; NOT FOUND; SUSP 100 MG 30 ML x 1 (/5ML); J_C

7980; PANTELMIN ; PANTELMIN; NOT FOUND; CPR 100 MG x 6; J_C

74375; PREZISTA ; PREZISTA; NOT FOUND; CPR REVEST 300 MG x 120; J_C

57902; PARIET ; PARIET; NOT FOUND; CPR REVEST 20 MG x 14; J_C

8065; PARALON ; PARALON; NOT FOUND; CPR x 12; J_C

57903; PARIET ; PARIET; NOT FOUND; CPR REVEST 20 MG x 28; J_C

56874; PREFEST ; PREFEST; NOT FOUND; CPR x 30; J_C

55287; PARIET ; PARIET; NOT FOUND; CPR REVEST 20 MG x 7; J_C

103412; PARIET ; PARIET; NOT FOUND; CPR REVEST 20 MG x 56; J_C

62238; PRESSOMAX ; PRESSOMAX; NOT FOUND; CPR 50 MG x 30; KIN

44619; PULKRIN VF ; PULKRIN VF; NOT FOUND; XAROPE 50 ML x 1; KIN

62237; PRESSOMAX ; PRESSOMAX; NOT FOUND; CPR 25 MG x 32; KIN

65403; PRENILAN RTD ; PRENILAN RTD; NOT FOUND; CPR RETARD 20 MG x 30; L3B

65404; PRENILAN RTD ; PRENILAN RTD; NOT FOUND; CPR RETARD 20 MG x 60; L3B

61212; PILOCAN ; PILOCAN; NOT FOUND; SOLN OFTAL 2 % 10 ML x 1; L3F

61213; PILOCAN ; PILOCAN; NOT FOUND; SOLN OFTAL 4 % 10 ML x 1; L3F

78711; PLENIGELL ; PLENIGELL; NOT FOUND; SOLN OFTAL 5 ML x 1; L3F

62965; PRESMIN ; PRESMIN; NOT FOUND; SOLN OFTAL 5 MG 5 ML x 1 (/ML); L3F

78710; PLENIGELL ; PLENIGELL; NOT FOUND; SOLN OFTAL 15 ML x 1; L3F

62605; PREVYOL-2 ; PREVYOL 2; NOT FOUND; CPR 0.75 MG x 2; LG6

61534; PREDINIS ; PREDINIS; NOT FOUND; CPR 20 MG x 10; LG6

143273; PANTOPRAP.SO SE MG ; PANTOPRAP SO SE; NOT FOUND; CPR REVEST 40 MG x 42; LG6

68670; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; SACH.MEL/LIM 500 MG 5 G x 50; LG6

73849; PARACET+CAFEINA MG ; PARACET CAFEINA; NOT FOUND; CPR REVEST x 20; LG6

77072; PANTOPRAP.SO SE MG ; PANTOPRAP SO SE; NOT FOUND; CPR REVEST 40 MG x 14; LG6

55285; PARALGEN ; PARALGEN; NOT FOUND; GOTAS 200 MG 15 ML x 1 (/ML); LG6

77349; PRURI-GRAN ; PRURI GRAN; NOT FOUND; SOLN ORAL 2 MG 120 ML x 1 (/ML); LG6

77073; PANTOPRAP.SO SE MG ; PANTOPRAP SO SE; NOT FOUND; CPR REVEST 40 MG x 28; LG6

69354; PONSDRIL ; PONSDRIL; NOT FOUND; CPR 500 MG x 24; LG6

58051; PRESSEL ; PRESSEL; NOT FOUND; CPR 20 MG x 30; LG6

103092; PLANTARE ; PLANTARE; NOT FOUND; PO EFERV 5 G x 30; LG6

68583; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); LG6

68285; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; SOLN CAPIL 0.50 MG 50 G x 1 (/G; LG6

68301; PIROXICAM MG ; PIROXICAM; PIROXICAM; GEL. 5 MG 30 G x 1 (/G); LG6

58050; PRESSEL ; PRESSEL; NOT FOUND; CPR 10 MG x 30; LG6

71852; PREVIANE ; PREVIANE; NOT FOUND; CPR REVEST x 63; LG6

103091; PLANTARE ; PLANTARE; NOT FOUND; PO EFERV 5 G x 10; LG6

90004; PRED-GRAN ; PRED GRAN; NOT FOUND; CPR 20 MG x 10; LG6

61505; POLIMOXIL ; POLIMOXIL; NOT FOUND; CAPS 500 MG x 21; LG6

55284; PARALGEN ; PARALGEN; NOT FOUND; CPR 750 MG x 20; LG6

58049; PRESSEL ; PRESSEL; NOT FOUND; CPR 5 MG x 30; LG6

48909; PEPSOGEL ; PEPSOGEL; NOT FOUND; CPR MASC x 20; LG6

95135; PREVYASM ; PREVYASM; NOT FOUND; CPR REVEST 3 MG x 21 (/.03); LG6

77070; PANTOPRAP.SO SE MG ; PANTOPRAP SO SE; NOT FOUND; CPR REVEST 20 MG x 14; LG6

52931; POMADERME ; POMADERME; NOT FOUND; POMAD.BISNAG 45 G x 1; LG6

70321; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 200; LG6

62606; PREVIANE ; PREVIANE; NOT FOUND; CPR REVEST x 21; LG6

68305; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 5 MG x 20; LG6

143271; PANTOPRAP.SO SE MG ; PANTOPRAP SO SE; NOT FOUND; CPR REVEST 20 MG x 42; LG6

77348; PIROXICAM CPR MG ; PIROXICAM CPR; NOT FOUND; CPR SOLUVEL 20 MG x 10; LG6

70323; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR REVEST 750 MG x 200; LG6

70878; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; SUSP 32 MG 60 ML x 1 (/ML); LG6

77071; PANTOPRAP.SO SE MG ; PANTOPRAP SO SE; NOT FOUND; CPR REVEST 20 MG x 28; LG6

70322; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR REVEST 750 MG x 20; LG6

