94559; SIMETICONA MG ; SIMETICONA; SIMETICONA; CAPS 125 MG x 10; A4H

71950; SOL CLORETO SODIO ; SOL CLORETO SODIO; NOT FOUND; A.IV 20 % 20 ML x 200; H_I

71097; SOL CLORETO SODIO ; SOL CLORETO SODIO; NOT FOUND; A.IV 20 % 10 ML x 200; IS5

76854; SOL GLICOSE ; SOL GLICOSE; NOT FOUND; SOLN INJ. 50 % 20 ML x 100; IS5

87538; SOL CLORETO SODIO ; SOL CLORETO SODIO; NOT FOUND; A.IV 0.90 % 20 ML x 100; IS5

69869; SOL GLICOSE ; SOL GLICOSE; NOT FOUND; SOLN INJ. 50 % 10 ML x 100; IS5

70509; SOL GLICOSE ; SOL GLICOSE; NOT FOUND; SOLN INJ. 25 % 10 ML x 200; IS5

71098; SOL CLORETO SODIO ; SOL CLORETO SODIO; NOT FOUND; A.IV 9 % 10 ML x 100; IS5

70508; SOL GLICOSE ; SOL GLICOSE; NOT FOUND; SOLN INJ. 25 % 10 ML x 100; IS5

71099; SOL CLORETO SODIO ; SOL CLORETO SODIO; NOT FOUND; A.IV 9 % 10 ML x 200; IS5

78979; SULF MAGNESIO ; SULF MAGNESIO; NOT FOUND; AMP. 500 MG 10 ML x 200 (/ML); IS5

70893; SULF MAGNESIO ; SULF MAGNESIO; NOT FOUND; AMP. 10 % 10 ML x 200; IS5

70560; SOL CLORETO SODIO ; SOL CLORETO SODIO; NOT FOUND; A.IV 10 % 10 ML x 200; IS5

69870; SOL GLICOSE ; SOL GLICOSE; NOT FOUND; SOLN INJ. 50 % 10 ML x 200; IS5

65261; SOL GLIC.CLORE.SOD ; SOL GLIC CLORE SOD; NOT FOUND; SOLN INJ. 5 % 250 ML x 1; JPI

76038; SOL GLICOSE ; SOL GLICOSE; NOT FOUND; SOLN INJ S/F 5 % 500 ML x 24; JPI

75514; SOL RINGER LAC.SOD ; SOL RINGER LAC SOD; NOT FOUND; SOLN INJ S/F 500 ML x 20; JPI

76041; SOL GLICOSE ; SOL GLICOSE; NOT FOUND; BOLSA S/F 5 % 250 ML x 35; JPI

45078; SOL GLICOSE ; SOL GLICOSE; NOT FOUND; SOLN INJ. 5 % 1000 ML x 1; JPI

76030; SOL CLORETO SODIO ; SOL CLORETO SODIO; NOT FOUND; BOLSA S/F 0.90 % 1000 ML x 10; JPI

74423; SOL GLIC.CLORE.SOD ; SOL GLIC CLORE SOD; NOT FOUND; SOLN INJ. 5 % 500 ML x 20; JPI

43578; SOL CLORETO SODIO ; SOL CLORETO SODIO; NOT FOUND; SOLN INJ. 0.90 % 1000 ML x 1; JPI

75603; SOL CLORETO SODIO ; SOL CLORETO SODIO; NOT FOUND; SOL INJ BOLS 0.90 % 500 ML x 20; JPI

55908; SOL CLORETO SODIO ; SOL CLORETO SODIO; NOT FOUND; SOLN INJ. 0.90 % 100 ML x 1; JPI

76027; SOL CLORETO SODIO ; SOL CLORETO SODIO; NOT FOUND; SOLN INJ S/F 0.90 % 1000 ML x 12; JPI

74425; SOL GLICERINA ; SOL GLICERINA; NOT FOUND; SOLN 12 % 500 ML x 20; JPI

75613; SOL GLICOSE ; SOL GLICOSE; NOT FOUND; SOL INJ BOLS 0.50 % 500 ML x 20; JPI

74424; SOL GLIC.CLORE.SOD ; SOL GLIC CLORE SOD; NOT FOUND; SOLN INJ. 5 % 1000 ML x 10; JPI

76025; SOL CLORETO SODIO ; SOL CLORETO SODIO; NOT FOUND; SOLN INJ S/F 0.90 % 500 ML x 24; JPI

55682; SOL GLICOSE ; SOL GLICOSE; NOT FOUND; SOLN INJ. 5 % 100 ML x 1; JPI

74422; SOL GLIC.CLORE.SOD ; SOL GLIC CLORE SOD; NOT FOUND; SOLN INJ. 5 % 250 ML x 30; JPI

48858; SOL GLICOSE ; SOL GLICOSE; NOT FOUND; SOLN INJ. 5 % 250 ML x 1; JPI

76039; SOL GLICOSE ; SOL GLICOSE; NOT FOUND; SOLN INJ S/F 5 % 100 ML x 90; JPI

76024; SOL CLORETO SODIO ; SOL CLORETO SODIO; NOT FOUND; SOLN INJ S/F 0.90 % 250 ML x 40; JPI

76033; SOL GLIC.CLORE.SOD ; SOL GLIC CLORE SOD; NOT FOUND; BOLSA S/F 1000 ML x 10; JPI

53177; SOL RINGER LAC.SOD ; SOL RINGER LAC SOD; NOT FOUND; SOLN INJ. 500 ML x 1; JPI

43577; SOL CLORETO SODIO ; SOL CLORETO SODIO; NOT FOUND; SOLN INJ. 0.90 % 500 ML x 1; JPI

76036; SOL GLIC.CLORE.SOD ; SOL GLIC CLORE SOD; NOT FOUND; SOLN INJ S/F 1000 ML x 12; JPI

66989; SOL RINGER ; SOL RINGER; NOT FOUND; SOLN INJ. 500 ML x 20; JPI

43582; SOL GLIC.CLORE.SOD ; SOL GLIC CLORE SOD; NOT FOUND; SOLN INJ. 5 % 500 ML x 1; JPI

76031; SOL GLIC.CLORE.SOD ; SOL GLIC CLORE SOD; NOT FOUND; BOLSA S/F 500 ML x 20; JPI

53176; SOL RINGER LAC.SOD ; SOL RINGER LAC SOD; NOT FOUND; SOLN INJ. 250 ML x 1; JPI

76028; SOL CLORETO SODIO ; SOL CLORETO SODIO; NOT FOUND; BOLSA S/F 0.90 % 100 ML x 50; JPI

47108; SOL CLORETO SODIO ; SOL CLORETO SODIO; NOT FOUND; SOLN INJ. 0.90 % 250 ML x 1; JPI

46050; SOL GLIC.CLORE.SOD ; SOL GLIC CLORE SOD; NOT FOUND; SOLN INJ. 5 % 1000 ML x 1; JPI

76043; SOL GLICOSE ; SOL GLICOSE; NOT FOUND; BOLSA S/F 5 % 100 ML x 50; JPI

76029; SOL CLORETO SODIO ; SOL CLORETO SODIO; NOT FOUND; BOLSA S/F 0.90 % 250 ML x 35; JPI

43580; SOL GLICOSE ; SOL GLICOSE; NOT FOUND; SOLN INJ. 5 % 500 ML x 1; JPI

76037; SOL GLICOSE ; SOL GLICOSE; NOT FOUND; SOLN INJ S/F 5 % 250 ML x 40; JPI

28865; SEMAP ; SEMAP; NOT FOUND; CPR 20 MG x 6; J_C

69871; SOYFIT ; SOYFIT; NOT FOUND; CPR REVEST 125 MG x 28; J_C

51325; SYSTEN ; SYSTEN; NOT FOUND; PARCHE 25 1.60 MG x 8; J_C

51326; SYSTEN ; SYSTEN; NOT FOUND; PARCHE 50 3.20 MG x 6; J_C

9818; STUGERON ; STUGERON; NOT FOUND; CPR 25 MG x 30; J_C

49624; SPORANOX ; SPORANOX; NOT FOUND; CAPS 100 MG x 10; J_C

47356; SPORANOX ; SPORANOX; NOT FOUND; CAPS 100 MG x 15; J_C

51329; SYSTEN ; SYSTEN; NOT FOUND; PARCHE 100 6.40 MG x 8; J_C

47294; SPORANOX ; SPORANOX; NOT FOUND; CAPS 100 MG x 4; J_C

51327; SYSTEN ; SYSTEN; NOT FOUND; PARCHE 50 3.20 MG x 8; J_C

54070; SYSTEN CONTI ; SYSTEN CONTI; NOT FOUND; PARCHE x 8; J_C

57193; SPORANOX ; SPORANOX; NOT FOUND; CPR PULSO 100 MG x 28; J_C

59632; SUFENTA ; SUFENTA; NOT FOUND; A.IV 50 Y 5 ML x 5 (/ML); J_C

28634; STUGERON ; STUGERON; NOT FOUND; CPR 75 MG x 30; J_C

93337; SIMPONI ; SIMPONI; NOT FOUND; CANETA. 50 MG 0.50 ML x 1; J_C

53554; SYSTEN SEQUI ; SYSTEN SEQUI; NOT FOUND; PARCHE x 8; J_C

48703; SIBELIUM ; SIBELIUM; NOT FOUND; CPR 10 MG x 30; J_C

77533; STELARA ; STELARA; NOT FOUND; F.AMP 45 MG 0.50 ML x 1; J_C

76514; SUNDOWN FACIAL ; SUNDOWN FACIAL; NOT FOUND; CREME FPS30 50 G x 1; J_J

81126; SUBLIME ENERGY ; SUBLIME ENERGY; NOT FOUND; G C NIGHT 60 ML x 1; J_J

66518; SINUTAB NF ; SINUTAB NF; NOT FOUND; CAPS x 12; J_J

76515; SUNDOWN FACIAL ; SUNDOWN FACIAL; NOT FOUND; CREME FPS50 50 G x 1; J_J

142017; SELECT SIMPLE FREE ; SELECT SIMPLE FREE; NOT FOUND; K SELECT+50T x 1; J_J

99802; SELECT SIMPLE ; SELECT SIMPLE; NOT FOUND; TIRAS TESTE x 25; J_J

99801; SELECT SIMPLE ; SELECT SIMPLE; NOT FOUND; K M+L+T10 x 1; J_J

68545; SOYA UNIFY ; SOYA UNIFY; NOT FOUND; CREME NIGHT 50 ML x 1; J_J

81128; SUBLIME ENERGY ; SUBLIME ENERGY; NOT FOUND; G C EYE 20 ML x 1; J_J

108723; SELECT SIMPLE ; SELECT SIMPLE; NOT FOUND; K ME+25L+10T x 1; J_J

66419; SURESTEP ; SURESTEP; NOT FOUND; TIRAS TESTE x 50; J_J

68544; SOYA UNIFY ; SOYA UNIFY; NOT FOUND; CREME DAY 50 ML x 1; J_J

99803; SELECT SIMPLE ; SELECT SIMPLE; NOT FOUND; TIRAS TESTE x 50; J_J

69708; SINUTAB NF ; SINUTAB NF; NOT FOUND; CAPS x 150; J_J

78281; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 20 MG x 60; LG6

78282; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 20 MG x 30; LG6

76264; SUAVICID ; SUAVICID; NOT FOUND; CREME 15 G x 1; LG6

68962; SIMETICONA MG ; SIMETICONA; SIMETICONA; CPR 40 MG x 20; LG6

76265; SUAVICID ; SUAVICID; NOT FOUND; CREME 30 G x 1; LG6

68219; SIMETICONA MG ; SIMETICONA; SIMETICONA; CAPS 125 MG x 10; LG6

68222; SIMETICONA MG ; SIMETICONA; SIMETICONA; GOTAS 75 MG 15 ML x 1; LG6

61760; SINVATROX ; SINVATROX; NOT FOUND; CPR REVEST 20 MG x 30; LG6

78283; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 40 MG x 30; LG6

48923; SULFERGAN ; SULFERGAN; NOT FOUND; DRAG 300 MG x 50; LG6

74979; STAVIGILE ; STAVIGILE; NOT FOUND; CPR 200 MG x 30; LIB

163270; SUMAXPRO ; SUMAXPRO; NOT FOUND; CPR REVEST 500 MG x 2 (/85); LIB

53421; SENSITRAM ; SENSITRAM; NOT FOUND; CPR AP. 100 MG x 10; LIB

52993; SELIMAX ; SELIMAX; NOT FOUND; CPR REVEST 500 MG x 3; LIB

82427; SIBLIMA ; SIBLIMA; NOT FOUND; CPR REVEST 60 Y x 72 (/15); LIB

61830; SIBLIMA ; SIBLIMA; NOT FOUND; CPR REVEST 60 Y x 24 (/15); LIB

163271; SUMAXPRO ; SUMAXPRO; NOT FOUND; CPR REVEST 500 MG x 2 (/50); LIB

89053; SALSEP 360 ; SALSEP 360; NOT FOUND; SPRAY 9 MG 50 ML x 1 (/ML); LIB

55793; SENSITRAM ; SENSITRAM; NOT FOUND; CPR AP. 50 MG x 10; LIB

62067; SALSEP ; SALSEP; NOT FOUND; SPRAY NASAL 9 MG 50 ML x 1 (/ML); LIB

80236; STAVIGILE ; STAVIGILE; NOT FOUND; CPR 100 MG x 30; LIB

53422; SENSITRAM ; SENSITRAM; NOT FOUND; CPR AP. 100 MG x 30; LIB

101646; STANGLIT ; STANGLIT; NOT FOUND; CPR 30 MG x 30; LIB

101644; STANGLIT ; STANGLIT; NOT FOUND; CPR 15 MG x 30; LIB

55322; SELIMAX ; SELIMAX; NOT FOUND; PO P/SUSP 900 MG 22.5 ML x 1 (/5ML); LIB

56778; SUMAX ; SUMAX; NOT FOUND; SPR.NAS.2APL 10 MG 0.20 ML x 1; LIB

64592; SELIMAX PULSO ; SELIMAX PULSO; NOT FOUND; CPR REVEST 500 MG x 9; LIB

80235; STAVIGILE ; STAVIGILE; NOT FOUND; CPR 100 MG x 10; LIB

56777; SUMAX ; SUMAX; NOT FOUND; CPR REVEST 25 MG x 4; LIB

50815; SUMAX ; SUMAX; NOT FOUND; CPR REVEST 50 MG x 2; LIB

101643; STANGLIT ; STANGLIT; NOT FOUND; CPR 45 MG x 30; LIB

50010; SUMAX ; SUMAX; NOT FOUND; SER.DISP. 6 MG 0.50 ML x 1; LIB

49564; SUMAX ; SUMAX; NOT FOUND; CPR REVEST 100 MG x 2; LIB

55321; SELIMAX ; SELIMAX; NOT FOUND; PO P/SUSP 600 MG 15 ML x 1 (/5ML); LIB

54496; SUMAX ; SUMAX; NOT FOUND; SPR.NAS.DOSE 20 MG 0.10 ML x 1; LIB

60946; SELECTA ; SELECTA; NOT FOUND; CPR 0.45 MG x 28 (/1.5); LIB

73379; SENARETI ; SENARETI; NOT FOUND; GEL. 250 G x 1; LR3

48706; SUPLEDIN ; SUPLEDIN; NOT FOUND; DRAG x 20; LR3

59628; SALIMETIN ; SALIMETIN; NOT FOUND; SPRAY 100 ML x 1; LR3

52167; SUPLEDIN ; SUPLEDIN; NOT FOUND; SOLN 240 ML x 1; LR3

48367; SALIMETIN ; SALIMETIN; NOT FOUND; CREME EVANES 30 G x 1; LR3

73380; SENARETI ; SENARETI; NOT FOUND; GEL. 150 G x 1; LR3

73033; SENARETI ; SENARETI; NOT FOUND; CPR x 20; LR3

73034; SILIBOM ; SILIBOM; NOT FOUND; CPR REVEST 100 MG x 30; LR3

53545; SALIMETIN ; SALIMETIN; NOT FOUND; GEL PLUS 30 G x 1; LR3

87330; SOL FISIOLOGIC ; SOL FISIOLOGIC; NOT FOUND; SOL TOP. 0.90 % 100 ML x 1; M1L

87331; SOL FISIOLOGIC ; SOL FISIOLOGIC; NOT FOUND; SOL TOP. 0.90 % 250 ML x 1; M1L

113325; SULF SALBUTAMOL MG ; SULF SALBUTAMOL; NOT FOUND; XAR 0.40 MG 100 ML x 48 (/ML); M1L

78099; SORISMA ; SORISMA; NOT FOUND; SOL. NASAL 0.90 % 30 ML x 96; M1L

87332; SOL FISIOLOGIC ; SOL FISIOLOGIC; NOT FOUND; SOL TOP. 0.90 % 500 ML x 1; M1L

78100; SORISMA ; SORISMA; NOT FOUND; SOL. NASAL 0.90 % 30 ML x 1; M1L

95358; SORISMA E ; SORISMA E; NOT FOUND; SOL NASAL 50 ML x 1; M1L

61647; SPECTOLAB ; SPECTOLAB; NOT FOUND; XAR. INF 100 ML x 1; MB9

61644; SARNILAB ; SARNILAB; NOT FOUND; LOC. 100 ML x 1; MB9

85920; SPECTOLAB NF ; SPECTOLAB NF; NOT FOUND; XAR. AD 13.3 MG 150 ML x 1 (/ML); MB9

71338; SINVASTAMIL ; SINVASTAMIL; NOT FOUND; CPR 20 MG x 30; MB9

61645; SARNILAB ; SARNILAB; NOT FOUND; SABAO 50 G x 1; MB9

61646; SPECTOLAB ; SPECTOLAB; NOT FOUND; XAR. AD 150 ML x 1; MB9

85919; SPECTOLAB NF ; SPECTOLAB NF; NOT FOUND; XAR. INF 6.67 MG 120 ML x 1 (/ML); MB9

72009; SENEBEN ; SENEBEN; NOT FOUND; CAPS 350 MG x 45; MD6

73263; SILUSGEL ; SILUSGEL; NOT FOUND; SUSP ORAL 240 ML x 1; MD6

74243; SORIFLUX ; SORIFLUX; NOT FOUND; SOL NAS. INF 30 ML x 1; MD6

59113; SECNIDAZOL MG ; SECNIDAZOL; SECNIDAZOL; CPR REVEST 1000 MG x 2; MD7

59923; SULF SALBUTAMOL MG ; SULF SALBUTAMOL; NOT FOUND; XAROPE 2 MG 120 ML x 1 (/5ML); MD7

59114; SECNIDAZOL MG ; SECNIDAZOL; SECNIDAZOL; CPR REVEST 1000 MG x 4; MD7

57897; SULF.NEOM+BACIT.MG ; SULF NEOM BACIT; NOT FOUND; POM. 50 G x 1; MD7

72113; SIMETICONA MG ; SIMETICONA; SIMETICONA; CAPS GELATIN 125 MG x 90; MD7

63026; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 40 MG x 30; MD7

63022; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 10 MG x 30; MD7

46494; SALDER S ; SALDER S; NOT FOUND; SABAO 80 G x 1; MD7

59529; SULFATO TERBUTA.MG ; SULFATO TERBUTA; SULFATO TERBUTALINA; XAROPE 0.30 MG 100 ML x 1 (/ML); MD7

63023; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 20 MG x 30; MD7

63027; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 80 MG x 10; MD7

63024; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 20 MG x 60; MD7

68335; SIMETICONA MG ; SIMETICONA; SIMETICONA; CPR 40 MG x 20; MD7

59214; SIMETICONA MG ; SIMETICONA; SIMETICONA; GOTAS 75 MG 15 ML x 1 (/ML); MD7

63025; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 40 MG x 10; MD7

52299; SECZOL ; SECZOL; NOT FOUND; CR.VAG.7 APL 35 G x 1; MD7

63896; SIMETICONA MG ; SIMETICONA; SIMETICONA; CAPS GELATIN 125 MG x 10; MD7

52298; SECZOL ; SECZOL; NOT FOUND; CPR.VAG.APL x 7; MD7

57896; SULF.NEOM+BACIT.MG ; SULF NEOM BACIT; NOT FOUND; POM. 15 G x 1; MD7

61236; SULF.TERBU+GUAI.MG ; SULF TERBU GUAI; NOT FOUND; XAR. 100 ML x 1; MD7

72114; SIMETICONA MG ; SIMETICONA; SIMETICONA; CPR 40 MG x 200; MD7

63021; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 5 MG x 30; MD7

9336; SARCOTON ; SARCOTON; NOT FOUND; PO 10 G x 1; MD7

112511; SUPREMUS PERFORMAN ; SUPREMUS PERFORMAN; NOT FOUND; CPR x 60; MDQ

113246; SUPREMUS FEMME CAR ; SUPREMUS FEMME CAR; NOT FOUND; CPR x 30; MDQ

112510; SUPREMUS PERFORMAN ; SUPREMUS PERFORMAN; NOT FOUND; CPR x 30; MDQ

85624; SUPREMUS VIT ; SUPREMUS VIT; NOT FOUND; CPR x 60; MDQ

112509; SUPREMUS FEMME CAR ; SUPREMUS FEMME CAR; NOT FOUND; CPR x 60; MDQ

85623; SUPREMUS VIT ; SUPREMUS VIT; NOT FOUND; CPR x 30; MDQ

49254; SCAFLAM ; SCAFLAM; NOT FOUND; GOTAS 15 ML x 1 (PAED); MQF

47716; SCAFLAM ; SCAFLAM; NOT FOUND; SUSP 1 % 60 ML x 1 (PAED); MQF

59027; SOLARCAINE ; SOLARCAINE; NOT FOUND; LOC. 0.50 % 120 ML x 1; MQF

47749; SCAFLAM ; SCAFLAM; NOT FOUND; CPR 100 MG x 12; MQF

47953; SCAFLAM ; SCAFLAM; NOT FOUND; GRAN ENVELO. 100 MG 2 G x 12; MQF

77081; SCAFLAM ; SCAFLAM; NOT FOUND; GRAN ENVELO. 100 MG 2 G x 8; MQF

58150; SCAFLAM GEL ; SCAFLAM GEL; NOT FOUND; GEL. 3 % 30 G x 1; MQF

59026; SOLARCAINE ; SOLARCAINE; NOT FOUND; AERO 2.86 % 120 G x 1; MQF

77082; SCAFLAM ; SCAFLAM; NOT FOUND; CPR 100 MG x 4; MQF

48233; SAIZEN ; SAIZEN; NOT FOUND; F.AMP SOLV 4 IU 1 ML x 1; M_S

44459; SEROPHENE ; SEROPHENE; NOT FOUND; CPR 50 MG x 30; M_S

66611; SIMETICONA MG ; SIMETICONA; SIMETICONA; GOTAS 75 MG 15 ML x 1 (/ML); M_S

146652; SAIZEN ; SAIZEN; NOT FOUND; F.AMP 8 MG 1.50 ML x 1 (/ML); M_S

48705; STILAMIN ; STILAMIN; NOT FOUND; AMP INFU.LIO 3 MG x 1; M_S

61553; SAIZEN ; SAIZEN; NOT FOUND; F.AMP 8 MG 1 ML x 1; M_S

66639; SULFATO TERBUTA.MG ; SULFATO TERBUTA; SULFATO TERBUTALINA; XAROPE 0.30 MG 100 ML x 1 (/ML); M_S

147839; SAIZEN ; SAIZEN; NOT FOUND; F.AMP 8 MG 2.50 ML x 1 (/ML); M_S

146649; SAIZEN ; SAIZEN; NOT FOUND; F.AMP 5.83 MG 1.03 ML x 1 (/ML); M_S

56284; SIMETICONA MG ; SIMETICONA; SIMETICONA; CPR 40 MG x 20; M_S

45299; SEROPHENE ; SEROPHENE; NOT FOUND; CPR 50 MG x 10; M_S

155778; SOLUCAO PVPI ; SOLUCAO PVPI; NOT FOUND; SPRAY 10 % 100 ML x 1; NAU

91408; SPORTENNIS ; SPORTENNIS; NOT FOUND; PO CANFORADO 100 G x 1; NAU

91407; SPORTENNIS ; SPORTENNIS; NOT FOUND; PO ALECRIM 100 G x 1; NAU

91410; SPORTENNIS ; SPORTENNIS; NOT FOUND; PO TITU FRUT 100 G x 1; NAU

77109; SEAKALM ; SEAKALM; NOT FOUND; CPR REVEST 260 MG x 20; NAU

77809; SOLUCAO PVPI ; SOLUCAO PVPI; NOT FOUND; LIQD 10 % 100 ML x 1; NAU

98545; SEAKALM ; SEAKALM; NOT FOUND; LIQ 90 MG 100 ML x 1 (/ML); NAU

91409; SPORTENNIS ; SPORTENNIS; NOT FOUND; PO MENTOLADO 100 G x 1; NAU

104610; SINAVEL ; SINAVEL; NOT FOUND; CPR REV 100 MG x 60; NQA

64050; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 40 MG x 10; NQA

64048; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 10 MG x 30; NQA

155051; SOMAFLEX AP ; SOMAFLEX AP; NOT FOUND; CPR REV DL 100 MG x 10; NQA

150798; SUL GLICOSAMINA MG ; SUL GLICOSAMINA; NOT FOUND; SACHE 1.50 G x 30; NQA

154160; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 30; NQA

112391; SIMETICONA MG ; SIMETICONA; SIMETICONA; CAPS 125 MG x 10; NQA

69938; SIMETICONA MG ; SIMETICONA; SIMETICONA; CPR 40 MG x 20; NQA

104609; SINAVEL ; SINAVEL; NOT FOUND; CPR REV 100 MG x 30; NQA

112610; SULF.TERBU+GUAI.MG ; SULF TERBU GUAI; NOT FOUND; XAR. 100 ML x 1; NQA

64049; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 20 MG x 30; NQA

64051; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 80 MG x 10; NQA

72115; SIMETICONA MG ; SIMETICONA; SIMETICONA; GOTAS 75 MG 15 ML x 1 (/ML); NQA

72345; SENOCLIN ; SENOCLIN; NOT FOUND; AMP. 150 MG 4 ML x 50 (/ML); NVA

73036; SULF AMICACINA MG ; SULF AMICACINA; NOT FOUND; AMP. 250 MG 2 ML x 50 (/ML); NVA

72346; SENOCLIN ; SENOCLIN; NOT FOUND; AMP. 150 MG 2 ML x 50 (/ML); NVA

73455; SUC SOD CLORANF MG ; SUC SOD CLORANF; NOT FOUND; F.AMP 1 G 10 ML x 50; NVA

73035; SULF AMICACINA MG ; SULF AMICACINA; NOT FOUND; AMP. 50 MG 2 ML x 50 (/ML); NVA

53860; SANDIMMUN NEORAL ; SANDIMMUN NEORAL; NOT FOUND; SOLN ORAL 100 MG 50 ML x 1 (/ML); NVR

55564; SANDOSTATIN LAR ; SANDOSTATIN LAR; NOT FOUND; F.AMP MPVI 30 MG x 1; NVR

58782; SIRDALUD ; SIRDALUD; NOT FOUND; CPR 2 MG x 20; NVR

68100; SIRDALUD ; SIRDALUD; NOT FOUND; CPR 2 MG x 30; NVR

10011; SYNTOCINON ; SYNTOCINON; NOT FOUND; SPR.NAS.DOSE 40 IU 5 ML x 1; NVR

65704; STALEVO ; STALEVO; NOT FOUND; CPR REVEST 100 MG x 10; NVR

51717; SANDOSTATIN ; SANDOSTATIN; NOT FOUND; AMP SUBCUT. 0.10 MG 1 ML x 5; NVR

65705; STALEVO ; STALEVO; NOT FOUND; CPR REVEST 50 MG x 10; NVR

64052; STARFORM ; STARFORM; NOT FOUND; CPR REVEST 850 MG x 96 (/120); NVR

53855; SANDIMMUN ; SANDIMMUN; NOT FOUND; AMP. 50 MG 5 ML x 10 (/ML); NVR

53857; SANDIMMUN NEORAL ; SANDIMMUN NEORAL; NOT FOUND; CAPS 50 MG x 50; NVR

9310; SANDOMIGRAN ; SANDOMIGRAN; NOT FOUND; DRAG 0.50 MG x 20; NVR

55566; SANDOSTATIN LAR ; SANDOSTATIN LAR; NOT FOUND; F.AMP MPVI 20 MG x 1; NVR

56966; STARLIX ; STARLIX; NOT FOUND; CPR REVEST 120 MG x 24; NVR

60858; STARFORM ; STARFORM; NOT FOUND; CPR REVEST 500 MG x 96 (/120); NVR

53858; SANDIMMUN NEORAL ; SANDIMMUN NEORAL; NOT FOUND; CAPS 100 MG x 50; NVR

9327; SANTUSSAL ; SANTUSSAL; NOT FOUND; XAROPE 120 ML x 1; NVR

64418; STALEVO ; STALEVO; NOT FOUND; CPR REVEST 150 MG x 30; NVR

54052; SIMULECT ; SIMULECT; NOT FOUND; F.IV LIOF 20 MG 5 ML x 1; NVR

64417; STALEVO ; STALEVO; NOT FOUND; CPR REVEST 100 MG x 30; NVR

53854; SANDIMMUN ; SANDIMMUN; NOT FOUND; AMP. 50 MG 1 ML x 10 (/ML); NVR

10010; SYNTOCINON ; SYNTOCINON; NOT FOUND; AMP. 5 IU 1 ML x 50; NVR

66379; STALEVO ; STALEVO; NOT FOUND; CPR REVEST 150 MG x 10; NVR

51716; SANDOSTATIN ; SANDOSTATIN; NOT FOUND; AMP SUBCUT. 0.05 MG 1 ML x 5; NVR

64416; STALEVO ; STALEVO; NOT FOUND; CPR REVEST 50 MG x 30; NVR

64053; STARFORM ; STARFORM; NOT FOUND; CPR REVEST 850 MG x 168 (/120); NVR

56968; STARLIX ; STARLIX; NOT FOUND; CPR REVEST 120 MG x 84; NVR

55565; SANDOSTATIN LAR ; SANDOSTATIN LAR; NOT FOUND; F.AMP MPVI 10 MG x 1; NVR

71753; SEBIVO ; SEBIVO; NOT FOUND; CPR REVEST 600 MG x 28; NVR

56967; STARLIX ; STARLIX; NOT FOUND; CPR REVEST 120 MG x 48; NVR

53856; SANDIMMUN NEORAL ; SANDIMMUN NEORAL; NOT FOUND; CAPS 25 MG x 50; NVR

60859; STARFORM ; STARFORM; NOT FOUND; CPR REVEST 500 MG x 168 (/120); NVR

51718; SANDOSTATIN ; SANDOSTATIN; NOT FOUND; AMP SUBCUT. 0.50 MG 1 ML x 5; NVR

64739; SECNIDAZOL MG ; SECNIDAZOL; SECNIDAZOL; CPR 1 G x 2; N_Q

57656; SECNIDALIN ; SECNIDALIN; NOT FOUND; CAPS 1 G x 2; N_Q

50133; SALICIL ; SALICIL; NOT FOUND; CPR 100 MG x 200 (INF); N_Q

58784; SORONEO ; SORONEO; NOT FOUND; SOLN NASAL 30 ML x 1; N_Q

66332; SULFAMET+TRIMET.MG ; SULFAMET TRIMET; NOT FOUND; SUSP ORAL 40 MG 60 ML x 1 (/8); N_Q

68978; SULF GENTAMICIN MG ; SULF GENTAMICIN; NOT FOUND; AMP. 20 MG 1 ML x 50 (/ML); N_Q

59629; SANAGAS ; SANAGAS; NOT FOUND; GOTAS 75 MG 10 ML x 1 (/ML); N_Q

57658; SECNIDALIN ; SECNIDALIN; NOT FOUND; PO P/SUSP 900 MG 30 ML x 1; N_Q

57806; SENSIDERME ; SENSIDERME; NOT FOUND; POM. 2 MG 30 G x 1 (/G); N_Q

