104561; CORUS ; CORUS; NOT FOUND; CPR REVEST 25 MG x 30; A4H

69740; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOL INJ FLEX 0.90 % 500 ML x 24; FM_

69739; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOL INJ FLEX 0.90 % 250 ML x 50; FM_

66988; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOLN INJ. 0.90 % 10 ML x 200; FM_

60731; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOL INJ FLEX 0.90 % 250 ML x 1; FM_

64861; CLORETO DE POTASIO ; CLORETO POTASIO; NOT FOUND; A.IV 10 % 10 ML x 200; FM_

80848; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOLN INJ. 20 % 20 ML x 100; FM_

66990; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOLN INJ. 0.90 % 20 ML x 100; FM_

84586; CLAIRIAL FPS50 ; CLAIRIAL FPS50; NOT FOUND; CREME FPS50+ 30 ML x 1; FQM

85212; CLAIRIAL C10 ; CLAIRIAL C10; NOT FOUND; GEL CREME 50 ML x 1; FQM

140520; CARTIGEN C ; CARTIGEN C; NOT FOUND; SACHES 12 G x 30; FQM

66600; CICATRENE ; CICATRENE; NOT FOUND; POM. 20 G x 1; FQM

42259; COLPISTAR ; COLPISTAR; NOT FOUND; CR.VAG.10APL 40 G x 1; FQM

79070; CEREZYME ; CEREZYME; NOT FOUND; F.AMP 400 IU x 1; GEZ

72094; CAMPATH ; CAMPATH; NOT FOUND; AMP. 30 MG 1 ML x 3 (/ML); GEZ

76699; CETAPHIL ; CETAPHIL; NOT FOUND; LOC HIDRATAN 473 ML x 1; GLD

52855; CETAPHIL ; CETAPHIL; NOT FOUND; BARRA SABAO 127 G x 1; GLD

120307; CETAPHIL ; CETAPHIL; NOT FOUND; KL120ML+LADM 226 G x 1; GLD

154097; CETAPHIL DAYLONG ; CETAPHIL DAYLONG; NOT FOUND; LOC FPS30 50 ML x 1; GLD

139554; CETAPHIL ; CETAPHIL; NOT FOUND; LENCO LIMP x 20; GLD

77625; CETAPHIL ; CETAPHIL; NOT FOUND; CREME HAND 85 G x 1; GLD

56805; CETAPHIL ; CETAPHIL; NOT FOUND; LOC HP FPS15 60 G x 1; GLD

139547; CETAPHIL ; CETAPHIL; NOT FOUND; ESP LIMP 50 ML x 1; GLD

78725; CETAPHIL ; CETAPHIL; NOT FOUND; L ADV MOIS P 473 G x 1; GLD

154098; CETAPHIL DAYLONG ; CETAPHIL DAYLONG; NOT FOUND; SPRAY FPS30 150 ML x 1; GLD

154096; CETAPHIL DAYLONG ; CETAPHIL DAYLONG; NOT FOUND; LOC F50+ LIP 50 ML x 1; GLD

139551; CETAPHIL ; CETAPHIL; NOT FOUND; L B H LABIAL 15 G x 1; GLD

77624; CETAPHIL ; CETAPHIL; NOT FOUND; L HID FA F15 118 ML x 1; GLD

47763; CETAPHIL ; CETAPHIL; NOT FOUND; LOC. 120 ML x 1; GLD

55835; CETAPHIL ; CETAPHIL; NOT FOUND; SABAO LIQD 60 G x 1; GLD

64243; CETAPHIL ; CETAPHIL; NOT FOUND; SABAO P.SECA 80 G x 1; GLD

73351; CETAPHIL ; CETAPHIL; NOT FOUND; LOC ADV MOIS 85 G x 1; GLD

83331; CETAPHIL RESTORADE ; CETAPHIL RESTORADE; NOT FOUND; SAB LIQ 295 ML x 1; GLD

58828; CETAPHIL ; CETAPHIL; NOT FOUND; CR HIDRATANT 60 G x 1; GLD

142089; CETAPHIL ; CETAPHIL; NOT FOUND; SAB ANTIBACT 80 G x 1; GLD

77875; CETAPHIL ; CETAPHIL; NOT FOUND; CR HIDRATANT 250 G x 1; GLD

73352; CETAPHIL ; CETAPHIL; NOT FOUND; CR DEFE FP50 50 ML x 1; GLD

154099; CETAPHIL DAYLONG ; CETAPHIL DAYLONG; NOT FOUND; LOC F30 LIPO 100 ML x 1; GLD

76698; CETAPHIL ; CETAPHIL; NOT FOUND; CR HIDRATANT 453 G x 1; GLD

75326; CETAPHIL ; CETAPHIL; NOT FOUND; LOCAO PUMP 300 ML x 1; GLD

154095; CETAPHIL DAYLONG ; CETAPHIL DAYLONG; NOT FOUND; GEL FPS30 100 ML x 1; GLD

154101; CETAPHIL DAYLONG ; CETAPHIL DAYLONG; NOT FOUND; LOC F50+ SEN 150 ML x 1; GLD

102135; CETAPHIL ; CETAPHIL; NOT FOUND; ESP LIMPE DC 236 ML x 1; GLD

75554; CETAPHIL ; CETAPHIL; NOT FOUND; LOC ADV MOIS 226 G x 1; GLD

58829; CETAPHIL ; CETAPHIL; NOT FOUND; LOC HIDRATAN 120 ML x 1; GLD

154094; CETAPHIL DAYLONG ; CETAPHIL DAYLONG; NOT FOUND; GEL FPS30 30 ML x 1; GLD

83333; CETAPHIL RESTORADE ; CETAPHIL RESTORADE; NOT FOUND; LOC CORP HID 295 ML x 1; GLD

55836; CETAPHIL ; CETAPHIL; NOT FOUND; XAMP SUAVE 120 ML x 1; GLD

154100; CETAPHIL DAYLONG ; CETAPHIL DAYLONG; NOT FOUND; LOC F30+ SEN 100 ML x 1; GLD

125027; CETAPHIL ; CETAPHIL; NOT FOUND; CR H FA F50 50 ML x 1; GLD

76109; CETAPHIL ; CETAPHIL; NOT FOUND; SAB LIQ 300 ML x 1; GLD

154093; CETAPHIL DAYLONG ; CETAPHIL DAYLONG; NOT FOUND; GEL FPS50 50 ML x 1; GLD

102136; CETAPHIL ; CETAPHIL; NOT FOUND; LOC H F30 DC 118 ML x 1; GLD

112600; CETAPHIL RESTORADE ; CETAPHIL RESTORADE; NOT FOUND; KSL295+LH295 590 ML x 1; GLD

78726; CETAPHIL ; CETAPHIL; NOT FOUND; XAMP SUAVE 300 ML x 1; GLD

135913; CETAPHIL ; CETAPHIL; NOT FOUND; S S L300P150 300 ML x 1; GLD

60394; CETOMICOSS ; CETOMICOSS; NOT FOUND; CREME 20 MG 20 G x 1 (/G); GLO

74438; CLOR. BROMEXINA MG ; CLOR BROMEXINA; CLORIDRATO BROMEXINA; XAR. AD 8 MG 120 ML x 1 (/5ML); GLO

78634; CLO DOXICICLINA MG ; CLO DOXICICLINA; CLORIDRATO DOXICICLINA; CPR REVEST 100 MG x 15; GLO

60390; CAPTOCORD ; CAPTOCORD; NOT FOUND; CPR 25 MG x 30; GLO

73881; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 6; GLO

73880; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 14; GLO

47526; COMPLEXIMED B ; COMPLEXIMED B; NOT FOUND; DRAG x 20; GLO

61686; CIPROFLOXATRIN ; CIPROFLOXATRIN; NOT FOUND; CPR REVEST 500 MG x 14; GLO

60389; CAPTOCORD ; CAPTOCORD; NOT FOUND; CPR 25 MG x 15; GLO

65022; CINAFAR ; CINAFAR; NOT FOUND; CPR 25 MG x 30; GLO

60387; CAPTOCORD ; CAPTOCORD; NOT FOUND; CPR 12.5 MG x 15; GLO

60391; CAPTOCORD ; CAPTOCORD; NOT FOUND; CPR 50 MG x 15; GLO

71546; CAPTOCORD ; CAPTOCORD; NOT FOUND; CPR 25 MG x 60; GLO

77152; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; SHAMPOO 20 MG 100 ML x 1 (/ML); GLO

85474; CLO HIDROXIZINA MG ; CLO HIDROXIZINA; NOT FOUND; SOLN ORAL 10 MG 100 ML x 1 (/ML; GLO

76016; CLOR.NAFAZOLINA MG ; CLOR NAFAZOLINA; CLORIDRATO NAFAZOLINA; SOLN NASAL 0.50 MG 30 ML x 1 (; GLO

87801; CETO+DIP BETAME MG ; CETO DIP BETAME; NOT FOUND; CREME 30 G x 1; GLO

78635; CLOR LOPERAMIDA MG ; CLOR LOPERAMIDA; CLORIDRATO LOPERAMIDA; CPR 2 MG x 12; GLO

55972; CETOMICOSS ; CETOMICOSS; NOT FOUND; CPR 200 MG x 10; GLO

60388; CAPTOCORD ; CAPTOCORD; NOT FOUND; CPR 12.5 MG x 30; GLO

60393; CETOMICOSS ; CETOMICOSS; NOT FOUND; CPR 200 MG x 30; GLO

78636; CLOR LOPERAMIDA MG ; CLOR LOPERAMIDA; CLORIDRATO LOPERAMIDA; CPR 2 MG x 200; GLO

65023; CINAFAR ; CINAFAR; NOT FOUND; CPR 75 MG x 30; GLO

60392; CAPTOCORD ; CAPTOCORD; NOT FOUND; CPR 50 MG x 30; GLO

74439; CLOR. BROMEXINA MG ; CLOR BROMEXINA; CLORIDRATO BROMEXINA; XAR. INF 4 MG 120 ML x 1 (/5ML); GLO

60233; COMPLEXIMED B ; COMPLEXIMED B; NOT FOUND; XAR. 100 ML x 1; GLO

61687; CIPROFLOXATRIN ; CIPROFLOXATRIN; NOT FOUND; CPR REVEST 500 MG x 6; GLO

76641; CICLOPIROX OLAM.MG ; CICLOPIROX OLAM; CICLOPIROX OLAMINA; CREME 10 MG 20 G x 1 (/G); GLO

71705; CLOR. BROMEXINA MG ; CLOR BROMEXINA; CLORIDRATO BROMEXINA; XPE INF. 4 MG 120 ML x 1 (/5ML); GM2

66702; CLOTRIMAZOL MG ; CLOTRIMAZOL; CLOTRIMAZOL; CR.VAG.3 APL 20 MG 20 G x 1 (/G); GM2

75011; CLOR.AMITRIPTIL.MG ; CLOR AMITRIPTIL; CLORIDRATO AMITRIPTILINA; CPR REVEST 25 MG x 30; GM2

85217; CLOR.BUPROPIONA MG ; CLOR BUPROPIONA; CLORIDRATO BUPROPIONA; CPR A P 150 MG x 60; GM2

66699; CLOR TRAMADOL MG ; CLOR TRAMADOL; CLORIDRATO TRAMADOL; CAPS 50 MG x 10; GM2

66098; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 400 MG x 20; GM2

78727; CLO HIDROXIZINA MG ; CLO HIDROXIZINA; NOT FOUND; CPR 25 MG x 30; GM2

71363; CLOR.FENOXAZOLI.MG ; CLOR FENOXAZOLI; CLORIDRATO FENOXAZOLINA; GOTAS NASAL 0.50 MG 10 ML x 1 (; GM2

78853; CLOR.CICLOBENZA.MG ; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 5 MG x 30; GM2

74635; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 2 MG x 30; GM2

66107; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 30; GM2

103002; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 12.5 MG x 60; GM2

76647; CLOR.CICLOBENZA.MG ; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 10 MG x 30; GM2

89191; CLOR.PAROXETINA MG ; CLOR PAROXETINA; NOT FOUND; CPR REVEST 20 MG x 30; GM2

68767; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 60; GM2

76247; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS GEL 10 MG x 30; GM2

80656; COSARTAN ; COSARTAN; NOT FOUND; CPR REVEST 160 MG x 30; GM2

66177; CLO PROPRANOLOL MG ; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 80 MG x 30; GM2

69927; CLOR.DOBUTAMINA MG ; CLOR DOBUTAMINA; CLORIDRATO DOBUTAMINA; AMP.INFUSION 250 MG 20 ML x 50; GM2

69843; CLOR.OXIMETAZOL.MG ; CLOR OXIMETAZOL; CLORIDRATO OXIMETAZOLINA; SOL NASAL PE 0.25 MG 20 ML x 1; GM2

63990; CLO DOXICICLINA MG ; CLO DOXICICLINA; CLORIDRATO DOXICICLINA; CPR REVEST 100 MG x 15; GM2

74641; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 300 MG x 20; GM2

72286; CLOTRIMAZOL CR.MG ; CLOTRIMAZOL CR; NOT FOUND; CREME 10 MG 20 G x 1 (/G); GM2

68207; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 10; GM2

76181; CLAQUINONA ; CLAQUINONA; NOT FOUND; CREME 40 MG 30 G x 1 (/G); GM2

69426; CICLOSPORINA MG ; CICLOSPORINA; CICLOSPORINA; CAPS 25 MG x 50; GM2

69735; CLOR.ONDANSETRO MG ; CLOR ONDANSETRO; CLORIDRATO ONDANSETRONA; CPR REVEST 8 MG x 10; GM2

69830; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XPE ADLT 50 MG 100 ML x 1 (/ML); GM2

76644; CLOR. BROMEXINA MG ; CLOR BROMEXINA; CLORIDRATO BROMEXINA; XPE ADLT 1.60 MG 120 ML x 1 (/; GM2

77946; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 100 MG x 4; GM2

67643; CLO.ANFEPRAMONA MG ; CLO ANFEPRAMONA; CLORIDRATO ANFEPRAMONA; CPR 75 MG x 20; GM2

76248; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS GEL 15 MG x 30; GM2

68521; CET+D.BET+S.NEO MG ; CET D BET S NEO; NOT FOUND; POM. 30 G x 1; GM2

103001; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 25 MG x 30; GM2

66103; CLOR.AMILO+HCT MG ; CLOR AMILO HCT; NOT FOUND; CPR 5 MG x 30 (/50); GM2

66688; CLOR.CLOMIPRAMI.MG ; CLOR CLOMIPRAMI; CLORIDRATO CLOMIPRAMINA; CPR 10 MG x 20; GM2

74640; CIPROFL+DEXAMET MG ; CIPROFL DEXAMET; NOT FOUND; SOLN OFTAL 5 ML x 1; GM2

76121; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 150 MG x 14; GM2

67642; CLO.ANFEPRAMONA MG ; CLO ANFEPRAMONA; CLORIDRATO ANFEPRAMONA; CPR 25 MG x 20; GM2

158183; COSARTAN ALP ; COSARTAN ALP; NOT FOUND; CPR REVEST 320 MG x 60 (/5); GM2

85214; CLOR.BUPROPIONA MG ; CLOR BUPROPIONA; CLORIDRATO BUPROPIONA; CPR A P 150 MG x 30; GM2

63992; CLORTALIDONA MG ; CLORTALIDONA; CLORTALIDONA; CPR 12.5 MG x 60; GM2

69555; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 28; GM2

66100; CEFACLOR MG ; CEFACLOR; CEFACLOR; SUSP 375 MG 80 ML x 1 (/5ML); GM2

77941; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 25 MG x 4; GM2

69553; CEFACLOR MG ; CEFACLOR; CEFACLOR; SUSP 250 MG 100 ML x 1 (/5ML); GM2

103003; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 12.5 MG x 30; GM2

142007; CANDESARTA CILE MG ; CANDESARTA CILE; CANDESARTANA CILEXETILA; CPR 8 MG x 30; GM2

71708; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; XPE 75 MG 120 ML x 1 (/5ML); GM2

66692; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CPR REVEST 20 MG x 30; GM2

69429; CLOR. LIDOCAINA MG ; CLOR LIDOCAINA; CLORIDRATO LIDOCAINA; GEL. 20 MG 30 G x 1 (/G); GM2

69381; CLO.OXIBUTININA MG ; CLO OXIBUTININA; CLORIDRATO OXIBUTININA; XAR. 1 MG 120 ML x 1 (/ML); GM2

137509; CANDEMED ; CANDEMED; NOT FOUND; CPR 16 MG x 30; GM2

103005; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 3.12 MG x 30; GM2

66690; CLOR.DILTIAZEM MG ; CLOR DILTIAZEM; CLORIDRATO DILTIAZEM; CPR 60 MG x 25; GM2

69931; CLOTRI+AC.DEXAM.MG ; CLOTRI AC DEXAM; NOT FOUND; CREME 40 G x 1; GM2

71252; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 10 MG x 20; GM2

155767; COSARTAN ALP ; COSARTAN ALP; NOT FOUND; CPR REVEST 160 MG x 30 (/10); GM2

76646; CLOR.CICLOBENZA.MG ; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 10 MG x 15; GM2

66175; CLO PROPRANOLOL MG ; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 10 MG x 30; GM2

66691; CLOR.DILTIAZEM MG ; CLOR DILTIAZEM; CLORIDRATO DILTIAZEM; CPR 30 MG x 50; GM2

76180; CLAQUINONA ; CLAQUINONA; NOT FOUND; GEL. 40 MG 30 G x 1 (/G); GM2

95426; CLO PIOGLITAZO MG ; CLO PIOGLITAZO; CLORIDRATO PIOGLITAZONA; CPR 30 MG x 15; GM2

66176; CLO PROPRANOLOL MG ; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 40 MG x 30; GM2

74642; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 20; GM2

69476; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XPE AD S/A 30 MG 120 ML x 1 (/5M; GM2

66099; CEFACLOR MG ; CEFACLOR; CEFACLOR; SUSP 250 MG 80 ML x 1 (/5ML); GM2

100274; COSARTAN HCT ; COSARTAN HCT; NOT FOUND; CPR 160 MG x 30 (/12.); GM2

70209; CETOCONAZOL CRE.MG ; CETOCONAZOL CRE; NOT FOUND; CREME 20 MG 30 G x 1 (/G); GM2

66102; CLOR.AMILO+HCT MG ; CLOR AMILO HCT; NOT FOUND; CPR 2.50 MG x 30 (/25); GM2

66105; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 20 MG x 28; GM2

76178; CICLOPIROX OLAM.MG ; CICLOPIROX OLAM; CICLOPIROX OLAMINA; SOLN TOP. 10 MG 15 ML x 1; GM2

76643; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS GEL 15 MG x 10; GM2

69424; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CPR REVEST 500 MG x 8; GM2

66685; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; GOTAS 50 MG 20 ML x 1 (/ML); GM2

160479; COSARTAN ALP ; COSARTAN ALP; NOT FOUND; CPR REVEST 320 MG x 30 (/10); GM2

103004; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 3.12 MG x 60; GM2

67957; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 30; GM2

100275; COSARTAN HCT ; COSARTAN HCT; NOT FOUND; CPR 160 MG x 30 (/25); GM2

95425; CLO PIOGLITAZO MG ; CLO PIOGLITAZO; CLORIDRATO PIOGLITAZONA; CPR 15 MG x 15; GM2

63985; CAPTOP+HIDROCLO.MG ; CAPTOP HIDROCLO; NOT FOUND; CPR 50 MG x 30 (/25); GM2

66703; CLOTRIMAZOL MG ; CLOTRIMAZOL; CLOTRIMAZOL; CR.VAG. 6APL 10 MG 35 G x 1 (/G); GM2

66108; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 30; GM2

68729; CLOR.PROPRA+HCT MG ; CLOR PROPRA HCT; NOT FOUND; CPR 40 MG x 30 (/25); GM2

137009; CANDEMED ; CANDEMED; NOT FOUND; CPR 8 MG x 30; GM2

113408; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 150 MG x 30; GM2

69841; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; SOLN OFTA 3.50 MG 5 ML x 1 (/ML; GM2

95427; CLO PIOGLITAZO MG ; CLO PIOGLITAZO; CLORIDRATO PIOGLITAZONA; CPR 45 MG x 15; GM2

76974; CLO HIDROXIZINA MG ; CLO HIDROXIZINA; NOT FOUND; SOLN ORAL 120 ML x 1; GM2

66106; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 1 G x 30; GM2

144147; CANDESARTA CILE MG ; CANDESARTA CILE; CANDESARTANA CILEXETILA; CPR 16 MG x 30; GM2

71254; CLO CLINDAMICIN MG ; CLO CLINDAMICIN; CLORIDRATO CLINDAMICINA; CAPS 300 MG x 16; GM2

71364; CLOR.FENOXAZOLI.MG ; CLOR FENOXAZOLI; CLORIDRATO FENOXAZOLINA; GOTAS NASAL 1 MG 10 ML x 1 (/ML; GM2

158182; COSARTAN ALP ; COSARTAN ALP; NOT FOUND; CPR REVEST 320 MG x 30 (/5); GM2

76645; CLOR.CICLOBENZA.MG ; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 10 MG x 10; GM2

66698; CLO TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; SOLN TOP. 10 MG 30 ML x 1 (/G); GM2

102495; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 6.25 MG x 30; GM2

80407; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 28; GM2

69428; CICLOSPORINA MG ; CICLOSPORINA; CICLOSPORINA; CAPS 100 MG x 50; GM2

69556; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 20; GM2

62960; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 30; GM2

73883; CLO TICLOPIDINA MG ; CLO TICLOPIDINA; CLORIDRATO TICLOPIDINA; CPR REVEST 250 MG x 20; GM2

66689; CLOR.DILTIAZEM MG ; CLOR DILTIAZEM; CLORIDRATO DILTIAZEM; CPR 60 MG x 50; GM2

69554; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 100 MG x 14; GM2

68187; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CPR REVEST 1 G x 8; GM2

69991; CETORO.TROMETAM.MG ; CETORO TROMETAM; NOT FOUND; CPR SL 10 MG x 10; GM2

71709; CLO TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CREME 1 % 20 G x 1; GM2

155032; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR LIB PROL 400 MG x 20; GM2

63987; CLO PROPRANOLOL MG ; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 10 MG x 60; GM2

80657; COSARTAN ; COSARTAN; NOT FOUND; CPR REVEST 320 MG x 30; GM2

68524; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; POM. OFTAL 3.50 MG 3.50 G x 1; GM2

78850; CLOR.CICLOBENZA.MG ; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 5 MG x 10; GM2

77942; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 1; GM2

77944; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 4; GM2

69835; CETO+DIP BETAME MG ; CETO DIP BETAME; NOT FOUND; CREME 30 G x 1; GM2

100276; COSARTAN HCT ; COSARTAN HCT; NOT FOUND; CPR 320 MG x 30 (/25); GM2

80408; COSARTAN ; COSARTAN; NOT FOUND; CPR REVEST 80 MG x 30; GM2

100273; COSARTAN HCT ; COSARTAN HCT; NOT FOUND; CPR 80 MG x 30 (/12.); GM2

68523; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; GOTAS 2.50 MG 20 ML x 1 (/ML); GM2

66687; CLOR.CLOMIPRAMI.MG ; CLOR CLOMIPRAMI; CLORIDRATO CLOMIPRAMINA; CPR 25 MG x 20; GM2

74506; CLOR.AMITRIPTIL.MG ; CLOR AMITRIPTIL; CLORIDRATO AMITRIPTILINA; CPR REVEST 75 MG x 20; GM2

77943; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 2; GM2

71251; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 10 MG x 28; GM2

103006; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 6.25 MG x 60; GM2

66104; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CPR REVEST 20 MG x 14; GM2

78852; CLOR.CICLOBENZA.MG ; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 5 MG x 15; GM2

76642; CLO DOR+MAL TIM MG ; CLO DOR MAL TIM; NOT FOUND; SOLN OFTAL 5 ML x 1; GM2

63988; CLO PROPRANOLOL MG ; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 40 MG x 60; GM2

66097; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 200 MG x 20; GM2

66109; CLOR TRAMADOL MG ; CLOR TRAMADOL; CLORIDRATO TRAMADOL; GOTAS 100 MG 15 ML x 1 (/ML); GM2

68192; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 60; GM2

69427; CICLOSPORINA MG ; CICLOSPORINA; CICLOSPORINA; CAPS 50 MG x 50; GM2

80406; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 14; GM2

63993; CLORTALIDONA MG ; CLORTALIDONA; CLORTALIDONA; CPR 25 MG x 60; GM2

74352; CLOR. LIDOCAINA MG ; CLOR LIDOCAINA; CLORIDRATO LIDOCAINA; CREME DERMAT 40 MG 30 G x 1 (/G; GM2

66101; CEFACLOR MG ; CEFACLOR; CEFACLOR; CAPS 500 MG x 10; GM2

69842; CLOR.OXIMETAZOL.MG ; CLOR OXIMETAZOL; CLORIDRATO OXIMETAZOLINA; SOL NASAL AD 0.50 MG 30 ML x 1; GM2

66693; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; GOTAS 20 MG 20 ML x 1 (/ML); GM2

62961; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; GM2

76496; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 250 MG x 14; GM2

76497; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 14; GM2

68897; CETOPROFENO MG ; CETOPROFENO; CETOPROFENO; GEL. 25 MG 30 G x 1 (/G); GM2

74700; CLOR. LIDOCAINA MG ; CLOR LIDOCAINA; CLORIDRATO LIDOCAINA; POM LARANJA 50 MG 25 G x 1 (/G); GM2

