1256800960037; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; CLOTRIMAZOL ACETATO DEXAMETASONA; NOT FOUND; 10 MG/G + 0.4 MG/G CREM DERM CT BG PLAS OPC X 40 G; PZ8
1256802470029; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM LIB PROL CT BL AL PLAS TRANS X 30; PZ8
1256802470088; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM LIB PROL CT BL AL PLAS TRANS X 400 (EMB HOSP); PZ8
1256802470126; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 750 MG LIB PROL CT BL AL PLAS TRANS X 30; PZ8
1256802470185; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 750 MG LIB PROL CT BL AL PLAS TRANS X 400 (EMB HOSP); PZ8
1256801510019; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 30; PZ8
1256801510027; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CX BL AL PLAS INC X 200 (EMB HOSP); PZ8
1256801510035; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CX BL AL PLAS INC X 400 (EMB HOSP); PZ8
1256801510061; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 400 (EMB HOSP); PZ8
1256801510043; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 30; PZ8
1256800250013; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 4 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; PZ8
1256800250021; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 4 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 10 ML (EMB HOSP); PZ8
1256801810012; CLORIDRATO DE NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.5 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML; PZ8
1256801810020; CLORIDRATO DE NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.5 MG/ML SOL NAS CX 100 FR PLAS OPC GOT X 30 ML (EMB HOSP); PZ8
1256802050011; CLORIDRATO DE OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; 0.25 MG/ML SOL NAS CT FR PLAS OPC GOT X 20 ML  ; PZ8
1256802050021; CLORIDRATO DE OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; 0.25 MG/ML SOL NAS CX 100 FR PLAS OPC GOT X 20 ML (EMB HOSP); PZ8
1256802130015; CLORIDRATO DE PROMETAZINA; CLORIDRATO PROMETAZINA; CLORIDRATO PROMETAZINA; 25 MG COM REV CT BL AL PLAS INC X 20; PZ8
1256802130023; CLORIDRATO DE PROMETAZINA; CLORIDRATO PROMETAZINA; CLORIDRATO PROMETAZINA; 25 MG COM REV CX BL AL PLAS INC X 500 (EMB HOSP); PZ8
1256802130041; CLORIDRATO DE PROMETAZINA; CLORIDRATO PROMETAZINA; CLORIDRATO PROMETAZINA; 25 MG COM REV CT BL AL PLAS TRANS X 120 (EMB FRAC); PZ8
1256801680143; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT BL AL PLAS TRANS X 30; PZ8
1256801680151; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT BL AL PLAS OPC X 30; PZ8
1256801680054; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 80 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
1256801680089; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 80 MG COM CT BL AL PLAS INC X 20; PZ8
1256801680011; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 10 MG COM CT BL AL PLAS INC X 20; PZ8
1256801680021; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 10 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); PZ8
1256801680062; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); PZ8
1256801680038; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 10 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
1256801680097; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 80 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); PZ8
1256801680046; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT BL AL PLAS INC X 20; PZ8
1256801680070; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
1256801680100; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT BL AL PLAS LEIT X 20; PZ8
1256801680135; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT BL AL PLAS LEIT X 270 (EMB FRAC); PZ8
1256800590019; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10 MG/G SOL TOP CT FR PLAS X 30 ML; PZ8
1256800590027; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10 MG/G SOL TOP CX 200 FR PLAS X 30 ML (EMB HOSP); PZ8
1256800650011; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10 MG/G CREM CT BG AL X 20 G; PZ8
1256800650021; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10 MG/G CREM CX 100 BG AL X 20 G (EMB HOSP); PZ8
1256801980023; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 250 MG COM CT BL AL PLAS INC X 14; PZ8
1256801980041; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 250 MG COM CT BL AL PLAS INC X 140; PZ8
1256801980031; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 250 MG COM CT BL AL PLAS INC X 28; PZ8
1256801980058; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 250 MG COM CT BL AL PLAS INC X 420 (EMB HOSP); PZ8
1256801980015; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 250 MG COM CT BL AL PLAS INC X 7 ; PZ8
1256801710034; CLORIDRATO DE TETRACICLINA; CLORIDRATO TETRACICLINA; CLORIDRATO TETRACICLINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP); PZ8
1256801710026; CLORIDRATO DE TETRACICLINA; CLORIDRATO TETRACICLINA; CLORIDRATO TETRACICLINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12; PZ8
1256801710042; CLORIDRATO DE TETRACICLINA; CLORIDRATO TETRACICLINA; CLORIDRATO TETRACICLINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256801710050; CLORIDRATO DE TETRACICLINA; CLORIDRATO TETRACICLINA; CLORIDRATO TETRACICLINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
1256801710018; CLORIDRATO DE TETRACICLINA; CLORIDRATO TETRACICLINA; CLORIDRATO TETRACICLINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 8; PZ8
1256801710069; CLORIDRATO DE TETRACICLINA; CLORIDRATO TETRACICLINA; CLORIDRATO TETRACICLINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 140 (EMB FRAC); PZ8
1256801930018; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 80MG COM REV CT BL AL PLAS OPC X 30 ; PZ8
1256801930026; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 80 MG COM REV CT BL AL PLAS OPC X 300 (EMB HOSP); PZ8
1256801930034; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 80 MG COM REV CT BL AL PLAS OPC X 800 (EMB HOSP); PZ8
1256801040039; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 20 G; PZ8
1256801040071; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10MG/G CREM DERM CT BG AL X 30G; PZ8
1256801040047; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10MG/G CREM DERM CT BG PLAS OPC X 20G; PZ8
1256801040081; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10MG/G CREM DERM CT BG PLAS OPC X 30G; PZ8
1256801040020; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CX 100 BG AL X 20 G (EMB HOSP); PZ8
1256801040012; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CX 100 BG PLAS OPC X 20 G (EMB HOSP); PZ8
1256801040063; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CX 100 BG AL X 30 G (EMB HOSP); PZ8
1256801040055; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CX 100 BG PLAS OPC X 30 G (EMB HOSP); PZ8
1256802100035; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM VAG CT BG AL X 35 G + 6 APLIC; PZ8
1256802100043; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM VAG CX 50 BG AL X 35 G + 300 APLIC (EMB HOSP); PZ8
1256802100019; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 20 MG/G CREM VAG CT BG AL X 20 G + 3 APLIC; PZ8
1256802100027; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 20 MG/G CREM VAG CX 50 BG AL X 20 G + 150 APLIC (EMB HOSP); PZ8
1256800470031; CLEANBAC; CLEANBAC; NOT FOUND; 2MG/G SOL TOP CX 200 FR X 30ML; PZ8
1256800470021; CLEANBAC; CLEANBAC; NOT FOUND; 2MG/G SOL TOP CX 24 FR X 500ML; PZ8
1256800470013; CLEANBAC; CLEANBAC; NOT FOUND; 2MG/G POM CX 100 BG X 30G; PZ8
1256800470048; CLEANBAC; CLEANBAC; NOT FOUND; 2 MG/G POM CX 24 PT X 500 G; PZ8
1256800470056; CLEANBAC; CLEANBAC; NOT FOUND; 2 MG/G POM DERM CT BG AL X 50 G; PZ8
