508015901138411, FILINAR, FILINAR, NOT FOUND, 10 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED , EUF
508007404112411, FLUXENE, FLUXENE, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS INC X 14, EUF
508007401113417, FLUXENE, FLUXENE, NOT FOUND, CT C/ 2 BL X 7 CAPS, EUF
508007403116413, FLUXENE, FLUXENE, NOT FOUND, CT C/ 28 CAPS 10 MG, EUF
508007402111418, FLUXENE, FLUXENE, NOT FOUND, CT C/ 4 BL X 7 CAPS, EUF
508016102158116, FOLINATO DE CÁLCIO, FOLINATO CALCIO, FOLINATO CALCIO, 50 MG PO LIOF P/ SOL INJ DISP 50 FA VD AMB (EMB HOSP), EUF
508007601155113, FOSFATO DE CLINDAMICINA, FOSFATO CLINDAMICINA, FOSFATO CLINDAMICINA, 150MG/ML SOL INJ CT 50AMP VD INC X 4ML, EUF
508007603158111, FOSFATO DE CLINDAMICINA, FOSFATO CLINDAMICINA, FOSFATO CLINDAMICINA, INJ 600 MG CT C/ AMP X 4 ML, EUF
508025202119219, FOZNOL, FOZNOL, NOT FOUND, 500MG COM MAST CT FR PLAS OPC X 90, EUF
508025201112210, FOZNOL, FOZNOL, NOT FOUND, 750MG COM MAST CT FR PLAS OPC X 90, EUF
508016204163119, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 0.1 PCC POM DERM CT BG AL X 10 G                                                                    , EUF
508016203167110, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 0.1% CREM DERM CT BG AL X 10 G                                                                      , EUF
508016201164114, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, BISN 20G CREME, EUF
508016202160112, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, BISN 20G POMADA, EUF
508015901138411, FILINAR, FILINAR, NOT FOUND, 10 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED , EUF
508015902134418, FILINAR, FILINAR, NOT FOUND, 5 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED&nbsp;01, EUF
508028101135418, FÁGICO, FAGICO, NOT FOUND, 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, EUF
508025202119219, FOZNOL, FOZNOL, NOT FOUND, 500 MG COM MAST CT FR PLAS OPC X 90, EUF
508025201112210, FOZNOL, FOZNOL, NOT FOUND, 750 MG COM MAST CT FR PLAS OPC X 90, EUF
508007404112411, FLUXENE, FLUXENE, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS INC X 14, EUF
508007403116413, FLUXENE, FLUXENE, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS INC X 28, EUF
508007401113417, FLUXENE, FLUXENE, NOT FOUND, 20 MG CAP GEL DURA CT BL AL PLAS INC X 14, EUF
508007402111418, FLUXENE, FLUXENE, NOT FOUND, 20 MG CAP GEL DURA CT BL AL PLAS INC X 28, EUF
508007001115110, FINASTERIDA, FINASTERIDA, FINASTERIDA, 1 MG COM REV CT BL AL PLAS INC X 30, EUF
508007002111119, FINASTERIDA, FINASTERIDA, FINASTERIDA, 5 MG COM REV CT BL AL PLAS INC X 15 , EUF
508007003118117, FINASTERIDA, FINASTERIDA, FINASTERIDA, 5 MG COM REV CT BL AL PLAS INC X 30, EUF
508019901159118, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 2 MG/ ML SOL INJ INF IV CX C/ 6 BOLSAS PLAST X 100 ML, EUF
508016002153112, FLUMAZENIL, FLUMAZENIL, FLUMAZENIL, 0.1 MG/ML SOL INJ CT 25 AMP VD INC X 5 ML  , EUF
508016001157114, FLUMAZENIL, FLUMAZENIL, FLUMAZENIL, 0.1 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML , EUF
508016003151113, FLUMAZENIL, FLUMAZENIL, FLUMAZENIL, 0.1 MG/ML SOL INJ CT 50 AMP VD INC X 5 ML (EMB HOSP), EUF
508007202153117, FLUORURACILA, FLUORURACILA, FLUORURACILA, 25 MG/ML SOL INJ CT 10 FA VD INC X 10 ML , EUF
508007201157119, FLUORURACILA, FLUORURACILA, FLUORURACILA, 25 MG/ML SOL INJ CT 5 FA VD INC X 20 ML , EUF
508007203151118, FLUORURACILA, FLUORURACILA, FLUORURACILA, 25 MG/ML SOL INJ CT 50 FA VD INC X 10 ML (EMB HOSP) , EUF
508029702159417, FLUSAN, FLUSAN, NOT FOUND, 50 MG/ML SOL INJ CT 20 FA VD INC X 20 ML, EUF
508029701152419, FLUSAN, FLUSAN, NOT FOUND, 50 MG/ML SOL INJ CT 50 FA VD INC X 10 ML, EUF
508016103154114, FOLINATO DE CÁLCIO, FOLINATO CALCIO, FOLINATO CALCIO, 10 MG/ML SOL INJ IV/IM CT 10 FA VD INC X 30 ML, EUF
508016102158116, FOLINATO DE CÁLCIO, FOLINATO CALCIO, FOLINATO CALCIO, 50 MG PO LIOF P/ SOL INJ CX 50 FA VD AMB (EMB HOSP), EUF
508007601155113, FOSFATO DE CLINDAMICINA, FOSFATO CLINDAMICINA, FOSFATO CLINDAMICINA, 150 MG/ML SOL INJ CX 50 AMP VD INC X 4 ML (EMB HOSP), EUF
508007603158111, FOSFATO DE CLINDAMICINA, FOSFATO CLINDAMICINA, FOSFATO CLINDAMICINA, INJ 600 MG CT C/ AMP X 4 ML, EUF
508016204163119, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 0.1 PCC POM DERM CT BG AL X 10 G, EUF
508016203167110, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 0.1% CREM DERM CT BG AL X 10 G, EUF
508016201164114, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 0.1% CREM DERM CT BG AL X 20 G, EUF
508016202160112, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 0.1% POM DERM CT BG AL X 20 G, EUF
508015901138411, FILINAR, FILINAR, NOT FOUND, 10 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED , EUF
508015902134418, FILINAR, FILINAR, NOT FOUND, 5 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED&nbsp;01, EUF
508028101135418, FÁGICO, FAGICO, NOT FOUND, 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, EUF
508025202119219, FOZNOL, FOZNOL, NOT FOUND, 500 MG COM MAST CT FR PLAS OPC X 90, EUF
508025201112210, FOZNOL, FOZNOL, NOT FOUND, 750 MG COM MAST CT FR PLAS OPC X 90, EUF
508007404112411, FLUXENE, FLUXENE, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS INC X 14, EUF
508007403116413, FLUXENE, FLUXENE, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS INC X 28, EUF
508007401113417, FLUXENE, FLUXENE, NOT FOUND, 20 MG CAP GEL DURA CT BL AL PLAS INC X 14, EUF
508007402111418, FLUXENE, FLUXENE, NOT FOUND, 20 MG CAP GEL DURA CT BL AL PLAS INC X 28, EUF
508007001115110, FINASTERIDA, FINASTERIDA, FINASTERIDA, 1 MG COM REV CT BL AL PLAS INC X 30, EUF
508007002111119, FINASTERIDA, FINASTERIDA, FINASTERIDA, 5 MG COM REV CT BL AL PLAS INC X 15 , EUF
508007003118117, FINASTERIDA, FINASTERIDA, FINASTERIDA, 5 MG COM REV CT BL AL PLAS INC X 30, EUF
508019901159118, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 2 MG/ ML SOL INJ INF IV CX C/ 6 BOLSAS PLAST X 100 ML, EUF
508016002153112, FLUMAZENIL, FLUMAZENIL, FLUMAZENIL, 0.1 MG/ML SOL INJ CT 25 AMP VD INC X 5 ML  , EUF
508016001157114, FLUMAZENIL, FLUMAZENIL, FLUMAZENIL, 0.1 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML , EUF
508016003151113, FLUMAZENIL, FLUMAZENIL, FLUMAZENIL, 0.1 MG/ML SOL INJ CT 50 AMP VD INC X 5 ML (EMB HOSP), EUF
508007202153117, FLUORURACILA, FLUORURACILA, FLUORURACILA, 25 MG/ML SOL INJ CT 10 FA VD INC X 10 ML , EUF
508007201157119, FLUORURACILA, FLUORURACILA, FLUORURACILA, 25 MG/ML SOL INJ CT 5 FA VD INC X 20 ML , EUF
508007203151118, FLUORURACILA, FLUORURACILA, FLUORURACILA, 25 MG/ML SOL INJ CT 50 FA VD INC X 10 ML (EMB HOSP) , EUF
508029702159417, FLUSAN, FLUSAN, NOT FOUND, 50 MG/ML SOL INJ CT 20 FA VD INC X 20 ML, EUF
508029701152419, FLUSAN, FLUSAN, NOT FOUND, 50 MG/ML SOL INJ CT 50 FA VD INC X 10 ML, EUF
508016103154114, FOLINATO DE CÁLCIO, FOLINATO CALCIO, FOLINATO CALCIO, 10 MG/ML SOL INJ IV/IM CT 10 FA VD INC X 30 ML, EUF
508016102158116, FOLINATO DE CÁLCIO, FOLINATO CALCIO, FOLINATO CALCIO, 50 MG PO LIOF P/ SOL INJ CX 50 FA VD AMB (EMB HOSP), EUF
508007601155113, FOSFATO DE CLINDAMICINA, FOSFATO CLINDAMICINA, FOSFATO CLINDAMICINA, 150 MG/ML SOL INJ CX 50 AMP VD INC X 4 ML (EMB HOSP), EUF
508007603158111, FOSFATO DE CLINDAMICINA, FOSFATO CLINDAMICINA, FOSFATO CLINDAMICINA, INJ 600 MG CT C/ AMP X 4 ML, EUF
508016204163119, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 0.1 PCC POM DERM CT BG AL X 10 G, EUF
508016203167110, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 0.1% CREM DERM CT BG AL X 10 G, EUF
508016201164114, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 0.1% CREM DERM CT BG AL X 20 G, EUF
508016202160112, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 0.1% POM DERM CT BG AL X 20 G, EUF
