520725901116111, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM CT BL AL PLAS INC X 2, TTB
520718904131119, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML SOL OR CT FR PET AMB X 120 ML, TTB
520718901130111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, SOL ORAL 0.4MG/ML FR X 120ML, TTB
520719001176415, SULFITRAT, SULFITRAT, NOT FOUND, SOL TP FR X 100ML, TTB
520725901116111, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM CT BL AL PLAS INC X 2, TTB
520725902112111, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM CT BL AL PLAS INC X 4, TTB
520718301117416, SEDALEX, SEDALEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT 50 BL AL PLAS INC X 4, TTB
520718303111415, SEDALEX, SEDALEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT BL AL PLAS LARANJA X 240, TTB
520718502112411, SEDILAX, SEDILAX, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS LARANJA X 200, TTB
520718501116413, SEDILAX, SEDILAX, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS LARANJA X 30, TTB
520729001111116, SIMETICONA, SIMETICONA, SIMETICONA, 40 MG COM CT BL AL PLAS INC X 20, TTB
520718601171416, SOROLIV, SOROLIV, NOT FOUND, 9 MG/ML + 0.1 MG/ML SOL NAS CT FR PLAS OPC + NEB X 30 ML, TTB
520718602176411, SOROLIV, SOROLIV, NOT FOUND, 9 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML, TTB
520729201178419, SOROLIV ADULTO , SOROLIV ADULTO, NOT FOUND, 0.5 MG/ML + 0.1 MG/ML + 9 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML , TTB
520721901138112, SULF+TRI, SULF TRI, NOT FOUND, 200/40MG/5ML 100ML GEN C/01, TTB
520718804135112, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CT FR PLAS AMB X 100 ML + CP MED, TTB
520718805131110, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CX 50 FR PLAS AMB X 100 ML + 50 CP MED (EMB HOSP), TTB
520718803139114, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CX 50 FR VD AMB X 50 ML + 50 CP MED (EMB HOSP), TTB
520718801111115, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 400 MG + 80 MG COM CT BL AL PLAS INC X 100 (EMB. HOSP.) , TTB
520718802116110, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 400 MG + 80 MG COM CT BL AL PLAS INC X 20, TTB
520718806111113, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 800 MG + 160 MG COM CT BL AL PVC INC X 10 , TTB
520718903133118, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML SOL OR CT 50 FR PET AMB X 120 ML (EMB HOSP), TTB
520718902137111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML SOL OR CT 50 FR VD AMB X 120 ML (EMB HOSP), TTB
520718904131119, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML SOL OR CT FR PET AMB X 120 ML, TTB
520718901130111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, SOL ORAL 0.4MG/ML FR X 120ML, TTB
520719001176415, SULFITRAT, SULFITRAT, NOT FOUND, SOL TP FR X 100ML, TTB
520718301117416, SEDALEX, SEDALEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT 50 BL AL PLAS INC X 4, TTB
520718303111415, SEDALEX, SEDALEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT BL AL PLAS LARANJA X 240, TTB
520718304116410, SEDALEX, SEDALEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT BL AL PLAS LARANJA X 30, TTB
520718601171416, SOROLIV, SOROLIV, NOT FOUND, 9 MG/ML + 0.1 MG/ML SOL NAS CT FR PLAS OPC + NEB X 30 ML, TTB
520732201175411, SOROLIV HIPERTÔNICO, SOROLIV HIPERTONICO, NOT FOUND, 30 MG/ML SOL NAS CT FR PLAS AMB SPR X 60 ML, TTB
520718602176411, SOROLIV, SOROLIV, NOT FOUND, 9 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML, TTB
520729201178419, SOROLIV ADULTO , SOROLIV ADULTO, NOT FOUND, 0.5 MG/ML + 0.1 MG/ML + 9 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML , TTB
520718502112411, SEDILAX, SEDILAX, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS LARANJA X 200, TTB
520718501116413, SEDILAX, SEDILAX, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS LARANJA X 30, TTB
520725901116111, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM CT BL AL PLAS INC X 2, TTB
520725902112111, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM CT BL AL PLAS INC X 4, TTB
520729001111116, SIMETICONA, SIMETICONA, SIMETICONA, 40 MG COM CT BL AL PLAS INC X 20, TTB
520718804135112, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CT FR PLAS AMB X 100 ML + CP MED, TTB
520721901138112, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED, TTB
520718805131110, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CX 50 FR PLAS AMB X 100 ML + 50 CP MED (EMB HOSP), TTB
520718803139114, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CX 50 FR VD AMB X 50 ML + 50 CP MED (EMB HOSP), TTB
520718801111115, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 400 MG + 80 MG COM CT BL AL PLAS INC X 100 (EMB. HOSP.) , TTB
520718802116110, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 400 MG + 80 MG COM CT BL AL PLAS INC X 20, TTB
520718806111113, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 800 MG + 160 MG COM CT BL AL PVC INC X 10 , TTB
520718903133118, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML SOL OR CT 50 FR PET AMB X 120 ML (EMB HOSP), TTB
520718902137111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML SOL OR CT 50 FR VD AMB X 120 ML (EMB HOSP), TTB
520718904131119, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML SOL OR CT FR PET AMB X 120 ML, TTB
520718901130111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, SOL ORAL 0.4MG/ML FR X 120ML, TTB
520718301117416, SEDALEX, SEDALEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT 50 BL AL PLAS INC X 4, TTB
520718303111415, SEDALEX, SEDALEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT BL AL PLAS LARANJA X 240, TTB
520718304116410, SEDALEX, SEDALEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT BL AL PLAS LARANJA X 30, TTB
520718601171416, SOROLIV, SOROLIV, NOT FOUND, 9 MG/ML + 0.1 MG/ML SOL NAS CT FR PLAS OPC + NEB X 30 ML, TTB
520732201175411, SOROLIV HIPERTÔNICO, SOROLIV HIPERTONICO, NOT FOUND, 30 MG/ML SOL NAS CT FR PLAS AMB SPR X 60 ML, TTB
520718602176411, SOROLIV, SOROLIV, NOT FOUND, 9 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML, TTB
520729201178419, SOROLIV ADULTO , SOROLIV ADULTO, NOT FOUND, 0.5 MG/ML + 0.1 MG/ML + 9 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML , TTB
520718502112411, SEDILAX, SEDILAX, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS LARANJA X 200, TTB
520718501116413, SEDILAX, SEDILAX, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS LARANJA X 30, TTB
520725901116111, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM CT BL AL PLAS INC X 2, TTB
520725902112111, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM CT BL AL PLAS INC X 4, TTB
520729001111116, SIMETICONA, SIMETICONA, SIMETICONA, 40 MG COM CT BL AL PLAS INC X 20, TTB
520718804135112, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CT FR PLAS AMB X 100 ML + CP MED, TTB
520721901138112, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED, TTB
520718805131110, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CX 50 FR PLAS AMB X 100 ML + 50 CP MED (EMB HOSP), TTB
520718803139114, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CX 50 FR VD AMB X 50 ML + 50 CP MED (EMB HOSP), TTB
520718801111115, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 400 MG + 80 MG COM CT BL AL PLAS INC X 100 (EMB. HOSP.) , TTB
520718802116110, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 400 MG + 80 MG COM CT BL AL PLAS INC X 20, TTB
520718806111113, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 800 MG + 160 MG COM CT BL AL PVC INC X 10 , TTB
520718903133118, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML SOL OR CT 50 FR PET AMB X 120 ML (EMB HOSP), TTB
520718902137111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML SOL OR CT 50 FR VD AMB X 120 ML (EMB HOSP), TTB
520718904131119, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML SOL OR CT FR PET AMB X 120 ML, TTB
520718901130111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, SOL ORAL 0.4MG/ML FR X 120ML, TTB
