46644; C.CALCIO ; C CALCIO; NOT FOUND; CPR EFER x 10; E3S
69602; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 100 MG x 14; E3S
69601; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 20; E3S
69600; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 28; E3S
60066; CLORATADD ; CLORATADD; NOT FOUND; CPR 10 MG x 12; E3S
60067; CLORATADD ; CLORATADD; NOT FOUND; XAR. 5 MG 100 ML x 1 (/5ML); E3S
61518; CLORATADD D ; CLORATADD D; NOT FOUND; DRAG x 12; E3S
61519; CLORATADD D ; CLORATADD D; NOT FOUND; XAR. 60 ML x 1; E3S
62448; CLORTALIDONA MG ; CLORTALIDONA; CLORTALIDONA; CPR 12.5 MG x 60; E3S
62449; CLORTALIDONA MG ; CLORTALIDONA; CLORTALIDONA; CPR 25 MG x 60; E3S
62450; CLORTALIDONA MG ; CLORTALIDONA; CLORTALIDONA; CPR 50 MG x 30; E3S
69660; CLORTALIDONA MG ; CLORTALIDONA; CLORTALIDONA; CPR 50 MG x 90; E3S
71256; CLORTALIL ; CLORTALIL; NOT FOUND; CPR 25 MG x 60; E3S
71259; CLORTALIL ; CLORTALIL; NOT FOUND; CPR 50 MG x 30; E3S
68731; CLOTRI+AC.DEXAM.MG ; CLOTRI AC DEXAM; NOT FOUND; CREME 40 G x 1; E3S
56560; CLOTRIMAZOL CR.MG ; CLOTRIMAZOL CR; NOT FOUND; CREME 20 G x 1; E3S
66178; CLOTRIMAZOL MG ; CLOTRIMAZOL; CLOTRIMAZOL; CR.VAG. 6APL 10 MG 35 G x 1 (/G); E3S
66179; CLOTRIMAZOL MG ; CLOTRIMAZOL; CLOTRIMAZOL; CR.VAG.3 APL 20 MG 20 G x 1 (/G); E3S
2600; COLACHOFRA ; COLACHOFRA; NOT FOUND; LIQD 120 ML x 1; E3S
2715; COMPLEXO B ; COMPLEXO B; NOT FOUND; DRAG x 100; E3S
2714; COMPLEXO B ; COMPLEXO B; NOT FOUND; DRAG x 20; E3S
33647; COMPLEXO B ; COMPLEXO B; NOT FOUND; GOTAS 20 ML x 1; E3S
2716; COMPLEXO B ; COMPLEXO B; NOT FOUND; XAR. 120 ML x 1; E3S
83999; CONCARDIO ; CONCARDIO; NOT FOUND; CPR REVEST 1.25 MG x 30; E3S
83995; CONCARDIO ; CONCARDIO; NOT FOUND; CPR REVEST 10 MG x 30; E3S
83997; CONCARDIO ; CONCARDIO; NOT FOUND; CPR REVEST 2.50 MG x 30; E3S
83996; CONCARDIO ; CONCARDIO; NOT FOUND; CPR REVEST 5 MG x 30; E3S
58113; CONTRACEP ; CONTRACEP; NOT FOUND; F.AMP 150 MG 1 ML x 1 (/ML); E3S
69812; CORONARIL ; CORONARIL; NOT FOUND; CPR REVEST 120 MG x 20; E3S
69810; CORONARIL ; CORONARIL; NOT FOUND; CPR REVEST 240 MG x 30; E3S
69811; CORONARIL ; CORONARIL; NOT FOUND; CPR REVEST 80 MG x 30; E3S
73815; CORTIFUNGIN ; CORTIFUNGIN; NOT FOUND; CREME 20 MG 30 G x 1 (/G); E3S
73816; CORTIFUNGIN ; CORTIFUNGIN; NOT FOUND; POM. 20 MG 30 G x 1 (/G); E3S
54405; CORTIZOL ; CORTIZOL; NOT FOUND; F.AMP SOLV 500 MG 5 ML x 50; E3S
131033; CYMBI ; CYMBI; NOT FOUND; CAPS LR 30 MG x 30; E3S
131034; CYMBI ; CYMBI; NOT FOUND; CAPS LR 60 MG x 30; E3S
45785; CYSTEX ; CYSTEX; NOT FOUND; DRAG x 24; E3S
71668; CYSTISTAT ; CYSTISTAT; NOT FOUND; SOLN INJ. 0.80 MG 50 ML x 1 (/ML); E3S
