1018104180011; CLOTRIMAZOL + ACETADO DE DEXAMETASONA; CLOTRIMAZOL ACETADO DEXAMETASONA; NOT FOUND; 10 MG/G + 0.4 MG/G CREM DERM CT BG AL X 40 G ; MD7
1018104470117; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1 G COM REV CT 9 BL AL PLAS INC X 10 (EMB HOSP); MD7
1018104470044; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT 15 BL AL PLAS INC X 10 (EMB HOSP); MD7
1018104470011; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT  BL AL PLAS INC X 30 ; MD7
1018104470028; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT  BL AL PLAS INC X 60 (EMB HOSP); MD7
1018104470036; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT 9 BL AL PLAS INC X 10 (EMB HOSP); MD7
1018104470087; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT 15 BL AL PLAS INC X 10 (EMB HOSP); MD7
1018104470052; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT 3 BL AL PLAS INC X 10; MD7
1018104470060; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT  BL AL PLAS INC X 60 (EMB HOSP); MD7
1018104470079; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT 9 BL AL PLAS INC X 10 (EMB HOSP); MD7
1018104270010; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 4 MG/ML SOL OR CT FR VD AMB X 10 ML + CGT; MD7
1018104130022; CLORIDRATO DE NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.5 MG/ML SOL NAS CT FR PLAS TRANSL GOT X 30 ML; MD7
1018105550033; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 75 MG CAP GEL DURA CT BL AL PLAS INC X 20; MD7
1018105550017; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 50 MG CAP GEL DURA CT BL AL PLAS INC X 20; MD7
1018105550025; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 50 MG CAP GEL DURA CT BL AL PLAS INC X 30; MD7
1018105550041; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 75 MG CAP GEL DURA CT BL AL PLAS INC X 30; MD7
1018105490022; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; MD7
1018105490014; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 20; MD7
1018105440033; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT BL AL PLAS INC X 30; MD7
1018105440017; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 10 MG COM CT BL AL PLAS INC X 30; MD7
1018105440068; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 80 MG COM CT BL AL PLAS INC X 30; MD7
1018105440051; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT BL AL PLAS INC X 90 (EMB HOSP); MD7
1018103570010; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT STR X 10; MD7
1018103570029; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT STR X 20; MD7
1018103570045; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT STR X 10; MD7
1018103570053; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT STR X 20; MD7
1018103570071; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT BL AL/AL X 10; MD7
1018103570088; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT BL AL/AL X 20; MD7
1018103570134; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT BL AL/AL X 10; MD7
1018103570142; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT BL AL/AL X 20; MD7
1018103790010; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 30 ; MD7
1018105370043; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 100 (EMB HOSP); MD7
1018105370051; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 100 MG COM REV CT BL AL PLAS INC X 14; MD7
1018105370019; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 20; MD7
1018105370035; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 60; MD7
1018105370027; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 30; MD7
1018105160014; CLORIDRATO DE SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; 10 MG CAP GEL DURA CT BL AL PVC/PVC INC X 10; MD7
1018105160022; CLORIDRATO DE SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; 10 MG CAP GEL DURA CT BL AL PVC/PVDC INC X 30; MD7
1018105160030; CLORIDRATO DE SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; 15 MG CAP GEL DURA CT BL AL PVC/PVC INC X 10; MD7
1018105160049; CLORIDRATO DE SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; 15 MG CAP GEL DURA CT BL AL PVC/PVDC INC X 30; MD7
1018103470016; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10 MG/G CREM CT BG AL X 20 G; MD7
1018103500012; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 125 MG COM CT BL AL PLAS INC X 14; MD7
1018103500047; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 250 MG COM CT BL AL PLAS INC X  14; MD7
1018103500039; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 250 MG COM CT BL AL PLAS INC X  7; MD7
1018103500055; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 250 MG COM CT BL AL PLAS INC X 28; MD7
1018103500081; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 250 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); MD7
1018105590027; CLORIDRATO DE TICLOPIDINA; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INC X 30; MD7
1018105590019; CLORIDRATO DE TICLOPIDINA; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INC X 20; MD7
1018105590035; CLORIDRATO DE TICLOPIDINA; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC); MD7
1018104890019; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG CAP GEL DURA CT BL AL PLAS  BCO  X 10 ; MD7
1018104890027; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG CAP GEL DURA CT BL AL PLAS BCO X 60 (EMB HOSP); MD7
1018105190010; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 75MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 15 ; MD7
1018105190029; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 75MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 30; MD7
1018105190037; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 150MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 15 ; MD7
1018105190045; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 150MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 30; MD7
1018105190061; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 37.5 MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 15; MD7
1018105190071; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 37.5 MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 30; MD7
1018105190053; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 37.5 MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 7; MD7
1018103840018; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM VAG CT BG AL X 35 G + 6 APLIC; MD7
1018103840034; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 20 MG/G CREM VAG CT BG AL X 20 G + 3 APLIC; MD7
1018103410014; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 20 G; MD7
1018102820080; CALMOCITENO; CALMOCITENO; NOT FOUND; 10 MG COM CT BL AL PLAST INC X 200 (EMB HOSP); MD7
1018102820056; CALMOCITENO; CALMOCITENO; NOT FOUND; 10 MG COM CT BL AL PLAST INC X 20; MD7
1018102820021; CALMOCITENO; CALMOCITENO; NOT FOUND; 5 MG COM CT BL AL PLAST INC X 20; MD7
1018102820013; CALMOCITENO; CALMOCITENO; NOT FOUND; 5 MG COM CT BL AL PLAST INC X 200 (EMB HOSP) ; MD7
1018102460033; CLOFENAK; CLOFENAK; NOT FOUND; 15 MG/ML SUSP OR CT FR X 20 ML GOTAS; MD7
1018102460092; CLOFENAK; CLOFENAK; NOT FOUND; GEL BISN C/60 G; MD7
1018102460017; CLOFENAK; CLOFENAK; NOT FOUND; 50 MG CX C/10 COMP REV ( 1BL X 10 ); MD7
1018106420011; CONFIARE; CONFIARE; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 10 G; MD7
1018106420028; CONFIARE; CONFIARE; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 30 G; MD7
1018106420036; CONFIARE; CONFIARE; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 60 G; MD7
1018102660040; CINTILAN; CINTILAN; NOT FOUND; SOL INJ C/12 AMP 5 ML; MD7
1018102660032; CINTILAN; CINTILAN; NOT FOUND; 60 MG/ML SOL OR CT FR VD AMB X 120 ML; MD7
1018102660024; CINTILAN; CINTILAN; NOT FOUND; 400 MG CAP GEL DURA CT 10 BL AL PLAS INC X 6; MD7
