508008601116116, LAMIVUDINA, LAMIVUDINA, LAMIVUDINA, 150 MG COM REV CT FR PLAS OPC X 60 (EMB. HOSP.), EUF
508021001119413, LORED, LORED, NOT FOUND, 2.5MG + 50 MG CAP GEL DURA CT STR AL X 30, EUF
508021002115411, LORED, LORED, NOT FOUND, 5 MG + 100 MG CAP GEL DURA CT STR AL X 30, EUF
508008901160412, LOCOID, LOCOID, NOT FOUND, 1 MG/G CREM DERM CT TB AL X 15 G, EUF
508008902175413, LOCOID, LOCOID, NOT FOUND, 1 MG/G LOC EMU CT FR PLAS OPC X 30 G, EUF
508005103115415, LEVOGEN, LEVOGEN, NOT FOUND, 0.150 MG + 0.030 MG COM REV CT BL AL PLAS INC X 21, EUF
508005101112419, LEVOGEN, LEVOGEN, NOT FOUND, 0.150 MG + 0.030 MG COM REV CT BL AL PLAS INC X 63, EUF
508008601116116, LAMIVUDINA, LAMIVUDINA, LAMIVUDINA, 150 MG COM REV CT FR PLAS OPC X 60 (EMB. HOSP.), EUF
508022201111112, LETROZOL, LETROZOL, LETROZOL, 2.5 MG COM REV CT BL AL PLAS INC X 28, EUF
508022202118110, LETROZOL, LETROZOL, LETROZOL, 2.5 MG COM REV CT BL AL PLAS INC X 30, EUF
508008703113116, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COM REV CT BL AL PLAS INC X 7, EUF
508008706155111, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 5 MG/ML SOL INJ CT 6 BOLS PLAS INC X 100 ML, EUF
508008705159113, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 5 MG/ML SOL INJ CT BOLSA PLAS INC X 100 ML, EUF
508008701153110, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 5 MG/ML SOL INJ CT FA VD INC X 100 ML , EUF
508008702117118, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 10, EUF
508008707119119, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 3, EUF
508008704111117, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 7  , EUF
508019201114111, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS LEIT X 15, EUF
508024902117113, LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA, LOSARTANA POTASSICA HIDROCLOROTIAZIDA, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS OPC X 30, EUF
508024901110115, LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA, LOSARTANA POTASSICA HIDROCLOROTIAZIDA, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 30, EUF
508019202110111, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS OPC X 30 , EUF
508008801115415, LINATIS, LINATIS, NOT FOUND, 0.35 MG COM CT 5 BL AL PLAS INC X 7 , EUF
508016301134111, LORATADINA + SULF. PSEUDOEFEDRINA, LORATADINA SULF PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML, EUF
508021001119413, LORED, LORED, NOT FOUND, 2.5MG + 50 MG CAP GEL DURA CT STR AL X 30, EUF
508021002115411, LORED, LORED, NOT FOUND, 5 MG + 100 MG CAP GEL DURA CT STR AL X 30, EUF
508008901160412, LOCOID, LOCOID, NOT FOUND, 1 MG/G CREM DERM CT TB AL X 15 G, EUF
508008902175413, LOCOID, LOCOID, NOT FOUND, 1 MG/G LOC EMU CT FR PLAS OPC X 30 G, EUF
508005103115415, LEVOGEN, LEVOGEN, NOT FOUND, 0.150 MG + 0.030 MG COM REV CT BL AL PLAS INC X 21, EUF
508005101112419, LEVOGEN, LEVOGEN, NOT FOUND, 0.150 MG + 0.030 MG COM REV CT BL AL PLAS INC X 63, EUF
508008601116116, LAMIVUDINA, LAMIVUDINA, LAMIVUDINA, 150 MG COM REV CT FR PLAS OPC X 60 (EMB. HOSP.), EUF
508022201111112, LETROZOL, LETROZOL, LETROZOL, 2.5 MG COM REV CT BL AL PLAS INC X 28, EUF
508022202118110, LETROZOL, LETROZOL, LETROZOL, 2.5 MG COM REV CT BL AL PLAS INC X 30, EUF
508008703113116, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COM REV CT BL AL PLAS INC X 7, EUF
508008706155111, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 5 MG/ML SOL INJ CT 6 BOLS PLAS INC X 100 ML, EUF
508008705159113, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 5 MG/ML SOL INJ CT BOLSA PLAS INC X 100 ML, EUF
508008701153110, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 5 MG/ML SOL INJ CT FA VD INC X 100 ML , EUF
508008702117118, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 10, EUF
508008707119119, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 3, EUF
508008704111117, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 7  , EUF
508019201114111, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS LEIT X 15, EUF
508024902117113, LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA, LOSARTANA POTASSICA HIDROCLOROTIAZIDA, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS OPC X 30, EUF
508024901110115, LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA, LOSARTANA POTASSICA HIDROCLOROTIAZIDA, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 30, EUF
508019202110111, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS OPC X 30 , EUF
508008801115415, LINATIS, LINATIS, NOT FOUND, 0.35 MG COM CT 5 BL AL PLAS INC X 7 , EUF
508016301134111, LORATADINA + SULF. PSEUDOEFEDRINA, LORATADINA SULF PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML, EUF
