513200702150411; TREZEVIT AB; TREZEVIT AB; NOT FOUND; SOL INJ IV A CX 25 FA VD AMB X 5 ML + SOL INJ IV B CX 25 FA VD AMB X 5 ML - ADULTO; NO_ACR
521115020060906; TADALAFILA; TADALAFILA; TADALAFILA; 20 MG COM REV BL AL PLAS TRANS X 1; NO_ACR
521115020061006; TADALAFILA; TADALAFILA; TADALAFILA; 20 MG COM REV CT BL AL PLAS TRANS X 2; NO_ACR
521115020061106; TADALAFILA; TADALAFILA; TADALAFILA; 20 MG COM REV CT BL AL PLAS TRANS X 4; NO_ACR
521125201170110; TARTARATO DE BRIMONIDINA; TARTARATO BRIMONIDINA; NOT FOUND; 2 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; NO_ACR
531614080076306; TARTARATO DE METOPROLOL; TARTARATO METOPROLOL; TARTARATO METOPROLOL; 100 MG COM REV CT BL AL PLAS OPC X 20; NO_ACR
531614080076406; TARTARATO DE METOPROLOL; TARTARATO METOPROLOL; TARTARATO METOPROLOL; 100 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
507740401113116; TARTARATO DE METOPROLOL; TARTARATO METOPROLOL; TARTARATO METOPROLOL; 100 MG COM REV CT BL AL PLAS OPC X 20; NO_ACR
521112901111115; TARTARATO DE METOPROLOL; TARTARATO METOPROLOL; TARTARATO METOPROLOL; 100 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
507740402111117; TARTARATO DE METOPROLOL; TARTARATO METOPROLOL; TARTARATO METOPROLOL; 100 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
541312030003704; TEICOSTON; TEICOSTON; NOT FOUND; 133.33 MG/ML PO INJ CT FA VD AMB + AMP DIL X 3 ML; NO_ACR
541312030003804; TEICOSTON; TEICOSTON; NOT FOUND; 133.33 MG/ML PO INJ CX 10 FA VD AMB + 10 AMP DIL X 3 ML; NO_ACR
541312030003904; TEICOSTON; TEICOSTON; NOT FOUND; 133.33 MG/ML PO INJ CX 25 FA VD AMB + 25 AMP DIL X 3 ML; NO_ACR
501302401156116; TEICOPLANINA; TEICOPLANINA; TEICOPLANINA; 200 MG PO LIOF P/ SOL INJ CX 10 FA VD INC X 15 ML + 10 DIL AMP PLAS INC X 3 ML; NO_ACR
501302402152114; TEICOPLANINA; TEICOPLANINA; TEICOPLANINA; 200 MG PO LIOF P/ SOL INJ CT FA VD INC X 15 ML + DIL AMP PLAS INC X 3 ML; NO_ACR
501302403159112; TEICOPLANINA; TEICOPLANINA; TEICOPLANINA; 200 MG PO LIOF P/ SOL INJ CX 25 FA VD INC X 15 ML + 25 DIL AMP PLAS INC X 3 ML; NO_ACR
501302404155110; TEICOPLANINA; TEICOPLANINA; TEICOPLANINA; 200 MG PO LIOF P/ SOL INJ CX 5 FA VD INC X 15 ML + 5 DIL AMP PLAS INC X 3 ML; NO_ACR
501302410155119; TEICOPLANINA; TEICOPLANINA; TEICOPLANINA; 200 MG PO LIOF SOL INJ IV CT FA VD INC X 15 ML + BOLS PLAS SIST FECH X 100 ML (EMB HOSP); NO_ACR
501302405151119; TEICOPLANINA; TEICOPLANINA; TEICOPLANINA; 400 MG PO LIOF P/ SOL INJ CT FA VD INC X 30 ML + DIL AMP PLAS INC X 3 ML; NO_ACR
501302406158117; TEICOPLANINA; TEICOPLANINA; TEICOPLANINA; 400 MG PO LIOF P/ SOL INJ CX 10 FA VD INC X 30 ML + 10 DIL AMP PLAS INC X 3 ML; NO_ACR
501302407154115; TEICOPLANINA; TEICOPLANINA; TEICOPLANINA; 400 MG PO LIOF P/ SOL INJ CX 25 FA VD INC X 30 ML + 25 DIL AMP PLAS INC X 3 ML; NO_ACR
501302408150113; TEICOPLANINA; TEICOPLANINA; TEICOPLANINA; 400 MG PO LIOF P/ SOL INJ CX 5 FA VD INC X 30 ML + 5 DIL AMP PLAS INC X 3 ML; NO_ACR
501302409157111; TEICOPLANINA; TEICOPLANINA; TEICOPLANINA; 400 MG PO LIOF SOL INJ IV CT FA VD INC X 30 ML + BOLS PLAS SIST FECH X 100 ML (EMB HOSP); NO_ACR
541312030003404; TEICOSTON; TEICOSTON; NOT FOUND; 66.66 MG/ML PO INJ CX FA VD AMB + AMP DIL X 3 ML; NO_ACR
541312030003504; TEICOSTON; TEICOSTON; NOT FOUND; 66.66 MG/ML PO INJ CX 10 FA VD AMB + 10 AMP DIL X 3 ML; NO_ACR
541312030003604; TEICOSTON; TEICOSTON; NOT FOUND; 66.66 MG/ML PO INJ CX 25 FA VD AMB + 25 AMP DIL X 3 ML; NO_ACR
541812080003306; TELMISARTANA; TELMISARTANA; TELMISARTANA; 40 MG COM CT BL AL AL X 30; NO_ACR
541812080003406; TELMISARTANA; TELMISARTANA; TELMISARTANA; 80 MG COM CT BL AL AL X 30; NO_ACR
527314090014403; TEMODAL; TEMODAL; NOT FOUND; 5 MG CAP CT SACH X 5; NO_ACR
527314090014503; TEMODAL; TEMODAL; NOT FOUND; 20 MG CAP CT SACH X 5; NO_ACR
527314090014603; TEMODAL; TEMODAL; NOT FOUND; 100 MG CAP CT SACH X 5; NO_ACR
527314090014703; TEMODAL; TEMODAL; NOT FOUND; 140 MG CAP CT SACH X 5; NO_ACR
527314090014803; TEMODAL; TEMODAL; NOT FOUND; 180 MG CAP CT SACH X 5; NO_ACR
527314090014903; TEMODAL; TEMODAL; NOT FOUND; 250 MG CAP CT SACH X 5; NO_ACR
527313070010314; TEMODAL; TEMODAL; NOT FOUND; 100 MG PO LIOF INJ CT FA VD INC X 40 ML; NO_ACR
537700106155312; TEMODAL; TEMODAL; NOT FOUND; 100 MG PO LIOF INJ CT 05 FA VD INC X 40 ML; NO_ACR
527313070009914; TEMODAL; TEMODAL; NOT FOUND; 100 MG CAP EST FR VD AMB X 5; NO_ACR
537700101110310; TEMODAL; TEMODAL; NOT FOUND; 100 MG CAP EST FR VD AMB X 5; NO_ACR
537700105159314; TEMODAL; TEMODAL; NOT FOUND; 100 MG PO LIOF INJ CT 01 FA VD INC X 40 ML; NO_ACR
527313070010004; TEMODAL; TEMODAL; NOT FOUND; 140 MG CAP CT FR VD AMB X 5; NO_ACR
527313070010104; TEMODAL; TEMODAL; NOT FOUND; 180 MG CAP CT FR VD AMB X 5; NO_ACR
527313070009814; TEMODAL; TEMODAL; NOT FOUND; 20 MG CAP EST FR VD AMB X 5; NO_ACR
537700102117319; TEMODAL; TEMODAL; NOT FOUND; 20 MG CAP EST FR VD AMB X 5; NO_ACR
527313070010214; TEMODAL; TEMODAL; NOT FOUND; 250 MG CAP EST FR VD AMB X 5; NO_ACR
537700103113317; TEMODAL; TEMODAL; NOT FOUND; 250 MG CAP EST FR VD AMB X 5; NO_ACR
527313070009714; TEMODAL; TEMODAL; NOT FOUND; 5 MG CAP EST FR VD AMB X 5; NO_ACR
537700104111318; TEMODAL; TEMODAL; NOT FOUND; 5 MG CAP EST FR VD AMB X 5; NO_ACR
507723602114111; TENOXICAM; TENOXICAM; TENOXICAM; 20 MG COM REV CT BL AL PLAS INC X 10; NO_ACR
507723603110118; TENOXICAM; TENOXICAM; TENOXICAM; 20 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC); NO_ACR
522710501156216; TORISEL; TORISEL; NOT FOUND; 25 MG/ML SOL INJ CT FA VD INC CT FA VD INC X 1.2 ML + FA VD INC DIL X 1.8 ML; NO_ACR
505209901163416; TECOMAX; TECOMAX; NOT FOUND; 8.0 MG/G CREM VAG CT BG AL X 30 G + 5 APLIC; NO_ACR
507742201162411; TERCONAN; TERCONAN; NOT FOUND; 8 MG/G CREM VAG CT BG AL X 30 G + 5 APLIC; NO_ACR
507743801163115; TERCONAZOL; TERCONAZOL; TERCONAZOL; 8 MG/G CREM VAG CT BG AL X 30 G + 5 APLIC; NO_ACR
505208201168417; TIADOL; TIADOL; NOT FOUND; 50 MG/G POM DERM CT BG X 20 G; NO_ACR
532904302164416; THIABENA; THIABENA; NOT FOUND; 50MG/G POM DERM CT BG AL X 20G; NO_ACR
531612702164118; TIABENDAZOL; TIABENDAZOL; TIABENDAZOL; 50 MG/G POM DERM CT BG AL X 45 G ; NO_ACR
532904303160414; THIABENA; THIABENA; NOT FOUND; 50MG/G POM DERM CT BG AL X 45G; NO_ACR
532912010018006; TIOABENDAZOL; TIOABENDAZOL; NOT FOUND; 50 MG/G POM DERM CT BG AL X 45 G; NO_ACR
507731302167111; TIABENDAZOL; TIABENDAZOL; TIABENDAZOL; 50 MG/G POM DERM CT BG AL X 45 G ; NO_ACR
505208202172418; TIADOL; TIADOL; NOT FOUND; 50 MG/G SAB CT SACO PLAS X 65 G; NO_ACR
532904202135414; THIABEN; THIABEN; NOT FOUND; 50 MG/ML SUS OR CT FR VD AMB X 40 ML; NO_ACR
531612701117116; TIABENDAZOL; TIABENDAZOL; TIABENDAZOL; 500 MG COM CT BL AL PLAS LEIT X 6 ; NO_ACR
532904201112410; THIABEN; THIABEN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 6; NO_ACR
507731301111112; TIABENDAZOL; TIABENDAZOL; TIABENDAZOL; 500 MG COM CT BL AL PLAS LEIT X 6 ; NO_ACR
541812090003904; TIBOCLIN; TIBOCLIN; NOT FOUND; 2.5 COM CT BL AL PLAS OPC X 30; NO_ACR
541812100004006; TIBOLONA; TIBOLONA; TIBOLONA; 2.5 MG COM CT BL AL PLAS OPC X 30; NO_ACR
522710001153315; TYGACIL; TYGACIL; NOT FOUND; 50 MG PO LIOF INJ CT 10 FA VD INC; NO_ACR
516501101150410; TIMULINA; TIMULINA; NOT FOUND; 2 MG/ML PO LIOF INJ CT FA VD AMB X 1 ML + DIL AMP X 1 ML; NO_ACR
531621302114112; TINIDAZOL; TINIDAZOL; TINIDAZOL; 500 MG COM REV CT BL AL PLAS LEIT X 4; NO_ACR
507738002118112; TINIDAZOL; TINIDAZOL; TINIDAZOL; 500 MG COM REV CT BL AL PLAS LEIT X 4 ; NO_ACR
540900501112115; TINIDAZOL; TINIDAZOL; TINIDAZOL; 500 MG COM REV CT BL AL PLAS INC X 4; NO_ACR
531621301118114; TINIDAZOL; TINIDAZOL; TINIDAZOL; 500 MG COM REV CT BL AL PLAS LEIT X 8; NO_ACR
507738001111114; TINIDAZOL; TINIDAZOL; TINIDAZOL; 500 MG COM REV CT BL AL PLAS LEIT X 8; NO_ACR
540900502119113; TINIDAZOL; TINIDAZOL; TINIDAZOL; 500 MG COM REV CT BL AL PLAS INC X 8; NO_ACR
502405201166114; TIOCONAZOL + TINIDAZOL; TIOCONAZOL TINIDAZOL; NOT FOUND; 20 MG/G + 30 MG/G CREM VAG CT BG AL X 35 G + 7 APLIC DESC X 5 G; NO_ACR
502405301160411; TRAVOGYN; TRAVOGYN; NOT FOUND; 20 MG/G + 30 MG/G CREM VAG CT 7 APLIC PLAS DESC PREENCHIDO + ENV AL POLIET X 5 G; NO_ACR
502405302167418; TRAVOGYN; TRAVOGYN; NOT FOUND; 20 MG/G + 30 MG/G CREM VAG CT BG AL X 35 G + 7 APLIC; NO_ACR
507723901162116; TIOCONAZOL+TINIDAZOL; TIOCONAZOL TINIDAZOL; NOT FOUND; 20 MG/G + 30 MG/G CREM VAG CT BG AL X 35 G + 7 APLIC; NO_ACR
507724001165419; TIOTRAX; TIOTRAX; NOT FOUND; CREME BISN 35G+7 APLIC.-E; NO_ACR
541312100011806; TIOCOLCHICOSIDEO; TIOCOLCHICOSIDEO; TIOCOLCHICOSIDEO; 2 MG / ML SOL INJ CX AMP VD INC X 2 ML ; NO_ACR
541312100011906; TIOCOLCHICOSIDEO; TIOCOLCHICOSIDEO; TIOCOLCHICOSIDEO; 2 MG / ML SOL INJ CX 3 AMP VD INC X 2 ML ; NO_ACR
541312100012006; TIOCOLCHICOSIDEO; TIOCOLCHICOSIDEO; TIOCOLCHICOSIDEO; 2 MG / ML SOL INJ CX 6 AMP VD INC X 2 ML ; NO_ACR
541312100012106; TIOCOLCHICOSIDEO; TIOCOLCHICOSIDEO; TIOCOLCHICOSIDEO; 2 MG / ML SOL INJ CX 12 AMP VD INC X 2 ML (EMB HOSP) ; NO_ACR
507725501072116; TIOCONAZOL; TIOCONAZOL; TIOCONAZOL; 10 MG/G LOC DERM CT FR PLAS OPC X 30 G; NO_ACR
507725502176111; TIOCONAZOL; TIOCONAZOL; TIOCONAZOL; 10 MG/G PO DERM CT FR PLAS OPC X 30 G; NO_ACR
507725601069117; TIOCONAZOL; TIOCONAZOL; TIOCONAZOL; 10 MG/G CREM DERM CT BG AL X 30 G; NO_ACR
521120201172112; TOBRAMICINA; TOBRAMICINA; TOBRAMICINA; 3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; NO_ACR
507743001175410; TOBRALOX; TOBRALOX; NOT FOUND; 3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; NO_ACR
531613080069906; TOBRAMICINA; TOBRAMICINA; TOBRAMICINA; 3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; NO_ACR
533200801171319; TOBI; TOBI; NOT FOUND; 300 MG/5 ML SOL NEBULIZ CT  ENV AL X 56 AMP POLIET; NO_ACR
538002402113111; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 100 MG COM REV CT BL AL/AL X 10; NO_ACR
538002403111112; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 100 MG COM REV CT BL AL/AL X 20; NO_ACR
538002404116118; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 100 MG COM REV CT BL AL/AL X 30; NO_ACR
521125602116117; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 100 MG COM REV CT BL AL/AL X 60; NO_ACR
507735001110113; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 100 MG COM REV CT BL AL PLAS LEIT X 60; NO_ACR
538002412119112; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 100 MG COM REV CT BL AL/AL X 60; NO_ACR
538002401117113; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 25 MG COM REV CT BL AL/AL X 10; NO_ACR
538002405112116; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 25 MG COM REV CT BL AL/AL X 20; NO_ACR
538002406119114; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 25 MG COM REV CT BL AL/AL X 30; NO_ACR
521125601111111; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 25 MG COM REV CT BL AL/AL X 60; NO_ACR
507735002117111; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 25 MG COM REV CT BL AL PLAS LEIT X 60 ; NO_ACR
538002407115112; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 25 MG COM REV CT BL AL/AL X 60; NO_ACR
538002408111110; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 50 MG COM REV CT BL AL/AL X 10; NO_ACR
538002409118119; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 50 MG COM REV CT BL AL/AL X 20; NO_ACR
538002410116116; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 50 MG COM REV CT BL AL/AL X 30; NO_ACR
521125603112115; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 50 MG COM REV CT BL AL/AL X 60; NO_ACR
507735003113111; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 50 MG COM REV CT BL AL PLAS LEIT X 60; NO_ACR
538002411112114; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 50 MG COM REV CT BL AL/AL X 60; NO_ACR
541812070002803; TRAVOP; TRAVOP; NOT FOUND; 0.04 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML; NO_ACR
507744201178111; TRAVOPROSTA; TRAVOPROSTA; TRAVOPROSTA; 0.04 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML; NO_ACR
531613202114411; TORAGESIC; TORAGESIC; NOT FOUND; 10 MG COM SUB-LING CT FR VD AMB X 10; NO_ACR
531613201134419; TORAGESIC; TORAGESIC; NOT FOUND; 20 MG/ML SOL OR CT FR VD CGT X 10 ML; NO_ACR
531613204151411; TORAGESIC; TORAGESIC; NOT FOUND; 30 MG/ML SOL INJ CT 3 AMP VD AMB X 2 ML; NO_ACR
531613203153410; TORAGESIC; TORAGESIC; NOT FOUND; 30 MG/ML SOL INJ CT 3 AMP VD AMB X 1 ML; NO_ACR
521123001174116; TROMETAMINA DE CETOROLACO; TROMETAMINA CETOROLACO; NOT FOUND; 5 MG/ML SOL OFT ESTERIL CT FR PLAS OPC GOT X 5ML; NO_ACR
