531618501136418; EXPECDILAT; EXPECDILAT; NOT FOUND; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; NO_ACR
522711001157416; ENBREL PFS; ENBREL PFS; NOT FOUND; 50 MG SOL INJ CT 4 SER PREENCH X 1.0 ML + SIST APLIC PLAS (PEN) + 8 LENCOS; NO_ACR
522711002153414; ENBREL PFS; ENBREL PFS; NOT FOUND; 50 MG SOL INJ CT 2 SER PREENCH X 1.0 ML + SIST APLIC PLAS (PEN) + 4 LENCOS; NO_ACR
522713030030503; ENBREL PFS; ENBREL PFS; NOT FOUND; 50 MG SOL INJ CT 2 SER PREENCH C/ AGU X 1.0 ML + 2 LENCOS; NO_ACR
522713030030603; ENBREL PFS; ENBREL PFS; NOT FOUND; 50 MG SOL INJ CT 4 SER PREENCH C/ AGU X 1.0 ML + 4 LENCOS; NO_ACR
522713030030703; ENBREL PFS; ENBREL PFS; NOT FOUND; 50 MG SOL INJ CT 2 SER PREENCH X 1.0 ML + SIST APLIC PLAS (PEN) + 2 LENCOS; NO_ACR
522713030030803; ENBREL PFS; ENBREL PFS; NOT FOUND; 50 MG SOL INJ CT 4 SER PREENCH X 1.0 ML + SIST APLIC PLAS (PEN) + 4 LENCOS; NO_ACR
522701003157319; ENBREL; ENBREL; NOT FOUND; 50 MG PO LIOF INJ CT C/ 2 EST X 1 FA VD INC + 1 SER PREENCH DIL X 1 ML + 1 AGU + 1 ADAPT + 2 LENCO ; NO_ACR
522701004153317; ENBREL; ENBREL; NOT FOUND; 50 MG PO LIOF INJ CT C/ 4 EST X 1 FA VD INC + 1 SER PREENCH DIL X 1 ML + 1 AGU + 1 ADAPT + 2 LENCO ; NO_ACR
522701302111310; EVANOR; EVANOR; NOT FOUND; 0.25 MG + 0.05 MG COM CT BL AL PLAS INC X 21; NO_ACR
522701301115312; EVANOR; EVANOR; NOT FOUND; 0.25 MG + 0.05 MG COM CT 3 BL AL PLAS INC X 21; NO_ACR
510014110014206; EVEROLIMO; EVEROLIMO; EVEROLIMO; 0.5 MG COM CT BL AL/AL X 60 (EMB HOSP); NO_ACR
510014110014306; EVEROLIMO; EVEROLIMO; EVEROLIMO; 0.75 MG COM CT BL AL/AL X 60 (EMB HOSP) ; NO_ACR
510014110014406; EVEROLIMO; EVEROLIMO; EVEROLIMO; 1.0 MG COM CT BL AL/AL X 60 (EMB HOSP) ; NO_ACR
510014110014506; EVEROLIMO; EVEROLIMO; EVEROLIMO; 2.5 MG COM CT BL AL/AL X 30 (EMB HOSP) ; NO_ACR
510014110014606; EVEROLIMO; EVEROLIMO; EVEROLIMO; 5.0 MG COM CT BL AL/AL X 30 (EMB HOSP) ; NO_ACR
510014110014706; EVEROLIMO; EVEROLIMO; EVEROLIMO; 10 MG COM CT BL AL/AL X 30 (EMB HOSP) ; NO_ACR
525500901111216; EZETROL; EZETROL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 10 ; NO_ACR
525500902116319; EZETROL; EZETROL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; NO_ACR
525513060015502; EMEND INJETÁVEL; EMEND INJETAVEL; NOT FOUND; 150 MG PO LIOF INJ IV CT FA VD INC X 10 ML ; NO_ACR
525513060015602; EMEND INJETÁVEL; EMEND INJETAVEL; NOT FOUND; 150 MG PO LIOF INJ IV CT 10 FA VD INC X 10 ML ; NO_ACR
506903201111414; EROWGLIZ; EROWGLIZ; NOT FOUND; 80 MG COM CT BL AL/PLAS TRANS X 20; NO_ACR
506903202116411; EROWGLIZ; EROWGLIZ; NOT FOUND; 80 MG COM CT BL AL/PLAS TRANS X 500 (EMB HOSP); NO_ACR
506903203112418; EROWGLIZ; EROWGLIZ; NOT FOUND; 80 MG COM CT BL AL/PLAS TRANS X 60; NO_ACR
507741901136415; EMSEXPECTOR; EMSEXPECTOR; NOT FOUND; 2 MG/5ML + 20 MG/5ML + 100 MG/5ML XPE CT FR VD AMB X 120 ML + CP MED; NO_ACR
541312030004004; EFRINALIN; EFRINALIN; NOT FOUND; 1 MG/ML SOL INJ CX 100 AMP VD  AMB X 1 ML; NO_ACR
511301201118411; ENATEC-F; ENATEC F; NOT FOUND; 20 MG + 12.5 MG COM CT 2 BL AL PLAS INC X 14 ; NO_ACR
521106001110411; EUPRESSIN H; EUPRESSIN H; NOT FOUND; 10 MG / 25 MG COM CT STR X 30; NO_ACR
521106002117418; EUPRESSIN H; EUPRESSIN H; NOT FOUND; 20 MG / 12.5 MG COM CT STR X 30; NO_ACR
521106003113416; EUPRESSIN H; EUPRESSIN H; NOT FOUND; 10 MG / 25 MG COM CT STR X 7; NO_ACR
520500501137415; ELIXIR 914; ELIXIR 914; NOT FOUND; SOL OR CT FR VD AMB X 150 ML; NO_ACR
510602602131313; EPIVIR; EPIVIR; NOT FOUND; 10 MG/ML SOL OR CT FR PLAS OPC X 240 ML; NO_ACR
510602601117317; EPIVIR; EPIVIR; NOT FOUND; 150 MG COM REV CT FR PLAS OPC X 60; NO_ACR
527300901112318; EXLUTON; EXLUTON; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 28; NO_ACR
530402201111415; ESTIMORAL; ESTIMORAL; NOT FOUND; 3.0 MG COM CT BL AL/AL X 14; NO_ACR
530402202116410; ESTIMORAL; ESTIMORAL; NOT FOUND; 3.0 MG COM CT 2 BL AL/AL X 14; NO_ACR
516500301334411; EXTRALERG; EXTRALERG; NOT FOUND; SUS OR CX FR PLAS CGT X 15 ML (1o SERIE); NO_ACR
516500302330418; EXTRALERG; EXTRALERG; NOT FOUND; SUS OR CX FR PLAS CGT X 15 ML (2o SERIE); NO_ACR
516500303337416; EXTRALERG; EXTRALERG; NOT FOUND; SUS OR CX FR PLAS CGT X 15 ML (3o SERIE); NO_ACR
521105901118419; EUPRESSIN; EUPRESSIN; NOT FOUND; 10 MG COM CT STR X 30; NO_ACR
521105905113411; EUPRESSIN; EUPRESSIN; NOT FOUND; 10 MG COM CT STR X 7; NO_ACR
521105902114417; EUPRESSIN; EUPRESSIN; NOT FOUND; 2.5 MG COM CT STR X 30; NO_ACR
511301102111419; ENATEC; ENATEC; NOT FOUND; 20 MG COM CT FR PLAS OPC X 28; NO_ACR
521105903110415; EUPRESSIN; EUPRESSIN; NOT FOUND; 20 MG COM CT STR X 30; NO_ACR
511301101113418; ENATEC; ENATEC; NOT FOUND; 20 MG COM CT STR X 7; NO_ACR
511301103116414; ENATEC; ENATEC; NOT FOUND; 5 MG COM CT STR X 30; NO_ACR
521105904117413; EUPRESSIN; EUPRESSIN; NOT FOUND; 5 MG COM CT STR X 30 ; NO_ACR
521105906111412; EUPRESSIN; EUPRESSIN; NOT FOUND; 5 MG COM CT STR X 7; NO_ACR
531619001110418; EUPROSTATIN; EUPROSTATIN; NOT FOUND; 2 MG COM CT BL AL PLAS LEIT X 30; NO_ACR
531619002117416; EUPROSTATIN; EUPROSTATIN; NOT FOUND; 2 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC); NO_ACR
505203301113419; ESTOMEPE; ESTOMEPE; NOT FOUND; 20 MG CAP GEL MICROG CT FR PLAS OPC X 14; NO_ACR
531614050074004; ESCILEX; ESCILEX; NOT FOUND; 15 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
531614090076603; ESCILEX; ESCILEX; NOT FOUND; 15 MG COM REV CT BL AL PLAS OPC X 7; NO_ACR
531612070067204; ESCILEX; ESCILEX; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 15; NO_ACR
531612070067304; ESCILEX; ESCILEX; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
531612070067404; ESCILEX; ESCILEX; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 60; NO_ACR
531613080070003; ESCILEX; ESCILEX; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 7 ; NO_ACR
531612070067504; ESCILEX; ESCILEX; NOT FOUND; 20 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
507712001130425; EMSGRIP; EMSGRIP; NOT FOUND; LIMAO MEL CHA C/50 SACHET; NO_ACR
507712003133413; EMSGRIP; EMSGRIP; NOT FOUND; 100MG/G PO PREP EXT CT 25 SACH AL POLIET X 5G (SBR LIMAO-MEL) (EMB FRAC); NO_ACR
505613040037514; EUTROPIN; EUTROPIN; NOT FOUND; 15 UI PO LIOF CT 1 FA VD INC + 1 FA VD INC SOL DIL X 1.5 ML; NO_ACR
539800102158411; EUTROPIN; EUTROPIN; NOT FOUND; 15 UI PO LIOF CT 1 FA VD INC + 1 FA VD INC SOL DIL X 1.5 ML; NO_ACR
505613040037314; EUTROPIN; EUTROPIN; NOT FOUND; 4 UI PO LIOF CT 1 FA VD INC + 1 FA VD INC SOL DIL X 1 ML; NO_ACR
505613040037414; EUTROPIN; EUTROPIN; NOT FOUND; 4 UI PO LIOF CT 5 FA VD INC + 5 FA VD INC SOL DIL X 1 ML; NO_ACR
539800101151413; EUTROPIN; EUTROPIN; NOT FOUND; 4 UI PO LIOF CT 1 FA VD INC + 1 FA VD INC SOL DIL X 1 ML; NO_ACR
539800103154411; EUTROPIN; EUTROPIN; NOT FOUND; 4 UI PO LIOF CT 5 FA VD INC + 5 FA VD INC SOL DIL X 1 ML; NO_ACR
507711306132415; ECTRIN; ECTRIN; NOT FOUND; 40 MG + 8 MG/ML SUS OR CT FR VD AMB X 100 ML; NO_ACR
507711305152412; ECTRIN; ECTRIN; NOT FOUND; INJ IV C/50AMPX5ML (HOSP); NO_ACR
507711302110417; ECTRIN; ECTRIN; NOT FOUND; 400 MG + 80 MG COM CT 2 BL AL PLAS INC X 10 ; NO_ACR
507712301134418; ENERGIL C; ENERGIL C; NOT FOUND; 1 G COMP EFERV C/10; NO_ACR
507712302130416; ENERGIL C; ENERGIL C; NOT FOUND; 1 G C10 COMP EFERV S/ACUCAR; NO_ACR
507712303137414; ENERGIL C; ENERGIL C; NOT FOUND; 1 G ROSE HIPS C/10; NO_ACR
507712310133410; ENERGIL C; ENERGIL C; NOT FOUND; 1 G COM EFEV CT TB PLAS X 30 (S/ ACUCAR); NO_ACR
507712304133412; ENERGIL C; ENERGIL C; NOT FOUND; 2 G COMP EFERV C/10; NO_ACR
507712305131413; ENERGIL C; ENERGIL C; NOT FOUND; 2 G C10 COMP EFERV S/ACUCAR; NO_ACR
507712306136419; ENERGIL C; ENERGIL C; NOT FOUND; 2 G ROSE HIPS C/10 COMP EFERV; NO_ACR
507712309135413; ENERGIL C; ENERGIL C; NOT FOUND; 200 MG/ML SOL OR CT FR VD CGT X 20 ML; NO_ACR
507712307116411; ENERGIL C; ENERGIL C; NOT FOUND; 500MG AP 2 BL X 10 CAPS; NO_ACR
507712308112411; ENERGIL C; ENERGIL C; NOT FOUND; 500MG MAST STP C/20; NO_ACR
502406904111419; ENFOL; ENFOL; NOT FOUND; 5 MG + 100 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
502406903131416; ENFOL; ENFOL; NOT FOUND; 0.4 MG/ML + 40MG/ML SOL OR CT FR VD AMB X 100 ML; NO_ACR
502406902133415; ENFOL; ENFOL; NOT FOUND; 0.2 MG/ML + 50 MG/ML SOL OR CT FR VD CGT X 30 ML; NO_ACR
