520733801133414, DILABRONCO, DILABRONCO, NOT FOUND, 10 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED, NO_ACR
529201404151318, DORMONID, DORMONID, NOT FOUND, 1 MG/ML SOL INJ CX 5 AMP VD INC X 5 ML, NO_ACR
529201406111313, DORMONID, DORMONID, NOT FOUND, 7.5 MG COM REV CT 2 BL AL PLAS INC X 10, NO_ACR
529201407116319, DORMONID, DORMONID, NOT FOUND, 7.5 MG COM REV CT 3 BL AL PLAS INC X 10, NO_ACR
529201402114318, DORMONID, DORMONID, NOT FOUND, 15 MG COM REV CT 2  BL AL PLAS INC X 10, NO_ACR
529201403110316, DORMONID, DORMONID, NOT FOUND, 15 MG COM REV CT 3 BL AL PLAS INC X 10, NO_ACR
529201405156313, DORMONID, DORMONID, NOT FOUND, 5 MG/ML SOL INJ CX C/ 5 AMP VD INC X 10 ML, NO_ACR
529201401150310, DORMONID, DORMONID, NOT FOUND, 5 MG/ML SOL INJ CX C/ 5 AMP VD INC X 3 ML, NO_ACR
533003801177416, DESFRIN, DESFRIN, NOT FOUND, 0.25 MG/ML SOL NAS PED CT FR PLAS OPC GOT X 10 ML, NO_ACR
533003802173414, DESFRIN, DESFRIN, NOT FOUND, 0.5 MG/ML SOL NAS ADU CT FR OPC SPRAY X 10 ML, NO_ACR
521123703111416, DEPAXAN, DEPAXAN, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 10, NO_ACR
521123701117417, DEPAXAN, DEPAXAN, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 20, NO_ACR
526112110087504, DEEPLIN, DEEPLIN, NOT FOUND, 20 MG COM REV CT BL AL PLAS OPC X 30 , NO_ACR
521123702113415, DEPAXAN, DEPAXAN, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 30, NO_ACR
506715020057203, DOLOSAL, DOLOSAL, NOT FOUND, 50 MG/ML SOL INJ CX 36 AMP VD AMB X 2 ML (EMB HOSP), NO_ACR
502803901151313, DOLANTINA, DOLANTINA, NOT FOUND, 50 MG/ML SOL INJ CT 5 BL X 5 AMP VD INC X 2 ML, NO_ACR
506704401151415, DOLOSAL, DOLOSAL, NOT FOUND,  50 MG/ML SOL INJ CX 25 AMP VD AMB X 2 ML (EMB HOSP), NO_ACR
533005101156412, DORNOT, DORNOT, NOT FOUND, 50 MG/ML SOL INJ CT C/ 25 AMP VD AMB X 2 ML USO HOSP, NO_ACR
502803301111310, DACTIL OB, DACTIL OB, NOT FOUND, 100 MG + 50 MG + 50 MG DRG CT 2 BL AL PLAS LARANJA X 15, NO_ACR
501100902154419, DRAMIN B6, DRAMIN B6, NOT FOUND, 50 MG/ML + 50 MG/ML SOL INJ CX 10 AMP VD AMB X 1 ML, NO_ACR
501100905153413, DRAMIN B6, DRAMIN B6, NOT FOUND, 50 MG/ML + 50 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB FRAC), NO_ACR
501100904130411, DRAMIN B6, DRAMIN B6, NOT FOUND, 25 MG + 5 MG SOL OR CT FR PLAS AMB GOT X 20 ML, NO_ACR
501100901115411, DRAMIN B6, DRAMIN B6, NOT FOUND, 50 MG + 100 MG COM CT 2 BL AL PLAS INC X 10, NO_ACR
501100907113311, DRAMIN B6, DRAMIN B6, NOT FOUND, 50MG + 10MG COM REV CT BL PVC/PVDC AL X 30, NO_ACR
533513120024603, DIMENIDRIN, DIMENIDRIN, NOT FOUND, 25 MG/ML + 5 MG/ML SOL OR CT FR PET AMB GOT X 20 ML , NO_ACR
533513120024703, DIMENIDRIN, DIMENIDRIN, NOT FOUND, 25 MG/ML + 5 MG/ML SOL OR CX 50 FR PET AMB GOT X 20 ML (EMB HOSP), NO_ACR
501100908136315, DRAMIN B6, DRAMIN B6, NOT FOUND, 25MG/ML + 5MG/ML SOL OR CT FR PLAS AMB GOT X 30ML, NO_ACR
501101001150411, DRAMIN B6 DL, DRAMIN B6 DL, NOT FOUND, 3 MG/ML + 5 MG/ML + 100 MG/ML + 100 MG/ML SOL INJ CX 100 AMP VD AMB X 10 ML (EMB FRAC), NO_ACR
522709403111311, DIMETAPP, DIMETAPP, NOT FOUND, 4 MG + 60 MG CAP GEL CT BL PLAS INC X 20, NO_ACR
522709405130313, DIMETAPP, DIMETAPP, NOT FOUND, 0.20 MG/ML + 3 MG/ML ELX CT FR PLAS AMB X 30 ML + SERINGA DOSADORA 01, NO_ACR
522709404134315, DIMETAPP, DIMETAPP, NOT FOUND, 0.20 MG/ML + 3 MG/ML ELX CT FR PLAS AMB X 120 ML 01, NO_ACR
521105101111411, DEPRILAN, DEPRILAN, NOT FOUND, 5 MG COM CT  BL AL PLAS INC X 20, NO_ACR
525012020098203, DIELOFT, DIELOFT, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 15, NO_ACR
525069407115414, DIELOFT, DIELOFT, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 20, NO_ACR
525069408111412, DIELOFT, DIELOFT, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 30, NO_ACR
525069406119416, DIELOFT, DIELOFT, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 14, NO_ACR
525012020098103, DIELOFT, DIELOFT, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 15, NO_ACR
525069404116411, DIELOFT, DIELOFT, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 20, NO_ACR
525069403111414, DIELOFT, DIELOFT, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 30, NO_ACR
526201501118412, DIETAMINA, DIETAMINA, NOT FOUND, DRG CT FR PLAS OPC X 50, NO_ACR
501604701111318, DONAREN RETARD, DONAREN RETARD, NOT FOUND, 150 MG COM LIB CONT CT BL AL PLAS OPC X 10, NO_ACR
501604702116313, DONAREN RETARD, DONAREN RETARD, NOT FOUND, 150 MG COM LIB CONT CT BL AL PLAS OPC X 20, NO_ACR
501604703112311, DONAREN RETARD, DONAREN RETARD, NOT FOUND, 150 MG COM LIB CONT CT BL AL PLAS OPC X 30, NO_ACR
501612070014703, DONAREN, DONAREN, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 20, NO_ACR
501600602117412, DONAREN, DONAREN, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 20, NO_ACR
501600603113313, DONAREN, DONAREN, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 30, NO_ACR
501600601110317, DONAREN, DONAREN, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 60, NO_ACR
500202701117319, DILACORON, DILACORON, NOT FOUND, 120 MG COM REV RETARD CT BL AL PLAS INC X 20, NO_ACR
500202703111318, DILACORON, DILACORON, NOT FOUND, 240 MG COM REV RETARD CT BL AL PLAS AMB X 30, NO_ACR
500202705112311, DILACORON, DILACORON, NOT FOUND, 80MG COM REV CT BL AL PLAS AMB X 30, NO_ACR
522200901111318, DIABINESE, DIABINESE, NOT FOUND, 250 MG COM CT FR VD AMB X 100, NO_ACR
522200903112419, DIABINESE, DIABINESE, NOT FOUND, 250 MG COM CT BL AL PLAS INC X 100 , NO_ACR
530802801114410, DIABECONTROL, DIABECONTROL, NOT FOUND, 250 MG COM CT FR VD AMB X 100, NO_ACR
522200902116313, DIABINESE, DIABINESE, NOT FOUND, 250 MG COM CT FR VD AMB X 30, NO_ACR
522200904119417, DIABINESE, DIABINESE, NOT FOUND, 250 MG COM CT BL AL PLAS INC X 30, NO_ACR
530802802110419, DIABECONTROL, DIABECONTROL, NOT FOUND, 250 MG COM CX BL AL PLAS AMB X 500 (EMB. HOSP.), NO_ACR
538813501163415, DERMOBENE, DERMOBENE, NOT FOUND, 10 MG/G CREM CT BG AL X 20 G, NO_ACR
503402401162415, DERMOTRIZOL, DERMOTRIZOL, NOT FOUND, 10 MG/G CREM DERM CT BG AL X 20 G, NO_ACR
538813502178416, DERMOBENE, DERMOBENE, NOT FOUND, 10 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML, NO_ACR
503402402177416, DERMOTRIZOL, DERMOTRIZOL, NOT FOUND, 10 MG/ML SOL TOP CT FR VD AMB SPRAY X 20 ML, NO_ACR
503412030014803, DERMOTRIZOL, DERMOTRIZOL, NOT FOUND, 10 MG/ML SOL TOP CT FR PLAS OPC GOT X 30 ML, NO_ACR
504114020051604, DOSS, DOSS, NOT FOUND, 1000 UI CAP MOLE CT BL AL PLAS INC X 30, NO_ACR
502414010021604, DPREV, DPREV, NOT FOUND, 1000 UI COM REV CT BL AL PLAS BCO X 30, NO_ACR
504114020051704, DOSS, DOSS, NOT FOUND, 1000 UI CAP MOLE CT BL AL PLAS INC X 60, NO_ACR
502414010021904, DPREV, DPREV, NOT FOUND, 1000 UI COM REV CT BL AL PLAS BCO X 60, NO_ACR
502414010021504, DPREV, DPREV, NOT FOUND, 2000 UI COM REV CT BL AL PLAS BCO X 30  , NO_ACR
502414010022004, DPREV, DPREV, NOT FOUND, 2000 UI COM REV CT BL AL PLAS BCO X 60, NO_ACR
502414010022104, DPREV, DPREV, NOT FOUND, 5000 UI COM REV CT BL AL PLAS BCO X 8 , NO_ACR
502414010021704, DPREV, DPREV, NOT FOUND, 5000 UI COM REV CT BL AL PLAS BCO X 30, NO_ACR
502414010021804, DPREV, DPREV, NOT FOUND, 7000 UI COM REV CT BL AL PLAS BCO X 30, NO_ACR
502414010022204, DPREV, DPREV, NOT FOUND, 7000 UI COM REV CT BL AL PLAS BCO X 8  , NO_ACR
540912100008314, DERMIL, DERMIL, NOT FOUND, (5000 UI+ 900 UI+ 150 MG)G POM DERM CT BG PLAS X 20 G  , NO_ACR
540912100008414, DERMIL, DERMIL, NOT FOUND, (5000 UI+ 900 UI+ 150 MG)G POM DERM CT BG PLAS X 45 G , NO_ACR
540912100008514, DERMIL, DERMIL, NOT FOUND, (5000 UI+ 900 UI+ 150 MG)G POM DERM CT BG PLAS X 90 G  , NO_ACR
510802801160413, DORGEX, DORGEX, NOT FOUND, 0.0444 ML/G + 0.0444G/G + 0.020 G/G POM DERM CT BG AL X 20 G , NO_ACR
508005901151419, DACARB, DACARB, NOT FOUND, 100 MG PO LIOF INJ CT FA VD AMB (REST HOSP), NO_ACR
525200701158414, D.T.I. / DACARBACINA, D T I DACARBACINA, NOT FOUND, 100 MG PO LIOF INJ CX CT 1 FA VD AMB (REST HOSP), NO_ACR
514400601151410, DACARBAZINA, DACARBAZINA, DACARBAZINA, 100 MG PO LIOF INJ CX FA VD INC, NO_ACR
535400801153411, DETIMEDAC, DETIMEDAC, NOT FOUND, 200 MG PO LIOF INJ CT FA VD AMB X 10, NO_ACR
508005902158417, DACARB, DACARB, NOT FOUND, 200 MG PO LIOF INJ CT FA VD AMB (REST HOSP), NO_ACR
508005903154318, DACARB, DACARB, NOT FOUND, 200 MG PO LIOF SOL INJ CT 10 FA VD AMB (REST HOSP), NO_ACR
519509201159111, DACARBAZINA, DACARBAZINA, DACARBAZINA, 200 MG PO LIOF SOL INJ CT FA VD AMB, NO_ACR
519509205154112, DACARBAZINA, DACARBAZINA, DACARBAZINA, 200 MG PO LIOF SOL INJ CT 10 FA VD AMB, NO_ACR
519509206150110, DACARBAZINA, DACARBAZINA, DACARBAZINA, 200 MG PO LIOF SOL INJ CT 50 FA VD AMB, NO_ACR
525200702154412, D.T.I. / DACARBACINA, D T I DACARBACINA, NOT FOUND, 200 MG PO LIOF INJ CX CT FA VD AMB (REST HOSP), NO_ACR
514400602158419, DACARBAZINA, DACARBAZINA, DACARBAZINA, 200 MG PO LIOF INJ CX FA VD INC, NO_ACR
517001901156417, DACTINOMICINA-D, DACTINOMICINA D, NOT FOUND, CX. C/12 AMPOLAS X 5 ML, NO_ACR
506703501152415, DANTROLEN, DANTROLEN, NOT FOUND, 20 MG PO LIOF CX 12 FA VD INC REST HOSP, NO_ACR
533003501157411, DECAN HALOPER, DECAN HALOPER, DECANOATO HALOPERIDOL, 50 MG/ML SOL INJ CT 3 AMP VD AMB X 1 ML, NO_ACR
527300401152310, DECADURABOLIN, DECADURABOLIN, NOT FOUND, 25 MG/ML SOL INJ CT AMP VD INC X 1 ML, NO_ACR
527300402159319, DECADURABOLIN, DECADURABOLIN, NOT FOUND, 50 MG/ML SOL INJ CT AMP VD INC X 1 ML, NO_ACR
527300601151318, DURATESTON, DURATESTON, NOT FOUND, 30 MG + 60 MG + 100 MG + 60 MG SOL INJ CT AMP VD INC X 1 ML, NO_ACR
514507501170311, DACOGEN, DACOGEN, NOT FOUND, 50 MG PO LIOF INJ CT FA VD INC, NO_ACR
531624801138410, DEFLAIMMUN, DEFLAIMMUN, NOT FOUND, 22.75 MG/ML SUS OR CT FR VD AMB GOT X 13 ML, NO_ACR
531624802118413, DEFLAIMMUN, DEFLAIMMUN, NOT FOUND, 30 MG COM CT BL AL PLAS INC X 10, NO_ACR
538813402114114, DEFLAZACORTE, DEFLAZACORTE, DEFLAZACORTE, 30 MG COM CT BL AL PLAS OPC X 10, NO_ACR
526121201118113, DEFLAZACORTE, DEFLAZACORTE, DEFLAZACORTE, 30 MG COM CT BL AL PLAS LEIT X 10 , NO_ACR
507728301112119, DEFLAZACORTE, DEFLAZACORTE, DEFLAZACORTE, 30 MG COM CT BL AL PLAS LEIT X 10   , NO_ACR
524800702114413, DENACEN, DENACEN, NOT FOUND, 30 MG COM CT BL AL PLAS INC X 10, NO_ACR
523701101114415, DEFLANIL, DEFLANIL, NOT FOUND, 30 MG COM CT BL AL PLAS INC X 10, NO_ACR
525307001110110, DEFLAZACORTE, DEFLAZACORTE, DEFLAZACORTE, 30 MG COM CT BL AL PLAS LEIT X 10, NO_ACR
507728304111113, DEFLAZACORTE, DEFLAZACORTE, DEFLAZACORTE, 30 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC), NO_ACR
531624804110411, DEFLAIMMUN, DEFLAIMMUN, NOT FOUND, 7.5 MG COM CT BL AL PLAS INC X 20, NO_ACR
531624803114411, DEFLAIMMUN, DEFLAIMMUN, NOT FOUND, 6 MG COM CT BL AL PLAS INC X 20, NO_ACR
538813401118116, DEFLAZACORTE, DEFLAZACORTE, DEFLAZACORTE, 6 MG COM CT BL AL PLAS OPC X 20, NO_ACR
526121202114111, DEFLAZACORTE, DEFLAZACORTE, DEFLAZACORTE, 6 MG COM CT BL AL PLAS LEIT X 20, NO_ACR
507728302119117, DEFLAZACORTE, DEFLAZACORTE, DEFLAZACORTE, 6 MG COM CT BL AL PLAS LEIT X 20, NO_ACR
524800701118415, DENACEN, DENACEN, NOT FOUND, 6 MG COM CT 2 BL AL PLAS INC X 10, NO_ACR
525307002117119, DEFLAZACORTE, DEFLAZACORTE, DEFLAZACORTE, 6 MG COM CT BL AL PLAS LEIT X 20, NO_ACR
507728303115115, DEFLAZACORTE, DEFLAZACORTE, DEFLAZACORTE, 6 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC), NO_ACR
523701102110413, DEFLANIL, DEFLANIL, NOT FOUND, 7.5 MG COM CT BL AL PLAS INC X 20, NO_ACR
505202401173415, DEOTRIN, DEOTRIN, NOT FOUND, 0.20 MG/ML LOC CT FR PLAS OPC X 100 ML, NO_ACR
505202403176411, DEOTRIN, DEOTRIN, NOT FOUND, 0.20 MG/ML SHAMP CT FR PLAS OPC X 100 ML, NO_ACR
525900702173411, DELTALAB, DELTALAB, NOT FOUND, 0.2 MG/ML XAMP CT FR PLAS OPC X 100 ML, NO_ACR
525900703171412, DELTALAB, DELTALAB, NOT FOUND, 0.2 MG/ML XAMP CX 162 FR PLAS OPC X 100 ML, NO_ACR
503402202178419, DELTAPIL, DELTAPIL, NOT FOUND, 0.20 MG/ML LOC CT FR PLAS OPC X 100 ML, NO_ACR
503402203174417, DELTAPIL, DELTAPIL, NOT FOUND, 0.20 MG/ML SHAMP CT FR PLAS OPC X 100 ML, NO_ACR
525900701177413, DELTALAB, DELTALAB, NOT FOUND, 0.2 MG/ML LOC CT FR PLAS OPC X 100 ML, NO_ACR
525101201173416, DELTAMETRIL, DELTAMETRIL, NOT FOUND, 20 MG LOC FR PLAS OPC CT 100 ML, NO_ACR
525101202171417, DELTAMETRIL, DELTAMETRIL, NOT FOUND, 20 MG SHAMP FR PLAS OPC CT 100 ML, NO_ACR
503905301176410, DELTASAY, DELTASAY, NOT FOUND, 20 MG/ML SHAMPOO CT FR PLAS OPC X 100 ML, NO_ACR
526504501157411, DESFERAL, DESFERAL, NOT FOUND, 500 MG PO LIOF CT 5 FA VD INC + 5 AMP DIL VD INC X 5 ML, NO_ACR
503205101123319, DESFORANE, DESFORANE, NOT FOUND, 100% LIQ INAL CT 6 FR VD AMB X 240 ML, NO_ACR
503205102121311, DESFORANE, DESFORANE, NOT FOUND, 100% LIQ INAL CT FR VD AMB X 240 ML, NO_ACR
533019101153413, DESLANOL, DESLANOL, NOT FOUND, 0.2 MG/ML SOL INJ CT 50 AMP VD INC X 2 ML, NO_ACR
538802002136115, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5MG/ML XPE CT FR VD AMB X 100 ML + SER DOSAD, NO_ACR
538804103134416, DESLORANA, DESLORANA, NOT FOUND, 0.5 MG/ML XPE  CT FR VD AMB X 100 ML + SER DOSAD, NO_ACR
512404901137318, DESALEX, DESALEX, NOT FOUND, 0.5 MG/ML XPE CT FR VD AMB X 100 ML + DOSADOR , NO_ACR
526132102132113, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5MG/ML XPE CT FR VD AMB X 100 ML + SER DOSAD, NO_ACR
525012040100406, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5MG/ML XPE CT FR VD AMB X 100ML + SER DOSAD , NO_ACR
521114010059906, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5 MG/ML XPE CT FR PLAS AMB X 100 ML + SER DOS, NO_ACR
507740103139117, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5MG/ML XPE CT FR VD AMB X 100 ML + SER DOSAD , NO_ACR
507741203137416, DESTADIN, DESTADIN, NOT FOUND, 0.5 MG/ML XPE CT FR VD AMB X 100 ML + SER DOSAD, NO_ACR
500514010053905, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5 MG/ML XPE CT FR PLAS AMB X 100 ML + SER DOS, NO_ACR
525308502131119, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5 MG/ML XPE CT FR VD AMB X 100 ML + SER DOS, NO_ACR
528531302131119, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5 MG/ML XPE CT FR PLAS AMB X 100 ML +SER DOSAD, NO_ACR
528531304134115, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5 MG/ML XPE CT FR PLAS OPC X 100 ML + SER DOSAD, NO_ACR
528531306137111, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5 MG/ML XPE CT FR VD AMB X 100 ML + SER DOSAD, NO_ACR
528531307133111, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5 MG/ML XPE CX 50 FR PLAS AMB X 100 ML + 50 SER DOSAD (EMB HOSP), NO_ACR
528531309136116, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5 MG/ML XPE CX 50 FR PLAS OPC X 100 ML + 50 SER DOSAD (EMB HOSP), NO_ACR
528531312137111, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 SER DOSAD (EMB HOSP), NO_ACR
525012040100206, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5MG/ML XPE CT FR VD AMB X 30ML + SER DOSAD , NO_ACR
538802003132113, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD, NO_ACR
538804101131411, DESLORANA, DESLORANA, NOT FOUND, 0.5 MG/ML XPE  CT FR VD AMB X 60 ML + SER DOSAD, NO_ACR
512401302135313, DESALEX, DESALEX, NOT FOUND, 0.5 MG/ML XPE CT FR VD AMB X 60 ML + DOSADOR, NO_ACR
526132103139111, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD, NO_ACR
525012040100306, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5MG/ML XPE CT FR VD AMB X 60ML + SER DOSAD , NO_ACR
507740102132119, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD , NO_ACR
507741202130418, DESTADIN, DESTADIN, NOT FOUND, 0.5 MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD, NO_ACR
525308503136114, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5 MG/ML XPE CT FR VD AMB X 60 ML + SER DOS, NO_ACR
528531301135110, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5 MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD, NO_ACR
528531303138117, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5 MG/ML XPE CT FR PLAS AMB X 60 ML + SER DOSAD, NO_ACR
528531305130113, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5 MG/ML XPE CT FR PLAS OPC X 60 ML + SER DOSAD, NO_ACR
528531308131110, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5 MG/ML XPE CX 50 FR PLAS AMB X 60 ML + 50 SER DOSAD (EMB HOSP), NO_ACR
528531310134113, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5 MG/ML XPE CX 50 FR PLAS OPC X 60 ML + 50 SER DOSAD (EMB HOSP), NO_ACR
528531311130111, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5 MG/ML XPE CX 50 FR VD AMB X 60 ML + 50 SER DOSAD (EMB HOSP), NO_ACR
538802001113111, DESLORATADINA, DESLORATADINA, DESLORATADINA, 5 MG COM VER CT BL AL PLAS OPC X 10, NO_ACR
538804102111412, DESLORANA, DESLORANA, NOT FOUND, 5 MG COM REV CT BL AL PLAS OPC X 10, NO_ACR
512401301112311, DESALEX, DESALEX, NOT FOUND, 5 MG COM REV CT BL AL PLAS X 10, NO_ACR
526132101111112, DESLORATADINA, DESLORATADINA, DESLORATADINA, 5 MG COM REV CT BL AL PLAS OPC X 10, NO_ACR
521113090059506, DESLORATADINA, DESLORATADINA, DESLORATADINA, 5 MG COM REV CT BL AL PLAS INC X 10, NO_ACR
507740101111118, DESLORATADINA, DESLORATADINA, DESLORATADINA, 5 MG COM REV CT BL AL PLAS OPC X 10, NO_ACR
507741201118414, DESTADIN, DESTADIN, NOT FOUND, 5 MG COM REV CT BL AL PLAS OPC X 10, NO_ACR
500513090052706, DESLORATADINA, DESLORATADINA, DESLORATADINA, 5 MG COM REV CT BL AL PLAS TRANS X 10, NO_ACR
525308501117112, DESLORATADINA, DESLORATADINA, DESLORATADINA, 5 MG COM REV CT BL AL PLAS OPC X 10, NO_ACR
538812040040506, DESLORATADINA, DESLORATADINA, DESLORATADINA, 5 MG COM REV CT BL AL PLAS OPC X 30, NO_ACR
538812060041903, DESLORANA, DESLORANA, NOT FOUND, 5 MG COM REV CT BL AL PLAS OPC X 30, NO_ACR
512401303115316, DESALEX, DESALEX, NOT FOUND, 5 MG COM REV CT BL AL PLAS X 30, NO_ACR
526112040083506, DESLORATADINA, DESLORATADINA, DESLORATADINA, 5 MG COM REV CT BL AL PLAS OPC X 30, NO_ACR
541812050000003, DESTADIN, DESTADIN, NOT FOUND, 5 MG COM REV CT BL AL PLAS OPC X 30, NO_ACR
541812070001406, DESLORATADINA, DESLORATADINA, DESLORATADINA, 5 MG COM REV CT BL AL PLAS OPC X 30, NO_ACR
525312050035106, DESLORATADINA, DESLORATADINA, DESLORATADINA, 5 MG COM REV CT BL AL PLAS OPC X 30, NO_ACR
512407203112314, DESALEX D12, DESALEX D12, NOT FOUND, 2.5 MG + 120 MG COM LIB MOD CT BL AL/AL X 10, NO_ACR
512407202116316, DESALEX D12, DESALEX D12, NOT FOUND, 2.5 MG + 120 MG COM LIB MOD CT BL AL/AL X 12, NO_ACR
512407201111310, DESALEX D12, DESALEX D12, NOT FOUND, 2.5 MG + 120 MG COM LIB MOD CT BL AL/AL X 20, NO_ACR
512407204119312, DESALEX D12, DESALEX D12, NOT FOUND, 2.5 MG + 120 MG COM LIB MOD CT BL AL/AL X 4, NO_ACR
527304001116115, DESOGESTREL, DESOGESTREL, DESOGESTREL, 0.075 MG COM REV CT BL AL PLAS INC X 28, NO_ACR
523713070028206, DESOGESTREL, DESOGESTREL, DESOGESTREL, 0.075 MG COM REV CT BL AL PLAS TRANS X 28, NO_ACR
511512100055806, DESOGESTREL, DESOGESTREL, DESOGESTREL, 0.075 MG COM REV CT BL AL PLAS TRANS X 28 , NO_ACR
533019802119416, DESODIOL, DESODIOL, NOT FOUND, 0.15 MG + 0.03 MG COM CT BL AL PLAS INC X 21, NO_ACR
527304201115112, DESOGESTREL + ETINILESTRADIOL + DESOGESTREL + ETINILESTRADIOL, DESOGESTREL ETINILESTRADIOL DESOGESTREL ETINILESTRADIOL, NOT FOUND, 0.125/0.030 MG 15 COM BRANCOS + 0.025/0.040 MG 7 COM AZUIS CT BL AL PLAS INC X 22, NO_ACR
527304101110119, DESOGESTREL + ETINILESTRADIOL, DESOGESTREL ETINILESTRADIOL, NOT FOUND, 0.15 MG + 0.02 MG COM CT BL AL PLAS INC X 21, NO_ACR
527304102117117, DESOGESTREL + ETINILESTRADIOL, DESOGESTREL ETINILESTRADIOL, NOT FOUND, 0.15 MG + 0.03 MG COM CT BL AL PLAS INC X 21, NO_ACR
508024201119111, DESOGESTREL + ETINILESTRADIOL, DESOGESTREL ETINILESTRADIOL, NOT FOUND, 0.150 MG + 0.030 MG COM CT BL AL PLAS BCO OPC X 21, NO_ACR
508024202115118, DESOGESTREL + ETINILESTRADIOL, DESOGESTREL ETINILESTRADIOL, NOT FOUND, 0.150 MG + 0.020 MG COM CT BL AL PLAS BCO OPC X 21, NO_ACR
531614060074603, DESOSKIN, DESOSKIN, NOT FOUND, 0.5 MG/G CREM DERM CT BG AL X 30 G , NO_ACR
525004305164314, DESONOL, DESONOL, NOT FOUND, 0.5 MG/G CREM DERM CT BG AL X 10 G, NO_ACR
531605902161111, DESONIDA, DESONIDA, DESONIDA, 0.5 MG/G POM DERM CT BG AL X 30 G , NO_ACR
538815101162116, DESONIDA, DESONIDA, DESONIDA, 0.5 MG/G CREM CT BG AL X 30 G, NO_ACR
517609001163119, DESONIDA, DESONIDA, DESONIDA, 0.5 MG/G CREM DERM CT BG AL X 30G, NO_ACR
526118701164114, DESONIDA, DESONIDA, DESONIDA, 0.5 MG/G POM DERM CT BG AL X 30 G , NO_ACR
526118702160112, DESONIDA, DESONIDA, DESONIDA, 0.5 MG/G CREM CT BG AL X 30 G, NO_ACR
526129401167415, DERMATOL, DERMATOL, NOT FOUND, 0.5 MG/G CREM CT BG AL X 30G, NO_ACR
526129402163413, DERMATOL, DERMATOL, NOT FOUND, 0.5MG/G POM CT BG AL X 30G, NO_ACR
525004301169311, DESONOL, DESONOL, NOT FOUND, 0.5 MG/G POM DERM CT BG AL X 30 G, NO_ACR
525004303161318, DESONOL, DESONOL, NOT FOUND, 0.5 MG/G LOC CT FR PLAS OPC X 30 G, NO_ACR
525064204161119, DESONIDA, DESONIDA, DESONIDA, 0.5 MG/G POM DERM CT BG AL X 30G , NO_ACR
525064208165119, DESONIDA, DESONIDA, DESONIDA, 0.5 MG/G CREM DERM CT BG AL X 30 G , NO_ACR
507726701164111, DESONIDA, DESONIDA, DESONIDA, 0.5 MG/G CREM CT BG AL X 30 G, NO_ACR
507726702160118, DESONIDA, DESONIDA, DESONIDA, 0.5 MG/G POM DERM CT BG AL X 30 G , NO_ACR
