531613701110411; AGLUCOSE; AGLUCOSE; NOT FOUND; 100 MG COM CT 3 BL AL PVDC LEIT X 10; NO_ACR
510600606111310; AMOXIL; AMOXIL; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; NO_ACR
521126403117111; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; NO_ACR
507701701111411; AMOX; AMOX; NOT FOUND; EMS - 500 MG 1 BL X 21 CAPS; NO_ACR
510600604119314; AMOXIL; AMOXIL; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
521126404113111; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
510600702137317; AMOXIL BD; AMOXIL BD; NOT FOUND; 400MG / 5ML PO SUS OR CT FR VD AMB X 100 ML; NO_ACR
521125701130118; AMOXICILINA TRIIDRATADA; AMOXICILINA TRIIDRATADA; NOT FOUND; 400 MG/ 5 ML PO SUS EXTEMP OR CT FR VD AMB X 100 ML + SER DOSAD X 10 ML; NO_ACR
510600704113318; AMOXIL BD; AMOXIL BD; NOT FOUND; 875 MG COM REV CT FR VD AMB X 14; NO_ACR
521126401114115; AMOXICILINA; AMOXICILINA; AMOXICILINA; 875 MG COM CT BL AL PLAS TRANS X 14; NO_ACR
510600703117311; AMOXIL BD; AMOXIL BD; NOT FOUND;  875 MG COM REV CT FR VD AMB X 20; NO_ACR
521126102133118; AMOXICILINA TRIIDRATADA + CLAVULANATO DE POTÁSSIO; AMOXICILINA TRIIDRATADA CLAVULANATO POTASSIO; NOT FOUND;  400 MG + 57 MG/5 ML PO SUS OR CT FR VD AMB X 100 ML; NO_ACR
521126101137111; AMOXICILINA TRIIDRATADA + CLAVULANATO DE POTÁSSIO; AMOXICILINA TRIIDRATADA CLAVULANATO POTASSIO; NOT FOUND; 400 MG + 57 MG/5 ML PO SUS OR CT FR VD AMB X 70 ML; NO_ACR
507701806132115; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUS OR CT FR PLAS OPC X 150 ML + CP DOSAD; NO_ACR
507701811111112; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG COM CT BL AL PLAS LEIT X 21; NO_ACR
507701810113111; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG COM CT BL AL PLAS LEIT X 72 (EMB FRAC); NO_ACR
507701804113113; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; NO_ACR
507701805111114; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; NO_ACR
507701808119116; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 72 (EMB FRAC) ; NO_ACR
507701803133110; AMOXICILINA; AMOXICILINA; AMOXICILINA; 400MG SUSP FR 100ML; NO_ACR
507701807112118; AMOXICILINA; AMOXICILINA; AMOXICILINA; 875 MG COM REV CT BL AL AL X 14; NO_ACR
507701809115114; AMOXICILINA; AMOXICILINA; AMOXICILINA; 875 MG COM REV CT BL AL AL X 30 (EMB FRAC) ; NO_ACR
507701601131117; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 25 MG/ML + 6.25 MG/ML PO SUS OR CT FR VD AMB X 75 ML + COL DOS; NO_ACR
507701602138115; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 50 MG/ML + 12.5 MG/ML PO SUS OR CT FR VD AMB X 75 ML + COL DOS; NO_ACR
507701603118118; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT BL AL/AL X 12; NO_ACR
507701604114116; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT BL AL/AL X 18; NO_ACR
507701605110114; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT BL AL/AL X 30 (EMB FRAC); NO_ACR
507701606117112; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL/ AL X 12; NO_ACR
507701607113110; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL/ AL X 14; NO_ACR
507701608136114; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 80 MG/ML + 11.4 MG/ML PO P/ SUS OR CT FR PLAS OPC X 70 ML + SER DOSAD + CP MED; NO_ACR
500102601153112; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 1 G + 200 MG PO LIOF P/ SOL INJ IV CT 10 FA VD INC X 30 ML; NO_ACR
505608112154114; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 1 G + 0.2 G PO P/ SOL INJ IV CX 50 FA VD INC X 20 ML (EMB HOSP); NO_ACR
541512070002816; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 1 G + 0.2 G PO P/ SOL INJ IV CT FA VD INC X 20 ML; NO_ACR
541512070002916; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 1 G + 0.2 G PO P/ SOL INJ IV CX 10 FA VD INC X 20 ML
; NO_ACR
541512070003016; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 1 G + 0.2 G PO P/ SOL INJ IV CX 20 FA VD INC X 20 ML (EMB HOSP); NO_ACR
541512070003116; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 1 G + 0.2 G PO P/ SOL INJ IV CX 50 FA VD INC X 20 ML (EMB HOSP); NO_ACR
541512070003216; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 100 MG PO P/ SOL INJ IV CT FA VD INC X 10 ML; NO_ACR
541512070003316; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 100 MG PO P/ SOL INJ IV CX 10 FA VD INC X 10 ML; NO_ACR
541512070003416; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 100 MG PO P/ SOL INJ IV CX 20 FA VD INC X 10 ML (EMB HOSP); NO_ACR
531620701112115; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL/AL X 12; NO_ACR
531620702119113; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL/AL X 14; NO_ACR
505200701137418; AMPICIFLAN; AMPICIFLAN; NOT FOUND; 250 MG PO PARA SUSPENSAO FR 60 ML; NO_ACR
505609301112115; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP); NO_ACR
541512030000916; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP); NO_ACR
505200702117410; AMPICIFLAN; AMPICIFLAN; NOT FOUND; 500 MG CX 12 CAPS; NO_ACR
505200703113419; AMPICIFLAN; AMPICIFLAN; NOT FOUND; 500 MG CAP CT 1 BL AL PLAS INC X 6; NO_ACR
500102001156110; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 1 G PO P/ SOL INJ CT 1 FA VD INC; NO_ACR
500102002152119; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 1 G PO P/ SOL INJ CT 12 FA VD INC; NO_ACR
500102003159117; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 1 G PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP); NO_ACR
541512030000816; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 1 G PO P/ SOL INJ CT 50 FA VD INC X 10 ML (EMB HOSP); NO_ACR
500102004155115; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 500 MG PO P/ SOL INJ CT 12 FA VD INC; NO_ACR
500113070013706; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 500 MG PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP); NO_ACR
500103701151411; AUROPENZ; AUROPENZ; NOT FOUND; 1G + 0.5G PO P/ SOL INJ CT 20 FA VD INC X 30ML EMB HOSP; NO_ACR
500103702158411; AUROPENZ; AUROPENZ; NOT FOUND; 1G + 0.5G PO P/ SOL INJ CT 30 FA VD INC X 30ML EMB HOSP; NO_ACR
500102301151114; AMPICILINA SÓDICA + SULBACTAM SÓDICO; AMPICILINA SODICA SULBACTAM SODICO; NOT FOUND; 1G + 0.5G PO P/ SOL INJ CT 30 FA VD INC X 30 ML(EMB HOSP) ; NO_ACR
500102302156111; AMPICILINA SÓDICA + SULBACTAM SÓDICO; AMPICILINA SODICA SULBACTAM SODICO; NOT FOUND; 1G + 0.5G PO P/ SOL INJ CT 20 FA VD INC X 30 ML(EMB HOSP); NO_ACR
501302601155113; AMPICILINA SÓDICA + SULBACTAM SÓDICA; AMPICILINA SODICA SULBACTAM SODICA; NOT FOUND; 1 G + 0.5 G PO SOL INJ CT FA VD INC X 30 ML; NO_ACR
501302602151111; AMPICILINA SÓDICA + SULBACTAM SÓDICA; AMPICILINA SODICA SULBACTAM SODICA; NOT FOUND; 1 G + 0.5 G PO SOL INJ IV CX 10 FA VD INC X 30; NO_ACR
501302603158111; AMPICILINA SÓDICA + SULBACTAM SÓDICA; AMPICILINA SODICA SULBACTAM SODICA; NOT FOUND; 1 G + 0.5 G PO SOL INJ IV CX 100 FA VD INC X 30; NO_ACR
501302604154118; AMPICILINA SÓDICA + SULBACTAM SÓDICA; AMPICILINA SODICA SULBACTAM SODICA; NOT FOUND; 1 G + 0.5 G PO SOL INJ IV CX 25 FA VD INC X 30; NO_ACR
501302605150116; AMPICILINA SÓDICA + SULBACTAM SÓDICA; AMPICILINA SODICA SULBACTAM SODICA; NOT FOUND; 1 G + 0.5 G PO SOL INJ CX 50 FA VD INC X 30 ML (EMB HOSP); NO_ACR
541512030002216; AMPICILINA SÓDICA + SULBACTAM SÓDICA; AMPICILINA SODICA SULBACTAM SODICA; NOT FOUND; 1G + 0.5G PO P/ SOL INJ CT 30 FA VD INC X 20 ML (EMB HOSP); NO_ACR
500103703154418; AUROPENZ; AUROPENZ; NOT FOUND; 2G + 1G PO P/ SOL INJ CT 20 FA VD INC X 30ML EMB HOSP; NO_ACR
500103704150416; AUROPENZ; AUROPENZ; NOT FOUND; 2G + 1G PO P/ SOL INJ CT 30 FA VD INC X 30ML EMB HOSP; NO_ACR
500102303152118; AMPICILINA SÓDICA + SULBACTAM SÓDICO; AMPICILINA SODICA SULBACTAM SODICO; NOT FOUND; 2G + 1G PO P/ SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP); NO_ACR
500102304159116; AMPICILINA SÓDICA + SULBACTAM SÓDICO; AMPICILINA SODICA SULBACTAM SODICO; NOT FOUND; 2G + 1G PO P/ SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP); NO_ACR
501302606157114; AMPICILINA SÓDICA + SULBACTAM SÓDICA; AMPICILINA SODICA SULBACTAM SODICA; NOT FOUND; 2 G + 1 G PO P SOL INJ CX 10 FA VD INC X 30 ML (EMB HOSP); NO_ACR
501302607153112; AMPICILINA SÓDICA + SULBACTAM SÓDICA; AMPICILINA SODICA SULBACTAM SODICA; NOT FOUND; 2 G + 1 G PO P SOL INJ CT FA VD INC X 30 ML; NO_ACR
501302608151113; AMPICILINA SÓDICA + SULBACTAM SÓDICA; AMPICILINA SODICA SULBACTAM SODICA; NOT FOUND; 2 G + 1 G PO P SOL INJ CX 100 FA VD INC X 30 ML (EMB HOSP); NO_ACR
501302609156119; AMPICILINA SÓDICA + SULBACTAM SÓDICA; AMPICILINA SODICA SULBACTAM SODICA; NOT FOUND; 2 G + 1 G PO P SOL INJ CX 25 FA VD INC X 30 ML (EMB HOSP); NO_ACR
501302610154116; AMPICILINA SÓDICA + SULBACTAM SÓDICA; AMPICILINA SODICA SULBACTAM SODICA; NOT FOUND; 2 G + 1 G PO P SOL INJ CX 50 FA VD INC X 30 ML (EMB HOSP); NO_ACR
541512030002316; AMPICILINA SÓDICA + SULBACTAM SÓDICA; AMPICILINA SODICA SULBACTAM SODICA; NOT FOUND; 2G + 1G PO P/ SOL INJ CT 30 FA VD INC X 20 ML (EMB HOSP); NO_ACR
505600401157419; AMPLOCILIN; AMPLOCILIN; NOT FOUND; 1000 MG PO LIOF INJ CT 50 FA VD INC; NO_ACR
505600403117414; AMPLOCILIN; AMPLOCILIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 100; NO_ACR
505600406116419; AMPLOCILIN; AMPLOCILIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12; NO_ACR
507701906137119; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML; NO_ACR
507701907133117; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 150 ML; NO_ACR
507701909111110; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG X 24 COMP; NO_ACR
507701901119112; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG COM CT STR X 12; NO_ACR
507701908113111; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG COM CT BL AL PLAS INC X 48 (EMB FRAC); NO_ACR
507701902115110; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG COM CT STR X 6; NO_ACR
510600403131211; AGENERASE; AGENERASE; NOT FOUND; 15 MG/ML SOL OR CT FR PLAS OPC X 240 ML; NO_ACR
510600401110215; AGENERASE; AGENERASE; NOT FOUND; 150 MG CAP GEL MOLE CT FR PLAS OPC X 240; NO_ACR
533200101151412; AMBISOME; AMBISOME; NOT FOUND; 50 MG PO LIOF INJ CT 10 FA VD INC; NO_ACR
522712120030006; ANIDULAFUNGINA; ANIDULAFUNGINA; ANIDULAFUNGINA; 100 MG PO LIOF SOL INJ IV CT 1 FA VD TRANS; NO_ACR
522712120030106; ANIDULAFUNGINA; ANIDULAFUNGINA; ANIDULAFUNGINA; 100 MG PO LIOF SOL INJ IV CT 2 FA VD TRANS; NO_ACR
522712120030206; ANIDULAFUNGINA; ANIDULAFUNGINA; ANIDULAFUNGINA; 100 MG PO LIOF SOL INJ IV CT 15 FA VD TRANS; NO_ACR
521113060057906; ARIPIPRAZOL; ARIPIPRAZOL; ARIPIPRAZOL; 10 MG COM CT BL AL/AL X10 ; NO_ACR
521113060058006; ARIPIPRAZOL; ARIPIPRAZOL; ARIPIPRAZOL; 15 MG COM CT BL AL/AL X 10; NO_ACR
521113060058106; ARIPIPRAZOL; ARIPIPRAZOL; ARIPIPRAZOL; 20 MG COM CT BL AL/AL X 10 ; NO_ACR
521113060058206; ARIPIPRAZOL; ARIPIPRAZOL; ARIPIPRAZOL; 30 MG COM CT BL AL/AL X 10; NO_ACR
502412080020604; ARGIX; ARGIX; NOT FOUND; 500 MG COM REV CT BL AL PLAS BCO X 60; NO_ACR
500103202112119; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 14; NO_ACR
500103203119117; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 28; NO_ACR
521100801115417; ANGIPRESS; ANGIPRESS; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 28 ; NO_ACR
506500201111112; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT  BL AL PLAS INC X 30; NO_ACR
500113030013506; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30; NO_ACR
521101101117113; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30; NO_ACR
521112040053203; ANGIPRESS; ANGIPRESS; NOT FOUND; 100 MG COM CT BL AL PLAS TRANS X 30; NO_ACR
507703002111115; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30; NO_ACR
538001807111116; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM REV CT BL AL/PVC X 30; NO_ACR
538001808116111; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM REV CX BL AL/PVC X 300 (EMB HOSP); NO_ACR
500113030013606; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 60; NO_ACR
507703007113116; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 60; NO_ACR
538001809112111; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM REV CX BL AL/PVC X 600 (EMB HOSP); NO_ACR
507703009116112; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); NO_ACR
500103201116110; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 14; NO_ACR
500103204115115; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 28; NO_ACR
521100802111415; ANGIPRESS; ANGIPRESS; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 28 ; NO_ACR
500113030013106; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 30; NO_ACR
521101102113111; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS  INC X 30; NO_ACR
521112040053003; ANGIPRESS; ANGIPRESS; NOT FOUND; 25 MG COM CT BL AL PLAS TRANS X 30; NO_ACR
507703004114111; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 30; NO_ACR
538001802118112; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM REV CT BL AL/PVC X 30; NO_ACR
538001804110119; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM REV CX BL AL/PVC X 300 (EMB HOSP); NO_ACR
500113030013206; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 60; NO_ACR
507703003118113; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 60; NO_ACR
538001805117117; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM REV CX BL AL/PVC X 600 (EMB HOSP); NO_ACR
507703010114111; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); NO_ACR
500103205111113; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 14 ; NO_ACR
500103206118111; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 28; NO_ACR
521100803118413; ANGIPRESS; ANGIPRESS; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 28 ; NO_ACR
506500202118110; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT  BL AL PLAS INC X 30; NO_ACR
500113030013306; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30; NO_ACR
521101105112116; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30; NO_ACR
521112040053103; ANGIPRESS; ANGIPRESS; NOT FOUND; 50 MG COM CT BL AL PLAS TRANS X 30; NO_ACR
507703006117118; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30; NO_ACR
538001803114110; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM REV CT BL AL/PVC X 30; NO_ACR
538001801111114; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM REV CX BL AL/PVC X 300(EMB HOSP); NO_ACR
500113030013406; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 60; NO_ACR
507703008111117; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 60; NO_ACR
538001806113115; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM REV CX BL AL/PVC X 600 (EMB HOSP); NO_ACR
507703011110118; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); NO_ACR
521114100060503; ANGIPRESS CD; ANGIPRESS CD; NOT FOUND; 25 MG + 12.5 MG COM CT BL AL PLAS INC X 15; NO_ACR
521114100060603; ANGIPRESS CD; ANGIPRESS CD; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 15; NO_ACR
521114100060703; ANGIPRESS CD; ANGIPRESS CD; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 15; NO_ACR
507702901112116; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 30 ; NO_ACR
507702903115112; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X  90 (EMB FRAC); NO_ACR
521100901111413; ANGIPRESS CD; ANGIPRESS CD; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 28; NO_ACR
521112040052703; ANGIPRESS CD; ANGIPRESS CD; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 30; NO_ACR
521121201117111; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 30; NO_ACR
521100902116419; ANGIPRESS CD; ANGIPRESS CD; NOT FOUND; 25 MG + 12.5 MG COM CT BL AL PLAS INC X 28; NO_ACR
521112040052903; ANGIPRESS CD; ANGIPRESS CD; NOT FOUND; 25 MG + 12.5 MG COM CT BL AL PLAS INC X 30; NO_ACR
507702902119114; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 30; NO_ACR
507702904111110; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); NO_ACR
521100903112417; ANGIPRESS CD; ANGIPRESS CD; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 28; NO_ACR
521112040052803; ANGIPRESS CD; ANGIPRESS CD; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 30; NO_ACR
522714020037606; ATENOLOL+CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 28 ; NO_ACR
522714020038106; ATENOLOL+CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 28; NO_ACR
521121202113118; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 30; NO_ACR
522714020037706; ATENOLOL+CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 30; NO_ACR
522714020038206; ATENOLOL+CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 30; NO_ACR
522714030039104; ATEPLUS; ATEPLUS; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 30; NO_ACR
522714030039304; ATEPLUS; ATEPLUS; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 30; NO_ACR
522714020037506; ATENOLOL+CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); NO_ACR
522714020037806; ATENOLOL+CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); NO_ACR
522714030039204; ATEPLUS; ATEPLUS; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 60; NO_ACR
522714030039404; ATEPLUS; ATEPLUS; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 60; NO_ACR
522714020037906; ATENOLOL+CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); NO_ACR
522714020038006; ATENOLOL+CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); NO_ACR
542614040001804; ATEROMA; ATEROMA; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; NO_ACR
542614040001904; ATEROMA; ATEROMA; NOT FOUND; 20 MG COM REV CT BL AL/AL X 30; NO_ACR
542614040002004; ATEROMA; ATEROMA; NOT FOUND; 40 MG COM REV CT BL AL/AL X 30; NO_ACR
522711201113110; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 10; NO_ACR
522711202111111; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 20; NO_ACR
521125401110111; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 30; NO_ACR
507743401114117; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL AL X 30; NO_ACR
522711203116117; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 30; NO_ACR
507743402110115; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL AL X 60; NO_ACR
522711204112115; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 60; NO_ACR
522711205119113; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 90; NO_ACR
522711206115111; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 10; NO_ACR
522711207111111; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 20; NO_ACR
521125402117111; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 30; NO_ACR
