511302301116419; HINOX; HINOX; NOT FOUND; COM REV CX FR PLAS INC X 30; NO_ACR
527304403133413; HARMOLAX; HARMOLAX; NOT FOUND; 17 G PO PREP EXTEMP ORAL CT SACHE X 7; NO_ACR
542714020000002; HALAVEN; HALAVEN; NOT FOUND; 0.5 MG/ML SOL INJ CT FA VD INC X 2ML; NO_ACR
538000701156411; HYTAS; HYTAS; NOT FOUND; 100 MG/ ML SOL INJ FA VD INC X 10 ML; NO_ACR
538000703159416; HYTAS; HYTAS; NOT FOUND; 100 MG/ ML SOL INJ FA VD INC X 5 ML
; NO_ACR
538000702152418; HYTAS; HYTAS; NOT FOUND; 25 MG/ ML SOL INJ CT FA VD INC X 2 ML ; NO_ACR
530400801160313; HIRUDOID; HIRUDOID; NOT FOUND; 3 MG/G GEL CT BG AL X 40 G; NO_ACR
530400803163311; HIRUDOID; HIRUDOID; NOT FOUND; 3 MG/G POM CT BG AL X 40 G; NO_ACR
530413040008803; HIRUDOID; HIRUDOID; NOT FOUND; 3 MG/G GEL CT BG AL X 40 G ; NO_ACR
530413040009203; HIRUDOID; HIRUDOID; NOT FOUND; 3 MG/G POM CT BG AL X 40 G ; NO_ACR
530400805166413; HIRUDOID; HIRUDOID; NOT FOUND; 5 MG/G GEL CT BG AL X 20 G; NO_ACR
530413040009003; HIRUDOID; HIRUDOID; NOT FOUND; 5 MG/G GEL CT BG AL X 20 G ; NO_ACR
530400802167311; HIRUDOID; HIRUDOID; NOT FOUND; 5 MG/G GEL CT BG AL X 40 G; NO_ACR
530400804161310; HIRUDOID; HIRUDOID; NOT FOUND; 5 MG/G POM CT BG AL X 40 G; NO_ACR
530413040008903; HIRUDOID; HIRUDOID; NOT FOUND; 5 MG/G POM CT BG AL X 40 G ; NO_ACR
530413040009103; HIRUDOID; HIRUDOID; NOT FOUND; 5 MG/G GEL CT BG AL X 40 G ; NO_ACR
519501708157418; HORMOTROP; HORMOTROP; NOT FOUND; 12 UI SOL INJ CT 1 FA VD INC X 1.5 ML; NO_ACR
519501701152410; HORMOTROP; HORMOTROP; NOT FOUND; 12 UI PO LIOF CT FA VD INC + DIL BACTERIOSTATICO X 2ML; NO_ACR
519501709153416; HORMOTROP; HORMOTROP; NOT FOUND; 12 UI PO LIOF INJ CT FA VD INC; NO_ACR
519501705158413; HORMOTROP; HORMOTROP; NOT FOUND; 4 UI SOL INJ CT 1 FA VD INC X 0.5 ML; NO_ACR
519501702159419; HORMOTROP; HORMOTROP; NOT FOUND; 4 UI PO LIOF CT FA VD INC + DIL BACTERIOSTATICO X 1ML; NO_ACR
519501710151413; HORMOTROP; HORMOTROP; NOT FOUND; 4 UI PO LIOF INJ CT FA VD INC; NO_ACR
505603401158411; HIDROSONE; HIDROSONE; NOT FOUND; 100 MG PO LIOF INJ CT 50 FA VD INC + 50 AMP DIL X 2 ML; NO_ACR
505603403150416; HIDROSONE; HIDROSONE; NOT FOUND; 100 MG PO LIOF INJ CT 50 FA VD INC; NO_ACR
505603402154418; HIDROSONE; HIDROSONE; NOT FOUND; 500 MG PO LIOF INJ CT 50 FA VD INC + 50 AMP DIL X 5 ML; NO_ACR
505603405153412; HIDROSONE; HIDROSONE; NOT FOUND; 500 MG PO LIOF INJ CT 50 FA VD INC; NO_ACR
510603701158218; HYCAMTIN; HYCAMTIN; NOT FOUND; 4 MG PO LIOF INJ CT FA VD INC ; NO_ACR
531624301151418; HEMOBLOCK; HEMOBLOCK; NOT FOUND; 50 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML; NO_ACR
