510401804118414, OMENAX, OMENAX, NOT FOUND, 10 MG CAP GEL DURA CT 35 BL AL PLAS INC X 14, GOB
510413508179416, OPTYMOL, OPTYMOL, NOT FOUND, 5 MG/ML SOL OFT CX 60 FR PLAS OPC GOT X 10 ML (EMB HOSP), GOB
510413509175414, OPTYMOL, OPTYMOL, NOT FOUND, 5 MG/ML SOL OFT CX 60 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
510401802115418, OMENAX, OMENAX, NOT FOUND, 20 MG CAP GEL DURA CT 01 BL AL PLAS INC X 14, GOB
510401803111416, OMENAX, OMENAX, NOT FOUND, 20 MG CAP GEL DURA CT 02 BL AL PLAS INC X 14, GOB
510401805114412, OMENAX, OMENAX, NOT FOUND, 20 MG CAP GEL DURA CT 35 BL ALPLAS INC X 14, GOB
510412702168116, OXIDO DE ZINCO + NISTATINA, OXIDO ZINCO NISTATINA, NOT FOUND, 200MG/G + 1000UI/G POM DERM CT 60 BG AL X 60G (EMB HOSP), GOB
510414102176416, OTOSYLASE, OTOSYLASE, NOT FOUND, 0.250MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CT FR PLAS OPC GOT X 10 ML, GOB
510414103172414, OTOSYLASE, OTOSYLASE, NOT FOUND, 0.250MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CT FR PLAS OPC GOT X 5 ML, GOB
510414104179412, OTOSYLASE, OTOSYLASE, NOT FOUND, 0.250MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 100 FR PLAS OPC GOT X 10 ML (EMB HOSP), GOB
510414105175410, OTOSYLASE, OTOSYLASE, NOT FOUND, 0.250MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 100 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
510414101171410, OTOSYLASE, OTOSYLASE, NOT FOUND, 0.250MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP), GOB
510414106171419, OTOSYLASE, OTOSYLASE, NOT FOUND, 0.250MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
510411101160414, ONCICREM A, ONCICREM A, NOT FOUND, 1.0 MG/G POM BUC CT BG AL X 10 G, GOB
510412801174416, OPTILAR, OPTILAR, NOT FOUND, 5 MG/ML SOL OFT EST CT FR BAT CONT GOT X 5 ML , GOB
