1037002730019; CELESTAN; CELESTAN; NOT FOUND; SOL INJ 4 MG/ML CX. C/ 1AMP.; TTB
1037004610037; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO LIOF INJ CX 50 FA VD INC (EMB HOSP); TTB
1037003730071; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 80 MG COM REV CT BL AL PLAS LARANJA X 150 (EMB HOSP); TTB
1037003730055; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 80 MG COM REV CT BL AL PLAS LARANJA X 30 ; TTB
1037001190053; CLORTIL; CLORTIL; NOT FOUND; 25 MG COM CT 2 BL AL PLAS INC X 20; TTB
1037001190061; CLORTIL; CLORTIL; NOT FOUND; 50 MG COM CT 2 BL AL PLAS INC X 15; TTB
1037002490018; CLOTREN; CLOTREN; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 50 G; TTB
1037004570019; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 50 G; TTB
1037004570051; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 20 G; TTB
1037005200045; CETIRTEC; CETIRTEC; NOT FOUND; 1 MG/ML SOL OR CT FR VD AMB X 120 ML + COP MED; TTB
1037001070023; CARDCOR; CARDCOR; NOT FOUND; 0.25 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); TTB
1037001070031; CARDCOR; CARDCOR; NOT FOUND; 0.25 MG COM CT BL AL PLAS INC X 20 ; TTB
1037003220081; CARBITAL; CARBITAL; NOT FOUND; 200 MG/ML SOL INJ CT 60 AMP VD INC X 1 ML (EMB HOSP); TTB
1037003220030; CARBITAL; CARBITAL; NOT FOUND; SOL ORAL 4% C/ 1; TTB
1037003220022; CARBITAL; CARBITAL; NOT FOUND; 100 MG COM CT BL AL PLAS X 20; TTB
1037002060013; CLAMIBEN; CLAMIBEN; NOT FOUND; 5 MG COM CT  BL AL PLAS INC X 30; TTB
1037001280044; CO-PRESSOTEC; CO PRESSOTEC; NOT FOUND; 10 MG + 25 MG COM CT ENV AL POLIET X 30 ; TTB
1037001280036; CO-PRESSOTEC; CO PRESSOTEC; NOT FOUND; 20 MG + 12.50 MG COM CT ENV AL POLIET X 30 ; TTB
1037000070017; COLPATRIN; COLPATRIN; NOT FOUND; CREME VAG. BISN X 40 G; TTB
1037000070038; COLPATRIN; COLPATRIN; NOT FOUND; 100 MG/G + 20.000 UI/G CREM VAG CT BG AL X 50 G + APLIC; TTB
1037000770015; CANDITRAT; CANDITRAT; NOT FOUND; SUS OR CT FR VD AMB X 50 ML; TTB
1037000780031; CANDITRAT; CANDITRAT; NOT FOUND; 100.000 UI/ML SUS OR CT 50 FR VD AMB X 50 ML (EMB HOSP); TTB
1037000780015; CANDITRAT; CANDITRAT; NOT FOUND; 100.000 UI/ML SUS OR CT FR VD AMB X 50 ML; TTB
1037000780021; CANDITRAT; CANDITRAT; NOT FOUND; 25.000UI/G CREM VAG BG AL X 60 G; TTB
1037000780019; CANDITRAT; CANDITRAT; NOT FOUND; DRG 500.000 UI CX C/ 16; TTB
